start,end,numeral,chromatic root,diatonic root,key,absolute root
2.00,6.00,I,0,1,4,4
6.00,7.00,ii,2,2,4,6
7.00,8.00,V,7,5,4,11
8.00,10.00,I,0,1,4,4
10.00,11.00,ii,2,2,4,6
11.00,12.00,V,7,5,4,11
12.00,14.00,V/vi,4,3,4,8
14.00,16.00,V/ii,9,6,4,1
16.00,18.00,V/V,2,2,4,6
18.00,20.00,V,7,5,4,11
20.00,22.00,I,0,1,4,4
22.00,24.00,vi,9,6,4,1
24.00,26.00,IV,5,4,4,9
26.00,28.00,V,7,5,4,11
28.00,30.00,I,0,1,4,4
30.00,31.00,ii,2,2,4,6
31.00,32.00,V,7,5,4,11
32.00,34.00,I,0,1,4,4
34.00,35.00,ii,2,2,4,6
35.00,36.00,V,7,5,4,11
36.00,38.00,V/vi,4,3,4,8
38.00,40.00,V/ii,9,6,4,1
40.00,42.00,V/V,2,2,4,6
42.00,44.00,V,7,5,4,11
44.00,46.00,I,0,1,4,4
46.00,48.00,vi,9,6,4,1
48.00,50.00,IV,5,4,4,9
50.00,52.00,V,7,5,4,11
52.00,54.00,I,0,1,4,4
54.00,55.00,ii,2,2,4,6
55.00,56.00,V,7,5,4,11
56.00,58.00,I,0,1,4,4
58.00,59.00,ii,2,2,4,6
59.00,60.00,V,7,5,4,11
60.00,62.00,I,0,1,4,4
62.00,64.00,vi,9,6,4,1
64.00,66.00,IV,5,4,4,9
66.00,70.00,V,7,5,4,11
70.00,72.00,I,0,1,4,4
72.00,74.00,vi,9,6,4,1
74.00,76.00,IV,5,4,4,9
76.00,78.00,V,7,5,4,11
