start,end,numeral,chromatic root,diatonic root,key,absolute root
1.00,2.00,I,0,1,5,5
2.00,4.00,V,7,5,5,0
4.00,5.00,I,0,1,5,5
5.00,6.00,IV,5,4,5,10
6.00,7.00,I,0,1,5,5
7.00,8.00,V,7,5,5,0
8.00,10.00,I,0,1,5,5
10.00,12.00,V,7,5,5,0
12.00,13.00,I,0,1,5,5
13.00,14.00,IV,5,4,5,10
14.00,15.00,I,0,1,5,5
15.00,16.00,V,7,5,5,0
16.00,18.00,I,0,1,5,5
18.00,18.50,IV,5,4,5,10
18.50,19.00,I6,0,1,5,5
19.00,19.50,ii,2,2,5,7
19.50,20.00,vi6,9,6,5,2
20.00,21.00,V6,7,5,5,0
21.00,23.00,I,0,1,5,5
23.00,23.50,IV,5,4,5,10
23.50,24.00,I6,0,1,5,5
24.00,24.50,ii,2,2,5,7
24.50,25.00,vi6,9,6,5,2
25.00,26.00,V6,7,5,5,0
26.00,28.00,I,0,1,5,5
28.00,30.00,V,7,5,5,0
30.00,31.00,I,0,1,5,5
31.00,33.00,V,7,5,5,0
33.00,34.00,I,0,1,5,5
34.00,35.00,IV,5,4,5,10
35.00,36.00,I,0,1,5,5
36.00,37.00,V,7,5,5,0
37.00,39.00,I,0,1,5,5
39.00,39.50,IV,5,4,5,10
39.50,40.00,I6,0,1,5,5
40.00,40.50,ii,2,2,5,7
40.50,41.00,vi6,9,6,5,2
41.00,42.00,V6,7,5,5,0
42.00,44.00,I,0,1,5,5
44.00,44.50,IV,5,4,5,10
44.50,45.00,I6,0,1,5,5
45.00,45.50,ii,2,2,5,7
45.50,46.00,vi6,9,6,5,2
46.00,47.00,V6,7,5,5,0
47.00,49.00,I,0,1,5,5
49.00,51.00,V,7,5,5,0
51.00,52.00,I,0,1,5,5
52.00,54.00,V,7,5,5,0
54.00,55.00,I,0,1,5,5
55.00,56.00,IV,5,4,5,10
56.00,57.00,I,0,1,5,5
57.00,58.00,V,7,5,5,0
58.00,61.00,I,0,1,5,5
61.00,62.00,bVII,10,7,5,3
62.00,63.00,IV,5,4,5,10
63.00,65.00,I,0,1,5,5
65.00,66.00,bVII,10,7,5,3
66.00,67.00,IV,5,4,5,10
67.00,69.00,I,0,1,5,5
69.00,70.00,bVII,10,7,5,3
70.00,71.00,IV,5,4,5,10
71.00,73.00,I,0,1,5,5
73.00,74.00,bVII,10,7,5,3
74.00,75.00,IV,5,4,5,10
75.00,77.00,I,0,1,5,5
77.00,78.00,bVII,10,7,5,3
78.00,79.00,IV,5,4,5,10
79.00,81.00,I,0,1,5,5
81.00,82.00,bVII,10,7,5,3
82.00,83.00,IV,5,4,5,10
83.00,85.00,I,0,1,5,5
85.00,86.00,bVII,10,7,5,3
86.00,87.00,IV,5,4,5,10
87.00,89.00,I,0,1,5,5
89.00,90.00,bVII,10,7,5,3
90.00,91.00,IV,5,4,5,10
91.00,93.00,I,0,1,5,5
93.00,94.00,bVII,10,7,5,3
94.00,95.00,IV,5,4,5,10
95.00,97.00,I,0,1,5,5
97.00,98.00,bVII,10,7,5,3
98.00,99.00,IV,5,4,5,10
99.00,101.00,I,0,1,5,5
101.00,102.00,bVII,10,7,5,3
102.00,103.00,IV,5,4,5,10
103.00,105.00,I,0,1,5,5
105.00,106.00,bVII,10,7,5,3
106.00,107.00,IV,5,4,5,10
107.00,109.00,I,0,1,5,5
109.00,110.00,bVII,10,7,5,3
110.00,111.00,IV,5,4,5,10
111.00,113.00,I,0,1,5,5
113.00,114.00,bVII,10,7,5,3
114.00,115.00,IV,5,4,5,10
115.00,117.00,I,0,1,5,5
117.00,118.00,bVII,10,7,5,3
118.00,119.00,IV,5,4,5,10
119.00,121.00,I,0,1,5,5
121.00,122.00,bVII,10,7,5,3
122.00,123.00,IV,5,4,5,10
123.00,125.00,I,0,1,5,5
125.00,126.00,bVII,10,7,5,3
126.00,127.00,IV,5,4,5,10
127.00,129.00,I,0,1,5,5
129.00,130.00,bVII,10,7,5,3
130.00,131.00,IV,5,4,5,10
131.00,132.00,I,0,1,5,5
