start,end,numeral,chromatic root,diatonic root,key,absolute root
1.00,5.00,I,0,1,5,5
5.00,7.00,IV,5,4,5,10
7.00,9.00,I,0,1,5,5
9.00,10.00,V,7,5,5,0
10.00,11.00,IV,5,4,5,10
11.00,17.00,I,0,1,5,5
17.00,19.00,IV,5,4,5,10
19.00,21.00,I,0,1,5,5
21.00,22.00,V,7,5,5,0
22.00,23.00,IV,5,4,5,10
23.00,29.00,I,0,1,5,5
29.00,31.00,IV,5,4,5,10
31.00,33.00,I,0,1,5,5
33.00,34.00,V,7,5,5,0
34.00,35.00,IV,5,4,5,10
35.00,41.00,I,0,1,5,5
41.00,43.00,IV,5,4,5,10
43.00,45.00,I,0,1,5,5
45.00,46.00,V,7,5,5,0
46.00,47.00,IV,5,4,5,10
47.00,53.00,I,0,1,5,5
53.00,55.00,IV,5,4,5,10
55.00,57.00,I,0,1,5,5
57.00,58.00,V,7,5,5,0
58.00,59.00,IV,5,4,5,10
59.00,65.00,I,0,1,5,5
65.00,67.00,IV,5,4,5,10
67.00,69.00,I,0,1,5,5
69.00,70.00,V,7,5,5,0
70.00,71.00,IV,5,4,5,10
71.00,77.00,I,0,1,5,5
77.00,79.00,IV,5,4,5,10
79.00,81.00,I,0,1,5,5
81.00,82.00,V,7,5,5,0
82.00,83.00,IV,5,4,5,10
83.00,89.00,I,0,1,5,5
89.00,91.00,IV,5,4,5,10
91.00,93.00,I,0,1,5,5
93.00,94.00,V,7,5,5,0
94.00,95.00,IV,5,4,5,10
95.00,97.00,I,0,1,5,5
