start,end,numeral,chromatic root,diatonic root,key,absolute root
1.00,1.50,I,0,1,5,5
1.50,1.75,IV,5,4,5,10
1.75,2.00,V,7,5,5,0
2.00,2.50,I,0,1,5,5
2.50,3.00,V,7,5,5,0
3.00,3.50,I,0,1,5,5
3.50,3.75,IV,5,4,5,10
3.75,4.00,V,7,5,5,0
4.00,4.50,I,0,1,5,5
4.50,5.00,V,7,5,5,0
5.00,5.50,I,0,1,5,5
5.50,6.00,vi,9,6,5,2
6.00,6.50,II,2,2,5,7
6.50,7.00,V,7,5,5,0
7.00,7.50,I,0,1,5,5
7.50,7.75,IV,5,4,5,10
7.75,8.00,V,7,5,5,0
8.00,9.50,I,0,1,5,5
9.50,9.75,IV,5,4,5,10
9.75,10.00,V,7,5,5,0
10.00,10.50,I,0,1,5,5
10.50,11.00,V,7,5,5,0
11.00,11.50,I,0,1,5,5
11.50,11.75,IV,5,4,5,10
11.75,12.00,V,7,5,5,0
12.00,12.50,I,0,1,5,5
12.50,13.00,V,7,5,5,0
13.00,13.50,I,0,1,5,5
13.50,14.00,vi,9,6,5,2
14.00,14.50,II,2,2,5,7
14.50,15.00,V,7,5,5,0
15.00,15.50,I,0,1,5,5
15.50,15.75,IV,5,4,5,10
15.75,16.00,V,7,5,5,0
16.00,17.50,I,0,1,5,5
17.50,17.75,IV,5,4,5,10
17.75,18.00,V,7,5,5,0
18.00,18.50,I,0,1,5,5
18.50,19.00,V,7,5,5,0
19.00,19.50,I,0,1,5,5
19.50,19.75,IV,5,4,5,10
19.75,20.00,V,7,5,5,0
20.00,20.50,I,0,1,5,5
20.50,21.00,V,7,5,5,0
21.00,21.50,I,0,1,5,5
21.50,22.00,vi,9,6,5,2
22.00,22.50,II,2,2,5,7
22.50,23.00,V,7,5,5,0
23.00,23.50,I,0,1,5,5
23.50,23.75,IV,5,4,5,10
23.75,24.00,V,7,5,5,0
24.00,25.50,I,0,1,5,5
25.50,25.75,IV,5,4,5,10
25.75,26.00,V,7,5,5,0
26.00,26.50,I,0,1,5,5
26.50,27.00,V,7,5,5,0
27.00,27.50,I,0,1,5,5
27.50,27.75,IV,5,4,5,10
27.75,28.00,V,7,5,5,0
28.00,28.50,I,0,1,5,5
28.50,29.00,V,7,5,5,0
29.00,29.50,I,0,1,5,5
29.50,30.00,vi,9,6,5,2
30.00,30.50,II,2,2,5,7
30.50,31.00,V,7,5,5,0
31.00,31.50,I,0,1,5,5
31.50,31.75,IV,5,4,5,10
31.75,32.00,V,7,5,5,0
32.00,33.50,I,0,1,5,5
33.50,33.75,IV,5,4,5,10
33.75,34.00,V,7,5,5,0
34.00,34.50,I,0,1,5,5
34.50,35.00,V,7,5,5,0
35.00,35.50,I,0,1,5,5
35.50,35.75,IV,5,4,5,10
35.75,36.00,V,7,5,5,0
36.00,36.50,I,0,1,5,5
36.50,37.00,V,7,5,5,0
37.00,37.50,I,0,1,5,5
37.50,38.00,vi,9,6,5,2
38.00,38.50,II,2,2,5,7
38.50,39.00,V,7,5,5,0
39.00,39.50,I,0,1,5,5
39.50,39.75,IV,5,4,5,10
39.75,40.00,V,7,5,5,0
40.00,41.50,I,0,1,5,5
41.50,41.75,IV,5,4,5,10
41.75,42.00,V,7,5,5,0
42.00,42.50,I,0,1,5,5
42.50,43.00,V,7,5,5,0
43.00,43.50,I,0,1,5,5
43.50,43.75,IV,5,4,5,10
43.75,44.00,V,7,5,5,0
44.00,44.50,I,0,1,5,5
44.50,45.00,V,7,5,5,0
45.00,45.50,I,0,1,5,5
45.50,46.00,vi,9,6,5,2
46.00,46.50,II,2,2,5,7
46.50,47.00,V,7,5,5,0
47.00,47.50,I,0,1,5,5
47.50,47.75,IV,5,4,5,10
47.75,48.00,V,7,5,5,0
48.00,49.00,I,0,1,5,5
