,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,2.833,65.0,7.0,0.0839999999999996,2.0,3.0,V,7,5,10,5
1,2.917,67.0,9.0,0.0830000000000001,2.0,3.0,V,7,5,10,5
2,3.0,70.0,0.0,0.3330000000000002,2.0,3.0,V,7,5,10,5
3,3.333,67.0,9.0,0.125,3.0,5.0,I,0,1,10,10
4,3.458,65.0,7.0,0.0419999999999998,3.0,5.0,I,0,1,10,10
5,3.5,67.0,9.0,0.0830000000000001,3.0,5.0,I,0,1,10,10
6,3.583,70.0,0.0,0.6669999999999998,3.0,5.0,I,0,1,10,10
7,4.25,62.0,4.0,0.0419999999999998,3.0,5.0,I,0,1,10,10
8,4.292,65.0,7.0,0.0830000000000001,3.0,5.0,I,0,1,10,10
9,4.375,65.0,7.0,0.0419999999999998,3.0,5.0,I,0,1,10,10
10,4.417,67.0,9.0,0.0830000000000001,3.0,5.0,I,0,1,10,10
11,4.5,62.0,4.0,0.4169999999999998,3.0,5.0,I,0,1,10,10
12,4.917,62.0,4.0,0.1660000000000003,3.0,5.0,I,0,1,10,10
13,5.083,62.0,4.0,0.0839999999999996,5.0,6.0,ii7,2,2,10,0
14,5.167,60.0,2.0,0.0830000000000001,5.0,6.0,ii7,2,2,10,0
15,5.25,60.0,2.0,0.2080000000000001,5.0,6.0,ii7,2,2,10,0
16,5.458,58.0,0.0,0.0419999999999998,5.0,6.0,ii7,2,2,10,0
17,5.5,60.0,2.0,0.0419999999999998,5.0,6.0,ii7,2,2,10,0
18,5.542,62.0,4.0,0.0410000000000003,5.0,6.0,ii7,2,2,10,0
19,5.583,62.0,4.0,0.0839999999999996,5.0,6.0,ii7,2,2,10,0
20,5.667,62.0,4.0,0.0830000000000001,5.0,6.0,ii7,2,2,10,0
21,5.75,62.0,4.0,0.0830000000000001,5.0,6.0,ii7,2,2,10,0
22,5.833,60.0,2.0,0.0839999999999996,5.0,6.0,ii7,2,2,10,0
23,5.917,58.0,0.0,0.4160000000000003,5.0,6.0,ii7,2,2,10,0
24,6.333,60.0,2.0,0.0839999999999996,6.0,7.0,vi,9,6,10,7
25,6.417,58.0,0.0,0.0830000000000001,6.0,7.0,vi,9,6,10,7
26,6.5,55.0,9.0,0.0830000000000001,6.0,7.0,vi,9,6,10,7
27,6.583,53.0,7.0,0.25,6.0,7.0,vi,9,6,10,7
28,6.833,62.0,4.0,0.0839999999999996,6.0,7.0,vi,9,6,10,7
29,6.917,65.0,7.0,0.0410000000000003,6.0,7.0,vi,9,6,10,7
30,6.958,67.0,9.0,0.0419999999999998,6.0,7.0,vi,9,6,10,7
31,7.0,62.0,4.0,0.3330000000000002,6.0,7.0,vi,9,6,10,7
