,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,60.0,0.0,0.375,4.0,9.5,I,0,1,0,0
1,8.375,60.0,0.0,0.25,4.0,9.5,I,0,1,0,0
2,8.625,60.0,0.0,0.375,4.0,9.5,I,0,1,0,0
3,9.0,60.0,0.0,0.25,4.0,9.5,I,0,1,0,0
4,9.25,60.0,0.0,0.125,4.0,9.5,I,0,1,0,0
5,9.375,65.0,5.0,0.25,4.0,9.5,I,0,1,0,0
6,9.625,60.0,0.0,0.25,9.5,9.75,IV,5,4,0,5
7,9.875,60.0,0.0,0.5,9.75,10.0,iii,4,3,0,4
8,10.375,60.0,0.0,0.25,10.0,11.5,I,0,1,0,0
9,10.625,60.0,0.0,0.375,10.0,11.5,I,0,1,0,0
10,11.0,60.0,0.0,0.125,10.0,11.5,I,0,1,0,0
11,11.125,60.0,0.0,0.25,10.0,11.5,I,0,1,0,0
12,11.375,65.0,5.0,0.5,10.0,11.5,I,0,1,0,0
13,11.875,60.0,0.0,0.125,11.75,12.0,iii,4,3,0,4
14,12.0,60.0,0.0,0.125,11.75,12.0,iii,4,3,0,4
15,12.125,60.0,0.0,0.125,12.0,13.5,I,0,1,0,0
16,12.25,60.0,0.0,0.125,12.0,13.5,I,0,1,0,0
17,12.375,60.0,0.0,0.25,12.0,13.5,I,0,1,0,0
18,12.625,60.0,0.0,0.25,12.0,13.5,I,0,1,0,0
19,12.875,60.0,0.0,0.125,12.0,13.5,I,0,1,0,0
20,13.0,60.0,0.0,0.125,12.0,13.5,I,0,1,0,0
21,13.125,60.0,0.0,0.125,12.0,13.5,I,0,1,0,0
22,13.25,60.0,0.0,0.125,12.0,13.5,I,0,1,0,0
23,13.375,64.0,4.0,0.25,12.0,13.5,I,0,1,0,0
24,13.625,65.0,5.0,0.25,13.5,13.75,IV,5,4,0,5
25,13.875,60.0,0.0,0.125,13.75,14.0,iii,4,3,0,4
26,14.0,60.0,0.0,0.125,13.75,14.0,iii,4,3,0,4
27,14.125,60.0,0.0,0.125,14.0,15.5,I,0,1,0,0
28,14.25,62.0,2.0,0.25,14.0,15.5,I,0,1,0,0
29,14.5,64.0,4.0,0.5,14.0,15.5,I,0,1,0,0
30,15.0,62.0,2.0,0.25,14.0,15.5,I,0,1,0,0
31,15.25,64.0,4.0,0.25,14.0,15.5,I,0,1,0,0
32,15.5,62.0,2.0,0.25,14.0,15.5,I,0,1,0,0
33,15.75,64.0,4.0,0.125,15.5,15.75,IV,5,4,0,5
34,15.875,62.0,2.0,0.125,15.75,16.0,iii,4,3,0,4
35,16.0,62.0,2.0,1.5,15.75,16.0,iii,4,3,0,4
36,17.5,62.0,2.0,0.25,16.0,18.0,V,7,5,0,7
37,17.75,62.0,2.0,0.25,16.0,18.0,V,7,5,0,7
38,18.0,60.0,0.0,0.75,16.0,18.0,V,7,5,0,7
39,18.75,57.0,9.0,0.25,18.0,19.0,IV,5,4,0,5
40,19.0,64.0,4.0,0.375,18.0,19.0,IV,5,4,0,5
41,19.375,60.0,0.0,0.375,19.0,19.5,iii,4,3,0,4
42,19.75,60.0,0.0,0.25,19.5,20.0,ii,2,2,0,2
43,20.0,60.0,0.0,2.125,19.5,20.0,ii,2,2,0,2
44,22.125,60.0,0.0,0.25,22.0,23.0,I,0,1,0,0
45,22.375,60.0,0.0,0.25,22.0,23.0,I,0,1,0,0
46,22.625,55.0,7.0,0.125,22.0,23.0,I,0,1,0,0
47,22.75,64.0,4.0,0.125,22.0,23.0,I,0,1,0,0
48,22.875,62.0,2.0,1.125,22.0,23.0,I,0,1,0,0
49,24.0,60.0,0.0,0.25,23.0,24.0,V,7,5,0,7
50,24.25,60.0,0.0,0.125,24.0,25.5,I,0,1,0,0
51,24.375,60.0,0.0,0.25,24.0,25.5,I,0,1,0,0
52,24.625,60.0,0.0,0.25,24.0,25.5,I,0,1,0,0
53,24.875,60.0,0.0,0.125,24.0,25.5,I,0,1,0,0
54,25.0,60.0,0.0,0.375,24.0,25.5,I,0,1,0,0
55,25.375,65.0,5.0,0.25,24.0,25.5,I,0,1,0,0
56,25.625,60.0,0.0,0.25,25.5,25.75,IV,5,4,0,5
57,25.875,60.0,0.0,0.125,25.75,26.0,iii,4,3,0,4
58,26.0,60.0,0.0,0.125,25.75,26.0,iii,4,3,0,4
59,26.125,60.0,0.0,0.125,26.0,27.5,I,0,1,0,0
60,26.25,60.0,0.0,0.25,26.0,27.5,I,0,1,0,0
61,26.5,60.0,0.0,0.375,26.0,27.5,I,0,1,0,0
62,26.875,60.0,0.0,0.125,26.0,27.5,I,0,1,0,0
63,27.0,60.0,0.0,0.375,26.0,27.5,I,0,1,0,0
64,27.375,65.0,5.0,0.25,26.0,27.5,I,0,1,0,0
65,27.625,60.0,0.0,0.25,27.5,27.75,IV,5,4,0,5
66,27.875,60.0,0.0,0.125,27.75,28.0,iii,4,3,0,4
67,28.0,60.0,0.0,0.125,27.75,28.0,iii,4,3,0,4
68,28.125,60.0,0.0,0.125,28.0,29.5,I,0,1,0,0
69,28.25,60.0,0.0,0.25,28.0,29.5,I,0,1,0,0
70,28.5,60.0,0.0,0.25,28.0,29.5,I,0,1,0,0
71,28.75,60.0,0.0,0.125,28.0,29.5,I,0,1,0,0
72,28.875,60.0,0.0,0.125,28.0,29.5,I,0,1,0,0
73,29.0,60.0,0.0,0.125,28.0,29.5,I,0,1,0,0
74,29.125,60.0,0.0,0.25,28.0,29.5,I,0,1,0,0
75,29.375,65.0,5.0,0.25,28.0,29.5,I,0,1,0,0
76,29.625,60.0,0.0,0.25,29.5,29.75,IV,5,4,0,5
77,29.875,60.0,0.0,0.125,29.75,30.0,iii,4,3,0,4
78,30.0,60.0,0.0,0.25,29.75,30.0,iii,4,3,0,4
79,30.25,60.0,0.0,0.125,30.0,31.5,I,0,1,0,0
80,30.375,60.0,0.0,0.25,30.0,31.5,I,0,1,0,0
81,30.625,60.0,0.0,0.25,30.0,31.5,I,0,1,0,0
82,30.875,60.0,0.0,0.125,30.0,31.5,I,0,1,0,0
83,31.0,64.0,4.0,0.25,30.0,31.5,I,0,1,0,0
84,31.25,64.0,4.0,0.25,30.0,31.5,I,0,1,0,0
85,31.5,64.0,4.0,0.25,30.0,31.5,I,0,1,0,0
86,31.75,64.0,4.0,0.25,31.5,31.75,IV,5,4,0,5
87,32.0,64.0,4.0,0.125,31.75,32.0,iii,4,3,0,4
88,32.125,62.0,2.0,0.125,32.0,34.0,V,7,5,0,7
89,32.25,64.0,4.0,1.125,32.0,34.0,V,7,5,0,7
90,33.375,62.0,2.0,0.125,32.0,34.0,V,7,5,0,7
91,33.5,62.0,2.0,0.25,32.0,34.0,V,7,5,0,7
92,33.75,62.0,2.0,0.25,32.0,34.0,V,7,5,0,7
93,34.0,65.0,5.0,1.0,32.0,34.0,V,7,5,0,7
94,35.0,64.0,4.0,0.375,34.0,35.0,IV,5,4,0,5
95,35.375,60.0,0.0,0.375,35.0,35.5,iii,4,3,0,4
96,35.75,60.0,0.0,0.25,35.5,36.0,ii,2,2,0,2
97,36.0,60.0,0.0,2.5,35.5,36.0,ii,2,2,0,2
98,38.5,63.0,3.0,0.125,38.0,40.0,I,0,1,0,0
99,38.625,63.0,3.0,0.25,38.0,40.0,I,0,1,0,0
100,38.875,65.0,5.0,0.125,38.0,40.0,I,0,1,0,0
101,39.0,62.0,2.0,0.125,38.0,40.0,I,0,1,0,0
102,39.125,64.0,4.0,11.75,38.0,40.0,I,0,1,0,0
103,50.875,59.0,11.0,0.125,47.0,51.0,V,7,5,0,7
104,51.0,60.0,0.0,0.125,47.0,51.0,V,7,5,0,7
105,51.125,60.0,0.0,0.25,51.0,52.5,I,0,1,0,0
106,51.375,60.0,0.0,0.25,51.0,52.5,I,0,1,0,0
107,51.625,60.0,0.0,0.375,51.0,52.5,I,0,1,0,0
108,52.0,60.0,0.0,0.125,51.0,52.5,I,0,1,0,0
109,52.125,60.0,0.0,0.125,51.0,52.5,I,0,1,0,0
