,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,14.25,62.0,7.0,0.125,2.0,18.0,i,0,1,7,7
1,14.375,62.0,7.0,0.125,2.0,18.0,i,0,1,7,7
2,14.5,62.0,7.0,0.125,2.0,18.0,i,0,1,7,7
3,14.625,60.0,5.0,0.125,2.0,18.0,i,0,1,7,7
4,14.75,58.0,3.0,0.125,2.0,18.0,i,0,1,7,7
5,14.875,60.0,5.0,0.125,2.0,18.0,i,0,1,7,7
6,15.0,58.0,3.0,0.125,2.0,18.0,i,0,1,7,7
7,15.125,62.0,7.0,0.25,2.0,18.0,i,0,1,7,7
8,15.375,60.0,5.0,0.0630000000000006,2.0,18.0,i,0,1,7,7
9,15.438,58.0,3.0,0.0619999999999993,2.0,18.0,i,0,1,7,7
10,15.5,60.0,5.0,0.125,2.0,18.0,i,0,1,7,7
11,15.625,58.0,3.0,0.125,2.0,18.0,i,0,1,7,7
12,15.75,62.0,7.0,0.5,2.0,18.0,i,0,1,7,7
13,16.25,62.0,7.0,0.125,2.0,18.0,i,0,1,7,7
14,16.375,62.0,7.0,0.125,2.0,18.0,i,0,1,7,7
15,16.5,62.0,7.0,0.125,2.0,18.0,i,0,1,7,7
16,16.625,60.0,5.0,0.125,2.0,18.0,i,0,1,7,7
17,16.75,58.0,3.0,0.125,2.0,18.0,i,0,1,7,7
18,16.875,60.0,5.0,0.125,2.0,18.0,i,0,1,7,7
19,17.0,58.0,3.0,0.125,2.0,18.0,i,0,1,7,7
20,17.125,62.0,7.0,0.25,2.0,18.0,i,0,1,7,7
21,17.375,60.0,5.0,0.25,2.0,18.0,i,0,1,7,7
22,17.625,58.0,3.0,0.125,2.0,18.0,i,0,1,7,7
23,17.75,57.0,2.0,0.125,2.0,18.0,i,0,1,7,7
24,17.875,55.0,0.0,0.875,2.0,18.0,i,0,1,7,7
25,18.75,55.0,0.0,0.0620000000000011,18.0,20.0,iv,5,4,7,0
26,18.812,58.0,3.0,0.0629999999999988,18.0,20.0,iv,5,4,7,0
27,18.875,57.0,2.0,0.0629999999999988,18.0,20.0,iv,5,4,7,0
28,18.938,55.0,0.0,0.3120000000000011,18.0,20.0,iv,5,4,7,0
29,19.25,55.0,0.0,0.0620000000000011,18.0,20.0,iv,5,4,7,0
30,19.312,58.0,3.0,0.0629999999999988,18.0,20.0,iv,5,4,7,0
31,19.375,57.0,2.0,0.0629999999999988,18.0,20.0,iv,5,4,7,0
32,19.438,55.0,0.0,0.3120000000000011,18.0,20.0,iv,5,4,7,0
33,19.75,55.0,0.0,0.0620000000000011,18.0,20.0,iv,5,4,7,0
34,19.812,57.0,2.0,0.0629999999999988,18.0,20.0,iv,5,4,7,0
35,19.875,55.0,0.0,1.25,18.0,20.0,iv,5,4,7,0
36,21.125,55.0,0.0,0.125,20.0,22.0,i,0,1,7,7
37,21.25,58.0,3.0,0.125,20.0,22.0,i,0,1,7,7
38,21.375,60.0,5.0,0.25,20.0,22.0,i,0,1,7,7
39,21.625,58.0,3.0,0.125,20.0,22.0,i,0,1,7,7
40,21.75,57.0,2.0,0.125,20.0,22.0,i,0,1,7,7
41,21.875,55.0,0.0,0.875,20.0,22.0,i,0,1,7,7
42,22.75,55.0,0.0,0.0620000000000011,22.0,24.0,iv,5,4,7,0
43,22.812,58.0,3.0,0.0629999999999988,22.0,24.0,iv,5,4,7,0
44,22.875,57.0,2.0,0.0629999999999988,22.0,24.0,iv,5,4,7,0
45,22.938,55.0,0.0,0.3120000000000011,22.0,24.0,iv,5,4,7,0
46,23.25,55.0,0.0,0.0620000000000011,22.0,24.0,iv,5,4,7,0
47,23.312,58.0,3.0,0.0629999999999988,22.0,24.0,iv,5,4,7,0
48,23.375,57.0,2.0,0.0629999999999988,22.0,24.0,iv,5,4,7,0
49,23.438,55.0,0.0,0.3120000000000011,22.0,24.0,iv,5,4,7,0
50,23.75,55.0,0.0,0.0620000000000011,22.0,24.0,iv,5,4,7,0
51,23.812,57.0,2.0,0.0629999999999988,22.0,24.0,iv,5,4,7,0
52,23.875,55.0,0.0,2.25,22.0,24.0,iv,5,4,7,0
53,26.125,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
54,26.25,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
55,26.375,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
56,26.5,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
57,26.625,60.0,5.0,0.125,24.0,30.0,i,0,1,7,7
58,26.75,58.0,3.0,0.125,24.0,30.0,i,0,1,7,7
59,26.875,60.0,5.0,0.125,24.0,30.0,i,0,1,7,7
60,27.0,58.0,3.0,0.125,24.0,30.0,i,0,1,7,7
61,27.125,62.0,7.0,0.25,24.0,30.0,i,0,1,7,7
62,27.375,60.0,5.0,0.0629999999999988,24.0,30.0,i,0,1,7,7
63,27.438,58.0,3.0,0.0620000000000011,24.0,30.0,i,0,1,7,7
64,27.5,60.0,5.0,0.125,24.0,30.0,i,0,1,7,7
65,27.625,58.0,3.0,0.125,24.0,30.0,i,0,1,7,7
66,27.75,62.0,7.0,0.375,24.0,30.0,i,0,1,7,7
67,28.125,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
68,28.25,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
69,28.375,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
70,28.5,62.0,7.0,0.125,24.0,30.0,i,0,1,7,7
71,28.625,60.0,5.0,0.125,24.0,30.0,i,0,1,7,7
72,28.75,58.0,3.0,0.125,24.0,30.0,i,0,1,7,7
73,28.875,60.0,5.0,0.125,24.0,30.0,i,0,1,7,7
74,29.0,58.0,3.0,0.125,24.0,30.0,i,0,1,7,7
75,29.125,62.0,7.0,0.25,24.0,30.0,i,0,1,7,7
76,29.375,60.0,5.0,0.25,24.0,30.0,i,0,1,7,7
77,29.625,58.0,3.0,0.125,24.0,30.0,i,0,1,7,7
