,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,16.0,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
1,16.5,64.0,7.0,0.75,15.0,25.0,I,0,1,9,9
2,17.25,64.0,7.0,0.25,15.0,25.0,I,0,1,9,9
3,17.5,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
4,18.0,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
5,18.5,64.0,7.0,0.75,15.0,25.0,I,0,1,9,9
6,19.25,64.0,7.0,0.25,15.0,25.0,I,0,1,9,9
7,19.5,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
8,20.0,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
9,20.5,64.0,7.0,0.75,15.0,25.0,I,0,1,9,9
10,21.25,64.0,7.0,0.25,15.0,25.0,I,0,1,9,9
11,21.5,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
12,22.0,64.0,7.0,0.5,15.0,25.0,I,0,1,9,9
13,22.5,64.0,7.0,0.75,15.0,25.0,I,0,1,9,9
14,23.25,64.0,7.0,0.25,15.0,25.0,I,0,1,9,9
15,23.5,64.0,7.0,0.375,15.0,25.0,I,0,1,9,9
16,23.875,61.0,4.0,0.125,15.0,25.0,I,0,1,9,9
17,24.0,64.0,7.0,0.125,15.0,25.0,I,0,1,9,9
18,24.125,64.0,7.0,0.125,15.0,25.0,I,0,1,9,9
19,24.25,64.0,7.0,0.125,15.0,25.0,I,0,1,9,9
20,24.375,64.0,7.0,0.125,15.0,25.0,I,0,1,9,9
21,24.5,61.0,4.0,0.25,15.0,25.0,I,0,1,9,9
22,24.75,64.0,7.0,1.125,15.0,25.0,I,0,1,9,9
23,25.875,61.0,4.0,0.125,25.5,26.0,V,7,5,9,4
24,26.0,64.0,7.0,0.125,25.5,26.0,V,7,5,9,4
25,26.125,64.0,7.0,0.125,26.0,27.0,I,0,1,9,9
26,26.25,64.0,7.0,0.125,26.0,27.0,I,0,1,9,9
27,26.375,64.0,7.0,0.125,26.0,27.0,I,0,1,9,9
28,26.5,61.0,4.0,0.25,26.0,27.0,I,0,1,9,9
29,26.75,64.0,7.0,1.125,26.0,27.0,I,0,1,9,9
30,27.875,61.0,4.0,0.125,27.5,28.0,V,7,5,9,4
31,28.0,64.0,7.0,0.125,27.5,28.0,V,7,5,9,4
32,28.125,64.0,7.0,0.125,28.0,29.0,I,0,1,9,9
33,28.25,64.0,7.0,0.125,28.0,29.0,I,0,1,9,9
34,28.375,61.0,4.0,0.125,28.0,29.0,I,0,1,9,9
35,28.5,61.0,4.0,0.25,28.0,29.0,I,0,1,9,9
36,28.75,57.0,0.0,0.75,28.0,29.0,I,0,1,9,9
37,29.5,64.0,7.0,0.25,29.0,29.5,IV,5,4,9,2
38,29.75,64.0,7.0,0.25,29.5,30.0,V,7,5,9,4
39,30.0,61.0,4.0,1.875,29.5,30.0,V,7,5,9,4
40,31.875,61.0,4.0,0.125,31.0,33.0,I,0,1,9,9
41,32.0,64.0,7.0,0.125,31.0,33.0,I,0,1,9,9
42,32.125,64.0,7.0,0.125,31.0,33.0,I,0,1,9,9
43,32.25,64.0,7.0,0.125,31.0,33.0,I,0,1,9,9
44,32.375,64.0,7.0,0.125,31.0,33.0,I,0,1,9,9
45,32.5,61.0,4.0,0.25,31.0,33.0,I,0,1,9,9
46,32.75,64.0,7.0,1.125,31.0,33.0,I,0,1,9,9
47,33.875,61.0,4.0,0.125,33.5,34.0,V,7,5,9,4
48,34.0,64.0,7.0,0.125,33.5,34.0,V,7,5,9,4
49,34.125,64.0,7.0,0.125,34.0,35.0,I,0,1,9,9
50,34.25,64.0,7.0,0.25,34.0,35.0,I,0,1,9,9
51,34.5,61.0,4.0,0.25,34.0,35.0,I,0,1,9,9
52,34.75,64.0,7.0,1.125,34.0,35.0,I,0,1,9,9
53,35.875,61.0,4.0,0.125,35.5,36.0,V,7,5,9,4
54,36.0,64.0,7.0,0.25,35.5,36.0,V,7,5,9,4
55,36.25,64.0,7.0,0.125,36.0,37.0,I,0,1,9,9
56,36.375,61.0,4.0,0.125,36.0,37.0,I,0,1,9,9
57,36.5,61.0,4.0,0.25,36.0,37.0,I,0,1,9,9
58,36.75,57.0,0.0,0.75,36.0,37.0,I,0,1,9,9
59,37.5,64.0,7.0,0.25,37.0,37.5,IV,5,4,9,2
60,37.75,64.0,7.0,0.25,37.5,38.0,V,7,5,9,4
61,38.0,61.0,4.0,2.0,37.5,38.0,V,7,5,9,4
62,40.0,62.0,5.0,0.5,39.0,40.0,I,0,1,9,9
63,40.5,62.0,5.0,0.75,40.0,42.0,IV,5,4,9,2
64,41.25,62.0,5.0,0.25,40.0,42.0,IV,5,4,9,2
65,41.5,62.0,5.0,0.375,40.0,42.0,IV,5,4,9,2
66,41.875,61.0,4.0,0.125,40.0,42.0,IV,5,4,9,2
67,42.0,64.0,7.0,0.125,40.0,42.0,IV,5,4,9,2
68,42.125,64.0,7.0,0.125,42.0,43.0,I,0,1,9,9
69,42.25,64.0,7.0,0.125,42.0,43.0,I,0,1,9,9
70,42.375,62.0,5.0,0.125,42.0,43.0,I,0,1,9,9
71,42.5,61.0,4.0,0.25,42.0,43.0,I,0,1,9,9
72,42.75,57.0,0.0,1.25,42.0,43.0,I,0,1,9,9
73,44.0,62.0,5.0,0.25,43.5,44.0,I,0,1,9,9
74,44.25,62.0,5.0,0.25,44.0,46.0,IV,5,4,9,2
75,44.5,62.0,5.0,0.5,44.0,46.0,IV,5,4,9,2
76,45.0,62.0,5.0,0.125,44.0,46.0,IV,5,4,9,2
77,45.125,62.0,5.0,0.25,44.0,46.0,IV,5,4,9,2
78,45.375,62.0,5.0,0.5,44.0,46.0,IV,5,4,9,2
79,45.875,59.0,2.0,0.125,44.0,46.0,IV,5,4,9,2
80,46.0,59.0,2.0,0.25,44.0,46.0,IV,5,4,9,2
81,46.25,59.0,2.0,0.25,46.0,47.0,ii,2,2,9,11
82,46.5,59.0,2.0,0.25,46.0,47.0,ii,2,2,9,11
83,46.75,59.0,2.0,0.25,46.0,47.0,ii,2,2,9,11
84,47.0,62.0,5.0,0.125,46.0,47.0,ii,2,2,9,11
85,47.125,62.0,5.0,0.125,47.0,47.5,IV,5,4,9,2
