,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,0.0,65.0,7.0,0.125,0.0,1.0,vi,9,6,10,7
1,0.125,65.0,7.0,0.125,0.0,1.0,vi,9,6,10,7
2,0.25,65.0,7.0,0.125,0.0,1.0,vi,9,6,10,7
3,0.375,65.0,7.0,0.25,0.0,1.0,vi,9,6,10,7
4,0.625,65.0,7.0,0.375,0.0,1.0,vi,9,6,10,7
5,1.0,64.0,6.0,0.125,0.0,1.0,vi,9,6,10,7
6,1.125,64.0,6.0,0.125,1.0,2.0,V7/V,2,2,10,0
7,1.25,65.0,7.0,0.125,1.0,2.0,V7/V,2,2,10,0
8,1.375,64.0,6.0,0.125,1.0,2.0,V7/V,2,2,10,0
9,1.5,62.0,4.0,0.062,1.0,2.0,V7/V,2,2,10,0
10,1.562,60.0,2.0,0.4379999999999999,1.0,2.0,V7/V,2,2,10,0
11,2.0,63.0,5.0,0.125,1.0,2.0,V7/V,2,2,10,0
12,2.125,63.0,5.0,0.125,2.0,3.0,V7,7,5,10,5
13,2.25,63.0,5.0,0.125,2.0,3.0,V7,7,5,10,5
14,2.375,63.0,5.0,0.25,2.0,3.0,V7,7,5,10,5
15,2.625,53.0,7.0,0.125,2.0,3.0,V7,7,5,10,5
16,2.75,53.0,7.0,0.125,2.0,3.0,V7,7,5,10,5
17,2.875,53.0,7.0,0.125,2.0,3.0,V7,7,5,10,5
18,3.0,62.0,4.0,0.125,2.0,3.0,V7,7,5,10,5
19,3.125,62.0,4.0,0.125,3.0,4.0,I,0,1,10,10
20,3.25,63.0,5.0,0.125,3.0,4.0,I,0,1,10,10
21,3.375,62.0,4.0,0.125,3.0,4.0,I,0,1,10,10
22,3.5,60.0,2.0,0.125,3.0,4.0,I,0,1,10,10
23,3.625,58.0,0.0,0.375,3.0,4.0,I,0,1,10,10
24,4.0,62.0,4.0,0.125,3.0,4.0,I,0,1,10,10
25,4.125,62.0,4.0,0.125,4.0,5.0,vi,9,6,10,7
26,4.25,62.0,4.0,0.125,4.0,5.0,vi,9,6,10,7
27,4.375,62.0,4.0,0.5,4.0,5.0,vi,9,6,10,7
28,4.875,62.0,4.0,0.125,4.0,5.0,vi,9,6,10,7
29,5.0,62.0,11.0,0.125,4.0,5.0,vi,9,6,10,7
30,5.125,62.0,11.0,0.125,5.0,7.0,V7/IV,0,1,10,10
31,5.25,63.0,0.0,0.125,5.0,7.0,V7/IV,0,1,10,10
32,5.375,63.0,0.0,0.0629999999999997,5.0,7.0,V7/IV,0,1,10,10
33,5.438,65.0,2.0,0.1870000000000002,5.0,7.0,V7/IV,0,1,10,10
34,5.625,58.0,7.0,0.25,5.0,7.0,V7/IV,0,1,10,10
35,5.875,67.0,4.0,1.125,5.0,7.0,V7/IV,0,1,10,10
36,7.0,67.0,4.0,0.125,5.0,7.0,V7/IV,0,1,10,10
37,7.125,67.0,4.0,0.125,7.0,8.0,ii,2,2,10,0
38,7.25,67.0,4.0,0.125,7.0,8.0,ii,2,2,10,0
39,7.375,65.0,2.0,0.0629999999999997,7.0,8.0,ii,2,2,10,0
40,7.438,67.0,4.0,0.1870000000000002,7.0,8.0,ii,2,2,10,0
41,7.625,65.0,2.0,0.0629999999999997,7.0,8.0,ii,2,2,10,0
42,7.688,67.0,4.0,0.3120000000000003,7.0,8.0,ii,2,2,10,0
43,8.0,65.0,2.0,0.125,7.0,8.0,ii,2,2,10,0
44,8.125,65.0,2.0,0.125,8.0,9.0,V7,7,5,10,5
45,8.25,67.0,4.0,0.125,8.0,9.0,V7,7,5,10,5
46,8.375,65.0,2.0,0.125,8.0,9.0,V7,7,5,10,5
47,8.5,63.0,0.0,0.0619999999999993,8.0,9.0,V7,7,5,10,5
48,8.562,60.0,9.0,0.0630000000000006,8.0,9.0,V7,7,5,10,5
49,8.625,55.0,4.0,0.125,8.0,9.0,V7,7,5,10,5
50,8.75,56.0,5.0,0.125,8.0,9.0,V7,7,5,10,5
51,8.875,58.0,7.0,0.125,8.0,9.0,V7,7,5,10,5
52,9.0,63.0,0.0,0.125,8.0,9.0,V7,7,5,10,5
53,9.125,63.0,0.0,0.125,9.0,11.0,V/IV,0,1,10,10
54,9.25,62.0,11.0,0.25,9.0,11.0,V/IV,0,1,10,10
55,9.5,61.0,10.0,0.125,9.0,11.0,V/IV,0,1,10,10
56,9.625,61.0,10.0,0.125,9.0,11.0,V/IV,0,1,10,10
57,9.75,62.0,11.0,0.25,9.0,11.0,V/IV,0,1,10,10
58,10.0,63.0,0.0,0.125,9.0,11.0,V/IV,0,1,10,10
59,10.125,63.0,0.0,0.125,9.0,11.0,V/IV,0,1,10,10
60,10.25,62.0,11.0,0.25,9.0,11.0,V/IV,0,1,10,10
61,10.5,61.0,10.0,0.125,9.0,11.0,V/IV,0,1,10,10
62,10.625,61.0,10.0,0.125,9.0,11.0,V/IV,0,1,10,10
63,10.75,62.0,11.0,0.25,9.0,11.0,V/IV,0,1,10,10
64,11.0,67.0,9.0,0.125,9.0,11.0,V/IV,0,1,10,10
65,11.125,67.0,9.0,0.125,11.0,11.5,IV,5,4,10,3
66,11.25,67.0,9.0,0.125,11.0,11.5,IV,5,4,10,3
67,11.375,67.0,9.0,0.125,11.0,11.5,IV,5,4,10,3
68,11.5,65.0,7.0,0.25,11.0,11.5,IV,5,4,10,3
69,11.75,70.0,0.0,0.25,11.5,12.0,I6,0,1,10,10
70,12.0,64.0,6.0,0.125,11.5,12.0,I6,0,1,10,10
71,12.125,64.0,6.0,0.125,12.0,12.5,viix42/V,6,4,10,4
72,12.25,64.0,6.0,0.125,12.0,12.5,viix42/V,6,4,10,4
73,12.375,65.0,7.0,0.125,12.0,12.5,viix42/V,6,4,10,4
74,12.5,65.0,7.0,0.125,12.0,12.5,viix42/V,6,4,10,4
75,12.625,53.0,7.0,0.125,12.5,14.0,V43,7,5,10,5
76,12.75,53.0,7.0,0.125,12.5,14.0,V43,7,5,10,5
77,12.875,57.0,11.0,0.125,12.5,14.0,V43,7,5,10,5
78,13.0,60.0,2.0,0.75,12.5,14.0,V43,7,5,10,5
79,13.75,57.0,11.0,0.125,12.5,14.0,V43,7,5,10,5
80,13.875,58.0,0.0,0.125,12.5,14.0,V43,7,5,10,5
81,14.0,58.0,0.0,2.0,12.5,14.0,V43,7,5,10,5
82,16.0,62.0,4.0,0.0940000000000012,14.0,17.0,I,0,1,10,10
83,16.094,60.0,2.0,0.0309999999999988,14.0,17.0,I,0,1,10,10
84,16.125,62.0,4.0,0.75,14.0,17.0,I,0,1,10,10
85,16.875,58.0,0.0,0.125,14.0,17.0,I,0,1,10,10
86,17.0,60.0,2.0,0.125,14.0,17.0,I,0,1,10,10
87,17.125,62.0,4.0,0.0629999999999988,17.0,18.0,vi,9,6,10,7
88,17.188,62.0,4.0,0.6870000000000012,17.0,18.0,vi,9,6,10,7
89,17.875,62.0,4.0,0.0629999999999988,17.0,18.0,vi,9,6,10,7
90,17.938,62.0,4.0,0.0620000000000011,17.0,18.0,vi,9,6,10,7
91,18.0,63.0,5.0,0.0620000000000011,17.0,18.0,vi,9,6,10,7
92,18.062,65.0,7.0,0.1259999999999976,18.0,19.5,ii,2,2,10,0
93,18.188,63.0,5.0,0.1240000000000023,18.0,19.5,ii,2,2,10,0
94,18.312,62.0,4.0,0.1259999999999976,18.0,19.5,ii,2,2,10,0
95,18.438,60.0,2.0,0.3120000000000011,18.0,19.5,ii,2,2,10,0
96,18.75,60.0,2.0,0.125,18.0,19.5,ii,2,2,10,0
97,18.875,62.0,4.0,0.125,18.0,19.5,ii,2,2,10,0
98,19.0,63.0,5.0,0.0620000000000011,18.0,19.5,ii,2,2,10,0
99,19.062,65.0,7.0,0.1259999999999976,18.0,19.5,ii,2,2,10,0
100,19.188,63.0,5.0,0.1240000000000023,18.0,19.5,ii,2,2,10,0
101,19.312,62.0,4.0,0.1259999999999976,18.0,19.5,ii,2,2,10,0
102,19.438,60.0,2.0,0.5620000000000012,18.0,19.5,ii,2,2,10,0
103,20.0,62.0,4.0,0.0940000000000012,19.5,20.0,V,7,5,10,5
104,20.094,60.0,2.0,0.0309999999999988,20.0,21.0,I,0,1,10,10
105,20.125,62.0,4.0,0.625,20.0,21.0,I,0,1,10,10
106,20.75,62.0,4.0,0.125,20.0,21.0,I,0,1,10,10
107,20.875,65.0,7.0,0.125,20.0,21.0,I,0,1,10,10
108,21.0,69.0,11.0,0.1879999999999988,20.0,21.0,I,0,1,10,10
109,21.188,67.0,9.0,0.0620000000000011,21.0,22.0,vi,9,6,10,7
110,21.25,67.0,9.0,0.625,21.0,22.0,vi,9,6,10,7
111,21.875,67.0,9.0,0.125,21.0,22.0,vi,9,6,10,7
112,22.0,70.0,0.0,0.125,21.0,22.0,vi,9,6,10,7
113,22.125,70.0,0.0,0.125,22.0,23.0,ii,2,2,10,0
114,22.25,70.0,0.0,0.125,22.0,23.0,ii,2,2,10,0
115,22.375,70.0,0.0,0.125,22.0,23.0,ii,2,2,10,0
116,22.5,70.0,0.0,0.1879999999999988,22.0,23.0,ii,2,2,10,0
117,22.688,67.0,9.0,0.0620000000000011,22.0,23.0,ii,2,2,10,0
118,22.75,63.0,5.0,0.0620000000000011,22.0,23.0,ii,2,2,10,0
119,22.812,62.0,4.0,0.25,22.0,23.0,ii,2,2,10,0
120,23.062,60.0,2.0,0.0629999999999988,23.0,24.0,V6,7,5,10,5
121,23.125,60.0,2.0,0.875,23.0,24.0,V6,7,5,10,5
122,24.0,67.0,4.0,0.0940000000000012,23.0,24.0,V6,7,5,10,5
123,24.094,65.0,2.0,0.0309999999999988,24.0,25.0,I,0,1,3,3
124,24.125,67.0,4.0,0.625,24.0,25.0,I,0,1,3,3
125,24.75,65.0,2.0,0.125,24.0,25.0,I,0,1,3,3
126,24.875,67.0,4.0,0.0629999999999988,24.0,25.0,I,0,1,3,3
127,24.938,68.0,5.0,0.0620000000000011,24.0,25.0,I,0,1,3,3
128,25.0,67.0,4.0,0.875,24.0,25.0,I,0,1,3,3
129,25.875,67.0,4.0,0.0629999999999988,25.0,26.0,vi,9,6,3,0
130,25.938,67.0,4.0,0.0620000000000011,25.0,26.0,vi,9,6,3,0
131,26.0,68.0,5.0,0.1879999999999988,25.0,26.0,vi,9,6,3,0
132,26.188,67.0,4.0,0.0620000000000011,26.0,27.0,ii,2,2,3,5
133,26.25,67.0,4.0,0.125,26.0,27.0,ii,2,2,3,5
134,26.375,65.0,2.0,0.125,26.0,27.0,ii,2,2,3,5
135,26.5,65.0,2.0,0.4379999999999988,26.0,27.0,ii,2,2,3,5
136,26.938,58.0,7.0,0.0620000000000011,26.0,27.0,ii,2,2,3,5
137,27.0,58.0,7.0,0.125,26.0,27.0,ii,2,2,3,5
138,27.125,65.0,2.0,0.125,27.0,28.0,V,7,5,3,10
139,27.25,65.0,2.0,0.125,27.0,28.0,V,7,5,3,10
140,27.375,67.0,4.0,0.0629999999999988,27.0,28.0,V,7,5,3,10
141,27.438,67.0,4.0,0.1870000000000011,27.0,28.0,V,7,5,3,10
142,27.625,68.0,5.0,0.125,27.0,28.0,V,7,5,3,10
143,27.75,68.0,5.0,0.125,27.0,28.0,V,7,5,3,10
144,27.875,70.0,7.0,0.125,27.0,28.0,V,7,5,3,10
145,28.0,68.0,5.0,0.0620000000000011,27.0,28.0,V,7,5,3,10
146,28.062,67.0,4.0,0.0629999999999988,28.0,28.5,I,0,1,3,3
147,28.125,67.0,4.0,0.25,28.0,28.5,I,0,1,3,3
148,28.375,65.0,2.0,0.0629999999999988,28.0,28.5,I,0,1,3,3
149,28.438,67.0,4.0,0.0620000000000011,28.0,28.5,I,0,1,3,3
150,28.5,70.0,7.0,0.375,28.0,28.5,I,0,1,3,3
151,28.875,65.0,2.0,0.0629999999999988,28.5,29.0,V6,7,5,3,10
152,28.938,67.0,4.0,0.0620000000000011,28.5,29.0,V6,7,5,3,10
153,29.0,63.0,0.0,0.375,28.5,29.0,V6,7,5,3,10
154,29.375,58.0,7.0,0.0629999999999988,29.0,29.5,vi,9,6,3,0
155,29.438,58.0,7.0,0.0620000000000011,29.0,29.5,vi,9,6,3,0
156,29.5,59.0,8.0,0.0620000000000011,29.0,29.5,vi,9,6,3,0
157,29.562,61.0,10.0,0.1259999999999976,29.5,30.0,iv,5,4,3,8
158,29.688,59.0,8.0,0.0620000000000011,29.5,30.0,iv,5,4,3,8
159,29.75,61.0,10.0,0.125,29.5,30.0,iv,5,4,3,8
160,29.875,58.0,7.0,0.125,29.5,30.0,iv,5,4,3,8
161,30.0,58.0,7.0,4.0,29.5,30.0,iv,5,4,3,8
162,34.0,62.0,4.0,0.125,32.0,35.0,I,0,1,10,10
163,34.125,60.0,2.0,0.0309999999999988,32.0,35.0,I,0,1,10,10
164,34.156,62.0,4.0,0.7190000000000012,32.0,35.0,I,0,1,10,10
165,34.875,58.0,0.0,0.125,32.0,35.0,I,0,1,10,10
166,35.0,60.0,2.0,0.125,32.0,35.0,I,0,1,10,10
167,35.125,62.0,4.0,0.0630000000000023,35.0,36.0,vi,9,6,10,7
168,35.188,62.0,4.0,0.6869999999999976,35.0,36.0,vi,9,6,10,7
169,35.875,62.0,4.0,0.125,35.0,36.0,vi,9,6,10,7
170,36.0,63.0,5.0,0.0619999999999976,35.0,36.0,vi,9,6,10,7
171,36.062,65.0,7.0,0.1260000000000047,36.0,37.5,ii,2,2,10,0
172,36.188,63.0,5.0,0.1239999999999952,36.0,37.5,ii,2,2,10,0
173,36.312,62.0,4.0,0.1260000000000047,36.0,37.5,ii,2,2,10,0
174,36.438,60.0,2.0,0.3119999999999976,36.0,37.5,ii,2,2,10,0
175,36.75,60.0,2.0,0.0619999999999976,36.0,37.5,ii,2,2,10,0
176,36.812,62.0,4.0,0.1880000000000024,36.0,37.5,ii,2,2,10,0
177,37.0,63.0,5.0,0.0619999999999976,36.0,37.5,ii,2,2,10,0
178,37.062,65.0,7.0,0.0630000000000023,36.0,37.5,ii,2,2,10,0
179,37.125,63.0,5.0,0.125,36.0,37.5,ii,2,2,10,0
180,37.25,62.0,4.0,0.125,36.0,37.5,ii,2,2,10,0
181,37.375,62.0,4.0,0.0630000000000023,36.0,37.5,ii,2,2,10,0
182,37.438,60.0,2.0,0.5619999999999976,36.0,37.5,ii,2,2,10,0
183,38.0,62.0,4.0,0.0940000000000012,37.5,38.0,V,7,5,10,5
184,38.094,60.0,2.0,0.0309999999999988,38.0,39.0,I,0,1,10,10
185,38.125,62.0,4.0,0.25,38.0,39.0,I,0,1,10,10
186,38.375,60.0,2.0,0.0630000000000023,38.0,39.0,I,0,1,10,10
187,38.438,58.0,0.0,0.0619999999999976,38.0,39.0,I,0,1,10,10
188,38.5,60.0,2.0,0.0619999999999976,38.0,39.0,I,0,1,10,10
189,38.562,62.0,4.0,0.3130000000000024,38.0,39.0,I,0,1,10,10
190,38.875,65.0,7.0,0.125,38.0,39.0,I,0,1,10,10
191,39.0,69.0,11.0,0.1880000000000024,38.0,39.0,I,0,1,10,10
