,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,50.0,10.0,0.125,0.0,16.0,I,0,1,4,4
1,8.125,52.0,0.0,0.125,0.0,16.0,I,0,1,4,4
2,8.25,52.0,0.0,0.125,0.0,16.0,I,0,1,4,4
3,8.375,52.0,0.0,0.125,0.0,16.0,I,0,1,4,4
4,8.5,55.0,3.0,0.25,0.0,16.0,I,0,1,4,4
5,8.75,52.0,0.0,1.25,0.0,16.0,I,0,1,4,4
6,10.0,61.0,9.0,0.125,0.0,16.0,I,0,1,4,4
7,10.125,62.0,10.0,0.125,0.0,16.0,I,0,1,4,4
8,10.25,62.0,10.0,0.125,0.0,16.0,I,0,1,4,4
9,10.375,62.0,10.0,0.125,0.0,16.0,I,0,1,4,4
10,10.5,64.0,0.0,0.25,0.0,16.0,I,0,1,4,4
11,10.75,64.0,0.0,1.25,0.0,16.0,I,0,1,4,4
12,12.0,50.0,10.0,0.125,0.0,16.0,I,0,1,4,4
13,12.125,52.0,0.0,0.125,0.0,16.0,I,0,1,4,4
14,12.25,55.0,3.0,0.125,0.0,16.0,I,0,1,4,4
15,12.375,52.0,0.0,0.125,0.0,16.0,I,0,1,4,4
16,12.5,57.0,5.0,0.25,0.0,16.0,I,0,1,4,4
17,12.75,55.0,3.0,1.0,0.0,16.0,I,0,1,4,4
18,13.75,59.0,7.0,0.125,0.0,16.0,I,0,1,4,4
19,13.875,62.0,10.0,0.125,0.0,16.0,I,0,1,4,4
20,14.0,64.0,0.0,0.125,0.0,16.0,I,0,1,4,4
21,14.125,64.0,0.0,0.125,0.0,16.0,I,0,1,4,4
22,14.25,64.0,0.0,0.1880000000000006,0.0,16.0,I,0,1,4,4
23,14.438,64.0,0.0,0.1869999999999994,0.0,16.0,I,0,1,4,4
24,14.625,59.0,7.0,0.0630000000000006,0.0,16.0,I,0,1,4,4
25,14.688,57.0,5.0,0.0619999999999993,0.0,16.0,I,0,1,4,4
26,14.75,55.0,3.0,1.5,0.0,16.0,I,0,1,4,4
27,16.25,67.0,3.0,0.25,16.0,16.5,bIII,3,3,4,7
28,16.5,66.0,2.0,0.125,16.0,16.5,bIII,3,3,4,7
29,16.625,64.0,0.0,0.125,16.5,17.0,IV,5,4,4,9
30,16.75,64.0,0.0,0.125,16.5,17.0,IV,5,4,4,9
