,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.75,56.0,5.0,0.1879999999999997,7.0,8.0,IV64,5,4,3,8
1,7.938,56.0,5.0,0.3120000000000003,7.0,8.0,IV64,5,4,3,8
2,8.25,55.0,4.0,0.125,8.0,9.0,I,0,1,3,3
3,8.375,53.0,2.0,0.125,8.0,9.0,I,0,1,3,3
4,8.5,51.0,0.0,1.25,8.0,9.0,I,0,1,3,3
5,9.75,56.0,5.0,0.125,9.0,10.0,IV64,5,4,3,8
6,9.875,58.0,7.0,0.375,9.0,10.0,IV64,5,4,3,8
7,10.25,53.0,2.0,0.125,10.0,11.0,I,0,1,3,3
8,10.375,55.0,4.0,0.875,10.0,11.0,I,0,1,3,3
9,11.25,60.0,9.0,0.25,11.0,11.5,IV,5,4,3,8
10,11.5,61.0,10.0,0.25,11.0,11.5,IV,5,4,3,8
11,11.75,60.0,9.0,0.1880000000000006,11.5,11.75,bVII,10,7,3,1
12,11.938,58.0,7.0,0.8119999999999994,11.75,12.0,IV,5,4,3,8
13,12.75,63.0,0.0,0.125,12.0,13.0,I,0,1,3,3
14,12.875,60.0,9.0,0.875,12.0,13.0,I,0,1,3,3
15,13.75,60.0,9.0,0.125,13.0,14.0,ii7,2,2,3,5
16,13.875,60.0,9.0,0.125,13.0,14.0,ii7,2,2,3,5
17,14.0,58.0,7.0,0.125,13.0,14.0,ii7,2,2,3,5
18,14.125,55.0,4.0,0.0630000000000006,14.0,14.5,I,0,1,3,3
19,14.188,53.0,2.0,0.0619999999999993,14.0,14.5,I,0,1,3,3
20,14.25,51.0,0.0,0.75,14.0,14.5,I,0,1,3,3
21,15.0,63.0,0.0,1.25,14.5,15.0,IV,5,4,3,8
22,16.25,55.0,4.0,0.25,16.0,17.0,I,0,1,3,3
23,16.5,53.0,2.0,0.25,16.0,17.0,I,0,1,3,3
24,16.75,51.0,0.0,0.1879999999999988,16.0,17.0,I,0,1,3,3
25,16.938,53.0,2.0,0.9370000000000012,16.0,17.0,I,0,1,3,3
26,17.875,58.0,7.0,0.5,17.0,19.0,V7,7,5,3,10
27,18.375,58.0,7.0,0.25,17.0,19.0,V7,7,5,3,10
28,18.625,55.0,4.0,0.0629999999999988,17.0,19.0,V7,7,5,3,10
29,18.688,53.0,2.0,0.1870000000000011,17.0,19.0,V7,7,5,3,10
30,18.875,51.0,0.0,0.125,17.0,19.0,V7,7,5,3,10
31,19.0,51.0,0.0,0.1879999999999988,17.0,19.0,V7,7,5,3,10
32,19.188,53.0,2.0,0.0620000000000011,19.0,21.0,I,0,1,3,3
33,19.25,55.0,4.0,1.0,19.0,21.0,I,0,1,3,3
34,20.25,58.0,7.0,0.25,19.0,21.0,I,0,1,3,3
35,20.5,65.0,2.0,0.125,19.0,21.0,I,0,1,3,3
36,20.625,67.0,4.0,0.125,19.0,21.0,I,0,1,3,3
37,20.75,65.0,2.0,0.25,19.0,21.0,I,0,1,3,3
38,21.0,63.0,0.0,0.5,19.0,21.0,I,0,1,3,3
39,21.5,65.0,2.0,0.375,21.0,21.5,IV,5,4,3,8
40,21.875,65.0,2.0,0.625,21.5,22.0,V/V,2,2,3,5
41,22.5,65.0,2.0,0.125,22.0,22.5,V,7,5,3,10
42,22.625,67.0,4.0,0.125,22.5,22.75,I,0,1,3,3
43,22.75,65.0,2.0,0.25,22.5,22.75,I,0,1,3,3
44,23.0,63.0,0.0,0.5,22.75,23.0,V,7,5,3,10
45,23.5,62.0,11.0,0.25,23.0,23.75,IV,5,4,3,8
46,23.75,60.0,9.0,0.25,23.0,23.75,IV,5,4,3,8
47,24.0,60.0,9.0,0.1879999999999988,23.75,24.0,viix7/V,6,4,3,9
48,24.188,58.0,7.0,0.3120000000000011,24.0,24.5,I64,0,1,3,3
49,24.5,55.0,4.0,0.1879999999999988,24.0,24.5,I64,0,1,3,3
50,24.688,58.0,7.0,0.5620000000000012,24.5,25.0,V7/ii,9,6,3,0
51,25.25,60.0,9.0,0.125,25.0,25.5,IV,5,4,3,8
52,25.375,63.0,0.0,0.125,25.0,25.5,IV,5,4,3,8
53,25.5,65.0,2.0,0.25,25.0,25.5,IV,5,4,3,8
54,25.75,67.0,4.0,0.1879999999999988,25.5,26.0,viix7/vi,8,6,3,11
55,25.938,63.0,0.0,0.5620000000000012,25.5,26.0,viix7/vi,8,6,3,11
56,26.5,67.0,4.0,0.25,26.0,26.5,vi,9,6,3,0
57,26.75,65.0,2.0,0.0620000000000011,26.5,26.75,I,0,1,3,3
58,26.812,67.0,4.0,0.0629999999999988,26.75,27.0,V,7,5,3,10
59,26.875,65.0,2.0,0.0629999999999988,26.75,27.0,V,7,5,3,10
60,26.938,63.0,0.0,0.1870000000000011,26.75,27.0,V,7,5,3,10
61,27.125,63.0,0.0,0.375,27.0,27.75,IV,5,4,3,8
62,27.5,62.0,11.0,0.25,27.0,27.75,IV,5,4,3,8
63,27.75,60.0,9.0,0.25,27.0,27.75,IV,5,4,3,8
64,28.0,60.0,9.0,0.1879999999999988,27.75,28.0,viix7/V,6,4,3,9
65,28.188,58.0,7.0,0.3120000000000011,28.0,28.5,I64,0,1,3,3
66,28.5,55.0,4.0,0.1879999999999988,28.0,28.5,I64,0,1,3,3
67,28.688,58.0,7.0,0.5620000000000012,28.5,29.0,V7/ii,9,6,3,0
68,29.25,60.0,9.0,0.125,29.0,29.5,IV,5,4,3,8
69,29.375,63.0,0.0,0.125,29.0,29.5,IV,5,4,3,8
70,29.5,65.0,2.0,0.25,29.0,29.5,IV,5,4,3,8
71,29.75,67.0,4.0,0.1879999999999988,29.5,30.0,viix42,11,7,3,2
72,29.938,63.0,0.0,5.937000000000001,29.5,30.0,viix42,11,7,3,2
73,35.875,56.0,5.0,0.0630000000000023,35.0,36.0,IV64,5,4,3,8
74,35.938,56.0,5.0,0.1869999999999976,35.0,36.0,IV64,5,4,3,8
75,36.125,55.0,4.0,0.3130000000000024,36.0,37.0,I,0,1,3,3
76,36.438,53.0,2.0,0.0619999999999976,36.0,37.0,I,0,1,3,3
77,36.5,51.0,0.0,1.1880000000000024,36.0,37.0,I,0,1,3,3
78,37.688,56.0,5.0,0.0619999999999976,37.0,38.0,IV64,5,4,3,8
79,37.75,56.0,5.0,0.0619999999999976,37.0,38.0,IV64,5,4,3,8
80,37.812,56.0,5.0,0.0630000000000023,37.0,38.0,IV64,5,4,3,8
81,37.875,58.0,7.0,0.125,37.0,38.0,IV64,5,4,3,8
82,38.0,55.0,4.0,1.25,37.0,38.0,IV64,5,4,3,8
83,39.25,60.0,9.0,0.25,39.0,39.5,IV,5,4,3,8
84,39.5,61.0,10.0,0.25,39.0,39.5,IV,5,4,3,8
85,39.75,60.0,9.0,0.1880000000000024,39.5,39.75,bVII,10,7,3,1
86,39.938,58.0,7.0,0.8119999999999976,39.75,40.0,IV,5,4,3,8
87,40.75,63.0,0.0,0.1880000000000024,40.0,41.0,I,0,1,3,3
88,40.938,58.0,7.0,0.0619999999999976,40.0,41.0,I,0,1,3,3
89,41.0,60.0,9.0,0.75,40.0,41.0,I,0,1,3,3
90,41.75,56.0,5.0,0.0619999999999976,41.0,42.0,ii7,2,2,3,5
91,41.812,58.0,7.0,0.1260000000000047,41.0,42.0,ii7,2,2,3,5
92,41.938,58.0,7.0,0.0619999999999976,41.0,42.0,ii7,2,2,3,5
93,42.0,60.0,9.0,0.125,41.0,42.0,ii7,2,2,3,5
94,42.125,58.0,7.0,0.125,42.0,42.5,I,0,1,3,3
95,42.25,55.0,4.0,0.0619999999999976,42.0,42.5,I,0,1,3,3
96,42.312,53.0,2.0,0.1260000000000047,42.0,42.5,I,0,1,3,3
97,42.438,51.0,0.0,0.5,42.0,42.5,I,0,1,3,3
98,42.938,60.0,9.0,0.0619999999999976,42.5,43.0,IV,5,4,3,8
99,43.0,63.0,0.0,1.25,42.5,43.0,IV,5,4,3,8
100,44.25,55.0,4.0,0.25,44.0,45.0,I,0,1,3,3
101,44.5,53.0,2.0,0.25,44.0,45.0,I,0,1,3,3
102,44.75,51.0,0.0,0.25,44.0,45.0,I,0,1,3,3
103,45.0,53.0,2.0,0.875,44.0,45.0,I,0,1,3,3
104,45.875,58.0,7.0,0.5,45.0,47.0,V7,7,5,3,10
105,46.375,58.0,7.0,0.125,45.0,47.0,V7,7,5,3,10
106,46.5,55.0,4.0,0.125,45.0,47.0,V7,7,5,3,10
107,46.625,53.0,2.0,0.125,45.0,47.0,V7,7,5,3,10
108,46.75,51.0,0.0,0.125,45.0,47.0,V7,7,5,3,10
109,46.875,53.0,2.0,0.0630000000000023,45.0,47.0,V7,7,5,3,10
110,46.938,55.0,4.0,1.3119999999999976,45.0,47.0,V7,7,5,3,10
111,48.25,58.0,7.0,0.25,47.0,49.0,I,0,1,3,3
112,48.5,65.0,2.0,0.125,47.0,49.0,I,0,1,3,3
113,48.625,67.0,4.0,0.125,47.0,49.0,I,0,1,3,3
114,48.75,65.0,2.0,0.25,47.0,49.0,I,0,1,3,3
115,49.0,63.0,0.0,0.5,47.0,49.0,I,0,1,3,3
116,49.5,65.0,2.0,0.375,49.0,49.5,IV,5,4,3,8
117,49.875,65.0,2.0,0.625,49.5,50.0,V/V,2,2,3,5
118,50.5,67.0,4.0,0.25,50.0,50.5,V,7,5,3,10
119,50.75,65.0,2.0,0.25,50.5,50.75,I,0,1,3,3
120,51.0,63.0,0.0,0.5,50.75,51.0,V,7,5,3,10
121,51.5,62.0,11.0,0.25,51.0,51.75,IV,5,4,3,8
122,51.75,60.0,9.0,0.25,51.0,51.75,IV,5,4,3,8
123,52.0,60.0,9.0,0.1880000000000024,51.75,52.0,viix7/V,6,4,3,9
124,52.188,58.0,7.0,0.3119999999999976,52.0,52.5,I64,0,1,3,3
125,52.5,55.0,4.0,0.1880000000000024,52.0,52.5,I64,0,1,3,3
126,52.688,58.0,7.0,0.5619999999999976,52.5,53.0,V7/ii,9,6,3,0
127,53.25,60.0,9.0,0.125,53.0,53.5,IV,5,4,3,8
128,53.375,63.0,0.0,0.125,53.0,53.5,IV,5,4,3,8
129,53.5,65.0,2.0,0.25,53.0,53.5,IV,5,4,3,8
130,53.75,67.0,4.0,0.1880000000000024,53.5,54.0,viix7/vi,8,6,3,11
131,53.938,63.0,0.0,0.5619999999999976,53.5,54.0,viix7/vi,8,6,3,11
132,54.5,67.0,4.0,0.25,54.0,54.5,vi,9,6,3,0
133,54.75,65.0,2.0,0.0619999999999976,54.5,54.75,I,0,1,3,3
134,54.812,67.0,4.0,0.0630000000000023,54.75,55.0,V,7,5,3,10
135,54.875,65.0,2.0,0.0630000000000023,54.75,55.0,V,7,5,3,10
136,54.938,63.0,0.0,0.1869999999999976,54.75,55.0,V,7,5,3,10
137,55.125,63.0,0.0,0.375,55.0,55.75,IV,5,4,3,8
138,55.5,62.0,11.0,0.25,55.0,55.75,IV,5,4,3,8
139,55.75,60.0,9.0,0.25,55.0,55.75,IV,5,4,3,8
140,56.0,60.0,9.0,0.1880000000000024,55.75,56.0,viix7/V,6,4,3,9
141,56.188,58.0,7.0,0.3119999999999976,56.0,56.5,I64,0,1,3,3
142,56.5,60.0,9.0,0.1880000000000024,56.0,56.5,I64,0,1,3,3
143,56.688,63.0,0.0,0.5619999999999976,56.5,57.0,V7/ii,9,6,3,0
144,57.25,63.0,0.0,0.125,57.0,57.5,IV,5,4,3,8
145,57.375,65.0,2.0,0.125,57.0,57.5,IV,5,4,3,8
146,57.5,63.0,0.0,0.25,57.0,57.5,IV,5,4,3,8
147,57.75,62.0,11.0,0.1880000000000024,57.5,58.0,V7/vi,4,3,3,7
148,57.938,62.0,11.0,0.0619999999999976,57.5,58.0,V7/vi,4,3,3,7
149,58.0,63.0,0.0,10.75,57.5,58.0,V7/vi,4,3,3,7
150,68.75,56.0,5.0,0.125,68.0,69.0,IV64,5,4,3,8
