,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.5,62.0,7.0,0.125,8.0,9.0,I,0,1,7,7
1,8.625,60.0,5.0,0.125,8.0,9.0,I,0,1,7,7
2,8.75,59.0,4.0,0.125,8.0,9.0,I,0,1,7,7
3,8.875,60.0,5.0,0.125,8.0,9.0,I,0,1,7,7
4,9.0,62.0,7.0,1.375,8.0,9.0,I,0,1,7,7
5,10.375,59.0,4.0,0.25,10.0,11.0,I,0,1,7,7
6,10.625,57.0,2.0,0.125,10.0,11.0,I,0,1,7,7
7,10.75,55.0,0.0,0.125,10.0,11.0,I,0,1,7,7
8,10.875,57.0,2.0,0.25,10.0,11.0,I,0,1,7,7
9,11.125,59.0,4.0,1.25,11.0,12.0,V,7,5,7,2
10,12.375,62.0,7.0,0.25,12.0,13.0,I,0,1,7,7
11,12.625,62.0,7.0,0.125,12.0,13.0,I,0,1,7,7
12,12.75,62.0,7.0,0.125,12.0,13.0,I,0,1,7,7
13,12.875,62.0,7.0,0.125,12.0,13.0,I,0,1,7,7
14,13.0,60.0,5.0,0.0619999999999993,12.0,13.0,I,0,1,7,7
15,13.062,62.0,7.0,1.4380000000000006,13.0,14.0,IV,5,4,7,0
16,14.5,59.0,4.0,0.125,14.0,15.0,I,0,1,7,7
17,14.625,59.0,4.0,0.125,14.0,15.0,I,0,1,7,7
18,14.75,55.0,0.0,0.125,14.0,15.0,I,0,1,7,7
19,14.875,57.0,2.0,0.25,14.0,15.0,I,0,1,7,7
20,15.125,59.0,4.0,1.375,15.0,16.0,V,7,5,7,2
21,16.5,59.0,4.0,0.125,16.0,17.0,I,0,1,7,7
22,16.625,62.0,7.0,0.125,16.0,17.0,I,0,1,7,7
23,16.75,62.0,7.0,0.125,16.0,17.0,I,0,1,7,7
24,16.875,62.0,7.0,0.125,16.0,17.0,I,0,1,7,7
25,17.0,62.0,7.0,0.125,16.0,17.0,I,0,1,7,7
26,17.125,60.0,5.0,0.25,17.0,18.0,IV,5,4,7,0
27,17.375,62.0,7.0,0.25,17.0,18.0,IV,5,4,7,0
28,17.625,60.0,5.0,0.125,17.0,18.0,IV,5,4,7,0
29,17.75,62.0,7.0,0.75,17.0,18.0,IV,5,4,7,0
30,18.5,59.0,4.0,0.125,18.0,19.0,I,0,1,7,7
31,18.625,59.0,4.0,0.125,18.0,19.0,I,0,1,7,7
32,18.75,57.0,2.0,0.125,18.0,19.0,I,0,1,7,7
33,18.875,55.0,0.0,0.125,18.0,19.0,I,0,1,7,7
34,19.0,57.0,2.0,0.125,18.0,19.0,I,0,1,7,7
35,19.125,57.0,2.0,1.125,19.0,20.0,V,7,5,7,2
36,20.25,62.0,7.0,0.125,20.0,21.0,I,0,1,7,7
37,20.375,62.0,7.0,0.125,20.0,21.0,I,0,1,7,7
38,20.5,62.0,7.0,0.25,20.0,21.0,I,0,1,7,7
39,20.75,62.0,7.0,0.125,20.0,21.0,I,0,1,7,7
40,20.875,62.0,7.0,0.25,20.0,21.0,I,0,1,7,7
41,21.125,60.0,5.0,0.25,21.0,22.0,IV,5,4,7,0
42,21.375,62.0,7.0,0.25,21.0,22.0,IV,5,4,7,0
43,21.625,60.0,5.0,0.875,21.0,22.0,IV,5,4,7,0
44,22.5,59.0,4.0,0.375,22.0,23.0,I,0,1,7,7
45,22.875,50.0,7.0,0.125,22.0,23.0,I,0,1,7,7
46,23.0,57.0,2.0,0.25,22.0,23.0,I,0,1,7,7
47,23.25,57.0,2.0,0.125,23.0,24.0,V,7,5,7,2
48,23.375,59.0,4.0,0.25,23.0,24.0,V,7,5,7,2
49,23.625,59.0,4.0,0.125,23.0,24.0,V,7,5,7,2
50,23.75,57.0,2.0,0.125,23.0,24.0,V,7,5,7,2
51,23.875,57.0,2.0,0.0629999999999988,23.0,24.0,V,7,5,7,2
52,23.938,55.0,0.0,1.3120000000000012,23.0,24.0,V,7,5,7,2
53,25.25,50.0,7.0,0.125,25.0,26.0,V,7,5,7,2
54,25.375,59.0,4.0,0.1870000000000011,25.0,26.0,V,7,5,7,2
55,25.562,59.0,4.0,0.3129999999999988,25.0,26.0,V,7,5,7,2
56,25.875,57.0,2.0,0.0629999999999988,25.0,26.0,V,7,5,7,2
57,25.938,55.0,0.0,2.312000000000001,25.0,26.0,V,7,5,7,2
58,28.25,67.0,0.0,0.375,28.0,29.0,IV,5,4,7,0
59,28.625,64.0,9.0,0.25,28.0,29.0,IV,5,4,7,0
60,28.875,62.0,7.0,0.5,28.0,29.0,IV,5,4,7,0
61,29.375,59.0,4.0,0.25,29.0,30.0,V,7,5,7,2
62,29.625,59.0,4.0,0.25,29.0,30.0,V,7,5,7,2
63,29.875,57.0,2.0,0.0629999999999988,29.0,30.0,V,7,5,7,2
64,29.938,55.0,0.0,2.562000000000001,29.0,30.0,V,7,5,7,2
65,32.5,55.0,0.0,0.125,32.0,33.0,I,0,1,7,7
66,32.625,62.0,7.0,0.0630000000000023,32.0,33.0,I,0,1,7,7
67,32.688,60.0,5.0,0.0619999999999976,32.0,33.0,I,0,1,7,7
68,32.75,59.0,4.0,0.125,32.0,33.0,I,0,1,7,7
69,32.875,60.0,5.0,0.125,32.0,33.0,I,0,1,7,7
70,33.0,62.0,7.0,1.25,32.0,33.0,I,0,1,7,7
71,34.25,50.0,7.0,0.125,34.0,35.0,I,0,1,7,7
72,34.375,59.0,4.0,0.25,34.0,35.0,I,0,1,7,7
73,34.625,57.0,2.0,0.125,34.0,35.0,I,0,1,7,7
74,34.75,55.0,0.0,0.125,34.0,35.0,I,0,1,7,7
75,34.875,57.0,2.0,0.25,34.0,35.0,I,0,1,7,7
76,35.125,59.0,4.0,1.125,35.0,36.0,V,7,5,7,2
77,36.25,62.0,7.0,0.125,36.0,37.0,I,0,1,7,7
78,36.375,62.0,7.0,0.125,36.0,37.0,I,0,1,7,7
79,36.5,62.0,7.0,0.25,36.0,37.0,I,0,1,7,7
80,36.75,62.0,7.0,0.125,36.0,37.0,I,0,1,7,7
81,36.875,62.0,7.0,0.25,36.0,37.0,I,0,1,7,7
82,37.125,60.0,5.0,0.125,37.0,38.0,IV,5,4,7,0
83,37.25,62.0,7.0,0.1880000000000024,37.0,38.0,IV,5,4,7,0
84,37.438,60.0,5.0,0.0619999999999976,37.0,38.0,IV,5,4,7,0
85,37.5,60.0,5.0,0.75,37.0,38.0,IV,5,4,7,0
86,38.25,59.0,4.0,0.25,38.0,39.0,I,0,1,7,7
87,38.5,59.0,4.0,0.25,38.0,39.0,I,0,1,7,7
88,38.75,55.0,0.0,0.125,38.0,39.0,I,0,1,7,7
