,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.25,62.0,7.0,0.25,3.0,4.5,I,0,1,7,7
1,3.5,62.0,7.0,0.25,3.0,4.5,I,0,1,7,7
2,3.75,67.0,0.0,0.25,3.0,4.5,I,0,1,7,7
3,4.0,64.0,9.0,0.25,3.0,4.5,I,0,1,7,7
4,4.25,64.0,9.0,0.25,3.0,4.5,I,0,1,7,7
5,4.5,62.0,7.0,0.125,3.0,4.5,I,0,1,7,7
6,4.625,64.0,9.0,0.125,4.5,5.0,V,7,5,7,2
7,4.75,62.0,7.0,0.25,4.5,5.0,V,7,5,7,2
8,5.0,59.0,4.0,0.5,4.5,5.0,V,7,5,7,2
9,5.5,59.0,4.0,0.375,5.0,5.5,I,0,1,7,7
10,5.875,62.0,7.0,0.125,5.5,6.0,V,7,5,7,2
11,6.0,59.0,4.0,1.25,5.5,6.0,V,7,5,7,2
12,7.25,62.0,7.0,0.25,7.0,7.5,I,0,1,7,7
13,7.5,62.0,7.0,0.25,7.0,7.5,I,0,1,7,7
14,7.75,67.0,0.0,0.25,7.5,8.0,V,7,5,7,2
15,8.0,64.0,9.0,0.25,7.5,8.0,V,7,5,7,2
16,8.25,64.0,9.0,0.25,8.0,8.5,I,0,1,7,7
17,8.5,62.0,7.0,0.125,8.0,8.5,I,0,1,7,7
18,8.625,64.0,9.0,0.125,8.5,9.0,V,7,5,7,2
19,8.75,62.0,7.0,0.25,8.5,9.0,V,7,5,7,2
20,9.0,59.0,4.0,0.25,8.5,9.0,V,7,5,7,2
21,9.25,59.0,4.0,0.25,9.0,9.5,I,0,1,7,7
22,9.5,59.0,4.0,0.375,9.0,9.5,I,0,1,7,7
23,9.875,62.0,7.0,0.25,9.5,10.0,V,7,5,7,2
24,10.125,57.0,2.0,0.125,10.0,10.5,I,0,1,7,7
25,10.25,59.0,4.0,1.0,10.0,10.5,I,0,1,7,7
26,11.25,59.0,4.0,0.25,11.0,11.5,I,0,1,7,7
27,11.5,59.0,4.0,0.25,11.0,11.5,I,0,1,7,7
28,11.75,62.0,7.0,0.25,11.5,12.0,V,7,5,7,2
29,12.0,58.0,3.0,0.25,11.5,12.0,V,7,5,7,2
30,12.25,59.0,4.0,1.0,12.0,14.0,vi,9,6,7,4
31,13.25,55.0,0.0,0.25,12.0,14.0,vi,9,6,7,4
32,13.5,59.0,4.0,0.375,12.0,14.0,vi,9,6,7,4
33,13.875,57.0,2.0,0.25,12.0,14.0,vi,9,6,7,4
34,14.125,55.0,0.0,1.375,14.0,15.0,IV,5,4,7,0
35,15.5,62.0,7.0,0.25,15.0,16.0,V,7,5,7,2
36,15.75,67.0,0.0,0.25,15.0,16.0,V,7,5,7,2
37,16.0,64.0,9.0,0.25,15.0,16.0,V,7,5,7,2
38,16.25,64.0,9.0,0.25,16.0,16.5,I,0,1,7,7
39,16.5,62.0,7.0,0.125,16.0,16.5,I,0,1,7,7
40,16.625,64.0,9.0,0.125,16.5,17.0,V,7,5,7,2
41,16.75,62.0,7.0,0.25,16.5,17.0,V,7,5,7,2
42,17.0,59.0,4.0,0.25,16.5,17.0,V,7,5,7,2
43,17.25,59.0,4.0,0.25,17.0,17.5,I,0,1,7,7
44,17.5,59.0,4.0,0.375,17.0,17.5,I,0,1,7,7
45,17.875,62.0,7.0,0.125,17.5,18.0,V,7,5,7,2
46,18.0,57.0,2.0,0.25,17.5,18.0,V,7,5,7,2
47,18.25,59.0,4.0,1.0,18.0,18.5,I,0,1,7,7
48,19.25,55.0,0.0,0.25,19.0,20.5,I,0,1,7,7
49,19.5,59.0,4.0,0.125,19.0,20.5,I,0,1,7,7
50,19.625,62.0,7.0,0.125,19.0,20.5,I,0,1,7,7
51,19.75,59.0,4.0,0.0620000000000011,19.0,20.5,I,0,1,7,7
52,19.812,57.0,2.0,0.0629999999999988,19.0,20.5,I,0,1,7,7
53,19.875,55.0,0.0,0.1870000000000011,19.0,20.5,I,0,1,7,7
54,20.062,55.0,0.0,1.0629999999999988,19.0,20.5,I,0,1,7,7
55,21.125,55.0,0.0,0.125,21.0,21.5,I,0,1,7,7
