,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,9.25,52.0,4.0,0.125,9.0,10.0,I,0,1,0,0
1,9.375,52.0,4.0,0.125,9.0,10.0,I,0,1,0,0
2,9.5,52.0,4.0,0.1880000000000006,9.0,10.0,I,0,1,0,0
3,9.688,50.0,2.0,0.0619999999999993,9.0,10.0,I,0,1,0,0
4,9.75,52.0,4.0,0.125,9.0,10.0,I,0,1,0,0
5,9.875,55.0,7.0,0.375,9.0,10.0,I,0,1,0,0
6,10.25,59.0,11.0,0.0619999999999993,10.0,11.0,iii,4,3,0,4
7,10.312,55.0,7.0,0.1880000000000006,10.0,11.0,iii,4,3,0,4
8,10.5,55.0,7.0,0.375,10.0,11.0,iii,4,3,0,4
9,10.875,60.0,0.0,0.0630000000000006,10.0,11.0,iii,4,3,0,4
10,10.938,60.0,0.0,0.0619999999999993,10.0,11.0,iii,4,3,0,4
11,11.0,60.0,0.0,0.375,10.0,11.0,iii,4,3,0,4
12,11.375,57.0,9.0,0.375,11.0,12.0,IV,5,4,0,5
13,11.75,55.0,7.0,0.0619999999999993,11.0,12.0,IV,5,4,0,5
14,11.812,55.0,7.0,0.1880000000000006,11.0,12.0,IV,5,4,0,5
15,12.0,57.0,9.0,0.1880000000000006,11.0,12.0,IV,5,4,0,5
16,12.188,50.0,2.0,0.0619999999999993,12.0,12.5,V,7,5,0,7
17,12.25,50.0,2.0,0.125,12.0,12.5,V,7,5,0,7
18,12.375,52.0,4.0,0.125,12.0,12.5,V,7,5,0,7
19,12.5,52.0,4.0,0.0619999999999993,12.0,12.5,V,7,5,0,7
20,12.562,52.0,4.0,0.1880000000000006,12.5,13.0,IV,5,4,0,5
21,12.75,50.0,2.0,0.125,12.5,13.0,IV,5,4,0,5
22,12.875,48.0,0.0,0.5,12.5,13.0,IV,5,4,0,5
23,13.375,52.0,4.0,0.0630000000000006,13.0,14.0,I,0,1,0,0
24,13.438,50.0,2.0,0.0619999999999993,13.0,14.0,I,0,1,0,0
25,13.5,52.0,4.0,0.1880000000000006,13.0,14.0,I,0,1,0,0
26,13.688,52.0,4.0,0.0619999999999993,13.0,14.0,I,0,1,0,0
27,13.75,52.0,4.0,0.125,13.0,14.0,I,0,1,0,0
28,13.875,55.0,7.0,0.375,13.0,14.0,I,0,1,0,0
29,14.25,57.0,9.0,0.0619999999999993,14.0,15.0,iii,4,3,0,4
30,14.312,59.0,11.0,0.1880000000000006,14.0,15.0,iii,4,3,0,4
31,14.5,59.0,11.0,0.1880000000000006,14.0,15.0,iii,4,3,0,4
32,14.688,55.0,7.0,0.0619999999999993,14.0,15.0,iii,4,3,0,4
33,14.75,57.0,9.0,0.1880000000000006,14.0,15.0,iii,4,3,0,4
34,14.938,60.0,0.0,0.0619999999999993,14.0,15.0,iii,4,3,0,4
35,15.0,60.0,0.0,0.375,14.0,15.0,iii,4,3,0,4
36,15.375,57.0,9.0,0.125,15.0,16.0,IV,5,4,0,5
37,15.5,60.0,0.0,0.125,15.0,16.0,IV,5,4,0,5
38,15.625,62.0,2.0,0.25,15.0,16.0,IV,5,4,0,5
39,15.875,64.0,4.0,1.0,15.0,16.0,IV,5,4,0,5
40,16.875,64.0,4.0,0.0629999999999988,16.0,17.0,V,7,5,0,7
41,16.938,65.0,5.0,0.0620000000000011,16.0,17.0,V,7,5,0,7
42,17.0,67.0,7.0,0.25,16.0,17.0,V,7,5,0,7
43,17.25,64.0,4.0,0.25,17.0,17.5,I,0,1,0,0
44,17.5,62.0,2.0,0.125,17.0,17.5,I,0,1,0,0
45,17.625,60.0,0.0,0.125,17.5,18.0,ii,2,2,0,2
46,17.75,62.0,2.0,0.125,17.5,18.0,ii,2,2,0,2
47,17.875,59.0,11.0,0.25,17.5,18.0,ii,2,2,0,2
48,18.125,55.0,7.0,0.0629999999999988,18.0,18.5,iii,4,3,0,4
49,18.188,57.0,9.0,0.75,18.0,18.5,iii,4,3,0,4
50,18.938,60.0,0.0,0.0620000000000011,18.5,19.0,biii,3,3,0,3
51,19.0,60.0,0.0,0.25,18.5,19.0,biii,3,3,0,3
52,19.25,60.0,0.0,0.0620000000000011,19.0,20.0,ii,2,2,0,2
53,19.312,60.0,0.0,0.1259999999999976,19.0,20.0,ii,2,2,0,2
54,19.438,60.0,0.0,0.0620000000000011,19.0,20.0,ii,2,2,0,2
55,19.5,60.0,0.0,0.125,19.0,20.0,ii,2,2,0,2
56,19.625,64.0,4.0,1.125,19.0,20.0,ii,2,2,0,2
57,20.75,64.0,4.0,0.125,20.0,21.0,V,7,5,0,7
58,20.875,65.0,5.0,0.125,20.0,21.0,V,7,5,0,7
59,21.0,67.0,7.0,0.125,20.0,21.0,V,7,5,0,7
60,21.125,64.0,4.0,0.25,21.0,21.5,I,0,1,0,0
61,21.375,60.0,0.0,0.125,21.0,21.5,I,0,1,0,0
62,21.5,64.0,4.0,0.25,21.0,21.5,I,0,1,0,0
63,21.75,64.0,4.0,0.125,21.5,22.0,ii,2,2,0,2
64,21.875,60.0,0.0,0.125,21.5,22.0,ii,2,2,0,2
65,22.0,55.0,7.0,0.0620000000000011,21.5,22.0,ii,2,2,0,2
66,22.062,57.0,9.0,0.5629999999999988,22.0,22.5,iii,4,3,0,4
67,22.625,60.0,0.0,0.125,22.5,23.0,biii,3,3,0,3
68,22.75,60.0,0.0,0.125,22.5,23.0,biii,3,3,0,3
69,22.875,60.0,0.0,0.125,22.5,23.0,biii,3,3,0,3
70,23.0,60.0,0.0,0.25,22.5,23.0,biii,3,3,0,3
