,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,6.75,71.0,2.0,0.25,6.0,6.75,I,0,1,9,9
1,7.0,73.0,4.0,0.0620000000000002,6.75,7.0,V6,7,5,9,4
2,7.062,71.0,2.0,0.0629999999999997,7.0,7.5,IV6,5,4,9,2
3,7.125,69.0,0.0,0.6870000000000003,7.0,7.5,IV6,5,4,9,2
4,7.812,69.0,0.0,0.1879999999999997,7.5,8.0,I64,0,1,9,9
5,8.0,73.0,4.0,0.125,7.5,8.0,I64,0,1,9,9
6,8.125,71.0,2.0,0.125,8.0,9.0,V,7,5,9,4
7,8.25,71.0,2.0,0.125,8.0,9.0,V,7,5,9,4
8,8.375,71.0,2.0,0.625,8.0,9.0,V,7,5,9,4
9,9.0,73.0,4.0,0.125,8.0,9.0,V,7,5,9,4
10,9.125,71.0,2.0,0.125,9.0,10.0,V/vi,4,3,9,1
11,9.25,71.0,2.0,0.125,9.0,10.0,V/vi,4,3,9,1
12,9.375,71.0,2.0,0.25,9.0,10.0,V/vi,4,3,9,1
13,9.625,73.0,4.0,0.375,9.0,10.0,V/vi,4,3,9,1
14,10.0,69.0,0.0,0.1880000000000006,9.0,10.0,V/vi,4,3,9,1
15,10.188,71.0,2.0,0.1869999999999994,10.0,11.0,vi,9,6,9,6
16,10.375,68.0,11.0,0.125,10.0,11.0,vi,9,6,9,6
17,10.5,69.0,0.0,0.1880000000000006,10.0,11.0,vi,9,6,9,6
18,10.688,71.0,2.0,0.1869999999999994,10.0,11.0,vi,9,6,9,6
19,10.875,68.0,11.0,0.125,10.0,11.0,vi,9,6,9,6
20,11.0,69.0,0.0,0.0619999999999993,10.0,11.0,vi,9,6,9,6
21,11.062,68.0,11.0,0.0630000000000006,11.0,12.0,V65/V,2,2,9,11
22,11.125,66.0,9.0,0.375,11.0,12.0,V65/V,2,2,9,11
23,11.5,73.0,4.0,0.1880000000000006,11.0,12.0,V65/V,2,2,9,11
24,11.688,71.0,2.0,0.0309999999999988,11.0,12.0,V65/V,2,2,9,11
25,11.719,73.0,4.0,0.0310000000000005,11.0,12.0,V65/V,2,2,9,11
26,11.75,71.0,2.0,0.0619999999999993,11.0,12.0,V65/V,2,2,9,11
27,11.812,69.0,0.0,0.1880000000000006,11.0,12.0,V65/V,2,2,9,11
28,12.0,68.0,11.0,0.1880000000000006,11.0,12.0,V65/V,2,2,9,11
29,12.188,69.0,0.0,0.1869999999999994,12.0,13.0,IV,5,4,9,2
30,12.375,69.0,0.0,0.625,12.0,13.0,IV,5,4,9,2
31,13.0,68.0,11.0,0.1880000000000006,12.0,13.0,IV,5,4,9,2
32,13.188,69.0,0.0,0.1869999999999994,13.0,14.0,ii7,2,2,9,11
33,13.375,69.0,0.0,0.375,13.0,14.0,ii7,2,2,9,11
34,13.75,71.0,2.0,0.0619999999999993,13.0,14.0,ii7,2,2,9,11
35,13.812,69.0,0.0,0.1260000000000012,13.0,14.0,ii7,2,2,9,11
36,13.938,69.0,0.0,0.0619999999999993,13.0,14.0,ii7,2,2,9,11
37,14.0,68.0,11.0,0.1880000000000006,13.0,14.0,ii7,2,2,9,11
38,14.188,69.0,0.0,0.1869999999999994,14.0,15.0,I,0,1,9,9
39,14.375,69.0,0.0,3.625,14.0,15.0,I,0,1,9,9
40,18.0,61.0,4.0,0.125,17.5,18.0,IV64,5,4,9,2
41,18.125,64.0,7.0,0.0629999999999988,18.0,19.0,I,0,1,9,9
42,18.188,64.0,7.0,0.1240000000000023,18.0,19.0,I,0,1,9,9
43,18.312,64.0,7.0,0.1259999999999976,18.0,19.0,I,0,1,9,9
44,18.438,64.0,7.0,0.0620000000000011,18.0,19.0,I,0,1,9,9
45,18.5,64.0,7.0,0.125,18.0,19.0,I,0,1,9,9
46,18.625,64.0,7.0,0.125,18.0,19.0,I,0,1,9,9
47,18.75,64.0,7.0,0.0620000000000011,18.0,19.0,I,0,1,9,9
48,18.812,66.0,9.0,1.1879999999999988,18.0,19.0,I,0,1,9,9
49,20.0,61.0,4.0,0.125,19.0,20.0,IV64,5,4,9,2
50,20.125,64.0,7.0,0.0629999999999988,20.0,21.0,I,0,1,9,9
51,20.188,64.0,7.0,0.1240000000000023,20.0,21.0,I,0,1,9,9
52,20.312,64.0,7.0,0.1259999999999976,20.0,21.0,I,0,1,9,9
53,20.438,64.0,7.0,0.0620000000000011,20.0,21.0,I,0,1,9,9
54,20.5,64.0,7.0,0.125,20.0,21.0,I,0,1,9,9
55,20.625,64.0,7.0,0.125,20.0,21.0,I,0,1,9,9
56,20.75,59.0,2.0,0.125,20.0,21.0,I,0,1,9,9
57,20.875,61.0,4.0,0.8129999999999988,20.0,21.0,I,0,1,9,9
58,21.688,61.0,4.0,0.1240000000000023,21.0,22.0,vi,9,6,9,6
