,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,9.375,64.0,0.0,0.25,9.0,11.0,I,0,1,4,4
1,9.625,66.0,2.0,0.25,9.0,11.0,I,0,1,4,4
2,9.875,64.0,0.0,0.125,9.0,11.0,I,0,1,4,4
3,10.0,59.0,7.0,0.125,9.0,11.0,I,0,1,4,4
4,10.125,59.0,7.0,0.125,9.0,11.0,I,0,1,4,4
5,10.25,61.0,9.0,0.125,9.0,11.0,I,0,1,4,4
6,10.375,61.0,9.0,0.125,9.0,11.0,I,0,1,4,4
7,10.5,63.0,11.0,0.125,9.0,11.0,I,0,1,4,4
8,10.625,63.0,11.0,0.125,9.0,11.0,I,0,1,4,4
9,10.75,64.0,0.0,0.125,9.0,11.0,I,0,1,4,4
10,10.875,64.0,0.0,0.25,9.0,11.0,I,0,1,4,4
11,11.125,61.0,9.0,0.125,11.0,12.0,IV,5,4,4,9
12,11.25,69.0,5.0,0.375,11.0,12.0,IV,5,4,4,9
13,11.625,69.0,5.0,0.25,11.0,12.0,IV,5,4,4,9
14,11.875,68.0,4.0,0.25,11.0,12.0,IV,5,4,4,9
15,12.125,68.0,4.0,0.0630000000000006,12.0,13.0,V,7,5,4,11
16,12.188,69.0,5.0,0.0619999999999993,12.0,13.0,V,7,5,4,11
17,12.25,68.0,4.0,0.125,12.0,13.0,V,7,5,4,11
18,12.375,66.0,2.0,1.0,12.0,13.0,V,7,5,4,11
19,13.375,64.0,0.0,0.25,13.0,15.0,I,0,1,4,4
20,13.625,66.0,2.0,0.25,13.0,15.0,I,0,1,4,4
21,13.875,64.0,0.0,0.125,13.0,15.0,I,0,1,4,4
22,14.0,59.0,7.0,0.25,13.0,15.0,I,0,1,4,4
23,14.25,61.0,9.0,0.125,13.0,15.0,I,0,1,4,4
24,14.375,61.0,9.0,0.125,13.0,15.0,I,0,1,4,4
25,14.5,63.0,11.0,0.25,13.0,15.0,I,0,1,4,4
26,14.75,64.0,0.0,0.125,13.0,15.0,I,0,1,4,4
27,14.875,64.0,0.0,0.125,13.0,15.0,I,0,1,4,4
28,15.0,61.0,9.0,0.125,13.0,15.0,I,0,1,4,4
29,15.125,69.0,5.0,0.25,15.0,16.0,IV,5,4,4,9
30,15.375,69.0,5.0,0.5,15.0,16.0,IV,5,4,4,9
31,15.875,68.0,4.0,0.25,15.0,16.0,IV,5,4,4,9
32,16.125,68.0,4.0,0.0629999999999988,16.0,17.0,V,7,5,4,11
33,16.188,69.0,5.0,0.0620000000000011,16.0,17.0,V,7,5,4,11
