,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,12.25,58.0,5.0,0.0619999999999993,10.0,12.5,i,0,1,5,5
1,12.312,60.0,7.0,0.1880000000000006,10.0,12.5,i,0,1,5,5
2,12.5,65.0,0.0,0.3119999999999994,10.0,12.5,i,0,1,5,5
3,12.812,60.0,7.0,0.0630000000000006,12.5,13.0,v,7,5,5,0
4,12.875,56.0,3.0,0.125,12.5,13.0,v,7,5,5,0
5,13.0,58.0,5.0,0.0619999999999993,12.5,13.0,v,7,5,5,0
6,13.062,60.0,7.0,0.1880000000000006,13.0,13.5,IVd7,5,4,5,10
7,13.25,58.0,5.0,0.125,13.0,13.5,IVd7,5,4,5,10
8,13.375,60.0,7.0,0.0630000000000006,13.0,13.5,IVd7,5,4,5,10
9,13.438,58.0,5.0,0.1239999999999987,13.0,13.5,IVd7,5,4,5,10
10,13.562,56.0,3.0,0.0630000000000006,13.5,14.0,iih7,2,2,5,7
11,13.625,56.0,3.0,0.625,13.5,14.0,iih7,2,2,5,7
12,14.25,60.0,7.0,0.125,14.0,14.5,i,0,1,5,5
13,14.375,60.0,7.0,0.125,14.0,14.5,i,0,1,5,5
14,14.5,65.0,0.0,0.3119999999999994,14.0,14.5,i,0,1,5,5
15,14.812,60.0,7.0,0.0630000000000006,14.5,15.0,v,7,5,5,0
16,14.875,56.0,3.0,0.125,14.5,15.0,v,7,5,5,0
17,15.0,58.0,5.0,0.0619999999999993,14.5,15.0,v,7,5,5,0
18,15.062,60.0,7.0,0.1880000000000006,15.0,15.5,IVd7,5,4,5,10
19,15.25,58.0,5.0,0.0619999999999993,15.0,15.5,IVd7,5,4,5,10
20,15.312,58.0,5.0,0.1260000000000012,15.0,15.5,IVd7,5,4,5,10
21,15.438,58.0,5.0,0.1239999999999987,15.0,15.5,IVd7,5,4,5,10
22,15.562,56.0,3.0,0.0630000000000006,15.5,16.0,iih7,2,2,5,7
23,15.625,58.0,5.0,1.0,15.5,16.0,iih7,2,2,5,7
24,16.625,58.0,5.0,0.0629999999999988,16.5,17.0,v,7,5,5,0
25,16.688,56.0,3.0,0.1870000000000011,16.5,17.0,v,7,5,5,0
26,16.875,58.0,5.0,0.0629999999999988,16.5,17.0,v,7,5,5,0
27,16.938,53.0,0.0,1.0620000000000012,16.5,17.0,v,7,5,5,0
28,18.0,67.0,2.0,0.25,17.5,18.0,iih7,2,2,5,7
29,18.25,65.0,0.0,0.25,18.0,18.5,i,0,1,5,5
30,18.5,63.0,10.0,0.375,18.0,18.5,i,0,1,5,5
31,18.875,60.0,7.0,0.0629999999999988,18.5,19.0,v,7,5,5,0
32,18.938,58.0,5.0,0.1240000000000023,18.5,19.0,v,7,5,5,0
33,19.062,56.0,3.0,0.1879999999999988,19.0,19.5,IVd7,5,4,5,10
34,19.25,58.0,5.0,0.125,19.0,19.5,IVd7,5,4,5,10
35,19.375,60.0,7.0,0.0629999999999988,19.0,19.5,IVd7,5,4,5,10
36,19.438,56.0,3.0,0.0620000000000011,19.0,19.5,IVd7,5,4,5,10
37,19.5,51.0,10.0,0.125,19.0,19.5,IVd7,5,4,5,10
38,19.625,53.0,0.0,0.5,19.5,20.0,iih7,2,2,5,7
39,20.125,53.0,0.0,0.0629999999999988,20.0,20.5,iih7/V,9,6,5,2
40,20.188,55.0,2.0,0.0620000000000011,20.0,20.5,iih7/V,9,6,5,2
41,20.25,56.0,3.0,0.125,20.0,20.5,iih7/V,9,6,5,2
