,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,0.938,52.0,7.0,0.062,0.0,2.0,I,0,1,9,9
1,1.0,61.0,4.0,0.125,0.0,2.0,I,0,1,9,9
2,1.125,61.0,4.0,0.125,0.0,2.0,I,0,1,9,9
3,1.25,61.0,4.0,0.125,0.0,2.0,I,0,1,9,9
4,1.375,61.0,4.0,0.25,0.0,2.0,I,0,1,9,9
5,1.625,59.0,2.0,0.0629999999999999,0.0,2.0,I,0,1,9,9
6,1.688,57.0,0.0,0.1240000000000001,0.0,2.0,I,0,1,9,9
7,1.812,57.0,0.0,1.063,0.0,2.0,I,0,1,9,9
8,2.875,52.0,7.0,0.0630000000000001,2.0,3.5,vi,9,6,9,6
9,2.938,52.0,7.0,0.0619999999999998,2.0,3.5,vi,9,6,9,6
10,3.0,61.0,4.0,0.125,2.0,3.5,vi,9,6,9,6
11,3.125,61.0,4.0,0.125,2.0,3.5,vi,9,6,9,6
12,3.25,61.0,4.0,0.125,2.0,3.5,vi,9,6,9,6
13,3.375,61.0,4.0,0.25,2.0,3.5,vi,9,6,9,6
14,3.625,56.0,11.0,0.25,3.5,4.0,iii6,4,3,9,1
15,3.875,57.0,0.0,0.75,3.5,4.0,iii6,4,3,9,1
16,4.625,57.0,0.0,0.125,4.0,5.0,IV,5,4,9,2
17,4.75,66.0,9.0,0.125,4.0,5.0,IV,5,4,9,2
18,4.875,64.0,7.0,0.25,4.0,5.0,IV,5,4,9,2
19,5.125,69.0,0.0,0.75,5.0,6.0,I,0,1,9,9
20,5.875,57.0,0.0,0.125,5.0,6.0,I,0,1,9,9
21,6.0,57.0,0.0,2.875,5.0,6.0,I,0,1,9,9
22,8.875,52.0,7.0,0.0630000000000006,8.0,10.0,I,0,1,9,9
23,8.938,52.0,7.0,0.0619999999999993,8.0,10.0,I,0,1,9,9
24,9.0,61.0,4.0,0.125,8.0,10.0,I,0,1,9,9
25,9.125,61.0,4.0,0.125,8.0,10.0,I,0,1,9,9
26,9.25,61.0,4.0,0.125,8.0,10.0,I,0,1,9,9
27,9.375,61.0,4.0,0.25,8.0,10.0,I,0,1,9,9
28,9.625,59.0,2.0,0.125,8.0,10.0,I,0,1,9,9
29,9.75,57.0,0.0,1.125,8.0,10.0,I,0,1,9,9
30,10.875,52.0,7.0,0.0630000000000006,10.0,11.5,vi,9,6,9,6
31,10.938,52.0,7.0,0.0619999999999993,10.0,11.5,vi,9,6,9,6
32,11.0,61.0,4.0,0.125,10.0,11.5,vi,9,6,9,6
33,11.125,61.0,4.0,0.125,10.0,11.5,vi,9,6,9,6
34,11.25,61.0,4.0,0.125,10.0,11.5,vi,9,6,9,6
35,11.375,61.0,4.0,0.25,10.0,11.5,vi,9,6,9,6
36,11.625,56.0,11.0,0.25,11.5,12.0,iii6,4,3,9,1
37,11.875,57.0,0.0,0.75,11.5,12.0,iii6,4,3,9,1
38,12.625,57.0,0.0,0.125,12.0,13.0,IV,5,4,9,2
39,12.75,66.0,9.0,0.0619999999999993,12.0,13.0,IV,5,4,9,2
40,12.812,64.0,7.0,0.0630000000000006,12.0,13.0,IV,5,4,9,2
41,12.875,64.0,7.0,0.25,12.0,13.0,IV,5,4,9,2
