,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,10.125,67.0,0.0,0.125,9.0,11.0,I,0,1,7,7
1,10.25,67.0,0.0,0.125,9.0,11.0,I,0,1,7,7
2,10.375,65.0,10.0,0.0630000000000006,9.0,11.0,I,0,1,7,7
3,10.438,67.0,0.0,0.1239999999999987,9.0,11.0,I,0,1,7,7
4,10.562,64.0,9.0,0.3130000000000006,9.0,11.0,I,0,1,7,7
5,10.875,69.0,2.0,0.4369999999999994,9.0,11.0,I,0,1,7,7
6,11.312,67.0,0.0,0.0630000000000006,11.0,12.0,bVII,10,7,7,5
7,11.375,67.0,0.0,0.1869999999999994,11.0,12.0,bVII,10,7,7,5
8,11.562,65.0,10.0,0.1260000000000012,11.0,12.0,bVII,10,7,7,5
9,11.688,67.0,0.0,0.4369999999999994,11.0,12.0,bVII,10,7,7,5
10,12.125,70.0,3.0,0.125,12.0,13.0,IV,5,4,7,0
11,12.25,64.0,9.0,0.125,12.0,13.0,IV,5,4,7,0
12,12.375,64.0,9.0,0.125,12.0,13.0,IV,5,4,7,0
13,12.5,67.0,0.0,0.125,12.0,13.0,IV,5,4,7,0
14,12.625,67.0,0.0,0.1869999999999994,12.0,13.0,IV,5,4,7,0
15,12.812,64.0,9.0,0.0630000000000006,12.0,13.0,IV,5,4,7,0
16,12.875,67.0,0.0,0.25,12.0,13.0,IV,5,4,7,0
17,13.125,64.0,9.0,1.0,13.0,15.0,I,0,1,7,7
18,14.125,64.0,9.0,0.125,13.0,15.0,I,0,1,7,7
19,14.25,67.0,0.0,0.0619999999999993,13.0,15.0,I,0,1,7,7
20,14.312,64.0,9.0,0.0630000000000006,13.0,15.0,I,0,1,7,7
21,14.375,67.0,0.0,0.25,13.0,15.0,I,0,1,7,7
22,14.625,67.0,0.0,0.25,13.0,15.0,I,0,1,7,7
23,14.875,69.0,2.0,0.5,13.0,15.0,I,0,1,7,7
24,15.375,67.0,0.0,0.0630000000000006,15.0,16.0,bVII,10,7,7,5
25,15.438,64.0,9.0,0.1239999999999987,15.0,16.0,bVII,10,7,7,5
26,15.562,67.0,0.0,0.1260000000000012,15.0,16.0,bVII,10,7,7,5
27,15.688,64.0,9.0,0.4369999999999994,15.0,16.0,bVII,10,7,7,5
28,16.125,70.0,3.0,0.125,16.0,17.0,IV,5,4,7,0
29,16.25,64.0,9.0,0.125,16.0,17.0,IV,5,4,7,0
30,16.375,64.0,9.0,0.125,16.0,17.0,IV,5,4,7,0
31,16.5,67.0,0.0,0.125,16.0,17.0,IV,5,4,7,0
32,16.625,64.0,9.0,0.0629999999999988,16.0,17.0,IV,5,4,7,0
33,16.688,67.0,0.0,0.1240000000000023,16.0,17.0,IV,5,4,7,0
