,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.0,64.0,0.0,0.167,1.0,5.0,I,0,1,4,4
1,1.167,64.0,0.0,0.1659999999999999,1.0,5.0,I,0,1,4,4
2,1.333,64.0,0.0,0.084,1.0,5.0,I,0,1,4,4
3,1.417,59.0,7.0,0.0829999999999999,1.0,5.0,I,0,1,4,4
4,1.5,62.0,10.0,0.167,1.0,5.0,I,0,1,4,4
5,1.667,64.0,0.0,0.1659999999999999,1.0,5.0,I,0,1,4,4
6,1.833,59.0,7.0,0.084,1.0,5.0,I,0,1,4,4
7,1.917,59.0,7.0,0.0829999999999999,1.0,5.0,I,0,1,4,4
8,2.0,64.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
9,2.083,64.0,0.0,0.0839999999999996,1.0,5.0,I,0,1,4,4
10,2.167,64.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
11,2.25,64.0,0.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
12,2.417,59.0,7.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
13,2.5,62.0,10.0,0.3330000000000002,1.0,5.0,I,0,1,4,4
14,2.833,59.0,7.0,0.0839999999999996,1.0,5.0,I,0,1,4,4
15,2.917,59.0,7.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
16,3.0,64.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
17,3.083,64.0,0.0,0.0839999999999996,1.0,5.0,I,0,1,4,4
18,3.167,66.0,2.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
19,3.25,67.0,3.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
20,3.333,64.0,0.0,0.0839999999999996,1.0,5.0,I,0,1,4,4
21,3.417,66.0,2.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
22,3.5,64.0,0.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
23,3.667,62.0,10.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
24,3.75,59.0,7.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
25,3.917,61.0,9.0,0.25,1.0,5.0,I,0,1,4,4
26,4.167,62.0,10.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
27,4.25,59.0,7.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
28,4.417,57.0,5.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
29,4.5,55.0,3.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
30,4.667,52.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
31,4.75,52.0,0.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
32,4.917,52.0,0.0,0.25,1.0,5.0,I,0,1,4,4
33,5.167,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
34,5.25,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
35,5.333,52.0,0.0,0.0839999999999996,5.0,7.0,IVd7,5,4,4,9
36,5.417,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
37,5.5,56.0,4.0,0.1669999999999998,5.0,7.0,IVd7,5,4,4,9
38,5.667,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
39,5.75,49.0,9.0,0.1669999999999998,5.0,7.0,IVd7,5,4,4,9
40,5.917,49.0,9.0,0.25,5.0,7.0,IVd7,5,4,4,9
41,6.167,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
42,6.25,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
43,6.333,52.0,0.0,0.0839999999999996,5.0,7.0,IVd7,5,4,4,9
44,6.417,52.0,0.0,0.0830000000000001,5.0,7.0,IVd7,5,4,4,9
45,6.5,56.0,4.0,0.1669999999999998,5.0,7.0,IVd7,5,4,4,9
46,6.667,52.0,0.0,0.5,5.0,7.0,IVd7,5,4,4,9
47,7.167,54.0,2.0,0.0830000000000001,7.0,8.0,V7,7,5,4,11
48,7.25,54.0,2.0,0.0830000000000001,7.0,8.0,V7,7,5,4,11
49,7.333,54.0,2.0,0.0839999999999996,7.0,8.0,V7,7,5,4,11
50,7.417,54.0,2.0,0.0830000000000001,7.0,8.0,V7,7,5,4,11
51,7.5,56.0,4.0,0.1669999999999998,7.0,8.0,V7,7,5,4,11
52,7.667,47.0,7.0,0.1660000000000003,7.0,8.0,V7,7,5,4,11
53,7.833,49.0,9.0,0.0839999999999996,7.0,8.0,V7,7,5,4,11
54,7.917,52.0,0.0,0.0830000000000001,7.0,8.0,V7,7,5,4,11
55,8.0,52.0,0.0,0.6669999999999998,7.0,8.0,V7,7,5,4,11
56,8.667,64.0,0.0,0.3330000000000002,8.0,13.0,I,0,1,4,4
57,9.0,64.0,0.0,0.0830000000000001,8.0,13.0,I,0,1,4,4
58,9.083,64.0,0.0,0.0839999999999996,8.0,13.0,I,0,1,4,4
59,9.167,64.0,0.0,0.25,8.0,13.0,I,0,1,4,4
60,9.417,59.0,7.0,0.0830000000000001,8.0,13.0,I,0,1,4,4
61,9.5,62.0,10.0,0.1669999999999998,8.0,13.0,I,0,1,4,4
62,9.667,64.0,0.0,0.1660000000000003,8.0,13.0,I,0,1,4,4
63,9.833,59.0,7.0,0.0839999999999996,8.0,13.0,I,0,1,4,4
64,9.917,59.0,7.0,0.0830000000000001,8.0,13.0,I,0,1,4,4
