,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.0,60.0,0.0,0.417,1.0,5.0,I,0,1,0,0
1,1.417,60.0,0.0,0.25,1.0,5.0,I,0,1,0,0
2,1.667,58.0,10.0,0.7499999999999998,1.0,5.0,I,0,1,0,0
3,2.417,64.0,4.0,0.25,1.0,5.0,I,0,1,0,0
4,2.667,55.0,7.0,0.0830000000000001,1.0,5.0,I,0,1,0,0
5,2.75,57.0,9.0,0.1669999999999998,1.0,5.0,I,0,1,0,0
6,2.917,60.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,0,0
7,3.0,60.0,0.0,1.1669999999999998,1.0,5.0,I,0,1,0,0
8,4.167,63.0,3.0,0.0830000000000001,1.0,5.0,I,0,1,0,0
9,4.25,62.0,2.0,0.1669999999999998,1.0,5.0,I,0,1,0,0
10,4.417,63.0,3.0,0.0830000000000001,1.0,5.0,I,0,1,0,0
11,4.5,62.0,2.0,0.1669999999999998,1.0,5.0,I,0,1,0,0
12,4.667,63.0,3.0,0.0830000000000001,1.0,5.0,I,0,1,0,0
13,4.75,62.0,2.0,0.1669999999999998,1.0,5.0,I,0,1,0,0
14,4.917,63.0,3.0,0.0830000000000001,1.0,5.0,I,0,1,0,0
15,5.0,60.0,0.0,0.4169999999999998,1.0,5.0,I,0,1,0,0
16,5.417,60.0,0.0,0.25,5.0,7.0,IV,5,4,0,5
17,5.667,57.0,9.0,0.75,5.0,7.0,IV,5,4,0,5
18,6.417,64.0,4.0,0.25,5.0,7.0,IV,5,4,0,5
19,6.667,55.0,7.0,0.0830000000000001,5.0,7.0,IV,5,4,0,5
20,6.75,57.0,9.0,0.1669999999999998,5.0,7.0,IV,5,4,0,5
21,6.917,60.0,0.0,0.0830000000000001,5.0,7.0,IV,5,4,0,5
22,7.0,60.0,0.0,1.25,5.0,7.0,IV,5,4,0,5
23,8.25,63.0,3.0,0.4169999999999998,7.0,9.0,I,0,1,0,0
24,8.667,63.0,3.0,0.0830000000000001,7.0,9.0,I,0,1,0,0
25,8.75,63.0,3.0,0.25,7.0,9.0,I,0,1,0,0
26,9.0,62.0,2.0,0.1669999999999998,7.0,9.0,I,0,1,0,0
27,9.167,62.0,2.0,0.0830000000000001,9.0,10.0,V,7,5,0,7
28,9.25,62.0,2.0,0.1669999999999998,9.0,10.0,V,7,5,0,7
29,9.417,62.0,2.0,0.0830000000000001,9.0,10.0,V,7,5,0,7
30,9.5,62.0,2.0,0.1669999999999998,9.0,10.0,V,7,5,0,7
31,9.667,62.0,2.0,0.0830000000000001,9.0,10.0,V,7,5,0,7
32,9.75,62.0,2.0,0.1669999999999998,9.0,10.0,V,7,5,0,7
33,9.917,62.0,2.0,0.0830000000000001,9.0,10.0,V,7,5,0,7
34,10.0,63.0,3.0,0.25,9.0,10.0,V,7,5,0,7
35,10.25,62.0,2.0,0.25,10.0,11.0,IV,5,4,0,5
36,10.5,62.0,2.0,0.25,10.0,11.0,IV,5,4,0,5
37,10.75,60.0,0.0,0.1669999999999998,10.0,11.0,IV,5,4,0,5
38,10.917,60.0,0.0,1.25,10.0,11.0,IV,5,4,0,5
39,12.167,63.0,3.0,0.0830000000000001,11.0,17.0,I,0,1,0,0
40,12.25,63.0,3.0,0.1669999999999998,11.0,17.0,I,0,1,0,0
41,12.417,63.0,3.0,0.25,11.0,17.0,I,0,1,0,0
42,12.667,63.0,3.0,0.0830000000000001,11.0,17.0,I,0,1,0,0
43,12.75,63.0,3.0,0.1669999999999998,11.0,17.0,I,0,1,0,0
