,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,67.0,9.0,0.125,7.0,8.0,ii,2,2,10,0
1,8.125,65.0,7.0,0.125,8.0,8.5,IV,5,4,10,3
2,8.25,62.0,4.0,0.0619999999999993,8.0,8.5,IV,5,4,10,3
3,8.312,60.0,2.0,0.0630000000000006,8.0,8.5,IV,5,4,10,3
4,8.375,62.0,4.0,0.0630000000000006,8.0,8.5,IV,5,4,10,3
5,8.438,60.0,2.0,0.5619999999999994,8.0,8.5,IV,5,4,10,3
6,9.0,60.0,2.0,0.125,8.5,9.5,vi7,9,6,10,7
7,9.125,62.0,4.0,0.3130000000000006,8.5,9.5,vi7,9,6,10,7
8,9.438,58.0,0.0,0.0619999999999993,8.5,9.5,vi7,9,6,10,7
9,9.5,55.0,9.0,0.5,8.5,9.5,vi7,9,6,10,7
10,10.0,55.0,9.0,0.125,9.5,10.5,IV,5,4,10,3
11,10.125,58.0,0.0,0.125,9.5,10.5,IV,5,4,10,3
12,10.25,65.0,7.0,0.125,9.5,10.5,IV,5,4,10,3
13,10.375,65.0,7.0,0.3130000000000006,9.5,10.5,IV,5,4,10,3
14,10.688,67.0,9.0,0.3119999999999994,10.5,11.0,I6,0,1,10,10
15,11.0,62.0,4.0,0.0619999999999993,10.5,11.0,I6,0,1,10,10
16,11.062,61.0,3.0,0.1260000000000012,11.0,11.5,vi,9,6,10,7
17,11.188,60.0,2.0,0.0619999999999993,11.0,11.5,vi,9,6,10,7
18,11.25,58.0,0.0,0.0619999999999993,11.0,11.5,vi,9,6,10,7
19,11.312,60.0,2.0,0.6880000000000006,11.0,11.5,vi,9,6,10,7
20,12.0,67.0,9.0,0.125,11.5,12.0,ii,2,2,10,0
21,12.125,65.0,7.0,0.125,12.0,12.5,IV,5,4,10,3
22,12.25,62.0,4.0,0.125,12.0,12.5,IV,5,4,10,3
23,12.375,62.0,4.0,0.0630000000000006,12.0,12.5,IV,5,4,10,3
24,12.438,60.0,2.0,0.5619999999999994,12.0,12.5,IV,5,4,10,3
25,13.0,60.0,2.0,0.125,12.5,13.5,vi7,9,6,10,7
26,13.125,62.0,4.0,0.0630000000000006,12.5,13.5,vi7,9,6,10,7
27,13.188,58.0,0.0,0.1869999999999994,12.5,13.5,vi7,9,6,10,7
28,13.375,55.0,9.0,0.625,12.5,13.5,vi7,9,6,10,7
29,14.0,55.0,9.0,0.125,13.5,14.5,IV,5,4,10,3
30,14.125,58.0,0.0,0.125,13.5,14.5,IV,5,4,10,3
31,14.25,65.0,7.0,0.125,13.5,14.5,IV,5,4,10,3
32,14.375,65.0,7.0,0.25,13.5,14.5,IV,5,4,10,3
33,14.625,67.0,9.0,0.375,14.5,15.0,I6,0,1,10,10
34,15.0,62.0,4.0,0.125,14.5,15.0,I6,0,1,10,10
35,15.125,61.0,3.0,0.0630000000000006,15.0,15.5,vi,9,6,10,7
36,15.188,60.0,2.0,0.1239999999999987,15.0,15.5,vi,9,6,10,7
37,15.312,58.0,0.0,0.0630000000000006,15.0,15.5,vi,9,6,10,7
38,15.375,60.0,2.0,0.3130000000000006,15.0,15.5,vi,9,6,10,7
39,15.688,62.0,4.0,0.5619999999999994,15.5,17.0,ii,2,2,10,0
40,16.25,62.0,4.0,0.375,15.5,17.0,ii,2,2,10,0
41,16.625,60.0,2.0,0.25,15.5,17.0,ii,2,2,10,0
42,16.875,58.0,0.0,0.125,15.5,17.0,ii,2,2,10,0
43,17.0,62.0,4.0,0.5309999999999988,15.5,17.0,ii,2,2,10,0
44,17.531,60.0,2.0,0.0630000000000023,17.0,18.0,I64,0,1,10,10
45,17.594,58.0,0.0,0.0309999999999988,17.0,18.0,I64,0,1,10,10
46,17.625,55.0,9.0,0.0629999999999988,17.0,18.0,I64,0,1,10,10
47,17.688,53.0,7.0,0.25,17.0,18.0,I64,0,1,10,10
48,17.938,53.0,7.0,0.0620000000000011,17.0,18.0,I64,0,1,10,10
49,18.0,53.0,7.0,0.6879999999999988,17.0,18.0,I64,0,1,10,10
50,18.688,53.0,7.0,0.0620000000000011,18.0,18.75,V,7,5,10,5
51,18.75,70.0,0.0,0.0620000000000011,18.0,18.75,V,7,5,10,5
52,18.812,69.0,11.0,0.1879999999999988,18.75,19.0,I6,0,1,10,10
53,19.0,67.0,9.0,0.25,18.75,19.0,I6,0,1,10,10
54,19.25,65.0,7.0,0.0620000000000011,19.0,19.5,IV,5,4,10,3
55,19.312,62.0,4.0,0.0629999999999988,19.0,19.5,IV,5,4,10,3
56,19.375,65.0,7.0,0.0629999999999988,19.0,19.5,IV,5,4,10,3
57,19.438,62.0,4.0,0.3120000000000011,19.0,19.5,IV,5,4,10,3
58,19.75,62.0,4.0,0.0620000000000011,19.5,20.0,I,0,1,10,10
59,19.812,60.0,2.0,0.0629999999999988,19.5,20.0,I,0,1,10,10
60,19.875,58.0,0.0,0.0629999999999988,19.5,20.0,I,0,1,10,10
61,19.938,60.0,2.0,0.0620000000000011,19.5,20.0,I,0,1,10,10
62,20.0,58.0,0.0,0.75,19.5,20.0,I,0,1,10,10
63,20.75,70.0,0.0,0.0620000000000011,20.0,21.5,IV,5,4,10,3
64,20.812,69.0,11.0,0.1879999999999988,20.0,21.5,IV,5,4,10,3
65,21.0,67.0,9.0,0.1879999999999988,20.0,21.5,IV,5,4,10,3
66,21.188,62.0,4.0,0.0620000000000011,20.0,21.5,IV,5,4,10,3
67,21.25,65.0,7.0,0.125,20.0,21.5,IV,5,4,10,3
68,21.375,65.0,7.0,0.25,20.0,21.5,IV,5,4,10,3
69,21.625,62.0,4.0,0.0940000000000012,21.5,22.5,I,0,1,10,10
70,21.719,60.0,2.0,0.0309999999999988,21.5,22.5,I,0,1,10,10
71,21.75,58.0,0.0,0.25,21.5,22.5,I,0,1,10,10
72,22.0,62.0,4.0,0.0620000000000011,21.5,22.5,I,0,1,10,10
73,22.062,65.0,7.0,0.1879999999999988,21.5,22.5,I,0,1,10,10
74,22.25,65.0,7.0,0.0620000000000011,21.5,22.5,I,0,1,10,10
75,22.312,62.0,4.0,0.0629999999999988,21.5,22.5,I,0,1,10,10
76,22.375,67.0,9.0,0.625,21.5,22.5,I,0,1,10,10
77,23.0,70.0,0.0,0.125,22.5,23.0,IV,5,4,10,3
78,23.125,69.0,11.0,0.0629999999999988,23.0,23.5,vi,9,6,10,7
79,23.188,65.0,7.0,0.0620000000000011,23.0,23.5,vi,9,6,10,7
80,23.25,65.0,7.0,0.125,23.0,23.5,vi,9,6,10,7
81,23.375,62.0,4.0,0.1870000000000011,23.0,23.5,vi,9,6,10,7
82,23.562,60.0,2.0,0.0629999999999988,23.5,24.0,IV,5,4,10,3
83,23.625,58.0,0.0,0.3129999999999988,23.5,24.0,IV,5,4,10,3
84,23.938,58.0,0.0,0.0620000000000011,23.5,24.0,IV,5,4,10,3
85,24.0,67.0,9.0,0.125,23.5,24.0,IV,5,4,10,3
86,24.125,65.0,7.0,0.1870000000000011,24.0,24.5,V6,7,5,10,5
87,24.312,65.0,7.0,0.0629999999999988,24.0,24.5,V6,7,5,10,5
88,24.375,62.0,4.0,0.125,24.0,24.5,V6,7,5,10,5
89,24.5,60.0,2.0,0.0620000000000011,24.0,24.5,V6,7,5,10,5
90,24.562,58.0,0.0,0.3129999999999988,24.5,25.5,vi,9,6,10,7
91,24.875,67.0,9.0,0.0629999999999988,24.5,25.5,vi,9,6,10,7
92,24.938,69.0,11.0,0.0620000000000011,24.5,25.5,vi,9,6,10,7
93,25.0,70.0,0.0,0.125,24.5,25.5,vi,9,6,10,7
94,25.125,69.0,11.0,0.0629999999999988,24.5,25.5,vi,9,6,10,7
95,25.188,65.0,7.0,0.0620000000000011,24.5,25.5,vi,9,6,10,7
96,25.25,65.0,7.0,0.125,24.5,25.5,vi,9,6,10,7
97,25.375,62.0,4.0,0.125,24.5,25.5,vi,9,6,10,7
98,25.5,60.0,2.0,0.0620000000000011,24.5,25.5,vi,9,6,10,7
99,25.562,58.0,0.0,0.3759999999999976,25.5,26.0,IV,5,4,10,3
100,25.938,58.0,0.0,0.0620000000000011,25.5,26.0,IV,5,4,10,3
101,26.0,67.0,9.0,0.125,25.5,26.0,IV,5,4,10,3
102,26.125,65.0,7.0,0.1870000000000011,26.0,26.5,V6,7,5,10,5
103,26.312,65.0,7.0,0.0629999999999988,26.0,26.5,V6,7,5,10,5
104,26.375,62.0,4.0,0.125,26.0,26.5,V6,7,5,10,5
105,26.5,62.0,4.0,0.0309999999999988,26.0,26.5,V6,7,5,10,5
106,26.531,60.0,2.0,0.0310000000000023,26.5,27.0,vi,9,6,10,7
107,26.562,58.0,0.0,0.3759999999999976,26.5,27.0,vi,9,6,10,7
108,26.938,55.0,9.0,0.0620000000000011,26.5,27.0,vi,9,6,10,7
109,27.0,62.0,4.0,0.125,26.5,27.0,vi,9,6,10,7
110,27.125,60.0,2.0,0.625,27.0,28.0,ii7,2,2,10,0
111,27.75,67.0,9.0,0.1879999999999988,27.0,28.0,ii7,2,2,10,0
112,27.938,62.0,4.0,0.0620000000000011,27.0,28.0,ii7,2,2,10,0
113,28.0,62.0,4.0,0.0620000000000011,27.0,28.0,ii7,2,2,10,0
114,28.062,60.0,2.0,0.0629999999999988,28.0,29.0,V,7,5,10,5
115,28.125,60.0,2.0,0.5629999999999988,28.0,29.0,V,7,5,10,5
116,28.688,65.0,7.0,0.0620000000000011,28.0,29.0,V,7,5,10,5
117,28.75,67.0,9.0,0.0620000000000011,28.0,29.0,V,7,5,10,5
118,28.812,69.0,11.0,0.1879999999999988,28.0,29.0,V,7,5,10,5
119,29.0,70.0,0.0,0.25,28.0,29.0,V,7,5,10,5
120,29.25,69.0,11.0,0.0620000000000011,29.0,29.5,IV,5,4,10,3
121,29.312,65.0,7.0,0.0629999999999988,29.0,29.5,IV,5,4,10,3
122,29.375,65.0,7.0,0.125,29.0,29.5,IV,5,4,10,3
123,29.5,62.0,4.0,1.25,29.0,29.5,IV,5,4,10,3
124,30.75,55.0,9.0,0.0620000000000011,30.0,31.5,IV,5,4,10,3
125,30.812,62.0,4.0,0.1879999999999988,30.0,31.5,IV,5,4,10,3
126,31.0,62.0,4.0,1.375,30.0,31.5,IV,5,4,10,3
127,32.375,60.0,2.0,0.0309999999999988,31.5,32.5,vi7,9,6,10,7
128,32.406,58.0,0.0,0.0320000000000035,31.5,32.5,vi7,9,6,10,7
129,32.438,55.0,9.0,2.5619999999999976,31.5,32.5,vi7,9,6,10,7
130,35.0,67.0,9.0,0.125,34.0,35.0,ii,2,2,10,0
131,35.125,65.0,7.0,0.125,35.0,35.5,IV,5,4,10,3
132,35.25,62.0,4.0,0.0619999999999976,35.0,35.5,IV,5,4,10,3
133,35.312,60.0,2.0,0.0630000000000023,35.0,35.5,IV,5,4,10,3
134,35.375,62.0,4.0,0.0630000000000023,35.0,35.5,IV,5,4,10,3
135,35.438,60.0,2.0,0.5619999999999976,35.0,35.5,IV,5,4,10,3
136,36.0,60.0,2.0,0.0619999999999976,35.5,36.5,vi7,9,6,10,7
137,36.062,60.0,2.0,0.0630000000000023,35.5,36.5,vi7,9,6,10,7
138,36.125,62.0,4.0,0.125,35.5,36.5,vi7,9,6,10,7
139,36.25,58.0,0.0,0.1880000000000024,35.5,36.5,vi7,9,6,10,7
140,36.438,55.0,9.0,0.5,35.5,36.5,vi7,9,6,10,7
141,36.938,53.0,7.0,0.0619999999999976,36.5,37.5,IV,5,4,10,3
142,37.0,55.0,9.0,0.125,36.5,37.5,IV,5,4,10,3
143,37.125,58.0,0.0,0.125,36.5,37.5,IV,5,4,10,3
144,37.25,65.0,7.0,0.125,36.5,37.5,IV,5,4,10,3
145,37.375,65.0,7.0,0.3130000000000024,36.5,37.5,IV,5,4,10,3
146,37.688,67.0,9.0,0.25,37.5,38.0,I6,0,1,10,10
147,37.938,55.0,9.0,0.0619999999999976,37.5,38.0,I6,0,1,10,10
148,38.0,62.0,4.0,0.125,37.5,38.0,I6,0,1,10,10
149,38.125,61.0,3.0,0.0630000000000023,38.0,38.5,vi,9,6,10,7
150,38.188,60.0,2.0,0.1239999999999952,38.0,38.5,vi,9,6,10,7
151,38.312,58.0,0.0,0.0630000000000023,38.0,38.5,vi,9,6,10,7
152,38.375,60.0,2.0,0.625,38.0,38.5,vi,9,6,10,7
153,39.0,67.0,9.0,0.125,38.5,39.0,ii,2,2,10,0
154,39.125,65.0,7.0,0.125,39.0,39.5,IV,5,4,10,3
155,39.25,62.0,4.0,0.125,39.0,39.5,IV,5,4,10,3
156,39.375,62.0,4.0,0.0630000000000023,39.0,39.5,IV,5,4,10,3
157,39.438,60.0,2.0,0.5,39.0,39.5,IV,5,4,10,3
158,39.938,58.0,0.0,0.0619999999999976,39.5,40.5,vi7,9,6,10,7
159,40.0,60.0,2.0,0.125,39.5,40.5,vi7,9,6,10,7
160,40.125,62.0,4.0,0.125,39.5,40.5,vi7,9,6,10,7
161,40.25,58.0,0.0,0.125,39.5,40.5,vi7,9,6,10,7
162,40.375,55.0,9.0,0.5630000000000024,39.5,40.5,vi7,9,6,10,7
163,40.938,53.0,7.0,0.0619999999999976,40.5,41.5,IV,5,4,10,3
164,41.0,55.0,9.0,0.125,40.5,41.5,IV,5,4,10,3
165,41.125,58.0,0.0,0.125,40.5,41.5,IV,5,4,10,3
166,41.25,65.0,7.0,0.125,40.5,41.5,IV,5,4,10,3
167,41.375,65.0,7.0,0.25,40.5,41.5,IV,5,4,10,3
168,41.625,67.0,9.0,0.3130000000000024,41.5,42.0,I6,0,1,10,10
169,41.938,58.0,0.0,0.0619999999999976,41.5,42.0,I6,0,1,10,10
170,42.0,61.0,3.0,0.0619999999999976,41.5,42.0,I6,0,1,10,10
171,42.062,61.0,3.0,0.0630000000000023,42.0,42.5,vi,9,6,10,7
172,42.125,60.0,2.0,0.125,42.0,42.5,vi,9,6,10,7
173,42.25,58.0,0.0,0.0619999999999976,42.0,42.5,vi,9,6,10,7
174,42.312,58.0,0.0,0.0630000000000023,42.0,42.5,vi,9,6,10,7
175,42.375,60.0,2.0,0.8130000000000024,42.0,42.5,vi,9,6,10,7
176,43.188,65.0,7.0,0.0619999999999976,42.5,44.0,ii,2,2,10,0
177,43.25,67.0,9.0,0.0619999999999976,42.5,44.0,ii,2,2,10,0
178,43.312,69.0,11.0,0.1880000000000024,42.5,44.0,ii,2,2,10,0
179,43.5,70.0,0.0,0.125,42.5,44.0,ii,2,2,10,0
180,43.625,70.0,0.0,0.125,42.5,44.0,ii,2,2,10,0
181,43.75,70.0,0.0,0.125,42.5,44.0,ii,2,2,10,0
182,43.875,67.0,9.0,0.0630000000000023,42.5,44.0,ii,2,2,10,0
183,43.938,65.0,7.0,1.75,42.5,44.0,ii,2,2,10,0
184,45.688,58.0,0.0,0.0619999999999976,45.5,46.0,I6,0,1,10,10
185,45.75,70.0,0.0,0.0619999999999976,45.5,46.0,I6,0,1,10,10
186,45.812,69.0,11.0,0.1880000000000024,45.5,46.0,I6,0,1,10,10
187,46.0,67.0,9.0,0.1880000000000024,45.5,46.0,I6,0,1,10,10
188,46.188,62.0,4.0,0.0619999999999976,46.0,46.5,IV,5,4,10,3
189,46.25,65.0,7.0,0.0619999999999976,46.0,46.5,IV,5,4,10,3
190,46.312,62.0,4.0,0.0630000000000023,46.0,46.5,IV,5,4,10,3
191,46.375,65.0,7.0,0.125,46.0,46.5,IV,5,4,10,3
192,46.5,62.0,4.0,0.25,46.0,46.5,IV,5,4,10,3
193,46.75,62.0,4.0,0.0619999999999976,46.5,47.0,I,0,1,10,10
194,46.812,60.0,2.0,0.1260000000000047,46.5,47.0,I,0,1,10,10
195,46.938,60.0,2.0,0.0619999999999976,46.5,47.0,I,0,1,10,10
196,47.0,58.0,0.0,0.75,46.5,47.0,I,0,1,10,10
197,47.75,70.0,0.0,0.0619999999999976,47.0,48.5,IV,5,4,10,3
198,47.812,69.0,11.0,0.1880000000000024,47.0,48.5,IV,5,4,10,3
199,48.0,67.0,9.0,0.1880000000000024,47.0,48.5,IV,5,4,10,3
200,48.188,62.0,4.0,0.0619999999999976,47.0,48.5,IV,5,4,10,3
201,48.25,65.0,7.0,0.125,47.0,48.5,IV,5,4,10,3
202,48.375,65.0,7.0,0.25,47.0,48.5,IV,5,4,10,3
203,48.625,62.0,4.0,0.0940000000000012,48.5,49.5,I,0,1,10,10
204,48.719,60.0,2.0,0.0309999999999988,48.5,49.5,I,0,1,10,10
