,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.812,75.0,7.0,0.1879999999999997,7.5,9.0,I,0,1,8,8
1,8.0,72.0,4.0,0.375,7.5,9.0,I,0,1,8,8
2,8.375,70.0,2.0,0.375,7.5,9.0,I,0,1,8,8
3,8.75,72.0,4.0,0.125,7.5,9.0,I,0,1,8,8
4,8.875,70.0,2.0,0.0630000000000006,7.5,9.0,I,0,1,8,8
5,8.938,68.0,0.0,0.0619999999999993,7.5,9.0,I,0,1,8,8
6,9.0,70.0,2.0,0.125,7.5,9.0,I,0,1,8,8
7,9.125,68.0,0.0,0.5,9.0,9.5,IV,5,4,8,1
8,9.625,68.0,0.0,0.0630000000000006,9.5,9.75,ii,2,2,8,10
9,9.688,65.0,9.0,0.0619999999999993,9.5,9.75,ii,2,2,8,10
10,9.75,70.0,2.0,0.0619999999999993,9.5,9.75,ii,2,2,8,10
11,9.812,65.0,9.0,0.0630000000000006,9.75,10.0,V,7,5,8,3
12,9.875,65.0,9.0,0.4369999999999994,9.75,10.0,V,7,5,8,3
13,10.312,70.0,2.0,0.1880000000000006,10.25,10.5,I6,0,1,8,8
14,10.5,68.0,0.0,1.5,10.25,10.5,I6,0,1,8,8
15,12.0,63.0,7.0,0.0619999999999993,11.5,13.0,I,0,1,8,8
16,12.062,65.0,9.0,0.1260000000000012,11.5,13.0,I,0,1,8,8
17,12.188,68.0,0.0,0.1239999999999987,11.5,13.0,I,0,1,8,8
18,12.312,70.0,2.0,0.1260000000000012,11.5,13.0,I,0,1,8,8
19,12.438,70.0,2.0,0.1239999999999987,11.5,13.0,I,0,1,8,8
20,12.562,65.0,9.0,0.1260000000000012,11.5,13.0,I,0,1,8,8
21,12.688,65.0,9.0,0.25,11.5,13.0,I,0,1,8,8
22,12.938,65.0,9.0,0.0619999999999993,11.5,13.0,I,0,1,8,8
23,13.0,63.0,7.0,0.0619999999999993,11.5,13.0,I,0,1,8,8
24,13.062,63.0,7.0,0.0630000000000006,13.0,14.0,IV,5,4,8,1
25,13.125,65.0,9.0,0.125,13.0,14.0,IV,5,4,8,1
26,13.25,68.0,0.0,0.0619999999999993,13.0,14.0,IV,5,4,8,1
27,13.312,70.0,2.0,0.1260000000000012,13.0,14.0,IV,5,4,8,1
28,13.438,72.0,4.0,0.4369999999999994,13.0,14.0,IV,5,4,8,1
29,13.875,72.0,4.0,0.125,13.0,14.0,IV,5,4,8,1
30,14.0,75.0,7.0,0.0619999999999993,13.0,14.0,IV,5,4,8,1
31,14.062,72.0,4.0,0.1260000000000012,14.0,14.25,vi,9,6,8,5
32,14.188,72.0,4.0,0.1239999999999987,14.0,14.25,vi,9,6,8,5
33,14.312,70.0,2.0,0.1260000000000012,14.25,14.5,I6,0,1,8,8
34,14.438,72.0,4.0,0.1239999999999987,14.25,14.5,I6,0,1,8,8
35,14.562,68.0,0.0,0.1260000000000012,14.5,14.75,IV,5,4,8,1
36,14.688,68.0,0.0,0.1239999999999987,14.5,14.75,IV,5,4,8,1
37,14.812,65.0,9.0,0.1880000000000006,14.75,15.0,I,0,1,8,8
38,15.0,68.0,0.0,0.125,14.75,15.0,I,0,1,8,8
39,15.125,65.0,9.0,0.125,15.0,15.25,ii,2,2,8,10
40,15.25,68.0,0.0,0.0619999999999993,15.0,15.25,ii,2,2,8,10
