,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.625,53.0,3.0,0.625,8.0,9.0,I,0,1,2,2
1,9.25,50.0,0.0,0.125,9.0,10.0,IV,5,4,2,7
2,9.375,47.0,9.0,0.125,9.0,10.0,IV,5,4,2,7
3,9.5,50.0,0.0,0.125,9.0,10.0,IV,5,4,2,7
4,9.625,52.0,2.0,0.25,9.0,10.0,IV,5,4,2,7
5,9.875,54.0,4.0,2.75,9.0,10.0,IV,5,4,2,7
6,12.625,53.0,3.0,0.0630000000000006,12.0,13.0,I,0,1,2,2
7,12.688,53.0,3.0,0.1239999999999987,12.0,13.0,I,0,1,2,2
8,12.812,53.0,3.0,0.1880000000000006,12.0,13.0,I,0,1,2,2
9,13.0,53.0,3.0,0.125,12.0,13.0,I,0,1,2,2
10,13.125,47.0,9.0,0.5,13.0,14.0,IV,5,4,2,7
11,13.625,48.0,10.0,0.125,13.0,14.0,IV,5,4,2,7
12,13.75,50.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
13,13.875,54.0,4.0,2.375,13.0,14.0,IV,5,4,2,7
14,16.25,54.0,4.0,0.125,16.0,17.0,I,0,1,2,2
15,16.375,54.0,4.0,0.125,16.0,17.0,I,0,1,2,2
16,16.5,54.0,4.0,0.125,16.0,17.0,I,0,1,2,2
17,16.625,52.0,2.0,0.125,16.0,17.0,I,0,1,2,2
18,16.75,50.0,0.0,0.375,16.0,17.0,I,0,1,2,2
19,17.125,54.0,4.0,0.125,17.0,18.0,III,4,3,2,6
20,17.25,54.0,4.0,0.125,17.0,18.0,III,4,3,2,6
21,17.375,54.0,4.0,0.75,17.0,18.0,III,4,3,2,6
22,18.125,55.0,5.0,0.125,18.0,19.0,IV,5,4,2,7
23,18.25,55.0,5.0,0.125,18.0,19.0,IV,5,4,2,7
24,18.375,55.0,5.0,0.125,18.0,19.0,IV,5,4,2,7
25,18.5,55.0,5.0,0.125,18.0,19.0,IV,5,4,2,7
26,18.625,55.0,5.0,0.125,18.0,19.0,IV,5,4,2,7
27,18.75,55.0,5.0,0.25,18.0,19.0,IV,5,4,2,7
28,19.0,53.0,3.0,0.125,18.0,19.0,IV,5,4,2,7
29,19.125,53.0,3.0,0.125,19.0,20.0,V,7,5,2,9
30,19.25,53.0,3.0,0.125,19.0,20.0,V,7,5,2,9
31,19.375,50.0,0.0,0.25,19.0,20.0,V,7,5,2,9
32,19.625,52.0,2.0,1.0,19.0,20.0,V,7,5,2,9
33,20.625,53.0,3.0,0.625,20.0,21.0,I,0,1,2,2
34,21.25,50.0,0.0,0.125,21.0,22.0,IV,5,4,2,7
35,21.375,47.0,9.0,0.125,21.0,22.0,IV,5,4,2,7
36,21.5,50.0,0.0,0.125,21.0,22.0,IV,5,4,2,7
37,21.625,50.0,0.0,0.25,21.0,22.0,IV,5,4,2,7
38,21.875,50.0,0.0,4.25,21.0,22.0,IV,5,4,2,7
39,26.125,53.0,3.0,0.125,26.0,27.0,I,0,1,2,2
40,26.25,53.0,3.0,0.125,26.0,27.0,I,0,1,2,2
41,26.375,53.0,3.0,0.875,26.0,27.0,I,0,1,2,2
42,27.25,52.0,2.0,0.125,27.0,28.0,IV,5,4,2,7
43,27.375,50.0,0.0,0.125,27.0,28.0,IV,5,4,2,7
44,27.5,52.0,2.0,0.125,27.0,28.0,IV,5,4,2,7
45,27.625,50.0,0.0,0.125,27.0,28.0,IV,5,4,2,7
46,27.75,52.0,2.0,0.125,27.0,28.0,IV,5,4,2,7
47,27.875,54.0,4.0,2.25,27.0,28.0,IV,5,4,2,7
48,30.125,53.0,3.0,0.125,30.0,31.0,I,0,1,2,2
49,30.25,53.0,3.0,0.125,30.0,31.0,I,0,1,2,2
50,30.375,53.0,3.0,0.75,30.0,31.0,I,0,1,2,2
51,31.125,47.0,9.0,0.125,31.0,32.0,IV,5,4,2,7
52,31.25,53.0,3.0,0.125,31.0,32.0,IV,5,4,2,7
53,31.375,53.0,3.0,0.0629999999999988,31.0,32.0,IV,5,4,2,7
54,31.438,52.0,2.0,0.1870000000000011,31.0,32.0,IV,5,4,2,7
55,31.625,52.0,2.0,0.125,31.0,32.0,IV,5,4,2,7
56,31.75,50.0,0.0,0.0620000000000011,31.0,32.0,IV,5,4,2,7
57,31.812,47.0,9.0,0.0629999999999988,31.0,32.0,IV,5,4,2,7
58,31.875,54.0,4.0,2.25,31.0,32.0,IV,5,4,2,7
59,34.125,54.0,4.0,0.125,34.0,35.0,I,0,1,2,2
60,34.25,54.0,4.0,0.0619999999999976,34.0,35.0,I,0,1,2,2
61,34.312,54.0,4.0,0.0630000000000023,34.0,35.0,I,0,1,2,2
62,34.375,54.0,4.0,0.125,34.0,35.0,I,0,1,2,2
63,34.5,54.0,4.0,0.375,34.0,35.0,I,0,1,2,2
64,34.875,49.0,11.0,0.125,34.0,35.0,I,0,1,2,2
65,35.0,54.0,4.0,0.0619999999999976,34.0,35.0,I,0,1,2,2
66,35.062,54.0,4.0,0.1260000000000047,35.0,36.0,III,4,3,2,6
67,35.188,54.0,4.0,0.1239999999999952,35.0,36.0,III,4,3,2,6
68,35.312,54.0,4.0,0.1260000000000047,35.0,36.0,III,4,3,2,6
69,35.438,54.0,4.0,0.6869999999999976,35.0,36.0,III,4,3,2,6
70,36.125,55.0,5.0,0.125,36.0,37.0,IV,5,4,2,7
71,36.25,55.0,5.0,0.125,36.0,37.0,IV,5,4,2,7
72,36.375,55.0,5.0,0.25,36.0,37.0,IV,5,4,2,7
73,36.625,55.0,5.0,0.125,36.0,37.0,IV,5,4,2,7
74,36.75,55.0,5.0,0.125,36.0,37.0,IV,5,4,2,7
75,36.875,55.0,5.0,0.125,36.0,37.0,IV,5,4,2,7
76,37.0,52.0,2.0,0.0619999999999976,36.0,37.0,IV,5,4,2,7
77,37.062,52.0,2.0,0.0630000000000023,37.0,38.0,V,7,5,2,9
78,37.125,53.0,3.0,0.125,37.0,38.0,V,7,5,2,9
79,37.25,53.0,3.0,0.125,37.0,38.0,V,7,5,2,9
80,37.375,53.0,3.0,0.125,37.0,38.0,V,7,5,2,9
81,37.5,50.0,0.0,0.125,37.0,38.0,V,7,5,2,9
82,37.625,52.0,2.0,1.0,37.0,38.0,V,7,5,2,9
83,38.625,53.0,3.0,0.625,38.0,39.0,I,0,1,2,2
84,39.25,50.0,0.0,0.125,39.0,40.0,IV,5,4,2,7
85,39.375,47.0,9.0,0.125,39.0,40.0,IV,5,4,2,7
86,39.5,50.0,0.0,0.125,39.0,40.0,IV,5,4,2,7
87,39.625,50.0,0.0,0.25,39.0,40.0,IV,5,4,2,7
88,39.875,50.0,0.0,4.25,39.0,40.0,IV,5,4,2,7
89,44.125,53.0,3.0,0.125,44.0,45.0,I,0,1,2,2
90,44.25,53.0,3.0,0.125,44.0,45.0,I,0,1,2,2
