,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.833,58.0,4.0,0.0839999999999996,3.0,4.0,V7,7,5,6,1
1,3.917,59.0,5.0,0.0830000000000001,3.0,4.0,V7,7,5,6,1
2,4.0,61.0,7.0,0.8330000000000002,3.0,4.0,V7,7,5,6,1
3,4.833,63.0,9.0,0.0839999999999996,4.0,5.0,I,0,1,6,6
4,4.917,65.0,11.0,0.0830000000000001,4.0,5.0,I,0,1,6,6
5,5.0,65.0,11.0,0.25,4.0,5.0,I,0,1,6,6
6,5.25,63.0,9.0,0.5,5.0,6.0,vi,9,6,6,3
7,5.75,63.0,9.0,0.0830000000000001,5.0,6.0,vi,9,6,6,3
8,5.833,61.0,7.0,0.0839999999999996,5.0,6.0,vi,9,6,6,3
9,5.917,63.0,9.0,0.0830000000000001,5.0,6.0,vi,9,6,6,3
10,6.0,59.0,5.0,0.0830000000000001,5.0,6.0,vi,9,6,6,3
11,6.083,59.0,5.0,0.6669999999999998,6.0,7.0,IV,5,4,6,11
12,6.75,63.0,9.0,0.0830000000000001,6.0,7.0,IV,5,4,6,11
13,6.833,61.0,7.0,0.0839999999999996,6.0,7.0,IV,5,4,6,11
14,6.917,63.0,9.0,0.0830000000000001,6.0,7.0,IV,5,4,6,11
15,7.0,63.0,9.0,0.25,6.0,7.0,IV,5,4,6,11
16,7.25,61.0,7.0,0.5830000000000002,7.0,8.0,V7,7,5,6,1
17,7.833,58.0,4.0,0.0839999999999996,7.0,8.0,V7,7,5,6,1
18,7.917,59.0,5.0,0.0830000000000001,7.0,8.0,V7,7,5,6,1
19,8.0,61.0,7.0,0.75,7.0,8.0,V7,7,5,6,1
20,8.75,65.0,11.0,0.0830000000000001,8.0,9.0,I,0,1,6,6
21,8.833,63.0,9.0,0.0839999999999996,8.0,9.0,I,0,1,6,6
22,8.917,65.0,11.0,0.0830000000000001,8.0,9.0,I,0,1,6,6
23,9.0,65.0,11.0,0.25,8.0,9.0,I,0,1,6,6
24,9.25,63.0,9.0,0.5,9.0,10.0,vi,9,6,6,3
25,9.75,63.0,9.0,0.0830000000000001,9.0,10.0,vi,9,6,6,3
26,9.833,61.0,7.0,0.0839999999999996,9.0,10.0,vi,9,6,6,3
27,9.917,63.0,9.0,0.0830000000000001,9.0,10.0,vi,9,6,6,3
28,10.0,59.0,5.0,0.0830000000000001,9.0,10.0,vi,9,6,6,3
29,10.083,59.0,5.0,0.6669999999999998,10.0,11.0,IV,5,4,6,11
30,10.75,63.0,9.0,0.0830000000000001,10.0,11.0,IV,5,4,6,11
31,10.833,61.0,7.0,0.0839999999999996,10.0,11.0,IV,5,4,6,11
