,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,5.5,68.0,5.0,0.056,4.0,6.0,bVIId7,10,7,3,1
1,5.556,68.0,5.0,0.0549999999999997,4.0,6.0,bVIId7,10,7,3,1
2,5.611,68.0,5.0,0.056,4.0,6.0,bVIId7,10,7,3,1
3,5.667,70.0,7.0,0.1109999999999997,4.0,6.0,bVIId7,10,7,3,1
4,5.778,68.0,5.0,0.0550000000000006,4.0,6.0,bVIId7,10,7,3,1
5,5.833,66.0,3.0,0.1109999999999997,4.0,6.0,bVIId7,10,7,3,1
6,5.944,68.0,5.0,1.9450000000000005,4.0,6.0,bVIId7,10,7,3,1
7,7.889,68.0,5.0,0.0549999999999997,7.0,8.0,v,7,5,3,10
8,7.944,68.0,5.0,0.056,7.0,8.0,v,7,5,3,10
9,8.0,68.0,5.0,0.0559999999999991,7.0,8.0,v,7,5,3,10
10,8.056,70.0,7.0,0.1110000000000006,8.0,9.0,i,0,1,3,3
11,8.167,68.0,5.0,0.0549999999999997,8.0,9.0,i,0,1,3,3
12,8.222,66.0,3.0,0.1110000000000006,8.0,9.0,i,0,1,3,3
13,8.333,68.0,5.0,2.334,8.0,9.0,i,0,1,3,3
14,10.667,63.0,0.0,0.0549999999999997,10.0,12.0,iv7,5,4,3,8
15,10.722,61.0,10.0,0.0560000000000009,10.0,12.0,iv7,5,4,3,8
16,10.778,63.0,0.0,0.0549999999999997,10.0,12.0,iv7,5,4,3,8
17,10.833,61.0,10.0,0.1110000000000006,10.0,12.0,iv7,5,4,3,8
18,10.944,63.0,0.0,0.1119999999999983,10.0,12.0,iv7,5,4,3,8
19,11.056,66.0,3.0,0.1110000000000006,10.0,12.0,iv7,5,4,3,8
20,11.167,63.0,0.0,0.8330000000000002,10.0,12.0,iv7,5,4,3,8
21,12.0,70.0,7.0,0.1669999999999998,10.0,12.0,iv7,5,4,3,8
22,12.167,68.0,5.0,0.1110000000000006,12.0,14.0,V,7,5,3,10
23,12.278,66.0,3.0,0.9439999999999992,12.0,14.0,V,7,5,3,10
24,13.222,58.0,7.0,0.0560000000000009,12.0,14.0,V,7,5,3,10
25,13.278,63.0,0.0,0.3889999999999993,12.0,14.0,V,7,5,3,10
26,13.667,58.0,7.0,0.1110000000000006,12.0,14.0,V,7,5,3,10
27,13.778,63.0,0.0,0.0549999999999997,12.0,14.0,V,7,5,3,10
28,13.833,63.0,0.0,0.0559999999999991,12.0,14.0,V,7,5,3,10
29,13.889,61.0,10.0,0.1110000000000006,12.0,14.0,V,7,5,3,10
30,14.0,63.0,0.0,0.0830000000000001,12.0,14.0,V,7,5,3,10
31,14.083,66.0,3.0,0.0839999999999996,14.0,15.0,i,0,1,3,3
32,14.167,65.0,2.0,0.0830000000000001,14.0,15.0,i,0,1,3,3
33,14.25,63.0,0.0,2.9170000000000016,14.0,15.0,i,0,1,3,3
34,17.167,63.0,0.0,0.0829999999999984,17.0,18.0,v,7,5,3,10
35,17.25,70.0,7.0,1.0829999999999984,17.0,18.0,v,7,5,3,10
36,18.333,70.0,7.0,0.1670000000000016,18.0,19.0,i,0,1,3,3
37,18.5,68.0,5.0,0.1110000000000006,18.0,19.0,i,0,1,3,3
38,18.611,66.0,3.0,0.0560000000000009,18.0,19.0,i,0,1,3,3
39,18.667,68.0,5.0,1.4159999999999968,18.0,19.0,i,0,1,3,3
40,20.083,58.0,7.0,0.0840000000000031,20.0,21.0,i,0,1,3,3
41,20.167,63.0,0.0,0.0829999999999984,20.0,21.0,i,0,1,3,3
42,20.25,61.0,10.0,0.0829999999999984,20.0,21.0,i,0,1,3,3
43,20.333,63.0,0.0,0.0840000000000031,20.0,21.0,i,0,1,3,3
44,20.417,61.0,10.0,0.1659999999999968,20.0,21.0,i,0,1,3,3
45,20.583,66.0,3.0,0.0840000000000031,20.0,21.0,i,0,1,3,3
46,20.667,63.0,0.0,1.6659999999999968,20.0,21.0,i,0,1,3,3
47,22.333,70.0,7.0,0.1670000000000016,22.0,23.0,i,0,1,3,3
48,22.5,68.0,5.0,0.0829999999999984,22.0,23.0,i,0,1,3,3
49,22.583,66.0,3.0,0.0840000000000031,22.0,23.0,i,0,1,3,3
50,22.667,69.0,6.0,0.1659999999999968,22.0,23.0,i,0,1,3,3
51,22.833,68.0,5.0,0.0840000000000031,22.0,23.0,i,0,1,3,3
52,22.917,66.0,3.0,0.0829999999999984,22.0,23.0,i,0,1,3,3
53,23.0,68.0,5.0,1.5829999999999984,22.0,23.0,i,0,1,3,3
54,24.583,58.0,7.0,0.0840000000000031,24.0,25.0,i,0,1,3,3
55,24.667,63.0,0.0,0.0829999999999984,24.0,25.0,i,0,1,3,3
56,24.75,63.0,0.0,0.0420000000000015,24.0,25.0,i,0,1,3,3
57,24.792,61.0,10.0,0.0829999999999984,24.0,25.0,i,0,1,3,3
58,24.875,63.0,0.0,0.125,24.0,25.0,i,0,1,3,3
59,25.0,61.0,10.0,0.0420000000000015,24.0,25.0,i,0,1,3,3
60,25.042,63.0,0.0,0.125,25.0,26.0,v,7,5,3,10
61,25.167,61.0,10.0,0.0829999999999984,25.0,26.0,v,7,5,3,10
62,25.25,58.0,7.0,0.0829999999999984,25.0,26.0,v,7,5,3,10
63,25.333,56.0,5.0,0.0840000000000031,25.0,26.0,v,7,5,3,10
64,25.417,51.0,0.0,1.25,25.0,26.0,v,7,5,3,10
65,26.667,70.0,7.0,0.1659999999999968,26.0,27.0,i,0,1,3,3
66,26.833,70.0,7.0,0.0840000000000031,26.0,27.0,i,0,1,3,3
67,26.917,68.0,5.0,0.0269999999999974,26.0,27.0,i,0,1,3,3
68,26.944,68.0,5.0,0.0560000000000009,26.0,27.0,i,0,1,3,3
69,27.0,70.0,7.0,0.1110000000000006,26.0,27.0,i,0,1,3,3
70,27.111,68.0,5.0,0.0560000000000009,27.0,28.0,v,7,5,3,10
71,27.167,68.0,5.0,1.0549999999999995,27.0,28.0,v,7,5,3,10
72,28.222,56.0,5.0,0.1109999999999971,28.0,29.0,i,0,1,3,3
73,28.333,63.0,0.0,0.1110000000000006,28.0,29.0,i,0,1,3,3
74,28.444,61.0,10.0,0.0560000000000009,28.0,29.0,i,0,1,3,3
75,28.5,63.0,0.0,0.1670000000000016,28.0,29.0,i,0,1,3,3
76,28.667,61.0,10.0,0.0549999999999997,28.0,29.0,i,0,1,3,3
77,28.722,63.0,0.0,0.0559999999999973,28.0,29.0,i,0,1,3,3
78,28.778,66.0,3.0,0.1660000000000003,28.0,29.0,i,0,1,3,3
79,28.944,63.0,0.0,1.7780000000000022,28.0,29.0,i,0,1,3,3
80,30.722,70.0,7.0,0.166999999999998,30.0,31.0,i,0,1,3,3
81,30.889,70.0,7.0,0.1110000000000006,30.0,31.0,i,0,1,3,3
82,31.0,68.0,5.0,0.0560000000000009,30.0,31.0,i,0,1,3,3
