,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,11.875,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
1,12.0,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
2,12.125,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
3,12.25,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
4,12.375,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
5,12.5,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
6,12.625,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
7,12.75,63.0,5.0,0.125,10.0,16.0,I,0,1,10,10
8,12.875,62.0,4.0,0.125,10.0,16.0,I,0,1,10,10
9,13.0,63.0,5.0,0.125,10.0,16.0,I,0,1,10,10
10,13.125,62.0,4.0,0.25,10.0,16.0,I,0,1,10,10
11,13.375,65.0,7.0,0.5,10.0,16.0,I,0,1,10,10
12,13.875,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
13,14.0,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
14,14.125,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
15,14.25,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
16,14.375,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
17,14.5,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
18,14.625,62.0,4.0,0.125,10.0,16.0,I,0,1,10,10
19,14.75,63.0,5.0,0.125,10.0,16.0,I,0,1,10,10
20,14.875,62.0,4.0,0.125,10.0,16.0,I,0,1,10,10
21,15.0,63.0,5.0,0.125,10.0,16.0,I,0,1,10,10
22,15.125,62.0,4.0,0.25,10.0,16.0,I,0,1,10,10
23,15.375,58.0,0.0,0.5,10.0,16.0,I,0,1,10,10
24,15.875,58.0,0.0,0.125,10.0,16.0,I,0,1,10,10
25,16.0,65.0,7.0,0.125,10.0,16.0,I,0,1,10,10
26,16.125,61.0,3.0,0.125,16.0,18.0,IV,5,4,10,3
27,16.25,63.0,5.0,0.25,16.0,18.0,IV,5,4,10,3
28,16.5,63.0,5.0,0.125,16.0,18.0,IV,5,4,10,3
29,16.625,61.0,3.0,0.125,16.0,18.0,IV,5,4,10,3
30,16.75,63.0,5.0,0.125,16.0,18.0,IV,5,4,10,3
31,16.875,61.0,3.0,0.125,16.0,18.0,IV,5,4,10,3
32,17.0,63.0,5.0,0.25,16.0,18.0,IV,5,4,10,3
33,17.25,61.0,3.0,0.125,16.0,18.0,IV,5,4,10,3
34,17.375,65.0,7.0,0.5,16.0,18.0,IV,5,4,10,3
35,17.875,65.0,7.0,0.125,16.0,18.0,IV,5,4,10,3
36,18.0,65.0,7.0,0.125,16.0,18.0,IV,5,4,10,3
37,18.125,65.0,7.0,0.125,18.0,20.0,I,0,1,10,10
38,18.25,65.0,7.0,0.125,18.0,20.0,I,0,1,10,10
39,18.375,62.0,4.0,0.125,18.0,20.0,I,0,1,10,10
40,18.5,65.0,7.0,0.125,18.0,20.0,I,0,1,10,10
41,18.625,62.0,4.0,0.125,18.0,20.0,I,0,1,10,10
42,18.75,63.0,5.0,0.125,18.0,20.0,I,0,1,10,10
43,18.875,62.0,4.0,0.125,18.0,20.0,I,0,1,10,10
44,19.0,63.0,5.0,0.125,18.0,20.0,I,0,1,10,10
45,19.125,62.0,4.0,0.125,18.0,20.0,I,0,1,10,10
46,19.25,58.0,0.0,0.125,18.0,20.0,I,0,1,10,10
47,19.375,58.0,0.0,0.5,18.0,20.0,I,0,1,10,10
48,19.875,65.0,7.0,0.125,18.0,20.0,I,0,1,10,10
49,20.0,65.0,7.0,0.125,18.0,20.0,I,0,1,10,10
50,20.125,62.0,4.0,0.125,20.0,22.0,V,7,5,10,5
51,20.25,63.0,5.0,0.125,20.0,22.0,V,7,5,10,5
52,20.375,62.0,4.0,0.125,20.0,22.0,V,7,5,10,5
53,20.5,63.0,5.0,0.125,20.0,22.0,V,7,5,10,5
54,20.625,62.0,4.0,0.125,20.0,22.0,V,7,5,10,5
55,20.75,63.0,5.0,0.125,20.0,22.0,V,7,5,10,5
56,20.875,62.0,4.0,0.125,20.0,22.0,V,7,5,10,5
57,21.0,63.0,5.0,0.25,20.0,22.0,V,7,5,10,5
58,21.25,62.0,4.0,0.125,20.0,22.0,V,7,5,10,5
59,21.375,65.0,7.0,0.25,20.0,22.0,V,7,5,10,5
60,21.625,58.0,0.0,0.125,20.0,22.0,V,7,5,10,5
61,21.75,62.0,4.0,0.125,20.0,22.0,V,7,5,10,5
62,21.875,63.0,5.0,0.125,20.0,22.0,V,7,5,10,5
63,22.0,65.0,7.0,0.125,20.0,22.0,V,7,5,10,5
64,22.125,65.0,7.0,0.125,22.0,28.0,I,0,1,10,10
65,22.25,65.0,7.0,0.125,22.0,28.0,I,0,1,10,10
66,22.375,65.0,7.0,0.25,22.0,28.0,I,0,1,10,10
67,22.625,62.0,4.0,0.125,22.0,28.0,I,0,1,10,10
68,22.75,63.0,5.0,0.125,22.0,28.0,I,0,1,10,10
69,22.875,62.0,4.0,0.125,22.0,28.0,I,0,1,10,10
70,23.0,63.0,5.0,0.125,22.0,28.0,I,0,1,10,10
71,23.125,62.0,4.0,0.125,22.0,28.0,I,0,1,10,10
72,23.25,58.0,0.0,0.125,22.0,28.0,I,0,1,10,10
73,23.375,58.0,0.0,0.25,22.0,28.0,I,0,1,10,10
74,23.625,65.0,7.0,0.25,22.0,28.0,I,0,1,10,10
75,23.875,65.0,7.0,1.0,22.0,28.0,I,0,1,10,10
76,24.875,65.0,7.0,0.375,22.0,28.0,I,0,1,10,10
77,25.25,63.0,5.0,0.125,22.0,28.0,I,0,1,10,10
78,25.375,62.0,4.0,0.125,22.0,28.0,I,0,1,10,10
79,25.5,65.0,7.0,0.375,22.0,28.0,I,0,1,10,10
80,25.875,65.0,7.0,1.0,22.0,28.0,I,0,1,10,10
81,26.875,65.0,7.0,0.375,22.0,28.0,I,0,1,10,10
82,27.25,63.0,5.0,0.125,22.0,28.0,I,0,1,10,10
83,27.375,62.0,4.0,0.125,22.0,28.0,I,0,1,10,10
84,27.5,65.0,7.0,0.375,22.0,28.0,I,0,1,10,10
85,27.875,65.0,7.0,1.0,22.0,28.0,I,0,1,10,10
86,28.875,65.0,7.0,0.375,28.0,30.0,IV,5,4,10,3
87,29.25,63.0,5.0,0.125,28.0,30.0,IV,5,4,10,3
88,29.375,62.0,4.0,0.125,28.0,30.0,IV,5,4,10,3
89,29.5,65.0,7.0,0.375,28.0,30.0,IV,5,4,10,3
90,29.875,65.0,7.0,1.0,28.0,30.0,IV,5,4,10,3
91,30.875,65.0,7.0,0.375,30.0,32.0,I,0,1,10,10
92,31.25,63.0,5.0,0.125,30.0,32.0,I,0,1,10,10
93,31.375,62.0,4.0,0.125,30.0,32.0,I,0,1,10,10
94,31.5,65.0,7.0,0.375,30.0,32.0,I,0,1,10,10
95,31.875,65.0,7.0,1.625,30.0,32.0,I,0,1,10,10
96,33.5,63.0,5.0,0.125,32.0,34.0,V,7,5,10,5
97,33.625,62.0,4.0,0.125,32.0,34.0,V,7,5,10,5
98,33.75,58.0,0.0,0.125,32.0,34.0,V,7,5,10,5
99,33.875,58.0,0.0,1.75,32.0,34.0,V,7,5,10,5
100,35.625,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
101,35.75,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
102,35.875,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
103,36.0,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
104,36.125,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
105,36.25,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
106,36.375,62.0,4.0,0.125,34.0,40.0,I,0,1,10,10
107,36.5,65.0,7.0,0.25,34.0,40.0,I,0,1,10,10
108,36.75,63.0,5.0,0.125,34.0,40.0,I,0,1,10,10
109,36.875,62.0,4.0,0.125,34.0,40.0,I,0,1,10,10
110,37.0,63.0,5.0,0.125,34.0,40.0,I,0,1,10,10
111,37.125,62.0,4.0,0.25,34.0,40.0,I,0,1,10,10
112,37.375,65.0,7.0,0.5,34.0,40.0,I,0,1,10,10
113,37.875,62.0,4.0,0.125,34.0,40.0,I,0,1,10,10
114,38.0,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
115,38.125,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
116,38.25,65.0,7.0,0.125,34.0,40.0,I,0,1,10,10
117,38.375,62.0,4.0,0.125,34.0,40.0,I,0,1,10,10
118,38.5,65.0,7.0,0.25,34.0,40.0,I,0,1,10,10
119,38.75,63.0,5.0,0.125,34.0,40.0,I,0,1,10,10
120,38.875,62.0,4.0,0.125,34.0,40.0,I,0,1,10,10
121,39.0,63.0,5.0,0.125,34.0,40.0,I,0,1,10,10
122,39.125,61.0,3.0,0.25,34.0,40.0,I,0,1,10,10
123,39.375,58.0,0.0,0.25,34.0,40.0,I,0,1,10,10
124,39.625,67.0,9.0,0.25,34.0,40.0,I,0,1,10,10
125,39.875,61.0,3.0,0.25,34.0,40.0,I,0,1,10,10
126,40.125,61.0,3.0,0.125,40.0,42.0,IV,5,4,10,3
127,40.25,61.0,3.0,0.125,40.0,42.0,IV,5,4,10,3
128,40.375,61.0,3.0,0.125,40.0,42.0,IV,5,4,10,3
129,40.5,61.0,3.0,0.25,40.0,42.0,IV,5,4,10,3
130,40.75,60.0,2.0,0.125,40.0,42.0,IV,5,4,10,3
131,40.875,58.0,0.0,0.125,40.0,42.0,IV,5,4,10,3
132,41.0,60.0,2.0,0.125,40.0,42.0,IV,5,4,10,3
133,41.125,58.0,0.0,0.25,40.0,42.0,IV,5,4,10,3
134,41.375,61.0,3.0,0.625,40.0,42.0,IV,5,4,10,3
135,42.0,65.0,7.0,0.125,40.0,42.0,IV,5,4,10,3
136,42.125,65.0,7.0,0.125,42.0,44.0,I,0,1,10,10
137,42.25,65.0,7.0,0.125,42.0,44.0,I,0,1,10,10
138,42.375,63.0,5.0,0.125,42.0,44.0,I,0,1,10,10
139,42.5,65.0,7.0,0.125,42.0,44.0,I,0,1,10,10
140,42.625,62.0,4.0,0.125,42.0,44.0,I,0,1,10,10
141,42.75,63.0,5.0,0.125,42.0,44.0,I,0,1,10,10
142,42.875,62.0,4.0,0.125,42.0,44.0,I,0,1,10,10
143,43.0,63.0,5.0,0.125,42.0,44.0,I,0,1,10,10
144,43.125,62.0,4.0,0.125,42.0,44.0,I,0,1,10,10
145,43.25,58.0,0.0,0.125,42.0,44.0,I,0,1,10,10
146,43.375,58.0,0.0,0.5,42.0,44.0,I,0,1,10,10
147,43.875,58.0,0.0,0.125,42.0,44.0,I,0,1,10,10
148,44.0,65.0,7.0,0.125,42.0,44.0,I,0,1,10,10
149,44.125,62.0,4.0,0.125,44.0,46.0,V,7,5,10,5
150,44.25,63.0,5.0,0.125,44.0,46.0,V,7,5,10,5
151,44.375,62.0,4.0,0.125,44.0,46.0,V,7,5,10,5
152,44.5,63.0,5.0,0.25,44.0,46.0,V,7,5,10,5
153,44.75,63.0,5.0,0.125,44.0,46.0,V,7,5,10,5
154,44.875,62.0,4.0,0.125,44.0,46.0,V,7,5,10,5
155,45.0,63.0,5.0,0.25,44.0,46.0,V,7,5,10,5
156,45.25,62.0,4.0,0.125,44.0,46.0,V,7,5,10,5
157,45.375,65.0,7.0,0.25,44.0,46.0,V,7,5,10,5
158,45.625,65.0,7.0,0.25,44.0,46.0,V,7,5,10,5
159,45.875,65.0,7.0,0.25,44.0,46.0,V,7,5,10,5
