,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,12.625,58.0,0.0,0.125,12.0,13.0,bVII,10,7,10,8
1,12.75,58.0,0.0,0.125,12.0,13.0,bVII,10,7,10,8
2,12.875,61.0,3.0,0.75,12.0,13.0,bVII,10,7,10,8
3,13.625,58.0,0.0,0.125,13.0,14.0,I,0,1,10,10
4,13.75,58.0,0.0,0.125,13.0,14.0,I,0,1,10,10
5,13.875,61.0,3.0,0.25,13.0,14.0,I,0,1,10,10
6,14.125,61.0,3.0,0.25,14.0,15.0,bVII,10,7,10,8
7,14.375,61.0,3.0,0.125,14.0,15.0,bVII,10,7,10,8
8,14.5,61.0,3.0,0.125,14.0,15.0,bVII,10,7,10,8
9,14.625,58.0,0.0,2.0,14.0,15.0,bVII,10,7,10,8
10,16.625,58.0,0.0,0.125,16.0,17.0,bVII,10,7,10,8
11,16.75,58.0,0.0,0.125,16.0,17.0,bVII,10,7,10,8
12,16.875,61.0,3.0,0.75,16.0,17.0,bVII,10,7,10,8
13,17.625,58.0,0.0,0.125,17.0,18.0,I,0,1,10,10
14,17.75,58.0,0.0,0.125,17.0,18.0,I,0,1,10,10
15,17.875,61.0,3.0,0.25,17.0,18.0,I,0,1,10,10
16,18.125,58.0,0.0,0.125,18.0,19.0,bVII,10,7,10,8
17,18.25,58.0,0.0,0.125,18.0,19.0,bVII,10,7,10,8
18,18.375,61.0,3.0,0.25,18.0,19.0,bVII,10,7,10,8
19,18.625,63.0,5.0,0.25,18.0,19.0,bVII,10,7,10,8
20,18.875,61.0,3.0,1.75,18.0,19.0,bVII,10,7,10,8
21,20.625,58.0,0.0,0.125,20.0,21.0,bVII,10,7,10,8
22,20.75,58.0,0.0,0.125,20.0,21.0,bVII,10,7,10,8
23,20.875,65.0,7.0,1.125,20.0,21.0,bVII,10,7,10,8
24,22.0,63.0,5.0,1.0,21.0,22.0,bIII,3,3,10,1
25,23.0,58.0,0.0,0.375,22.0,23.0,bVII,10,7,10,8
