,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,15.875,50.0,0.0,0.125,15.0,16.0,V,7,5,2,9
1,16.0,52.0,2.0,0.125,15.0,16.0,V,7,5,2,9
2,16.125,52.0,2.0,0.25,16.0,18.0,I,0,1,2,2
3,16.375,52.0,2.0,0.25,16.0,18.0,I,0,1,2,2
4,16.625,52.0,2.0,1.125,16.0,18.0,I,0,1,2,2
5,17.75,50.0,0.0,0.125,16.0,18.0,I,0,1,2,2
6,17.875,50.0,0.0,0.125,16.0,18.0,I,0,1,2,2
7,18.0,54.0,4.0,0.125,16.0,18.0,I,0,1,2,2
8,18.125,47.0,9.0,0.375,18.0,19.0,IV,5,4,2,7
9,18.5,47.0,9.0,0.25,18.0,19.0,IV,5,4,2,7
10,18.75,45.0,7.0,1.0,18.0,19.0,IV,5,4,2,7
11,19.75,50.0,0.0,0.125,19.0,20.0,V,7,5,2,9
12,19.875,50.0,0.0,0.125,19.0,20.0,V,7,5,2,9
13,20.0,52.0,2.0,0.125,19.0,20.0,V,7,5,2,9
14,20.125,52.0,2.0,0.25,20.0,22.0,I,0,1,2,2
15,20.375,52.0,2.0,0.5,20.0,22.0,I,0,1,2,2
16,20.875,52.0,2.0,0.875,20.0,22.0,I,0,1,2,2
17,21.75,50.0,0.0,0.125,20.0,22.0,I,0,1,2,2
18,21.875,50.0,0.0,0.125,20.0,22.0,I,0,1,2,2
19,22.0,54.0,4.0,0.25,20.0,22.0,I,0,1,2,2
20,22.25,47.0,9.0,0.5,22.0,23.0,IV,5,4,2,7
21,22.75,50.0,0.0,0.25,22.0,23.0,IV,5,4,2,7
22,23.0,45.0,7.0,0.75,22.0,23.0,IV,5,4,2,7
23,23.75,50.0,0.0,0.125,23.0,24.0,V,7,5,2,9
24,23.875,50.0,0.0,0.25,23.0,24.0,V,7,5,2,9
25,24.125,52.0,2.0,0.25,24.0,26.0,I,0,1,2,2
26,24.375,52.0,2.0,0.125,24.0,26.0,I,0,1,2,2
27,24.5,52.0,2.0,0.25,24.0,26.0,I,0,1,2,2
28,24.75,52.0,2.0,1.0,24.0,26.0,I,0,1,2,2
29,25.75,50.0,0.0,0.125,24.0,26.0,I,0,1,2,2
30,25.875,50.0,0.0,0.125,24.0,26.0,I,0,1,2,2
31,26.0,54.0,4.0,0.125,24.0,26.0,I,0,1,2,2
32,26.125,47.0,9.0,0.875,26.0,27.0,IV,5,4,2,7
33,27.0,45.0,7.0,0.875,26.0,27.0,IV,5,4,2,7
34,27.875,50.0,0.0,0.125,27.0,28.0,V,7,5,2,9
35,28.0,52.0,2.0,1.0,27.0,28.0,V,7,5,2,9
36,29.0,54.0,4.0,0.25,28.0,30.0,I,0,1,2,2
37,29.25,55.0,5.0,0.125,28.0,30.0,I,0,1,2,2
38,29.375,54.0,4.0,0.25,28.0,30.0,I,0,1,2,2
39,29.625,52.0,2.0,0.125,28.0,30.0,I,0,1,2,2
40,29.75,50.0,0.0,0.25,28.0,30.0,I,0,1,2,2
41,30.0,47.0,9.0,0.875,28.0,30.0,I,0,1,2,2
42,30.875,50.0,0.0,0.125,30.0,31.0,IV,5,4,2,7
43,31.0,45.0,7.0,1.0,30.0,31.0,IV,5,4,2,7
44,32.0,52.0,2.0,1.0,31.0,32.0,V,7,5,2,9
45,33.0,54.0,4.0,0.25,32.0,34.0,I,0,1,2,2
46,33.25,55.0,5.0,0.125,32.0,34.0,I,0,1,2,2
47,33.375,54.0,4.0,0.25,32.0,34.0,I,0,1,2,2
48,33.625,52.0,2.0,0.125,32.0,34.0,I,0,1,2,2
49,33.75,50.0,0.0,0.25,32.0,34.0,I,0,1,2,2
50,34.0,47.0,9.0,0.875,32.0,34.0,I,0,1,2,2
51,34.875,50.0,0.0,0.125,34.0,35.0,IV,5,4,2,7
52,35.0,45.0,7.0,4.625,34.0,35.0,IV,5,4,2,7
53,39.625,52.0,2.0,0.125,39.0,40.0,V,7,5,2,9
54,39.75,52.0,2.0,0.125,39.0,40.0,V,7,5,2,9
55,39.875,50.0,0.0,0.125,39.0,40.0,V,7,5,2,9
56,40.0,52.0,2.0,0.125,39.0,40.0,V,7,5,2,9
57,40.125,52.0,2.0,0.375,40.0,42.0,I,0,1,2,2
58,40.5,52.0,2.0,0.25,40.0,42.0,I,0,1,2,2
59,40.75,52.0,2.0,1.0,40.0,42.0,I,0,1,2,2
60,41.75,50.0,0.0,0.125,40.0,42.0,I,0,1,2,2
61,41.875,50.0,0.0,0.125,40.0,42.0,I,0,1,2,2
62,42.0,54.0,4.0,0.125,40.0,42.0,I,0,1,2,2
63,42.125,47.0,9.0,0.25,42.0,43.0,IV,5,4,2,7
64,42.375,47.0,9.0,0.625,42.0,43.0,IV,5,4,2,7
65,43.0,45.0,7.0,0.75,42.0,43.0,IV,5,4,2,7
66,43.75,52.0,2.0,0.125,43.0,44.0,V,7,5,2,9
67,43.875,50.0,0.0,0.375,43.0,44.0,V,7,5,2,9
68,44.25,52.0,2.0,0.125,44.0,46.0,I,0,1,2,2
69,44.375,52.0,2.0,0.125,44.0,46.0,I,0,1,2,2
70,44.5,52.0,2.0,0.25,44.0,46.0,I,0,1,2,2
71,44.75,52.0,2.0,1.0,44.0,46.0,I,0,1,2,2
72,45.75,50.0,0.0,0.125,44.0,46.0,I,0,1,2,2
73,45.875,50.0,0.0,0.125,44.0,46.0,I,0,1,2,2
74,46.0,54.0,4.0,0.25,44.0,46.0,I,0,1,2,2
75,46.25,47.0,9.0,0.25,46.0,47.0,IV,5,4,2,7
76,46.5,47.0,9.0,0.5,46.0,47.0,IV,5,4,2,7
77,47.0,45.0,7.0,0.75,46.0,47.0,IV,5,4,2,7
78,47.75,52.0,2.0,0.125,47.0,48.0,V,7,5,2,9
79,47.875,50.0,0.0,0.375,47.0,48.0,V,7,5,2,9
80,48.25,52.0,2.0,0.25,48.0,50.0,I,0,1,2,2
81,48.5,52.0,2.0,0.125,48.0,50.0,I,0,1,2,2
82,48.625,52.0,2.0,0.125,48.0,50.0,I,0,1,2,2
83,48.75,52.0,2.0,1.0,48.0,50.0,I,0,1,2,2
84,49.75,50.0,0.0,0.125,48.0,50.0,I,0,1,2,2
85,49.875,50.0,0.0,0.25,48.0,50.0,I,0,1,2,2
86,50.125,53.0,3.0,0.25,50.0,51.0,IV,5,4,2,7
87,50.375,47.0,9.0,0.125,50.0,51.0,IV,5,4,2,7
88,50.5,47.0,9.0,0.5,50.0,51.0,IV,5,4,2,7
89,51.0,45.0,7.0,1.0,50.0,51.0,IV,5,4,2,7
90,52.0,52.0,2.0,1.0,51.0,52.0,V,7,5,2,9
91,53.0,54.0,4.0,0.25,52.0,54.0,I,0,1,2,2
92,53.25,55.0,5.0,0.125,52.0,54.0,I,0,1,2,2
93,53.375,54.0,4.0,0.25,52.0,54.0,I,0,1,2,2
94,53.625,52.0,2.0,0.125,52.0,54.0,I,0,1,2,2
95,53.75,50.0,0.0,0.25,52.0,54.0,I,0,1,2,2
96,54.0,47.0,9.0,0.875,52.0,54.0,I,0,1,2,2
97,54.875,50.0,0.0,0.125,54.0,55.0,IV,5,4,2,7
98,55.0,45.0,7.0,1.0,54.0,55.0,IV,5,4,2,7
99,56.0,52.0,2.0,1.0,55.0,56.0,V,7,5,2,9
100,57.0,54.0,4.0,0.25,56.0,58.0,I,0,1,2,2
101,57.25,55.0,5.0,0.125,56.0,58.0,I,0,1,2,2
102,57.375,54.0,4.0,0.25,56.0,58.0,I,0,1,2,2
103,57.625,52.0,2.0,0.125,56.0,58.0,I,0,1,2,2
104,57.75,50.0,0.0,0.25,56.0,58.0,I,0,1,2,2
105,58.0,47.0,9.0,0.875,56.0,58.0,I,0,1,2,2
106,58.875,50.0,0.0,0.125,58.0,59.0,IV,5,4,2,7
107,59.0,45.0,7.0,16.625,58.0,59.0,IV,5,4,2,7
108,75.625,50.0,0.0,0.125,75.0,76.0,V,7,5,2,9
109,75.75,52.0,2.0,0.125,75.0,76.0,V,7,5,2,9
110,75.875,50.0,0.0,0.25,75.0,76.0,V,7,5,2,9
111,76.125,52.0,2.0,0.25,76.0,78.0,I,0,1,2,2
112,76.375,52.0,2.0,0.125,76.0,78.0,I,0,1,2,2
113,76.5,52.0,2.0,0.25,76.0,78.0,I,0,1,2,2
114,76.75,52.0,2.0,1.0,76.0,78.0,I,0,1,2,2
115,77.75,50.0,0.0,0.125,76.0,78.0,I,0,1,2,2
116,77.875,50.0,0.0,0.25,76.0,78.0,I,0,1,2,2
117,78.125,54.0,4.0,0.25,78.0,79.0,IV,5,4,2,7
118,78.375,47.0,9.0,0.25,78.0,79.0,IV,5,4,2,7
119,78.625,47.0,9.0,0.25,78.0,79.0,IV,5,4,2,7
120,78.875,45.0,7.0,0.875,78.0,79.0,IV,5,4,2,7
121,79.75,52.0,2.0,0.125,79.0,80.0,V,7,5,2,9
122,79.875,50.0,0.0,0.125,79.0,80.0,V,7,5,2,9
123,80.0,52.0,2.0,0.25,79.0,80.0,V,7,5,2,9
124,80.25,52.0,2.0,0.25,80.0,82.0,I,0,1,2,2
125,80.5,52.0,2.0,0.25,80.0,82.0,I,0,1,2,2
126,80.75,52.0,2.0,0.875,80.0,82.0,I,0,1,2,2
127,81.625,52.0,2.0,0.125,80.0,82.0,I,0,1,2,2
128,81.75,50.0,0.0,0.125,80.0,82.0,I,0,1,2,2
129,81.875,50.0,0.0,0.125,80.0,82.0,I,0,1,2,2
130,82.0,54.0,4.0,0.25,80.0,82.0,I,0,1,2,2
131,82.25,47.0,9.0,0.5,82.0,83.0,IV,5,4,2,7
132,82.75,47.0,9.0,0.25,82.0,83.0,IV,5,4,2,7
133,83.0,45.0,7.0,0.75,82.0,83.0,IV,5,4,2,7
134,83.75,52.0,2.0,0.125,83.0,84.0,V,7,5,2,9
135,83.875,50.0,0.0,0.25,83.0,84.0,V,7,5,2,9
136,84.125,52.0,2.0,0.25,84.0,86.0,I,0,1,2,2
137,84.375,52.0,2.0,0.375,84.0,86.0,I,0,1,2,2
138,84.75,52.0,2.0,0.25,84.0,86.0,I,0,1,2,2
139,85.0,52.0,2.0,0.75,84.0,86.0,I,0,1,2,2
140,85.75,52.0,2.0,0.125,84.0,86.0,I,0,1,2,2
141,85.875,50.0,0.0,0.375,84.0,86.0,I,0,1,2,2
142,86.25,54.0,4.0,0.25,86.0,87.0,IV,5,4,2,7
143,86.5,47.0,9.0,0.25,86.0,87.0,IV,5,4,2,7
144,86.75,47.0,9.0,0.25,86.0,87.0,IV,5,4,2,7
145,87.0,45.0,7.0,0.875,86.0,87.0,IV,5,4,2,7
146,87.875,50.0,0.0,0.125,87.0,88.0,V,7,5,2,9
147,88.0,52.0,2.0,1.0,87.0,88.0,V,7,5,2,9
148,89.0,54.0,4.0,0.25,88.0,90.0,I,0,1,2,2
