,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,67.0,0.0,0.125,3.0,4.0,bVII,10,7,7,5
1,4.125,67.0,0.0,0.375,4.0,7.0,I,0,1,7,7
2,4.5,65.0,10.0,0.375,4.0,7.0,I,0,1,7,7
3,4.875,65.0,10.0,0.125,4.0,7.0,I,0,1,7,7
4,5.0,62.0,7.0,0.125,4.0,7.0,I,0,1,7,7
5,5.125,60.0,5.0,0.625,4.0,7.0,I,0,1,7,7
6,5.75,58.0,3.0,2.5,4.0,7.0,I,0,1,7,7
7,8.25,55.0,0.0,0.125,8.0,11.0,I,0,1,7,7
8,8.375,55.0,0.0,0.125,8.0,11.0,I,0,1,7,7
9,8.5,55.0,0.0,0.375,8.0,11.0,I,0,1,7,7
10,8.875,50.0,7.0,0.25,8.0,11.0,I,0,1,7,7
11,9.125,53.0,10.0,0.125,8.0,11.0,I,0,1,7,7
12,9.25,55.0,0.0,0.125,8.0,11.0,I,0,1,7,7
13,9.375,55.0,0.0,2.625,8.0,11.0,I,0,1,7,7
14,12.0,67.0,0.0,0.25,11.0,12.0,bVII,10,7,7,5
15,12.25,67.0,0.0,0.25,12.0,15.0,I,0,1,7,7
16,12.5,65.0,10.0,0.375,12.0,15.0,I,0,1,7,7
17,12.875,61.0,6.0,0.125,12.0,15.0,I,0,1,7,7
18,13.0,62.0,7.0,0.375,12.0,15.0,I,0,1,7,7
19,13.375,60.0,5.0,0.875,12.0,15.0,I,0,1,7,7
20,14.25,58.0,3.0,1.75,12.0,15.0,I,0,1,7,7
21,16.0,55.0,0.0,0.125,15.0,16.0,bVII,10,7,7,5
22,16.125,55.0,0.0,0.375,16.0,19.0,I,0,1,7,7
23,16.5,55.0,0.0,0.25,16.0,19.0,I,0,1,7,7
24,16.75,50.0,7.0,0.125,16.0,19.0,I,0,1,7,7
25,16.875,53.0,10.0,0.25,16.0,19.0,I,0,1,7,7
26,17.125,53.0,10.0,0.125,16.0,19.0,I,0,1,7,7
27,17.25,55.0,0.0,0.125,16.0,19.0,I,0,1,7,7
28,17.375,55.0,0.0,2.0,16.0,19.0,I,0,1,7,7
29,19.375,67.0,0.0,0.25,19.0,20.0,bVII,10,7,7,5
30,19.625,67.0,0.0,0.125,19.0,20.0,bVII,10,7,7,5
31,19.75,65.0,10.0,0.125,19.0,20.0,bVII,10,7,7,5
32,19.875,67.0,0.0,0.375,19.0,20.0,bVII,10,7,7,5
33,20.25,58.0,3.0,1.125,20.0,27.0,I,0,1,7,7
34,21.375,60.0,5.0,0.375,20.0,27.0,I,0,1,7,7
35,21.75,60.0,5.0,0.125,20.0,27.0,I,0,1,7,7
36,21.875,59.0,4.0,0.125,20.0,27.0,I,0,1,7,7
