,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.375,57.0,9.0,0.0629999999999997,4.0,5.0,i,0,1,9,9
1,4.438,60.0,0.0,0.1870000000000002,4.0,5.0,i,0,1,9,9
2,4.625,60.0,0.0,0.0629999999999997,4.0,5.0,i,0,1,9,9
3,4.688,57.0,9.0,0.1240000000000005,4.0,5.0,i,0,1,9,9
4,4.812,62.0,2.0,0.1259999999999994,4.0,5.0,i,0,1,9,9
5,4.938,57.0,9.0,1.4370000000000005,4.0,5.0,i,0,1,9,9
6,6.375,45.0,9.0,0.125,6.0,7.0,bVI,8,6,9,5
7,6.5,57.0,9.0,0.0620000000000002,6.0,7.0,bVI,8,6,9,5
8,6.562,59.0,11.0,0.0629999999999997,6.0,7.0,bVI,8,6,9,5
9,6.625,60.0,0.0,0.125,6.0,7.0,bVI,8,6,9,5
10,6.75,57.0,9.0,0.125,6.0,7.0,bVI,8,6,9,5
11,6.875,62.0,2.0,1.5,6.0,7.0,bVI,8,6,9,5
12,8.375,57.0,9.0,0.0630000000000006,8.0,9.0,i,0,1,9,9
13,8.438,60.0,0.0,0.1869999999999994,8.0,9.0,i,0,1,9,9
14,8.625,60.0,0.0,0.0630000000000006,8.0,9.0,i,0,1,9,9
15,8.688,57.0,9.0,0.1869999999999994,8.0,9.0,i,0,1,9,9
16,8.875,62.0,2.0,0.1869999999999994,8.0,9.0,i,0,1,9,9
17,9.062,57.0,9.0,0.0630000000000006,9.0,10.0,IV,5,4,9,2
18,9.125,57.0,9.0,0.25,9.0,10.0,IV,5,4,9,2
19,9.375,55.0,7.0,0.25,9.0,10.0,IV,5,4,9,2
20,9.625,57.0,9.0,0.75,9.0,10.0,IV,5,4,9,2
21,10.375,55.0,7.0,0.0630000000000006,10.0,11.0,bVI,8,6,9,5
22,10.438,64.0,4.0,0.1869999999999994,10.0,11.0,bVI,8,6,9,5
23,10.625,62.0,2.0,0.125,10.0,11.0,bVI,8,6,9,5
24,10.75,60.0,0.0,0.1880000000000006,10.0,11.0,bVI,8,6,9,5
25,10.938,57.0,9.0,0.1239999999999987,10.0,11.0,bVI,8,6,9,5
26,11.062,62.0,2.0,0.5630000000000006,11.0,12.0,bVII,10,7,9,7
27,11.625,60.0,0.0,0.25,11.0,12.0,bVII,10,7,9,7
28,11.875,62.0,2.0,0.375,11.0,12.0,bVII,10,7,9,7
29,12.25,64.0,4.0,0.1880000000000006,12.0,13.0,I,0,1,0,0
30,12.438,64.0,4.0,0.8119999999999994,12.0,13.0,I,0,1,0,0
31,13.25,64.0,4.0,0.125,13.0,14.0,vi,9,6,0,9
32,13.375,64.0,4.0,0.75,13.0,14.0,vi,9,6,0,9
33,14.125,52.0,4.0,0.0630000000000006,14.0,15.0,IV,5,4,0,5
34,14.188,52.0,4.0,0.0619999999999993,14.0,15.0,IV,5,4,0,5
35,14.25,64.0,4.0,0.1880000000000006,14.0,15.0,IV,5,4,0,5
36,14.438,64.0,4.0,0.1869999999999994,14.0,15.0,IV,5,4,0,5
37,14.625,62.0,2.0,0.5,14.0,15.0,IV,5,4,0,5
38,15.125,52.0,4.0,0.0630000000000006,15.0,17.0,I,0,1,0,0
39,15.188,52.0,4.0,0.0619999999999993,15.0,17.0,I,0,1,0,0
40,15.25,64.0,4.0,1.0,15.0,17.0,I,0,1,0,0
41,16.25,64.0,4.0,0.125,15.0,17.0,I,0,1,0,0
42,16.375,64.0,4.0,0.75,15.0,17.0,I,0,1,0,0
43,17.125,52.0,4.0,0.0629999999999988,17.0,18.0,vi,9,6,0,9
44,17.188,64.0,4.0,0.1240000000000023,17.0,18.0,vi,9,6,0,9
45,17.312,64.0,4.0,0.1879999999999988,17.0,18.0,vi,9,6,0,9
46,17.5,64.0,4.0,0.125,17.0,18.0,vi,9,6,0,9
47,17.625,62.0,2.0,0.0629999999999988,17.0,18.0,vi,9,6,0,9
48,17.688,57.0,9.0,0.5,17.0,18.0,vi,9,6,0,9
49,18.188,64.0,4.0,0.1240000000000023,18.0,19.0,IV,5,4,0,5
50,18.312,64.0,4.0,0.1879999999999988,18.0,19.0,IV,5,4,0,5
51,18.5,64.0,4.0,0.1879999999999988,18.0,19.0,IV,5,4,0,5
52,18.688,60.0,0.0,0.1870000000000011,18.0,19.0,IV,5,4,0,5
53,18.875,55.0,7.0,0.0629999999999988,18.0,19.0,IV,5,4,0,5
54,18.938,55.0,7.0,0.1870000000000011,18.0,19.0,IV,5,4,0,5
55,19.125,64.0,4.0,0.25,19.0,20.0,I,0,1,0,0
56,19.375,64.0,4.0,0.375,19.0,20.0,I,0,1,0,0
57,19.75,60.0,0.0,0.125,19.0,20.0,I,0,1,0,0
58,19.875,57.0,9.0,0.0629999999999988,19.0,20.0,I,0,1,0,0
59,19.938,57.0,9.0,4.687000000000001,19.0,20.0,I,0,1,0,0
