,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.594,53.0,7.0,0.0309999999999996,4.0,5.0,I,0,1,10,10
1,4.625,60.0,2.0,0.0309999999999996,4.0,5.0,I,0,1,10,10
2,4.656,60.0,2.0,0.032,4.0,5.0,I,0,1,10,10
3,4.688,60.0,2.0,0.0310000000000005,4.0,5.0,I,0,1,10,10
4,4.719,60.0,2.0,0.0309999999999996,4.0,5.0,I,0,1,10,10
5,4.75,60.0,2.0,0.0940000000000003,4.0,5.0,I,0,1,10,10
6,4.844,60.0,2.0,0.0619999999999993,4.0,5.0,I,0,1,10,10
7,4.906,58.0,0.0,0.032,4.0,5.0,I,0,1,10,10
8,4.938,55.0,9.0,0.0620000000000002,4.0,5.0,I,0,1,10,10
9,5.0,58.0,0.0,0.0620000000000002,4.0,5.0,I,0,1,10,10
10,5.062,60.0,2.0,1.4689999999999994,5.0,6.0,vi,9,6,10,7
11,6.531,53.0,7.0,0.0310000000000005,6.0,7.0,V,7,5,10,5
12,6.562,60.0,2.0,0.032,6.0,7.0,V,7,5,10,5
13,6.594,60.0,2.0,0.0309999999999996,6.0,7.0,V,7,5,10,5
14,6.625,60.0,2.0,0.0309999999999996,6.0,7.0,V,7,5,10,5
15,6.656,60.0,2.0,0.032,6.0,7.0,V,7,5,10,5
16,6.688,60.0,2.0,0.0929999999999999,6.0,7.0,V,7,5,10,5
17,6.781,60.0,2.0,0.0940000000000003,6.0,7.0,V,7,5,10,5
18,6.875,58.0,0.0,0.0309999999999996,6.0,7.0,V,7,5,10,5
19,6.906,55.0,9.0,0.032,6.0,7.0,V,7,5,10,5
20,6.938,58.0,0.0,1.5930000000000009,6.0,7.0,V,7,5,10,5
21,8.531,60.0,2.0,0.0309999999999988,8.0,9.0,I,0,1,10,10
22,8.562,60.0,2.0,0.032,8.0,9.0,I,0,1,10,10
23,8.594,60.0,2.0,0.0310000000000005,8.0,9.0,I,0,1,10,10
24,8.625,60.0,2.0,0.0310000000000005,8.0,9.0,I,0,1,10,10
25,8.656,60.0,2.0,0.032,8.0,9.0,I,0,1,10,10
26,8.688,60.0,2.0,0.0929999999999999,8.0,9.0,I,0,1,10,10
27,8.781,60.0,2.0,0.0939999999999994,8.0,9.0,I,0,1,10,10
28,8.875,58.0,0.0,0.0310000000000005,8.0,9.0,I,0,1,10,10
29,8.906,55.0,9.0,0.032,8.0,9.0,I,0,1,10,10
30,8.938,58.0,0.0,0.0929999999999999,8.0,9.0,I,0,1,10,10
31,9.031,60.0,2.0,0.9379999999999988,9.0,10.0,vi,9,6,10,7
32,9.969,46.0,0.0,0.0310000000000005,9.0,10.0,vi,9,6,10,7
33,10.0,63.0,5.0,0.125,9.0,10.0,vi,9,6,10,7
34,10.125,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
35,10.25,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
36,10.375,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
37,10.5,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
38,10.625,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
39,10.75,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
40,10.875,63.0,5.0,0.125,10.0,12.0,V,7,5,10,5
41,11.0,63.0,5.0,0.25,10.0,12.0,V,7,5,10,5
42,11.25,63.0,5.0,0.25,10.0,12.0,V,7,5,10,5
43,11.5,62.0,4.0,0.25,10.0,12.0,V,7,5,10,5
44,11.75,60.0,2.0,0.125,10.0,12.0,V,7,5,10,5
45,11.875,58.0,0.0,0.125,10.0,12.0,V,7,5,10,5
46,12.0,58.0,0.0,0.25,10.0,12.0,V,7,5,10,5
47,12.25,58.0,0.0,0.125,12.0,13.0,I,0,1,10,10
48,12.375,60.0,2.0,0.0630000000000006,12.0,13.0,I,0,1,10,10
49,12.438,58.0,0.0,0.0619999999999993,12.0,13.0,I,0,1,10,10
50,12.5,62.0,4.0,0.25,12.0,13.0,I,0,1,10,10
51,12.75,62.0,4.0,0.0619999999999993,12.0,13.0,I,0,1,10,10
52,12.812,60.0,2.0,0.0630000000000006,12.0,13.0,I,0,1,10,10
53,12.875,58.0,0.0,0.0630000000000006,12.0,13.0,I,0,1,10,10
54,12.938,58.0,0.0,1.3119999999999994,12.0,13.0,I,0,1,10,10
55,14.25,58.0,0.0,0.125,13.0,15.0,IV,5,4,10,3
56,14.375,60.0,2.0,0.0630000000000006,13.0,15.0,IV,5,4,10,3
57,14.438,58.0,0.0,0.0619999999999993,13.0,15.0,IV,5,4,10,3
58,14.5,62.0,4.0,0.25,13.0,15.0,IV,5,4,10,3
59,14.75,62.0,4.0,0.0619999999999993,13.0,15.0,IV,5,4,10,3
60,14.812,60.0,2.0,0.0630000000000006,13.0,15.0,IV,5,4,10,3
61,14.875,58.0,0.0,0.0630000000000006,13.0,15.0,IV,5,4,10,3
62,14.938,58.0,0.0,1.3119999999999994,13.0,15.0,IV,5,4,10,3
63,16.25,58.0,0.0,0.125,16.0,17.0,vi,9,6,10,7
64,16.375,60.0,2.0,0.0629999999999988,16.0,17.0,vi,9,6,10,7
65,16.438,58.0,0.0,0.0620000000000011,16.0,17.0,vi,9,6,10,7
66,16.5,62.0,4.0,0.25,16.0,17.0,vi,9,6,10,7
67,16.75,62.0,4.0,0.0620000000000011,16.0,17.0,vi,9,6,10,7
68,16.812,60.0,2.0,0.0629999999999988,16.0,17.0,vi,9,6,10,7
69,16.875,58.0,0.0,0.0629999999999988,16.0,17.0,vi,9,6,10,7
70,16.938,55.0,9.0,0.0620000000000011,16.0,17.0,vi,9,6,10,7
71,17.0,53.0,7.0,1.9690000000000007,16.0,17.0,vi,9,6,10,7
72,18.969,46.0,0.0,0.0309999999999988,17.0,21.0,V,7,5,10,5
73,19.0,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
74,19.125,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
75,19.25,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
76,19.375,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
77,19.5,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
78,19.625,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
79,19.75,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
80,19.875,63.0,5.0,0.125,17.0,21.0,V,7,5,10,5
81,20.0,63.0,5.0,0.25,17.0,21.0,V,7,5,10,5
82,20.25,63.0,5.0,0.25,17.0,21.0,V,7,5,10,5
83,20.5,62.0,4.0,0.25,17.0,21.0,V,7,5,10,5
84,20.75,60.0,2.0,0.125,17.0,21.0,V,7,5,10,5
85,20.875,58.0,0.0,0.125,17.0,21.0,V,7,5,10,5
86,21.0,58.0,0.0,0.1879999999999988,17.0,21.0,V,7,5,10,5
87,21.188,62.0,4.0,0.0620000000000011,21.0,23.0,I,0,1,10,10
88,21.25,62.0,4.0,0.0309999999999988,21.0,23.0,I,0,1,10,10
