,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.25,65.0,0.0,0.125,3.0,4.0,I,0,1,5,5
1,3.375,62.0,9.0,0.125,3.0,4.0,I,0,1,5,5
2,3.5,65.0,0.0,0.25,3.0,4.0,I,0,1,5,5
3,3.75,65.0,0.0,0.125,3.0,4.0,I,0,1,5,5
4,3.875,62.0,9.0,0.375,3.0,4.0,I,0,1,5,5
5,4.25,68.0,3.0,0.125,4.0,5.0,vi,9,6,5,2
6,4.375,67.0,2.0,0.125,4.0,5.0,vi,9,6,5,2
7,4.5,67.0,2.0,0.0620000000000002,4.0,5.0,vi,9,6,5,2
8,4.562,65.0,0.0,0.1879999999999997,4.0,5.0,vi,9,6,5,2
9,4.75,65.0,0.0,0.125,4.0,5.0,vi,9,6,5,2
10,4.875,62.0,9.0,0.375,4.0,5.0,vi,9,6,5,2
11,5.25,68.0,3.0,0.125,5.0,6.0,I,0,1,5,5
12,5.375,67.0,2.0,0.125,5.0,6.0,I,0,1,5,5
13,5.5,67.0,2.0,0.0620000000000002,5.0,6.0,I,0,1,5,5
14,5.562,65.0,0.0,0.1879999999999997,5.0,6.0,I,0,1,5,5
15,5.75,65.0,0.0,0.125,5.0,6.0,I,0,1,5,5
16,5.875,62.0,9.0,0.375,5.0,6.0,I,0,1,5,5
17,6.25,68.0,3.0,0.125,6.0,7.0,vi,9,6,5,2
18,6.375,67.0,2.0,0.0629999999999997,6.0,7.0,vi,9,6,5,2
19,6.438,65.0,0.0,0.1870000000000002,6.0,7.0,vi,9,6,5,2
20,6.625,67.0,2.0,0.375,6.0,7.0,vi,9,6,5,2
21,7.0,69.0,4.0,0.125,6.0,7.0,vi,9,6,5,2
22,7.125,67.0,2.0,0.125,7.0,8.0,I,0,1,5,5
23,7.25,65.0,0.0,0.125,7.0,8.0,I,0,1,5,5
24,7.375,62.0,9.0,0.125,7.0,8.0,I,0,1,5,5
25,7.5,65.0,0.0,0.125,7.0,8.0,I,0,1,5,5
26,7.625,65.0,0.0,0.25,7.0,8.0,I,0,1,5,5
27,7.875,62.0,9.0,0.25,7.0,8.0,I,0,1,5,5
28,8.125,60.0,7.0,0.0630000000000006,8.0,9.0,vi,9,6,5,2
29,8.188,57.0,4.0,0.8119999999999994,8.0,9.0,vi,9,6,5,2
30,9.0,69.0,4.0,0.125,8.0,9.0,vi,9,6,5,2
31,9.125,67.0,2.0,0.125,9.0,10.0,I,0,1,5,5
32,9.25,65.0,0.0,0.125,9.0,10.0,I,0,1,5,5
33,9.375,62.0,9.0,0.125,9.0,10.0,I,0,1,5,5
34,9.5,65.0,0.0,0.25,9.0,10.0,I,0,1,5,5
