,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,16.25,60.0,7.0,0.125,16.0,16.5,i,0,1,5,5
1,16.375,63.0,10.0,0.25,16.0,16.5,i,0,1,5,5
2,16.625,65.0,0.0,0.25,16.5,17.0,IV,5,4,5,10
3,16.875,56.0,3.0,0.5,16.5,17.0,IV,5,4,5,10
4,17.375,65.0,0.0,0.25,17.0,17.5,bIII,3,3,5,8
5,17.625,63.0,10.0,0.125,17.5,18.0,bVI,8,6,5,1
6,17.75,61.0,8.0,0.125,17.5,18.0,bVI,8,6,5,1
7,17.875,60.0,7.0,0.375,17.5,18.0,bVI,8,6,5,1
8,18.25,61.0,8.0,0.125,18.0,18.5,i,0,1,5,5
9,18.375,60.0,7.0,0.375,18.0,18.5,i,0,1,5,5
10,18.75,58.0,5.0,0.125,18.5,19.0,IV,5,4,5,10
11,18.875,56.0,3.0,0.375,18.5,19.0,IV,5,4,5,10
12,19.25,58.0,5.0,0.125,19.0,19.5,bIII,3,3,5,8
13,19.375,60.0,7.0,0.25,19.0,19.5,bIII,3,3,5,8
14,19.625,58.0,5.0,0.125,19.5,20.0,bVI,8,6,5,1
15,19.75,56.0,3.0,0.125,19.5,20.0,bVI,8,6,5,1
16,19.875,55.0,2.0,0.375,19.5,20.0,bVI,8,6,5,1
17,20.25,60.0,7.0,0.125,20.0,20.5,i,0,1,5,5
18,20.375,63.0,10.0,0.25,20.0,20.5,i,0,1,5,5
19,20.625,65.0,0.0,0.25,20.5,21.0,IV,5,4,5,10
20,20.875,56.0,3.0,0.375,20.5,21.0,IV,5,4,5,10
21,21.25,56.0,3.0,0.125,21.0,21.5,bIII,3,3,5,8
22,21.375,65.0,0.0,0.25,21.0,21.5,bIII,3,3,5,8
23,21.625,63.0,10.0,0.125,21.5,22.0,bVI,8,6,5,1
24,21.75,61.0,8.0,0.125,21.5,22.0,bVI,8,6,5,1
25,21.875,60.0,7.0,0.375,21.5,22.0,bVI,8,6,5,1
26,22.25,61.0,8.0,0.125,22.0,22.5,i,0,1,5,5
27,22.375,60.0,7.0,0.375,22.0,22.5,i,0,1,5,5
28,22.75,58.0,5.0,0.125,22.5,23.0,IV,5,4,5,10
29,22.875,56.0,3.0,0.375,22.5,23.0,IV,5,4,5,10
30,23.25,58.0,5.0,0.125,23.0,23.5,bIII,3,3,5,8
31,23.375,60.0,7.0,0.25,23.0,23.5,bIII,3,3,5,8
32,23.625,58.0,5.0,0.125,23.5,24.0,bVI,8,6,5,1
33,23.75,56.0,3.0,0.125,23.5,24.0,bVI,8,6,5,1
34,23.875,55.0,2.0,0.375,23.5,24.0,bVI,8,6,5,1
35,24.25,56.0,3.0,0.125,24.0,24.5,i,0,1,5,5
36,24.375,55.0,2.0,0.375,24.0,24.5,i,0,1,5,5
37,24.75,56.0,3.0,0.125,24.5,25.0,IV,5,4,5,10
38,24.875,55.0,2.0,0.375,24.5,25.0,IV,5,4,5,10
39,25.25,56.0,3.0,0.125,25.0,25.5,bIII,3,3,5,8
40,25.375,55.0,2.0,0.25,25.0,25.5,bIII,3,3,5,8
41,25.625,56.0,3.0,0.125,25.5,26.0,bVI,8,6,5,1
42,25.75,55.0,2.0,0.125,25.5,26.0,bVI,8,6,5,1
43,25.875,55.0,2.0,0.125,25.5,26.0,bVI,8,6,5,1
44,26.0,53.0,0.0,0.25,25.5,26.0,bVI,8,6,5,1
45,26.25,56.0,3.0,0.125,26.0,26.5,i,0,1,5,5
46,26.375,55.0,2.0,0.375,26.0,26.5,i,0,1,5,5
47,26.75,56.0,3.0,0.125,26.5,27.0,IV,5,4,5,10
48,26.875,55.0,2.0,0.375,26.5,27.0,IV,5,4,5,10
49,27.25,56.0,3.0,0.125,27.0,27.5,bIII,3,3,5,8
50,27.375,55.0,2.0,0.25,27.0,27.5,bIII,3,3,5,8
51,27.625,56.0,3.0,0.125,27.5,28.0,bVI,8,6,5,1
52,27.75,55.0,2.0,0.125,27.5,28.0,bVI,8,6,5,1
53,27.875,55.0,2.0,0.125,27.5,28.0,bVI,8,6,5,1
54,28.0,53.0,0.0,0.25,27.5,28.0,bVI,8,6,5,1
55,28.25,56.0,3.0,0.125,28.0,28.5,i,0,1,5,5
56,28.375,55.0,2.0,0.375,28.0,28.5,i,0,1,5,5
57,28.75,56.0,3.0,0.125,28.5,29.0,IV,5,4,5,10
58,28.875,55.0,2.0,0.375,28.5,29.0,IV,5,4,5,10
59,29.25,56.0,3.0,0.125,29.0,29.5,bIII,3,3,5,8
60,29.375,55.0,2.0,0.25,29.0,29.5,bIII,3,3,5,8
61,29.625,56.0,3.0,0.125,29.5,30.0,bVI,8,6,5,1
62,29.75,55.0,2.0,0.125,29.5,30.0,bVI,8,6,5,1
63,29.875,55.0,2.0,0.125,29.5,30.0,bVI,8,6,5,1
64,30.0,53.0,0.0,0.25,29.5,30.0,bVI,8,6,5,1
65,30.25,56.0,3.0,0.125,30.0,30.5,i,0,1,5,5
66,30.375,55.0,2.0,0.375,30.0,30.5,i,0,1,5,5
67,30.75,56.0,3.0,0.125,30.5,31.0,IV,5,4,5,10
68,30.875,55.0,2.0,0.375,30.5,31.0,IV,5,4,5,10
69,31.25,56.0,3.0,0.125,31.0,31.5,bIII,3,3,5,8
70,31.375,55.0,2.0,0.25,31.0,31.5,bIII,3,3,5,8
71,31.625,68.0,3.0,0.125,31.5,32.0,bVI,8,6,5,1
72,31.75,67.0,2.0,0.125,31.5,32.0,bVI,8,6,5,1
73,31.875,67.0,2.0,0.25,31.5,32.0,bVI,8,6,5,1
74,32.125,65.0,0.0,0.5,32.0,32.5,i,0,1,5,5
75,32.625,70.0,5.0,0.125,32.5,33.0,IV,5,4,5,10
76,32.75,70.0,5.0,0.125,32.5,33.0,IV,5,4,5,10
77,32.875,70.0,5.0,0.25,32.5,33.0,IV,5,4,5,10
78,33.125,68.0,3.0,0.5,33.0,33.5,bIII,3,3,5,8
79,33.625,61.0,8.0,0.125,33.5,34.0,bVI,8,6,5,1
80,33.75,61.0,8.0,0.125,33.5,34.0,bVI,8,6,5,1
81,33.875,61.0,8.0,0.25,33.5,34.0,bVI,8,6,5,1
82,34.125,60.0,7.0,0.5,34.0,34.5,i,0,1,5,5
83,34.625,70.0,5.0,0.125,34.5,35.0,IV,5,4,5,10
84,34.75,70.0,5.0,0.125,34.5,35.0,IV,5,4,5,10
85,34.875,70.0,5.0,0.25,34.5,35.0,IV,5,4,5,10
86,35.125,68.0,3.0,0.5,35.0,35.5,bIII,3,3,5,8
87,35.625,68.0,3.0,0.125,35.5,36.0,bVI,8,6,5,1
88,35.75,67.0,2.0,0.125,35.5,36.0,bVI,8,6,5,1
89,35.875,67.0,2.0,0.25,35.5,36.0,bVI,8,6,5,1
90,36.125,65.0,0.0,0.5,36.0,36.5,i,0,1,5,5
91,36.625,70.0,5.0,0.125,36.5,37.0,IV,5,4,5,10
92,36.75,70.0,5.0,0.125,36.5,37.0,IV,5,4,5,10
93,36.875,70.0,5.0,0.25,36.5,37.0,IV,5,4,5,10
94,37.125,68.0,3.0,0.5,37.0,37.5,bIII,3,3,5,8
95,37.625,61.0,8.0,0.125,37.5,38.0,bVI,8,6,5,1
96,37.75,61.0,8.0,0.125,37.5,38.0,bVI,8,6,5,1
97,37.875,61.0,8.0,0.25,37.5,38.0,bVI,8,6,5,1
98,38.125,60.0,7.0,0.5,38.0,38.5,i,0,1,5,5
99,38.625,70.0,5.0,0.125,38.5,39.0,IV,5,4,5,10
100,38.75,70.0,5.0,0.125,38.5,39.0,IV,5,4,5,10
101,38.875,70.0,5.0,0.25,38.5,39.0,IV,5,4,5,10
102,39.125,68.0,3.0,0.5,39.0,39.5,bIII,3,3,5,8
103,39.625,68.0,3.0,0.125,39.5,40.0,bVI,8,6,5,1
104,39.75,67.0,2.0,0.125,39.5,40.0,bVI,8,6,5,1
105,39.875,67.0,2.0,0.25,39.5,40.0,bVI,8,6,5,1
106,40.125,65.0,0.0,0.5,40.0,40.5,i,0,1,5,5
107,40.625,70.0,5.0,0.125,40.5,41.0,IV,5,4,5,10
108,40.75,70.0,5.0,0.125,40.5,41.0,IV,5,4,5,10
109,40.875,70.0,5.0,0.25,40.5,41.0,IV,5,4,5,10
110,41.125,68.0,3.0,0.5,41.0,41.5,bIII,3,3,5,8
111,41.625,61.0,8.0,0.125,41.5,42.0,bVI,8,6,5,1
112,41.75,61.0,8.0,0.125,41.5,42.0,bVI,8,6,5,1
113,41.875,61.0,8.0,0.25,41.5,42.0,bVI,8,6,5,1
114,42.125,60.0,7.0,0.5,42.0,42.5,i,0,1,5,5
115,42.625,70.0,5.0,0.125,42.5,43.0,IV,5,4,5,10
116,42.75,70.0,5.0,0.125,42.5,43.0,IV,5,4,5,10
117,42.875,70.0,5.0,0.25,42.5,43.0,IV,5,4,5,10
118,43.125,68.0,3.0,0.625,43.0,43.5,bIII,3,3,5,8
119,43.75,68.0,3.0,8.5,43.5,44.0,bVI,8,6,5,1
120,52.25,60.0,7.0,0.125,52.0,52.5,i,0,1,5,5
121,52.375,63.0,10.0,0.25,52.0,52.5,i,0,1,5,5
122,52.625,65.0,0.0,0.25,52.5,53.0,IV,5,4,5,10
123,52.875,56.0,3.0,0.5,52.5,53.0,IV,5,4,5,10
124,53.375,65.0,0.0,0.25,53.0,53.5,bIII,3,3,5,8
125,53.625,63.0,10.0,0.125,53.5,54.0,bVI,8,6,5,1
126,53.75,61.0,8.0,0.125,53.5,54.0,bVI,8,6,5,1
127,53.875,60.0,7.0,0.375,53.5,54.0,bVI,8,6,5,1
128,54.25,61.0,8.0,0.125,54.0,54.5,i,0,1,5,5
129,54.375,60.0,7.0,0.375,54.0,54.5,i,0,1,5,5
130,54.75,58.0,5.0,0.125,54.5,55.0,IV,5,4,5,10
131,54.875,56.0,3.0,0.375,54.5,55.0,IV,5,4,5,10
132,55.25,58.0,5.0,0.125,55.0,55.5,bIII,3,3,5,8
133,55.375,60.0,7.0,0.25,55.0,55.5,bIII,3,3,5,8
134,55.625,58.0,5.0,0.125,55.5,56.0,bVI,8,6,5,1
