,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.625,61.0,4.0,0.125,6.0,10.0,I,0,1,9,9
1,7.75,64.0,7.0,0.125,6.0,10.0,I,0,1,9,9
2,7.875,66.0,9.0,0.875,6.0,10.0,I,0,1,9,9
3,8.75,61.0,4.0,0.125,6.0,10.0,I,0,1,9,9
4,8.875,64.0,7.0,1.5,6.0,10.0,I,0,1,9,9
5,10.375,57.0,0.0,0.0630000000000006,10.0,12.0,vi,9,6,9,6
6,10.438,59.0,2.0,0.0619999999999993,10.0,12.0,vi,9,6,9,6
7,10.5,61.0,4.0,0.1880000000000006,10.0,12.0,vi,9,6,9,6
8,10.688,59.0,2.0,0.25,10.0,12.0,vi,9,6,9,6
9,10.938,57.0,0.0,0.6869999999999994,10.0,12.0,vi,9,6,9,6
10,11.625,57.0,0.0,0.125,10.0,12.0,vi,9,6,9,6
11,11.75,59.0,2.0,0.125,10.0,12.0,vi,9,6,9,6
12,11.875,61.0,4.0,0.0630000000000006,10.0,12.0,vi,9,6,9,6
13,11.938,59.0,2.0,0.0619999999999993,10.0,12.0,vi,9,6,9,6
14,12.0,57.0,0.0,0.625,10.0,12.0,vi,9,6,9,6
15,12.625,57.0,0.0,0.125,12.0,13.0,IV,5,4,9,2
16,12.75,61.0,4.0,0.125,12.0,13.0,IV,5,4,9,2
17,12.875,59.0,2.0,0.125,12.0,13.0,IV,5,4,9,2
18,13.0,57.0,0.0,0.125,12.0,13.0,IV,5,4,9,2
19,13.125,59.0,2.0,0.125,13.0,14.0,V,7,5,9,4
20,13.25,57.0,0.0,0.4380000000000006,13.0,14.0,V,7,5,9,4
21,13.688,59.0,2.0,0.1239999999999987,13.0,14.0,V,7,5,9,4
22,13.812,59.0,2.0,0.1880000000000006,13.0,14.0,V,7,5,9,4
23,14.0,57.0,0.0,1.625,13.0,14.0,V,7,5,9,4
24,15.625,61.0,4.0,0.125,14.0,18.0,I,0,1,9,9
25,15.75,64.0,7.0,0.125,14.0,18.0,I,0,1,9,9
26,15.875,66.0,9.0,0.75,14.0,18.0,I,0,1,9,9
27,16.625,61.0,4.0,0.125,14.0,18.0,I,0,1,9,9
28,16.75,64.0,7.0,0.125,14.0,18.0,I,0,1,9,9
29,16.875,66.0,9.0,0.5,14.0,18.0,I,0,1,9,9
30,17.375,62.0,5.0,0.125,14.0,18.0,I,0,1,9,9
31,17.5,62.0,5.0,0.125,14.0,18.0,I,0,1,9,9
32,17.625,61.0,4.0,0.125,14.0,18.0,I,0,1,9,9
33,17.75,59.0,2.0,0.125,14.0,18.0,I,0,1,9,9
34,17.875,57.0,0.0,0.0629999999999988,14.0,18.0,I,0,1,9,9
35,17.938,59.0,2.0,0.0620000000000011,14.0,18.0,I,0,1,9,9
36,18.0,61.0,4.0,0.625,14.0,18.0,I,0,1,9,9
37,18.625,59.0,2.0,0.125,18.0,20.0,vi,9,6,9,6
38,18.75,59.0,2.0,0.25,18.0,20.0,vi,9,6,9,6
39,19.0,57.0,0.0,0.625,18.0,20.0,vi,9,6,9,6
40,19.625,57.0,0.0,0.125,18.0,20.0,vi,9,6,9,6
41,19.75,59.0,2.0,0.125,18.0,20.0,vi,9,6,9,6
42,19.875,61.0,4.0,0.0629999999999988,18.0,20.0,vi,9,6,9,6
43,19.938,59.0,2.0,0.0620000000000011,18.0,20.0,vi,9,6,9,6
44,20.0,57.0,0.0,0.625,18.0,20.0,vi,9,6,9,6
45,20.625,59.0,2.0,0.125,20.0,21.0,IV,5,4,9,2
46,20.75,61.0,4.0,0.125,20.0,21.0,IV,5,4,9,2
47,20.875,59.0,2.0,0.125,20.0,21.0,IV,5,4,9,2
48,21.0,57.0,0.0,0.625,20.0,21.0,IV,5,4,9,2
49,21.625,61.0,4.0,0.125,21.0,22.0,V,7,5,9,4
50,21.75,59.0,2.0,0.125,21.0,22.0,V,7,5,9,4
51,21.875,57.0,0.0,0.25,21.0,22.0,V,7,5,9,4
52,22.125,57.0,0.0,0.75,22.0,26.0,I,0,1,9,9
53,22.875,66.0,9.0,0.125,22.0,26.0,I,0,1,9,9
54,23.0,66.0,9.0,0.125,22.0,26.0,I,0,1,9,9
55,23.125,64.0,7.0,0.125,22.0,26.0,I,0,1,9,9
56,23.25,64.0,7.0,0.25,22.0,26.0,I,0,1,9,9
57,23.5,69.0,0.0,0.125,22.0,26.0,I,0,1,9,9
58,23.625,68.0,11.0,0.125,22.0,26.0,I,0,1,9,9
59,23.75,68.0,11.0,0.25,22.0,26.0,I,0,1,9,9
60,24.0,66.0,9.0,0.125,22.0,26.0,I,0,1,9,9
61,24.125,64.0,7.0,0.125,22.0,26.0,I,0,1,9,9
62,24.25,66.0,9.0,0.4379999999999988,22.0,26.0,I,0,1,9,9
63,24.688,66.0,9.0,0.25,22.0,26.0,I,0,1,9,9
64,24.938,66.0,9.0,0.4370000000000011,22.0,26.0,I,0,1,9,9
65,25.375,66.0,9.0,0.25,22.0,26.0,I,0,1,9,9
66,25.625,64.0,7.0,0.125,22.0,26.0,I,0,1,9,9
67,25.75,66.0,9.0,0.125,22.0,26.0,I,0,1,9,9
68,25.875,61.0,4.0,0.125,22.0,26.0,I,0,1,9,9
69,26.0,59.0,2.0,0.0620000000000011,22.0,26.0,I,0,1,9,9
70,26.062,57.0,0.0,0.0629999999999988,26.0,28.0,vi,9,6,9,6
71,26.125,59.0,2.0,0.0629999999999988,26.0,28.0,vi,9,6,9,6
72,26.188,61.0,4.0,0.4370000000000011,26.0,28.0,vi,9,6,9,6
73,26.625,59.0,2.0,0.1870000000000011,26.0,28.0,vi,9,6,9,6
74,26.812,61.0,4.0,0.0629999999999988,26.0,28.0,vi,9,6,9,6
75,26.875,59.0,2.0,0.0629999999999988,26.0,28.0,vi,9,6,9,6
76,26.938,57.0,0.0,0.0620000000000011,26.0,28.0,vi,9,6,9,6
