,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,52.0,2.0,0.375,7.5,8.0,IV,5,4,2,7
1,8.375,54.0,4.0,0.125,8.0,9.0,I,0,1,2,2
2,8.5,54.0,4.0,0.625,8.0,9.0,I,0,1,2,2
3,9.125,52.0,2.0,0.125,9.0,9.5,V,7,5,2,9
4,9.25,54.0,4.0,0.125,9.0,9.5,V,7,5,2,9
5,9.375,54.0,4.0,0.0630000000000006,9.0,9.5,V,7,5,2,9
6,9.438,54.0,4.0,0.1869999999999994,9.0,9.5,V,7,5,2,9
7,9.625,50.0,0.0,0.125,9.5,10.0,IV,5,4,2,7
8,9.75,50.0,0.0,0.125,9.5,10.0,IV,5,4,2,7
9,9.875,45.0,7.0,0.0630000000000006,9.5,10.0,IV,5,4,2,7
10,9.938,45.0,7.0,0.3119999999999994,9.5,10.0,IV,5,4,2,7
11,10.25,54.0,4.0,0.0619999999999993,10.0,11.0,I,0,1,2,2
12,10.312,54.0,4.0,0.0630000000000006,10.0,11.0,I,0,1,2,2
13,10.375,54.0,4.0,0.0630000000000006,10.0,11.0,I,0,1,2,2
14,10.438,54.0,4.0,0.1239999999999987,10.0,11.0,I,0,1,2,2
15,10.562,50.0,0.0,0.1880000000000006,10.0,11.0,I,0,1,2,2
16,10.75,50.0,0.0,0.125,10.0,11.0,I,0,1,2,2
17,10.875,47.0,9.0,0.125,10.0,11.0,I,0,1,2,2
18,11.0,54.0,4.0,0.125,10.0,11.0,I,0,1,2,2
19,11.125,54.0,4.0,0.125,11.0,11.5,V,7,5,2,9
20,11.25,54.0,4.0,0.0619999999999993,11.0,11.5,V,7,5,2,9
21,11.312,54.0,4.0,0.0630000000000006,11.0,11.5,V,7,5,2,9
22,11.375,54.0,4.0,0.0630000000000006,11.0,11.5,V,7,5,2,9
23,11.438,50.0,0.0,0.3119999999999994,11.0,11.5,V,7,5,2,9
24,11.75,50.0,0.0,0.125,11.5,12.0,IV,5,4,2,7
25,11.875,47.0,9.0,0.125,11.5,12.0,IV,5,4,2,7
26,12.0,52.0,2.0,0.375,11.5,12.0,IV,5,4,2,7
27,12.375,54.0,4.0,0.75,12.0,13.0,I,0,1,2,2
28,13.125,52.0,2.0,0.125,13.0,13.5,V,7,5,2,9
29,13.25,52.0,2.0,0.125,13.0,13.5,V,7,5,2,9
30,13.375,54.0,4.0,0.125,13.0,13.5,V,7,5,2,9
31,13.5,50.0,0.0,0.0619999999999993,13.0,13.5,V,7,5,2,9
32,13.562,50.0,0.0,0.25,13.5,14.0,IV,5,4,2,7
33,13.812,45.0,7.0,0.3130000000000006,13.5,14.0,IV,5,4,2,7
34,14.125,54.0,4.0,0.125,14.0,15.0,I,0,1,2,2
35,14.25,54.0,4.0,0.125,14.0,15.0,I,0,1,2,2
36,14.375,54.0,4.0,0.125,14.0,15.0,I,0,1,2,2
37,14.5,50.0,0.0,0.25,14.0,15.0,I,0,1,2,2
38,14.75,50.0,0.0,0.125,14.0,15.0,I,0,1,2,2
39,14.875,45.0,7.0,0.125,14.0,15.0,I,0,1,2,2
40,15.0,54.0,4.0,0.125,14.0,15.0,I,0,1,2,2
41,15.125,54.0,4.0,0.125,15.0,15.5,V,7,5,2,9
42,15.25,54.0,4.0,0.125,15.0,15.5,V,7,5,2,9
43,15.375,52.0,2.0,0.0630000000000006,15.0,15.5,V,7,5,2,9
44,15.438,50.0,0.0,8.437,15.0,15.5,V,7,5,2,9
45,23.875,45.0,7.0,0.125,23.5,24.0,IV,5,4,2,7
46,24.0,52.0,2.0,0.375,23.5,24.0,IV,5,4,2,7
47,24.375,54.0,4.0,0.75,24.0,25.0,I,0,1,2,2
48,25.125,52.0,2.0,0.0629999999999988,25.0,25.5,V,7,5,2,9
49,25.188,52.0,2.0,0.1240000000000023,25.0,25.5,V,7,5,2,9
50,25.312,49.0,11.0,0.1879999999999988,25.0,25.5,V,7,5,2,9
51,25.5,54.0,4.0,0.125,25.0,25.5,V,7,5,2,9
52,25.625,50.0,0.0,0.125,25.5,26.0,IV,5,4,2,7
53,25.75,50.0,0.0,0.125,25.5,26.0,IV,5,4,2,7
54,25.875,45.0,7.0,0.125,25.5,26.0,IV,5,4,2,7
55,26.0,54.0,4.0,0.125,25.5,26.0,IV,5,4,2,7
56,26.125,54.0,4.0,0.0629999999999988,26.0,27.0,I,0,1,2,2
57,26.188,54.0,4.0,0.0620000000000011,26.0,27.0,I,0,1,2,2
58,26.25,54.0,4.0,0.125,26.0,27.0,I,0,1,2,2
59,26.375,54.0,4.0,0.125,26.0,27.0,I,0,1,2,2
60,26.5,54.0,4.0,0.125,26.0,27.0,I,0,1,2,2
61,26.625,50.0,0.0,0.125,26.0,27.0,I,0,1,2,2
62,26.75,50.0,0.0,0.3120000000000011,26.0,27.0,I,0,1,2,2
63,27.062,54.0,4.0,0.0629999999999988,27.0,27.5,V,7,5,2,9
64,27.125,54.0,4.0,0.0629999999999988,27.0,27.5,V,7,5,2,9
65,27.188,54.0,4.0,0.0620000000000011,27.0,27.5,V,7,5,2,9
66,27.25,54.0,4.0,0.125,27.0,27.5,V,7,5,2,9
67,27.375,54.0,4.0,0.125,27.0,27.5,V,7,5,2,9
68,27.5,54.0,4.0,0.125,27.0,27.5,V,7,5,2,9
69,27.625,50.0,0.0,0.125,27.5,28.0,IV,5,4,2,7
