,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,11.5,61.0,10.0,0.125,4.0,28.0,i,0,1,3,3
1,11.625,63.0,0.0,0.125,4.0,28.0,i,0,1,3,3
2,11.75,63.0,0.0,0.125,4.0,28.0,i,0,1,3,3
3,11.875,61.0,10.0,0.0630000000000006,4.0,28.0,i,0,1,3,3
4,11.938,66.0,3.0,0.1239999999999987,4.0,28.0,i,0,1,3,3
5,12.062,63.0,0.0,1.4380000000000006,4.0,28.0,i,0,1,3,3
6,13.5,61.0,10.0,0.125,4.0,28.0,i,0,1,3,3
7,13.625,58.0,7.0,0.125,4.0,28.0,i,0,1,3,3
8,13.75,56.0,5.0,0.125,4.0,28.0,i,0,1,3,3
9,13.875,54.0,3.0,0.0630000000000006,4.0,28.0,i,0,1,3,3
10,13.938,56.0,5.0,0.0619999999999993,4.0,28.0,i,0,1,3,3
11,14.0,54.0,3.0,1.5,4.0,28.0,i,0,1,3,3
12,15.5,61.0,10.0,0.125,4.0,28.0,i,0,1,3,3
13,15.625,63.0,0.0,0.125,4.0,28.0,i,0,1,3,3
14,15.75,63.0,0.0,0.125,4.0,28.0,i,0,1,3,3
15,15.875,61.0,10.0,0.0630000000000006,4.0,28.0,i,0,1,3,3
16,15.938,66.0,3.0,0.1240000000000005,4.0,28.0,i,0,1,3,3
17,16.062,63.0,0.0,1.4379999999999988,4.0,28.0,i,0,1,3,3
18,17.5,61.0,10.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
19,17.562,58.0,7.0,0.1259999999999976,4.0,28.0,i,0,1,3,3
20,17.688,56.0,5.0,0.1240000000000023,4.0,28.0,i,0,1,3,3
21,17.812,54.0,3.0,0.1259999999999976,4.0,28.0,i,0,1,3,3
22,17.938,56.0,5.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
23,18.0,54.0,3.0,1.5,4.0,28.0,i,0,1,3,3
24,19.5,61.0,10.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
25,19.562,63.0,0.0,0.1259999999999976,4.0,28.0,i,0,1,3,3
26,19.688,63.0,0.0,0.1240000000000023,4.0,28.0,i,0,1,3,3
27,19.812,63.0,0.0,0.1259999999999976,4.0,28.0,i,0,1,3,3
28,19.938,66.0,3.0,0.1240000000000023,4.0,28.0,i,0,1,3,3
29,20.062,63.0,0.0,1.3759999999999977,4.0,28.0,i,0,1,3,3
30,21.438,61.0,10.0,0.1240000000000023,4.0,28.0,i,0,1,3,3
31,21.562,58.0,7.0,0.1879999999999988,4.0,28.0,i,0,1,3,3
32,21.75,56.0,5.0,0.125,4.0,28.0,i,0,1,3,3
33,21.875,54.0,3.0,0.0629999999999988,4.0,28.0,i,0,1,3,3
34,21.938,56.0,5.0,0.1870000000000011,4.0,28.0,i,0,1,3,3
35,22.125,54.0,3.0,1.375,4.0,28.0,i,0,1,3,3
36,23.5,58.0,7.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
37,23.562,63.0,0.0,0.1259999999999976,4.0,28.0,i,0,1,3,3
38,23.688,63.0,0.0,0.1240000000000023,4.0,28.0,i,0,1,3,3
39,23.812,63.0,0.0,0.1259999999999976,4.0,28.0,i,0,1,3,3
40,23.938,66.0,3.0,0.3120000000000011,4.0,28.0,i,0,1,3,3
41,24.25,66.0,3.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
42,24.312,63.0,0.0,1.1259999999999977,4.0,28.0,i,0,1,3,3
43,25.438,58.0,7.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
44,25.5,61.0,10.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
45,25.562,58.0,7.0,0.1879999999999988,4.0,28.0,i,0,1,3,3
46,25.75,56.0,5.0,0.125,4.0,28.0,i,0,1,3,3
47,25.875,54.0,3.0,0.0629999999999988,4.0,28.0,i,0,1,3,3
48,25.938,56.0,5.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
49,26.0,54.0,3.0,1.625,4.0,28.0,i,0,1,3,3
50,27.625,58.0,7.0,0.125,4.0,28.0,i,0,1,3,3
51,27.75,58.0,7.0,0.0620000000000011,4.0,28.0,i,0,1,3,3
52,27.812,58.0,7.0,0.0629999999999988,4.0,28.0,i,0,1,3,3
53,27.875,65.0,2.0,0.3129999999999988,4.0,28.0,i,0,1,3,3
54,28.188,65.0,2.0,0.1240000000000023,28.0,28.5,V,7,5,3,10
55,28.312,65.0,2.0,0.4379999999999988,28.0,28.5,V,7,5,3,10
56,28.75,58.0,7.0,0.0620000000000011,28.5,29.0,bVIb5,8,6,3,11
57,28.812,58.0,7.0,0.0629999999999988,28.5,29.0,bVIb5,8,6,3,11
58,28.875,65.0,2.0,0.1870000000000011,28.5,29.0,bVIb5,8,6,3,11
59,29.062,65.0,2.0,0.1259999999999976,29.0,29.5,V,7,5,3,10
60,29.188,63.0,0.0,0.1240000000000023,29.0,29.5,V,7,5,3,10
61,29.312,63.0,0.0,0.3129999999999988,29.0,29.5,V,7,5,3,10
62,29.625,61.0,10.0,0.0629999999999988,29.5,30.0,bVb5,6,4,3,9
63,29.688,63.0,0.0,0.1870000000000011,29.5,30.0,bVb5,6,4,3,9
64,29.875,65.0,2.0,0.0629999999999988,29.5,30.0,bVb5,6,4,3,9
65,29.938,63.0,0.0,0.25,29.5,30.0,bVb5,6,4,3,9
66,30.188,61.0,10.0,0.0620000000000011,30.0,31.0,IV,5,4,3,8
67,30.25,58.0,7.0,0.0620000000000011,30.0,31.0,IV,5,4,3,8
68,30.312,56.0,5.0,0.0629999999999988,30.0,31.0,IV,5,4,3,8
69,30.375,54.0,3.0,0.0629999999999988,30.0,31.0,IV,5,4,3,8
70,30.438,51.0,0.0,0.8120000000000012,30.0,31.0,IV,5,4,3,8
71,31.25,66.0,3.0,0.0620000000000011,31.0,32.0,V,7,5,3,10
72,31.312,66.0,3.0,0.1879999999999988,31.0,32.0,V,7,5,3,10
73,31.5,63.0,0.0,0.0620000000000011,31.0,32.0,V,7,5,3,10
74,31.562,58.0,7.0,0.1879999999999988,31.0,32.0,V,7,5,3,10
75,31.75,56.0,5.0,0.125,31.0,32.0,V,7,5,3,10
