,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.625,64.0,7.0,0.375,0.0,13.0,I,0,1,9,9
1,5.0,64.0,7.0,0.25,0.0,13.0,I,0,1,9,9
2,5.25,63.0,6.0,0.25,0.0,13.0,I,0,1,9,9
3,5.5,62.0,5.0,0.25,0.0,13.0,I,0,1,9,9
4,5.75,61.0,4.0,0.125,0.0,13.0,I,0,1,9,9
5,5.875,62.0,5.0,0.25,0.0,13.0,I,0,1,9,9
6,6.125,64.0,7.0,0.875,0.0,13.0,I,0,1,9,9
7,7.0,64.0,7.0,0.125,0.0,13.0,I,0,1,9,9
8,7.125,64.0,7.0,0.375,0.0,13.0,I,0,1,9,9
9,7.5,62.0,5.0,0.25,0.0,13.0,I,0,1,9,9
10,7.75,61.0,4.0,0.125,0.0,13.0,I,0,1,9,9
11,7.875,64.0,7.0,1.125,0.0,13.0,I,0,1,9,9
12,9.0,64.0,7.0,0.125,0.0,13.0,I,0,1,9,9
13,9.125,64.0,7.0,0.375,0.0,13.0,I,0,1,9,9
14,9.5,62.0,5.0,0.25,0.0,13.0,I,0,1,9,9
15,9.75,61.0,4.0,0.125,0.0,13.0,I,0,1,9,9
16,9.875,62.0,5.0,0.25,0.0,13.0,I,0,1,9,9
17,10.125,64.0,7.0,0.5,0.0,13.0,I,0,1,9,9
18,10.625,66.0,9.0,0.125,0.0,13.0,I,0,1,9,9
19,10.75,64.0,7.0,0.25,0.0,13.0,I,0,1,9,9
20,11.0,67.0,10.0,0.25,0.0,13.0,I,0,1,9,9
21,11.25,66.0,9.0,0.125,0.0,13.0,I,0,1,9,9
22,11.375,64.0,7.0,0.375,0.0,13.0,I,0,1,9,9
23,11.75,62.0,5.0,0.25,0.0,13.0,I,0,1,9,9
24,12.0,60.0,3.0,0.25,0.0,13.0,I,0,1,9,9
25,12.25,60.0,3.0,0.125,0.0,13.0,I,0,1,9,9
26,12.375,59.0,2.0,0.25,0.0,13.0,I,0,1,9,9
27,12.625,57.0,0.0,0.375,0.0,13.0,I,0,1,9,9
28,13.0,60.0,3.0,0.375,0.0,13.0,I,0,1,9,9
29,13.375,54.0,9.0,1.125,13.0,17.0,IVd7,5,4,9,2
30,14.5,54.0,9.0,0.125,13.0,17.0,IVd7,5,4,9,2
31,14.625,57.0,0.0,0.375,13.0,17.0,IVd7,5,4,9,2
32,15.0,60.0,3.0,0.375,13.0,17.0,IVd7,5,4,9,2
33,15.375,54.0,9.0,1.125,13.0,17.0,IVd7,5,4,9,2
34,16.5,66.0,9.0,0.125,13.0,17.0,IVd7,5,4,9,2
35,16.625,64.0,7.0,0.625,13.0,17.0,IVd7,5,4,9,2
36,17.25,67.0,10.0,0.375,17.0,21.0,V,7,5,9,4
37,17.625,66.0,9.0,0.375,17.0,21.0,V,7,5,9,4
38,18.0,64.0,7.0,0.375,17.0,21.0,V,7,5,9,4
39,18.375,62.0,5.0,0.375,17.0,21.0,V,7,5,9,4
40,18.75,64.0,7.0,0.5,17.0,21.0,V,7,5,9,4
41,19.25,67.0,10.0,0.375,17.0,21.0,V,7,5,9,4
42,19.625,64.0,7.0,0.375,17.0,21.0,V,7,5,9,4
43,20.0,62.0,5.0,0.5,17.0,21.0,V,7,5,9,4
44,20.5,64.0,7.0,0.25,17.0,21.0,V,7,5,9,4
45,20.75,60.0,3.0,0.375,17.0,21.0,V,7,5,9,4
46,21.125,57.0,0.0,1.5,21.0,31.0,I,0,1,9,9
47,22.625,64.0,7.0,0.375,21.0,31.0,I,0,1,9,9
48,23.0,64.0,7.0,0.25,21.0,31.0,I,0,1,9,9
49,23.25,64.0,7.0,0.25,21.0,31.0,I,0,1,9,9
50,23.5,62.0,5.0,0.125,21.0,31.0,I,0,1,9,9
51,23.625,61.0,4.0,0.25,21.0,31.0,I,0,1,9,9
52,23.875,62.0,5.0,0.25,21.0,31.0,I,0,1,9,9
53,24.125,64.0,7.0,0.875,21.0,31.0,I,0,1,9,9
54,25.0,64.0,7.0,0.125,21.0,31.0,I,0,1,9,9
55,25.125,64.0,7.0,0.125,21.0,31.0,I,0,1,9,9
56,25.25,63.0,6.0,0.25,21.0,31.0,I,0,1,9,9
57,25.5,62.0,5.0,0.25,21.0,31.0,I,0,1,9,9
58,25.75,61.0,4.0,0.25,21.0,31.0,I,0,1,9,9
59,26.0,64.0,7.0,0.875,21.0,31.0,I,0,1,9,9
60,26.875,64.0,7.0,0.375,21.0,31.0,I,0,1,9,9
61,27.25,63.0,6.0,0.25,21.0,31.0,I,0,1,9,9
62,27.5,62.0,5.0,0.25,21.0,31.0,I,0,1,9,9
63,27.75,61.0,4.0,0.25,21.0,31.0,I,0,1,9,9
64,28.0,62.0,5.0,0.25,21.0,31.0,I,0,1,9,9
65,28.25,64.0,7.0,0.25,21.0,31.0,I,0,1,9,9
66,28.5,66.0,9.0,0.25,21.0,31.0,I,0,1,9,9
67,28.75,64.0,7.0,0.125,21.0,31.0,I,0,1,9,9
68,28.875,67.0,10.0,0.375,21.0,31.0,I,0,1,9,9
69,29.25,66.0,9.0,0.25,21.0,31.0,I,0,1,9,9
70,29.5,64.0,7.0,0.25,21.0,31.0,I,0,1,9,9
71,29.75,62.0,5.0,0.25,21.0,31.0,I,0,1,9,9
72,30.0,60.0,3.0,0.25,21.0,31.0,I,0,1,9,9
73,30.25,60.0,3.0,0.125,21.0,31.0,I,0,1,9,9
74,30.375,59.0,2.0,0.25,21.0,31.0,I,0,1,9,9
75,30.625,57.0,0.0,0.375,21.0,31.0,I,0,1,9,9
76,31.0,60.0,3.0,0.375,21.0,31.0,I,0,1,9,9
77,31.375,54.0,9.0,1.125,31.0,35.0,IVd7,5,4,9,2
78,32.5,54.0,9.0,0.125,31.0,35.0,IVd7,5,4,9,2
79,32.625,57.0,0.0,0.375,31.0,35.0,IVd7,5,4,9,2
80,33.0,60.0,3.0,0.375,31.0,35.0,IVd7,5,4,9,2
81,33.375,54.0,9.0,1.0,31.0,35.0,IVd7,5,4,9,2
82,34.375,66.0,9.0,0.25,31.0,35.0,IVd7,5,4,9,2
83,34.625,64.0,7.0,0.625,31.0,35.0,IVd7,5,4,9,2
84,35.25,67.0,10.0,0.375,35.0,39.0,V,7,5,9,4
85,35.625,66.0,9.0,0.375,35.0,39.0,V,7,5,9,4
86,36.0,64.0,7.0,0.375,35.0,39.0,V,7,5,9,4
87,36.375,62.0,5.0,0.375,35.0,39.0,V,7,5,9,4
88,36.75,64.0,7.0,0.5,35.0,39.0,V,7,5,9,4
89,37.25,67.0,10.0,0.375,35.0,39.0,V,7,5,9,4
90,37.625,64.0,7.0,0.375,35.0,39.0,V,7,5,9,4
91,38.0,62.0,5.0,0.5,35.0,39.0,V,7,5,9,4
92,38.5,64.0,7.0,0.25,35.0,39.0,V,7,5,9,4
93,38.75,60.0,3.0,0.375,35.0,39.0,V,7,5,9,4
94,39.125,57.0,0.0,21.5,39.0,49.0,I,0,1,9,9
95,60.625,64.0,7.0,0.375,57.0,69.0,I,0,1,9,9
96,61.0,64.0,7.0,0.25,57.0,69.0,I,0,1,9,9
97,61.25,63.0,6.0,0.25,57.0,69.0,I,0,1,9,9
98,61.5,62.0,5.0,0.25,57.0,69.0,I,0,1,9,9
99,61.75,61.0,4.0,0.125,57.0,69.0,I,0,1,9,9
100,61.875,62.0,5.0,0.25,57.0,69.0,I,0,1,9,9
101,62.125,64.0,7.0,0.625,57.0,69.0,I,0,1,9,9
102,62.75,64.0,7.0,0.25,57.0,69.0,I,0,1,9,9
103,63.0,64.0,7.0,0.25,57.0,69.0,I,0,1,9,9
104,63.25,63.0,6.0,0.25,57.0,69.0,I,0,1,9,9
105,63.5,62.0,5.0,0.25,57.0,69.0,I,0,1,9,9
106,63.75,61.0,4.0,0.25,57.0,69.0,I,0,1,9,9
107,64.0,64.0,7.0,0.625,57.0,69.0,I,0,1,9,9
108,64.625,64.0,7.0,0.375,57.0,69.0,I,0,1,9,9
109,65.0,64.0,7.0,0.25,57.0,69.0,I,0,1,9,9
110,65.25,63.0,6.0,0.125,57.0,69.0,I,0,1,9,9
111,65.375,62.0,5.0,0.25,57.0,69.0,I,0,1,9,9
112,65.625,62.0,5.0,0.125,57.0,69.0,I,0,1,9,9
113,65.75,61.0,4.0,0.25,57.0,69.0,I,0,1,9,9
114,66.0,62.0,5.0,0.25,57.0,69.0,I,0,1,9,9
115,66.25,64.0,7.0,0.25,57.0,69.0,I,0,1,9,9
116,66.5,66.0,9.0,0.125,57.0,69.0,I,0,1,9,9
117,66.625,64.0,7.0,0.375,57.0,69.0,I,0,1,9,9
118,67.0,67.0,10.0,0.25,57.0,69.0,I,0,1,9,9
119,67.25,66.0,9.0,0.125,57.0,69.0,I,0,1,9,9
120,67.375,64.0,7.0,0.375,57.0,69.0,I,0,1,9,9
121,67.75,62.0,5.0,0.25,57.0,69.0,I,0,1,9,9
122,68.0,60.0,3.0,0.25,57.0,69.0,I,0,1,9,9
123,68.25,60.0,3.0,0.125,57.0,69.0,I,0,1,9,9
124,68.375,59.0,2.0,0.25,57.0,69.0,I,0,1,9,9
125,68.625,57.0,0.0,0.375,57.0,69.0,I,0,1,9,9
126,69.0,60.0,3.0,0.375,57.0,69.0,I,0,1,9,9
127,69.375,54.0,9.0,1.125,69.0,73.0,IVd7,5,4,9,2
128,70.5,54.0,9.0,0.125,69.0,73.0,IVd7,5,4,9,2
129,70.625,57.0,0.0,0.375,69.0,73.0,IVd7,5,4,9,2
130,71.0,60.0,3.0,0.375,69.0,73.0,IVd7,5,4,9,2
131,71.375,54.0,9.0,1.125,69.0,73.0,IVd7,5,4,9,2
132,72.5,66.0,9.0,0.125,69.0,73.0,IVd7,5,4,9,2
133,72.625,64.0,7.0,0.625,69.0,73.0,IVd7,5,4,9,2
134,73.25,67.0,10.0,0.375,73.0,77.0,V,7,5,9,4
135,73.625,66.0,9.0,0.375,73.0,77.0,V,7,5,9,4
136,74.0,64.0,7.0,0.375,73.0,77.0,V,7,5,9,4
137,74.375,62.0,5.0,0.375,73.0,77.0,V,7,5,9,4
138,74.75,64.0,7.0,0.5,73.0,77.0,V,7,5,9,4
139,75.25,67.0,10.0,0.375,73.0,77.0,V,7,5,9,4
140,75.625,64.0,7.0,0.375,73.0,77.0,V,7,5,9,4
141,76.0,62.0,5.0,0.5,73.0,77.0,V,7,5,9,4
142,76.5,64.0,7.0,0.25,73.0,77.0,V,7,5,9,4
143,76.75,60.0,3.0,0.375,73.0,77.0,V,7,5,9,4
144,77.125,57.0,0.0,1.125,77.0,85.0,I,0,1,9,9
145,78.25,64.0,7.0,0.25,77.0,85.0,I,0,1,9,9
146,78.5,64.0,7.0,0.125,77.0,85.0,I,0,1,9,9
147,78.625,64.0,7.0,0.25,77.0,85.0,I,0,1,9,9
148,78.875,64.0,7.0,0.625,77.0,85.0,I,0,1,9,9
149,79.5,62.0,5.0,0.375,77.0,85.0,I,0,1,9,9
150,79.875,61.0,4.0,0.25,77.0,85.0,I,0,1,9,9
151,80.125,64.0,7.0,0.875,77.0,85.0,I,0,1,9,9
152,81.0,64.0,7.0,0.5,77.0,85.0,I,0,1,9,9
153,81.5,62.0,5.0,0.375,77.0,85.0,I,0,1,9,9
154,81.875,61.0,4.0,0.25,77.0,85.0,I,0,1,9,9
155,82.125,64.0,7.0,0.875,77.0,85.0,I,0,1,9,9
156,83.0,64.0,7.0,0.5,77.0,85.0,I,0,1,9,9
157,83.5,62.0,5.0,0.375,77.0,85.0,I,0,1,9,9
158,83.875,60.0,3.0,0.25,77.0,85.0,I,0,1,9,9
159,84.125,57.0,0.0,0.125,77.0,85.0,I,0,1,9,9
160,84.25,60.0,3.0,0.25,77.0,85.0,I,0,1,9,9
161,84.5,59.0,2.0,0.25,77.0,85.0,I,0,1,9,9
162,84.75,57.0,0.0,0.125,77.0,85.0,I,0,1,9,9
163,84.875,60.0,3.0,0.25,77.0,85.0,I,0,1,9,9
164,85.125,57.0,0.0,0.125,85.0,89.0,IVd7,5,4,9,2
165,85.25,54.0,9.0,1.25,85.0,89.0,IVd7,5,4,9,2
166,86.5,54.0,9.0,0.125,85.0,89.0,IVd7,5,4,9,2
167,86.625,57.0,0.0,0.375,85.0,89.0,IVd7,5,4,9,2
168,87.0,60.0,3.0,0.375,85.0,89.0,IVd7,5,4,9,2
169,87.375,54.0,9.0,1.125,85.0,89.0,IVd7,5,4,9,2
170,88.5,66.0,9.0,0.125,85.0,89.0,IVd7,5,4,9,2
171,88.625,64.0,7.0,0.625,85.0,89.0,IVd7,5,4,9,2
172,89.25,67.0,10.0,0.375,89.0,93.0,V,7,5,9,4
173,89.625,66.0,9.0,0.375,89.0,93.0,V,7,5,9,4
174,90.0,64.0,7.0,0.375,89.0,93.0,V,7,5,9,4
175,90.375,62.0,5.0,0.375,89.0,93.0,V,7,5,9,4
176,90.75,64.0,7.0,0.5,89.0,93.0,V,7,5,9,4
177,91.25,67.0,10.0,0.375,89.0,93.0,V,7,5,9,4
178,91.625,64.0,7.0,0.375,89.0,93.0,V,7,5,9,4
179,92.0,62.0,5.0,0.5,89.0,93.0,V,7,5,9,4
180,92.5,64.0,7.0,0.25,89.0,93.0,V,7,5,9,4
181,92.75,60.0,3.0,0.375,89.0,93.0,V,7,5,9,4
