,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,2.0,54.0,7.0,0.0619999999999998,0.0,3.5,I,0,1,11,11
1,2.062,54.0,7.0,0.1880000000000001,0.0,3.5,I,0,1,11,11
2,2.25,54.0,7.0,0.125,0.0,3.5,I,0,1,11,11
3,2.375,56.0,9.0,0.0630000000000001,0.0,3.5,I,0,1,11,11
4,2.438,54.0,7.0,0.1869999999999998,0.0,3.5,I,0,1,11,11
5,2.625,51.0,4.0,0.125,0.0,3.5,I,0,1,11,11
6,2.75,51.0,4.0,0.0619999999999998,0.0,3.5,I,0,1,11,11
7,2.812,52.0,5.0,0.1880000000000001,0.0,3.5,I,0,1,11,11
8,3.0,54.0,7.0,0.0619999999999998,0.0,3.5,I,0,1,11,11
9,3.062,54.0,7.0,0.1880000000000001,0.0,3.5,I,0,1,11,11
10,3.25,59.0,0.0,0.125,0.0,3.5,I,0,1,11,11
11,3.375,58.0,11.0,0.125,0.0,3.5,I,0,1,11,11
12,3.5,56.0,9.0,0.25,0.0,3.5,I,0,1,11,11
13,3.75,56.0,9.0,0.125,3.5,4.0,vi,9,6,11,8
14,3.875,58.0,11.0,0.125,3.5,4.0,vi,9,6,11,8
15,4.0,56.0,9.0,0.125,3.5,4.0,vi,9,6,11,8
16,4.125,54.0,7.0,0.125,4.0,6.0,V,7,5,11,6
17,4.25,54.0,7.0,0.125,4.0,6.0,V,7,5,11,6
18,4.375,56.0,9.0,0.0629999999999997,4.0,6.0,V,7,5,11,6
19,4.438,54.0,7.0,0.1240000000000005,4.0,6.0,V,7,5,11,6
20,4.562,49.0,2.0,0.3129999999999997,4.0,6.0,V,7,5,11,6
21,4.875,49.0,2.0,0.0629999999999997,4.0,6.0,V,7,5,11,6
22,4.938,51.0,4.0,0.0620000000000002,4.0,6.0,V,7,5,11,6
23,5.0,52.0,5.0,0.0620000000000002,4.0,6.0,V,7,5,11,6
24,5.062,52.0,5.0,0.1879999999999997,4.0,6.0,V,7,5,11,6
25,5.25,52.0,5.0,0.125,4.0,6.0,V,7,5,11,6
26,5.375,52.0,5.0,0.0629999999999997,4.0,6.0,V,7,5,11,6
27,5.438,52.0,5.0,0.1240000000000005,4.0,6.0,V,7,5,11,6
28,5.562,51.0,4.0,0.1879999999999997,4.0,6.0,V,7,5,11,6
29,5.75,47.0,0.0,0.125,4.0,6.0,V,7,5,11,6
30,5.875,49.0,2.0,0.125,4.0,6.0,V,7,5,11,6
31,6.0,52.0,5.0,0.0620000000000002,4.0,6.0,V,7,5,11,6
32,6.062,51.0,4.0,0.1259999999999994,6.0,7.5,I,0,1,11,11
33,6.188,47.0,0.0,0.9370000000000004,6.0,7.5,I,0,1,11,11
34,7.125,59.0,0.0,0.125,6.0,7.5,I,0,1,11,11
35,7.25,59.0,0.0,0.125,6.0,7.5,I,0,1,11,11
36,7.375,58.0,11.0,0.125,6.0,7.5,I,0,1,11,11
37,7.5,59.0,0.0,0.25,6.0,7.5,I,0,1,11,11
