,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,52.0,9.0,0.125,0.0,5.0,I,0,1,7,7
1,4.125,55.0,0.0,0.125,0.0,5.0,I,0,1,7,7
2,4.25,55.0,0.0,0.125,0.0,5.0,I,0,1,7,7
3,4.375,55.0,0.0,0.125,0.0,5.0,I,0,1,7,7
4,4.5,57.0,2.0,0.25,0.0,5.0,I,0,1,7,7
5,4.75,55.0,0.0,0.125,0.0,5.0,I,0,1,7,7
6,4.875,59.0,4.0,0.875,0.0,5.0,I,0,1,7,7
7,5.75,57.0,2.0,0.125,5.0,6.0,III,4,3,7,11
8,5.875,59.0,4.0,0.125,5.0,6.0,III,4,3,7,11
9,6.0,60.0,5.0,0.125,5.0,6.0,III,4,3,7,11
10,6.125,60.0,5.0,0.125,6.0,7.0,IV,5,4,7,0
11,6.25,60.0,5.0,0.125,6.0,7.0,IV,5,4,7,0
12,6.375,60.0,5.0,0.125,6.0,7.0,IV,5,4,7,0
13,6.5,60.0,5.0,0.125,6.0,7.0,IV,5,4,7,0
14,6.625,59.0,4.0,0.125,6.0,7.0,IV,5,4,7,0
15,6.75,58.0,3.0,0.125,6.0,7.0,IV,5,4,7,0
16,6.875,59.0,4.0,0.125,6.0,7.0,IV,5,4,7,0
17,7.0,57.0,2.0,1.0,6.0,7.0,IV,5,4,7,0
18,8.0,52.0,9.0,0.125,7.0,8.0,II,2,2,7,9
19,8.125,55.0,0.0,0.25,8.0,9.0,I,0,1,7,7
20,8.375,55.0,0.0,0.125,8.0,9.0,I,0,1,7,7
21,8.5,57.0,2.0,0.25,8.0,9.0,I,0,1,7,7
22,8.75,55.0,0.0,0.125,8.0,9.0,I,0,1,7,7
23,8.875,59.0,4.0,0.875,8.0,9.0,I,0,1,7,7
24,9.75,59.0,4.0,0.125,9.0,10.0,III,4,3,7,11
25,9.875,59.0,4.0,0.125,9.0,10.0,III,4,3,7,11
26,10.0,60.0,5.0,0.125,9.0,10.0,III,4,3,7,11
27,10.125,60.0,5.0,0.125,10.0,11.0,IV,5,4,7,0
28,10.25,60.0,5.0,0.125,10.0,11.0,IV,5,4,7,0
29,10.375,60.0,5.0,0.125,10.0,11.0,IV,5,4,7,0
30,10.5,62.0,7.0,0.25,10.0,11.0,IV,5,4,7,0
31,10.75,59.0,4.0,0.125,10.0,11.0,IV,5,4,7,0
32,10.875,59.0,4.0,0.5,10.0,11.0,IV,5,4,7,0
33,11.375,59.0,4.0,0.5,11.0,12.0,II,2,2,7,9
34,11.875,52.0,9.0,0.125,11.0,12.0,II,2,2,7,9
35,12.0,55.0,0.0,0.125,11.0,12.0,II,2,2,7,9
36,12.125,55.0,0.0,0.125,12.0,13.0,I,0,1,7,7
37,12.25,55.0,0.0,0.125,12.0,13.0,I,0,1,7,7
38,12.375,55.0,0.0,0.125,12.0,13.0,I,0,1,7,7
39,12.5,55.0,0.0,0.125,12.0,13.0,I,0,1,7,7
