,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.25,51.0,0.0,0.062,0.0,2.0,i,0,1,3,3
1,1.312,51.0,0.0,0.1879999999999999,0.0,2.0,i,0,1,3,3
2,1.5,55.0,4.0,0.125,0.0,2.0,i,0,1,3,3
3,1.625,55.0,4.0,0.125,0.0,2.0,i,0,1,3,3
4,1.75,58.0,7.0,0.062,0.0,2.0,i,0,1,3,3
5,1.812,58.0,7.0,0.1879999999999999,0.0,2.0,i,0,1,3,3
6,2.0,56.0,5.0,1.125,0.0,2.0,i,0,1,3,3
7,3.125,49.0,10.0,0.125,2.0,4.0,bVII,10,7,3,1
8,3.25,49.0,10.0,0.125,2.0,4.0,bVII,10,7,3,1
9,3.375,49.0,10.0,0.0630000000000001,2.0,4.0,bVII,10,7,3,1
10,3.438,53.0,2.0,0.1869999999999998,2.0,4.0,bVII,10,7,3,1
11,3.625,53.0,2.0,0.125,2.0,4.0,bVII,10,7,3,1
12,3.75,56.0,5.0,0.125,2.0,4.0,bVII,10,7,3,1
13,3.875,56.0,5.0,0.125,2.0,4.0,bVII,10,7,3,1
14,4.0,54.0,3.0,1.125,2.0,4.0,bVII,10,7,3,1
15,5.125,54.0,0.0,0.125,4.0,6.0,i,0,1,3,3
16,5.25,54.0,0.0,0.125,4.0,6.0,i,0,1,3,3
17,5.375,54.0,0.0,0.125,4.0,6.0,i,0,1,3,3
18,5.5,58.0,4.0,0.125,4.0,6.0,i,0,1,3,3
19,5.625,58.0,4.0,0.125,4.0,6.0,i,0,1,3,3
20,5.75,61.0,7.0,0.125,4.0,6.0,i,0,1,3,3
21,5.875,61.0,7.0,0.125,4.0,6.0,i,0,1,3,3
22,6.0,63.0,9.0,0.25,4.0,6.0,i,0,1,3,3
23,6.25,63.0,9.0,0.125,6.0,6.5,IV,5,4,6,11
24,6.375,61.0,7.0,0.875,6.0,6.5,IV,5,4,6,11
25,7.25,54.0,0.0,0.125,6.5,8.0,I,0,1,6,6
26,7.375,54.0,0.0,0.125,6.5,8.0,I,0,1,6,6
