,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,61.0,9.0,0.25,0.0,6.0,I7,0,1,4,4
1,4.25,56.0,4.0,0.125,0.0,6.0,I7,0,1,4,4
2,4.375,59.0,7.0,0.125,0.0,6.0,I7,0,1,4,4
3,4.5,59.0,7.0,0.0620000000000002,0.0,6.0,I7,0,1,4,4
4,4.562,61.0,9.0,0.8759999999999994,0.0,6.0,I7,0,1,4,4
5,5.438,61.0,9.0,0.1870000000000002,0.0,6.0,I7,0,1,4,4
6,5.625,59.0,7.0,0.1870000000000002,0.0,6.0,I7,0,1,4,4
7,5.812,59.0,7.0,0.0629999999999997,0.0,6.0,I7,0,1,4,4
8,5.875,61.0,9.0,0.125,0.0,6.0,I7,0,1,4,4
9,6.0,56.0,4.0,0.125,0.0,6.0,I7,0,1,4,4
10,6.125,56.0,4.0,0.1870000000000002,6.0,8.0,vi7,9,6,4,1
11,6.312,54.0,2.0,0.25,6.0,8.0,vi7,9,6,4,1
12,6.562,52.0,0.0,1.4379999999999995,6.0,8.0,vi7,9,6,4,1
13,8.0,64.0,0.0,0.125,6.0,8.0,vi7,9,6,4,1
14,8.125,59.0,7.0,0.0630000000000006,8.0,10.0,I7,0,1,4,4
15,8.188,61.0,9.0,0.1239999999999987,8.0,10.0,I7,0,1,4,4
16,8.312,56.0,4.0,0.0630000000000006,8.0,10.0,I7,0,1,4,4
17,8.375,59.0,7.0,0.1869999999999994,8.0,10.0,I7,0,1,4,4
18,8.562,59.0,7.0,0.0630000000000006,8.0,10.0,I7,0,1,4,4
19,8.625,61.0,9.0,0.6869999999999994,8.0,10.0,I7,0,1,4,4
20,9.312,59.0,7.0,0.1880000000000006,8.0,10.0,I7,0,1,4,4
21,9.5,61.0,9.0,0.125,8.0,10.0,I7,0,1,4,4
22,9.625,59.0,7.0,0.125,8.0,10.0,I7,0,1,4,4
23,9.75,59.0,7.0,0.0619999999999993,8.0,10.0,I7,0,1,4,4
24,9.812,61.0,9.0,0.1880000000000006,8.0,10.0,I7,0,1,4,4
25,10.0,56.0,4.0,0.125,8.0,10.0,I7,0,1,4,4
26,10.125,56.0,4.0,0.1869999999999994,10.0,12.0,vi7,9,6,4,1
27,10.312,54.0,2.0,0.1260000000000012,10.0,12.0,vi7,9,6,4,1
28,10.438,52.0,0.0,0.1239999999999987,10.0,12.0,vi7,9,6,4,1
29,10.562,52.0,0.0,0.8760000000000012,10.0,12.0,vi7,9,6,4,1
30,11.438,61.0,9.0,0.0619999999999993,10.0,12.0,vi7,9,6,4,1
31,11.5,56.0,4.0,0.125,10.0,12.0,vi7,9,6,4,1
32,11.625,56.0,4.0,0.1869999999999994,10.0,12.0,vi7,9,6,4,1
33,11.812,54.0,2.0,0.1880000000000006,10.0,12.0,vi7,9,6,4,1
34,12.0,52.0,0.0,0.125,10.0,12.0,vi7,9,6,4,1
35,12.125,54.0,2.0,0.0630000000000006,12.0,14.0,ii,2,2,4,6
36,12.188,56.0,4.0,0.1869999999999994,12.0,14.0,ii,2,2,4,6
37,12.375,52.0,0.0,0.125,12.0,14.0,ii,2,2,4,6
38,12.5,52.0,0.0,1.0,12.0,14.0,ii,2,2,4,6
39,13.5,61.0,9.0,0.1880000000000006,12.0,14.0,ii,2,2,4,6
40,13.688,64.0,0.0,0.1239999999999987,12.0,14.0,ii,2,2,4,6
41,13.812,66.0,2.0,0.1880000000000006,12.0,14.0,ii,2,2,4,6
42,14.0,68.0,4.0,0.125,12.0,14.0,ii,2,2,4,6
43,14.125,68.0,4.0,0.25,14.0,16.0,V11,7,5,4,11
44,14.375,68.0,4.0,0.125,14.0,16.0,V11,7,5,4,11
45,14.5,66.0,2.0,0.125,14.0,16.0,V11,7,5,4,11
46,14.625,66.0,2.0,0.0630000000000006,14.0,16.0,V11,7,5,4,11
47,14.688,61.0,9.0,0.4369999999999994,14.0,16.0,V11,7,5,4,11
48,15.125,63.0,11.0,0.25,14.0,16.0,V11,7,5,4,11
49,15.375,61.0,9.0,0.25,14.0,16.0,V11,7,5,4,11
50,15.625,59.0,7.0,0.375,14.0,16.0,V11,7,5,4,11
51,16.0,61.0,9.0,0.25,14.0,16.0,V11,7,5,4,11
52,16.25,56.0,4.0,0.125,16.0,18.0,I7,0,1,4,4
53,16.375,59.0,7.0,0.1870000000000011,16.0,18.0,I7,0,1,4,4
54,16.562,59.0,7.0,0.0629999999999988,16.0,18.0,I7,0,1,4,4
55,16.625,61.0,9.0,0.8129999999999988,16.0,18.0,I7,0,1,4,4
56,17.438,61.0,9.0,0.1240000000000023,16.0,18.0,I7,0,1,4,4
57,17.562,59.0,7.0,0.1879999999999988,16.0,18.0,I7,0,1,4,4
58,17.75,61.0,9.0,0.125,16.0,18.0,I7,0,1,4,4
59,17.875,56.0,4.0,0.25,16.0,18.0,I7,0,1,4,4
60,18.125,54.0,2.0,0.125,18.0,20.0,vi7,9,6,4,1
61,18.25,56.0,4.0,0.125,18.0,20.0,vi7,9,6,4,1
62,18.375,54.0,2.0,0.1870000000000011,18.0,20.0,vi7,9,6,4,1
63,18.562,52.0,0.0,1.0,18.0,20.0,vi7,9,6,4,1
64,19.562,52.0,0.0,0.0629999999999988,18.0,20.0,vi7,9,6,4,1
65,19.625,52.0,0.0,0.375,18.0,20.0,vi7,9,6,4,1
66,20.0,64.0,0.0,0.125,18.0,20.0,vi7,9,6,4,1
67,20.125,59.0,7.0,0.125,20.0,22.0,I7,0,1,4,4
68,20.25,61.0,9.0,0.125,20.0,22.0,I7,0,1,4,4
69,20.375,56.0,4.0,0.0629999999999988,20.0,22.0,I7,0,1,4,4
70,20.438,59.0,7.0,0.25,20.0,22.0,I7,0,1,4,4
71,20.688,59.0,7.0,0.0620000000000011,20.0,22.0,I7,0,1,4,4
72,20.75,61.0,9.0,0.625,20.0,22.0,I7,0,1,4,4
73,21.375,59.0,7.0,0.0629999999999988,20.0,22.0,I7,0,1,4,4
74,21.438,61.0,9.0,0.1240000000000023,20.0,22.0,I7,0,1,4,4
75,21.562,59.0,7.0,0.1259999999999976,20.0,22.0,I7,0,1,4,4
76,21.688,61.0,9.0,0.0620000000000011,20.0,22.0,I7,0,1,4,4
77,21.75,56.0,4.0,0.125,20.0,22.0,I7,0,1,4,4
78,21.875,56.0,4.0,0.25,20.0,22.0,I7,0,1,4,4
79,22.125,54.0,2.0,0.125,22.0,24.0,vi7,9,6,4,1
80,22.25,56.0,4.0,0.125,22.0,24.0,vi7,9,6,4,1
81,22.375,54.0,2.0,0.1870000000000011,22.0,24.0,vi7,9,6,4,1
82,22.562,52.0,0.0,0.8759999999999977,22.0,24.0,vi7,9,6,4,1
83,23.438,61.0,9.0,0.1240000000000023,22.0,24.0,vi7,9,6,4,1
84,23.562,56.0,4.0,0.1259999999999976,22.0,24.0,vi7,9,6,4,1
85,23.688,54.0,2.0,0.1240000000000023,22.0,24.0,vi7,9,6,4,1
86,23.812,54.0,2.0,0.1879999999999988,22.0,24.0,vi7,9,6,4,1
87,24.0,52.0,0.0,0.125,22.0,24.0,vi7,9,6,4,1
88,24.125,54.0,2.0,0.0629999999999988,24.0,26.0,ii,2,2,4,6
89,24.188,56.0,4.0,0.3740000000000023,24.0,26.0,ii,2,2,4,6
90,24.562,52.0,0.0,0.1259999999999976,24.0,26.0,ii,2,2,4,6
91,24.688,52.0,0.0,0.8120000000000012,24.0,26.0,ii,2,2,4,6
92,25.5,61.0,9.0,0.125,24.0,26.0,ii,2,2,4,6
93,25.625,64.0,0.0,0.1870000000000011,24.0,26.0,ii,2,2,4,6
94,25.812,68.0,4.0,0.1879999999999988,24.0,26.0,ii,2,2,4,6
95,26.0,68.0,4.0,0.125,24.0,26.0,ii,2,2,4,6
96,26.125,68.0,4.0,0.25,26.0,28.0,V11,7,5,4,11
97,26.375,68.0,4.0,0.125,26.0,28.0,V11,7,5,4,11
98,26.5,66.0,2.0,0.0620000000000011,26.0,28.0,V11,7,5,4,11
99,26.562,66.0,2.0,0.1259999999999976,26.0,28.0,V11,7,5,4,11
100,26.688,61.0,9.0,0.1870000000000011,26.0,28.0,V11,7,5,4,11
101,26.875,63.0,11.0,0.1870000000000011,26.0,28.0,V11,7,5,4,11
102,27.062,61.0,9.0,0.3129999999999988,26.0,28.0,V11,7,5,4,11
103,27.375,59.0,7.0,0.25,26.0,28.0,V11,7,5,4,11
104,27.625,61.0,9.0,0.375,26.0,28.0,V11,7,5,4,11
105,28.0,56.0,4.0,0.0620000000000011,26.0,28.0,V11,7,5,4,11
106,28.062,59.0,7.0,0.1259999999999976,28.0,29.0,ii7,2,2,4,6
107,28.188,59.0,7.0,0.0620000000000011,28.0,29.0,ii7,2,2,4,6
108,28.25,61.0,9.0,0.625,28.0,29.0,ii7,2,2,4,6
109,28.875,52.0,0.0,0.125,28.0,29.0,ii7,2,2,4,6
110,29.0,56.0,4.0,0.0620000000000011,28.0,29.0,ii7,2,2,4,6
111,29.062,59.0,7.0,0.1259999999999976,29.0,30.0,V11,7,5,4,11
112,29.188,59.0,7.0,0.0620000000000011,29.0,30.0,V11,7,5,4,11
113,29.25,61.0,9.0,0.625,29.0,30.0,V11,7,5,4,11
114,29.875,52.0,0.0,0.125,29.0,30.0,V11,7,5,4,11
115,30.0,56.0,4.0,0.125,29.0,30.0,V11,7,5,4,11
116,30.125,59.0,7.0,0.125,30.0,31.0,ii7,2,2,4,6
117,30.25,61.0,9.0,0.375,30.0,31.0,ii7,2,2,4,6
118,30.625,61.0,9.0,0.1870000000000011,30.0,31.0,ii7,2,2,4,6
119,30.812,64.0,0.0,0.1879999999999988,30.0,31.0,ii7,2,2,4,6
120,31.0,61.0,9.0,0.125,30.0,31.0,ii7,2,2,4,6
121,31.125,59.0,7.0,0.125,31.0,32.0,V11,7,5,4,11
122,31.25,59.0,7.0,0.0620000000000011,31.0,32.0,V11,7,5,4,11
123,31.312,61.0,9.0,0.6879999999999988,31.0,32.0,V11,7,5,4,11
124,32.0,56.0,4.0,0.125,31.0,32.0,V11,7,5,4,11
125,32.125,59.0,7.0,0.125,32.0,33.0,ii7,2,2,4,6
126,32.25,61.0,9.0,0.625,32.0,33.0,ii7,2,2,4,6
127,32.875,52.0,0.0,0.125,32.0,33.0,ii7,2,2,4,6
128,33.0,56.0,4.0,0.125,32.0,33.0,ii7,2,2,4,6
129,33.125,59.0,7.0,0.125,33.0,34.0,V11,7,5,4,11
130,33.25,59.0,7.0,0.0619999999999976,33.0,34.0,V11,7,5,4,11
131,33.312,61.0,9.0,0.3130000000000024,33.0,34.0,V11,7,5,4,11
132,33.625,68.0,4.0,0.25,33.0,34.0,V11,7,5,4,11
133,33.875,68.0,4.0,0.125,33.0,34.0,V11,7,5,4,11
134,34.0,66.0,2.0,0.125,33.0,34.0,V11,7,5,4,11
135,34.125,64.0,0.0,0.0630000000000023,34.0,35.0,I7,0,1,4,4
136,34.188,64.0,0.0,0.0619999999999976,34.0,35.0,I7,0,1,4,4
137,34.25,59.0,7.0,0.0619999999999976,34.0,35.0,I7,0,1,4,4
138,34.312,61.0,9.0,0.5630000000000024,34.0,35.0,I7,0,1,4,4
139,34.875,68.0,4.0,0.125,34.0,35.0,I7,0,1,4,4
140,35.0,66.0,2.0,0.125,34.0,35.0,I7,0,1,4,4
141,35.125,64.0,0.0,0.0630000000000023,35.0,36.0,vi7,9,6,4,1
142,35.188,64.0,0.0,0.0619999999999976,35.0,36.0,vi7,9,6,4,1
143,35.25,59.0,7.0,0.0619999999999976,35.0,36.0,vi7,9,6,4,1
144,35.312,61.0,9.0,0.3130000000000024,35.0,36.0,vi7,9,6,4,1
145,35.625,64.0,0.0,0.0630000000000023,35.0,36.0,vi7,9,6,4,1
146,35.688,66.0,2.0,0.1869999999999976,35.0,36.0,vi7,9,6,4,1
