,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.833,70.0,9.0,0.0839999999999996,3.5,4.0,V,7,5,1,8
1,3.917,70.0,9.0,0.0830000000000001,3.5,4.0,V,7,5,1,8
2,4.0,70.0,9.0,0.1669999999999998,3.5,4.0,V,7,5,1,8
3,4.167,68.0,7.0,0.1660000000000003,4.0,4.5,I,0,1,1,1
4,4.333,68.0,7.0,0.0839999999999996,4.0,4.5,I,0,1,1,1
5,4.417,65.0,4.0,0.0830000000000001,4.0,4.5,I,0,1,1,1
6,4.5,68.0,7.0,0.1669999999999998,4.0,4.5,I,0,1,1,1
7,4.667,68.0,7.0,0.0830000000000001,4.5,5.0,V6,7,5,1,8
8,4.75,70.0,9.0,0.5,4.5,5.0,V6,7,5,1,8
9,5.25,65.0,4.0,0.0830000000000001,5.0,5.5,vi,9,6,1,10
10,5.333,63.0,2.0,0.0419999999999998,5.0,5.5,vi,9,6,1,10
11,5.375,61.0,0.0,0.0830000000000001,5.0,5.5,vi,9,6,1,10
12,5.458,61.0,0.0,0.0839999999999996,5.0,5.5,vi,9,6,1,10
13,5.542,58.0,9.0,0.0410000000000003,5.5,6.0,iii6,4,3,1,5
14,5.583,61.0,0.0,0.0419999999999998,5.5,6.0,iii6,4,3,1,5
15,5.625,58.0,9.0,0.0830000000000001,5.5,6.0,iii6,4,3,1,5
16,5.708,61.0,0.0,0.0839999999999996,5.5,6.0,iii6,4,3,1,5
17,5.792,56.0,7.0,0.0410000000000003,5.5,6.0,iii6,4,3,1,5
18,5.833,58.0,9.0,0.0839999999999996,5.5,6.0,iii6,4,3,1,5
19,5.917,56.0,7.0,0.0410000000000003,5.5,6.0,iii6,4,3,1,5
20,5.958,53.0,4.0,0.2919999999999998,5.5,6.0,iii6,4,3,1,5
21,6.25,65.0,4.0,0.0830000000000001,6.0,6.5,IV,5,4,1,6
22,6.333,63.0,2.0,0.0839999999999996,6.0,6.5,IV,5,4,1,6
23,6.417,61.0,0.0,0.0830000000000001,6.0,6.5,IV,5,4,1,6
24,6.5,63.0,2.0,0.25,6.0,6.5,IV,5,4,1,6
25,6.75,56.0,7.0,0.0419999999999998,6.5,7.0,V,7,5,1,8
26,6.792,56.0,7.0,0.0410000000000003,6.5,7.0,V,7,5,1,8
27,6.833,58.0,9.0,0.0839999999999996,6.5,7.0,V,7,5,1,8
28,6.917,61.0,0.0,0.2080000000000001,6.5,7.0,V,7,5,1,8
29,7.125,58.0,9.0,0.0830000000000001,7.0,7.5,I,0,1,1,1
30,7.208,61.0,0.0,0.0839999999999996,7.0,7.5,I,0,1,1,1
31,7.292,56.0,7.0,0.0410000000000003,7.0,7.5,I,0,1,1,1
