,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,56.0,0.0,0.625,0.0,12.0,I,0,1,8,8
1,4.625,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
2,4.75,60.0,4.0,0.125,0.0,12.0,I,0,1,8,8
3,4.875,61.0,5.0,0.125,0.0,12.0,I,0,1,8,8
4,5.0,60.0,4.0,0.125,0.0,12.0,I,0,1,8,8
5,5.125,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
6,5.25,54.0,10.0,0.125,0.0,12.0,I,0,1,8,8
7,5.375,56.0,0.0,0.25,0.0,12.0,I,0,1,8,8
8,5.625,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
9,5.75,60.0,4.0,0.125,0.0,12.0,I,0,1,8,8
10,5.875,61.0,5.0,0.125,0.0,12.0,I,0,1,8,8
11,6.0,62.0,6.0,0.125,0.0,12.0,I,0,1,8,8
12,6.125,61.0,5.0,0.125,0.0,12.0,I,0,1,8,8
13,6.25,59.0,3.0,0.125,0.0,12.0,I,0,1,8,8
14,6.375,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
15,6.5,60.0,4.0,0.125,0.0,12.0,I,0,1,8,8
16,6.625,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
17,6.75,54.0,10.0,0.125,0.0,12.0,I,0,1,8,8
18,6.875,56.0,0.0,0.1870000000000002,0.0,12.0,I,0,1,8,8
19,7.062,56.0,0.0,0.9379999999999996,0.0,12.0,I,0,1,8,8
20,8.0,56.0,0.0,0.0619999999999993,0.0,12.0,I,0,1,8,8
21,8.062,54.0,10.0,0.0630000000000006,0.0,12.0,I,0,1,8,8
22,8.125,56.0,0.0,0.5,0.0,12.0,I,0,1,8,8
23,8.625,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
24,8.75,59.0,3.0,0.125,0.0,12.0,I,0,1,8,8
25,8.875,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
26,9.0,59.0,3.0,0.125,0.0,12.0,I,0,1,8,8
27,9.125,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
28,9.25,54.0,10.0,0.375,0.0,12.0,I,0,1,8,8
29,9.625,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
30,9.75,60.0,4.0,0.125,0.0,12.0,I,0,1,8,8
31,9.875,61.0,5.0,0.125,0.0,12.0,I,0,1,8,8
32,10.0,63.0,7.0,0.125,0.0,12.0,I,0,1,8,8
33,10.125,61.0,5.0,0.125,0.0,12.0,I,0,1,8,8
34,10.25,59.0,3.0,0.125,0.0,12.0,I,0,1,8,8
35,10.375,56.0,0.0,0.125,0.0,12.0,I,0,1,8,8
36,10.5,59.0,3.0,0.125,0.0,12.0,I,0,1,8,8
37,10.625,56.0,0.0,0.0630000000000006,0.0,12.0,I,0,1,8,8
38,10.688,54.0,10.0,0.0619999999999993,0.0,12.0,I,0,1,8,8
39,10.75,56.0,0.0,1.25,0.0,12.0,I,0,1,8,8
40,12.0,58.0,2.0,0.625,0.0,12.0,I,0,1,8,8
41,12.625,58.0,2.0,0.125,12.0,16.0,V/V,2,2,8,10
42,12.75,62.0,6.0,0.125,12.0,16.0,V/V,2,2,8,10
43,12.875,63.0,7.0,0.125,12.0,16.0,V/V,2,2,8,10
44,13.0,62.0,6.0,0.125,12.0,16.0,V/V,2,2,8,10
45,13.125,58.0,2.0,0.125,12.0,16.0,V/V,2,2,8,10
46,13.25,56.0,0.0,0.375,12.0,16.0,V/V,2,2,8,10
47,13.625,58.0,2.0,0.125,12.0,16.0,V/V,2,2,8,10
48,13.75,62.0,6.0,0.125,12.0,16.0,V/V,2,2,8,10
49,13.875,63.0,7.0,0.125,12.0,16.0,V/V,2,2,8,10
50,14.0,64.0,8.0,0.125,12.0,16.0,V/V,2,2,8,10
51,14.125,63.0,7.0,0.125,12.0,16.0,V/V,2,2,8,10
52,14.25,61.0,5.0,0.125,12.0,16.0,V/V,2,2,8,10
53,14.375,58.0,2.0,0.125,12.0,16.0,V/V,2,2,8,10
54,14.5,62.0,6.0,0.125,12.0,16.0,V/V,2,2,8,10
55,14.625,58.0,2.0,0.125,12.0,16.0,V/V,2,2,8,10
56,14.75,56.0,0.0,0.125,12.0,16.0,V/V,2,2,8,10
57,14.875,58.0,2.0,0.25,12.0,16.0,V/V,2,2,8,10
58,15.125,58.0,2.0,0.4369999999999994,12.0,16.0,V/V,2,2,8,10
59,15.562,58.0,2.0,0.4380000000000006,12.0,16.0,V/V,2,2,8,10
60,16.0,63.0,7.0,0.625,12.0,16.0,V/V,2,2,8,10
61,16.625,63.0,7.0,0.125,16.0,22.0,V,7,5,8,3
