time,note,scale degree,length
0.625,60,5,0.125
0.750,60,5,0.125
0.875,59,4,0.125
1.000,62,7,0.5
1.500,62,7,0.375
1.875,62,7,0.75
2.625,62,7,0.125
2.750,62,7,0.125
2.875,60,5,0.125
3.000,62,7,0.125
3.125,65,10,0.5
3.625,62,7,0.125
3.750,60,5,0.125
3.875,62,7,0.125
4.000,60,5,0.125
4.125,59,4,0.5
4.625,60,5,0.125
4.750,60,5,0.125
4.875,59,4,0.125
5.000,62,7,0.5
5.500,62,7,0.375
5.875,62,7,0.75
6.625,62,7,0.125
6.750,62,7,0.125
6.875,60,5,0.125
7.000,62,7,0.125
7.125,65,10,0.5
7.625,62,7,0.125
7.750,60,5,0.125
7.875,62,7,0.125
8.000,60,5,0.125
8.125,59,4,0.5
8.625,60,5,0.125
8.750,62,7,0.125
8.875,62,7,0.125
9.000,64,9,0.125
9.125,63,8,0.125
9.250,62,7,0.125
9.375,60,5,0.25
9.625,63,8,0.125
9.750,64,9,0.125
9.875,65,10,0.125
10.000,66,11,0.125
10.125,65,10,0.125
10.250,64,9,0.125
10.375,62,7,0.25
10.625,59,4,0.125
10.750,60,5,0.125
10.875,59,4,0.125
11.000,62,7,0.125
11.125,55,0,0.375
11.500,58,3,0.125
11.625,60,5,0.25
11.875,58,3,0.75
12.625,60,5,0.125
12.750,60,5,0.125
12.875,59,4,0.125
13.000,62,7,0.5
13.500,62,7,0.375
13.875,62,7,0.75
14.625,60,5,0.125
14.750,62,7,0.125
14.875,60,5,0.125
15.000,62,7,0.125
15.125,65,10,0.5
15.625,61,6,0.125
15.750,62,7,0.125
15.875,60,5,0.125
16.000,62,7,0.062000000000001165
16.062,60,5,0.06299999999999883
16.125,59,4,0.625
16.750,60,5,0.125
16.875,59,4,0.125
17.000,62,7,0.125
17.125,62,7,0.125
17.250,62,7,0.125
17.375,62,7,0.125
17.500,62,7,0.125
17.625,62,7,0.25
17.875,62,7,0.75
18.625,60,5,0.125
18.750,62,7,0.125
18.875,60,5,0.125
19.000,62,7,0.125
19.125,65,10,0.5
19.625,62,7,0.125
19.750,60,5,0.125
19.875,62,7,0.125
20.000,60,5,0.125
20.125,59,4,0.5
20.625,62,7,0.125
20.750,62,7,0.125
20.875,62,7,0.125
21.000,64,9,0.125
21.125,63,8,0.125
21.250,62,7,0.125
21.375,60,5,0.25
21.625,63,8,0.125
21.750,64,9,0.125
21.875,65,10,0.125
22.000,66,11,0.125
22.125,65,10,0.125
22.250,64,9,0.125
22.375,62,7,0.25
22.625,59,4,0.125
22.750,60,5,0.125
22.875,59,4,0.125
23.000,62,7,0.125
23.125,55,0,0.375
23.500,58,3,0.125
23.625,60,5,0.25
23.875,58,3,0.625
24.500,62,7,0.125
24.625,67,0,0.25
24.875,64,9,0.125
25.000,66,11,1.0
26.000,67,0,0.125
26.125,66,11,0.125
26.250,64,9,0.125
26.375,64,9,0.25
26.625,66,11,0.125
26.750,67,0,0.125
26.875,64,9,0.125
27.000,66,11,1.5
28.500,62,7,0.125
28.625,66,11,0.25
28.875,67,0,1.125
30.000,67,0,0.125
30.125,66,11,0.125
30.250,64,9,0.125
30.375,64,9,0.25
30.625,66,11,0.125
30.750,67,0,0.25
31.000,69,2,0.875
31.875,69,2,0.5
32.375,69,2,0.25
32.625,59,4,0.125
32.750,60,5,0.125
32.875,59,4,0.125
33.000,62,7,0.5
33.500,62,7,0.375
33.875,62,7,0.75
34.625,60,5,0.125
34.750,62,7,0.125
34.875,60,5,0.125
35.000,62,7,0.125
35.125,65,10,0.5
35.625,62,7,0.125
35.750,60,5,0.125
35.875,62,7,0.125
36.000,60,5,0.125
36.125,59,4,0.5
36.625,59,4,0.125
36.750,60,5,0.125
36.875,59,4,0.125
37.000,62,7,0.5
37.500,62,7,0.375
37.875,62,7,0.75
38.625,62,7,0.125
38.750,62,7,0.125
38.875,60,5,0.125
39.000,62,7,0.125
39.125,65,10,0.5
39.625,62,7,0.125
39.750,60,5,0.125
39.875,62,7,0.125
40.000,60,5,0.125
40.125,59,4,0.5
40.625,60,5,0.125
40.750,62,7,0.125
40.875,62,7,0.125
41.000,64,9,0.125
41.125,63,8,0.125
41.250,62,7,0.125
41.375,60,5,0.25
41.625,63,8,0.125
41.750,64,9,0.125
41.875,65,10,0.125
42.000,66,11,0.125
42.125,65,10,0.125
42.250,64,9,0.125
42.375,62,7,0.25
42.625,59,4,0.125
42.750,60,5,0.125
42.875,59,4,0.125
43.000,62,7,0.125
43.125,55,0,0.375
43.500,58,3,0.125
43.625,60,5,0.25
43.875,58,3,8.75
52.625,62,7,0.125
52.750,62,7,0.125
52.875,63,8,0.125
53.000,64,9,0.125
53.125,63,8,0.125
53.250,62,7,0.125
53.375,60,5,0.25
53.625,63,8,0.125
53.750,64,9,0.125
53.875,65,10,0.125
54.000,66,11,0.125
54.125,65,10,0.125
54.250,64,9,0.125
54.375,62,7,0.25
54.625,59,4,0.125
54.750,60,5,0.125
54.875,59,4,0.125
55.000,62,7,0.125
55.125,55,0,0.375
55.500,58,3,0.125
55.625,60,5,0.25
55.875,58,3,0.625
56.500,62,7,0.125
56.625,67,0,0.25
56.875,66,11,1.125
58.000,67,0,0.125
58.125,66,11,0.125
58.250,64,9,0.125
58.375,64,9,0.25
58.625,66,11,0.125
58.750,67,0,0.125
58.875,64,9,0.125
59.000,66,11,0.375
59.375,62,7,1.125
60.500,62,7,0.125
60.625,66,11,0.25
60.875,67,0,1.125
62.000,67,0,0.125
62.125,66,11,0.125
62.250,64,9,0.125
62.375,64,9,0.25
62.625,66,11,0.125
62.750,67,0,0.25
63.000,69,2,0.875
63.875,69,2,0.5
64.375,69,2,0.25
64.625,59,4,0.125
64.750,60,5,0.125
64.875,59,4,0.125
65.000,62,7,0.5
65.500,62,7,0.375
65.875,62,7,0.75
66.625,60,5,0.125
66.750,62,7,0.125
66.875,60,5,0.125
67.000,62,7,0.125
67.125,65,10,0.5
67.625,62,7,0.125
67.750,60,5,0.125
67.875,62,7,0.125
68.000,60,5,0.125
68.125,59,4,0.5
68.625,60,5,0.125
68.750,60,5,0.125
68.875,59,4,0.125
69.000,62,7,0.5
69.500,62,7,0.375
69.875,62,7,0.125
70.000,60,5,0.06199999999999761
70.062,59,4,0.5630000000000024
70.625,60,5,0.125
70.750,62,7,0.125
70.875,60,5,0.125
71.000,62,7,0.125
71.125,65,10,0.5
71.625,62,7,0.125
71.750,60,5,0.125
71.875,62,7,0.125
72.000,60,5,0.125
72.125,59,4,0.5
72.625,62,7,0.125
72.750,62,7,0.125
72.875,62,7,0.125
73.000,64,9,0.125
73.125,63,8,0.125
73.250,62,7,0.125
73.375,60,5,0.25
73.625,63,8,0.125
73.750,64,9,0.125
73.875,65,10,0.125
74.000,66,11,0.125
74.125,65,10,0.125
74.250,64,9,0.125
74.375,62,7,0.25
74.625,59,4,0.125
74.750,60,5,0.125
74.875,59,4,0.125
75.000,62,7,0.125
75.125,55,0,0.375
75.500,58,3,0.125
75.625,60,5,0.25
75.875,58,3,0.75
76.625,59,4,0.125
76.750,60,5,0.125
76.875,59,4,0.125
77.000,62,7,0.125
77.125,55,0,0.375
77.500,58,3,0.125
77.625,60,5,0.25
77.875,58,3,0.75
78.625,59,4,0.125
78.750,60,5,0.125
78.875,59,4,0.125
79.000,62,7,0.5
79.500,62,7,0.375
