time,note,scale degree,length
8.000,60,0,0.375
8.375,60,0,0.25
8.625,60,0,0.375
9.000,60,0,0.25
9.250,60,0,0.125
9.375,65,5,0.25
9.625,60,0,0.25
9.875,60,0,0.5
10.375,60,0,0.25
10.625,60,0,0.375
11.000,60,0,0.125
11.125,60,0,0.25
11.375,65,5,0.5
11.875,60,0,0.125
12.000,60,0,0.125
12.125,60,0,0.125
12.250,60,0,0.125
12.375,60,0,0.25
12.625,60,0,0.25
12.875,60,0,0.125
13.000,60,0,0.125
13.125,60,0,0.125
13.250,60,0,0.125
13.375,64,4,0.25
13.625,65,5,0.25
13.875,60,0,0.125
14.000,60,0,0.125
14.125,60,0,0.125
14.250,62,2,0.25
14.500,64,4,0.5
15.000,62,2,0.25
15.250,64,4,0.25
15.500,62,2,0.25
15.750,64,4,0.125
15.875,62,2,0.125
16.000,62,2,1.5
17.500,62,2,0.25
17.750,62,2,0.25
18.000,60,0,0.75
18.750,57,9,0.25
19.000,64,4,0.375
19.375,60,0,0.375
19.750,60,0,0.25
20.000,60,0,2.125
22.125,60,0,0.25
22.375,60,0,0.25
22.625,55,7,0.125
22.750,64,4,0.125
22.875,62,2,1.125
24.000,60,0,0.25
24.250,60,0,0.125
24.375,60,0,0.25
24.625,60,0,0.25
24.875,60,0,0.125
25.000,60,0,0.375
25.375,65,5,0.25
25.625,60,0,0.25
25.875,60,0,0.125
26.000,60,0,0.125
26.125,60,0,0.125
26.250,60,0,0.25
26.500,60,0,0.375
26.875,60,0,0.125
27.000,60,0,0.375
27.375,65,5,0.25
27.625,60,0,0.25
27.875,60,0,0.125
28.000,60,0,0.125
28.125,60,0,0.125
28.250,60,0,0.25
28.500,60,0,0.25
28.750,60,0,0.125
28.875,60,0,0.125
29.000,60,0,0.125
29.125,60,0,0.25
29.375,65,5,0.25
29.625,60,0,0.25
29.875,60,0,0.125
30.000,60,0,0.25
30.250,60,0,0.125
30.375,60,0,0.25
30.625,60,0,0.25
30.875,60,0,0.125
31.000,64,4,0.25
31.250,64,4,0.25
31.500,64,4,0.25
31.750,64,4,0.25
32.000,64,4,0.125
32.125,62,2,0.125
32.250,64,4,1.125
33.375,62,2,0.125
33.500,62,2,0.25
33.750,62,2,0.25
34.000,65,5,1.0
35.000,64,4,0.375
35.375,60,0,0.375
35.750,60,0,0.25
36.000,60,0,2.5
38.500,63,3,0.125
38.625,63,3,0.25
38.875,65,5,0.125
39.000,62,2,0.125
39.125,64,4,11.75
50.875,59,11,0.125
51.000,60,0,0.125
51.125,60,0,0.25
51.375,60,0,0.25
51.625,60,0,0.375
52.000,60,0,0.125
52.125,60,0,0.125
52.250,60,0,0.25
52.500,65,5,0.375
52.875,60,0,0.125
53.000,60,0,0.125
53.125,60,0,0.125
53.250,62,2,0.25
53.500,63,3,0.375
53.875,64,4,0.25
54.125,66,6,0.125
54.250,66,6,0.125
54.375,60,0,0.25
54.625,60,0,0.25
54.875,60,0,0.5
55.375,60,0,0.25
55.625,60,0,0.375
56.000,60,0,0.125
56.125,60,0,0.25
56.375,65,5,0.25
56.625,60,0,0.25
56.875,60,0,0.5
57.375,64,4,0.625
58.000,64,4,0.125
58.125,63,3,0.125
58.250,65,5,0.125
58.375,64,4,0.125
58.500,65,5,0.125
58.625,62,2,0.125
58.750,63,3,0.125
58.875,62,2,0.125
59.000,62,2,1.5
60.500,62,2,0.25
60.750,62,2,0.25
61.000,60,0,0.75
61.750,57,9,0.25
62.000,64,4,0.375
62.375,60,0,0.375
62.750,60,0,0.25
63.000,60,0,2.875
65.875,64,4,0.125
66.000,65,5,0.125
66.125,65,5,0.125
66.250,65,5,0.125
66.375,66,6,0.125
66.500,67,7,8.5
75.000,60,0,0.25
75.250,60,0,0.125
75.375,60,0,0.25
75.625,60,0,0.125
75.750,60,0,0.25
76.000,60,0,0.125
76.125,60,0,0.25
76.375,65,5,0.25
76.625,60,0,0.25
76.875,60,0,0.125
77.000,60,0,0.375
77.375,60,0,0.25
77.625,60,0,0.375
78.000,60,0,0.125
78.125,60,0,0.25
78.375,62,2,0.25
78.625,60,0,0.25
78.875,60,0,0.125
79.000,60,0,0.375
79.375,60,0,0.25
79.625,60,0,0.375
80.000,60,0,0.125
