time,note,scale degree,length
10.000,76,0,0.06199999999999939
10.062,76,0,0.12600000000000122
10.188,76,0,0.3739999999999988
10.562,74,10,0.06300000000000061
10.625,74,10,0.06300000000000061
10.688,74,10,0.06199999999999939
10.750,74,10,0.3119999999999994
11.062,74,10,0.06300000000000061
11.125,74,10,0.06300000000000061
11.188,74,10,0.06199999999999939
11.250,76,0,0.125
11.375,71,7,0.06300000000000061
11.438,69,5,0.12399999999999878
11.562,67,3,0.06300000000000061
11.625,71,7,0.125
11.750,69,5,0.06199999999999939
11.812,67,3,0.06300000000000061
11.875,69,5,0.06300000000000061
11.938,67,3,0.1869999999999994
12.125,74,10,0.125
12.250,74,10,0.375
12.625,74,10,0.06300000000000061
12.688,74,10,0.06199999999999939
12.750,74,10,0.375
13.125,71,7,0.125
13.250,71,7,0.125
13.375,71,7,0.125
13.500,74,10,0.06199999999999939
13.562,71,7,0.06300000000000061
13.625,69,5,0.06300000000000061
13.688,71,7,0.12399999999999878
13.812,71,7,0.06300000000000061
13.875,71,7,0.125
14.000,75,11,0.06199999999999939
14.062,75,11,0.06300000000000061
14.125,75,11,0.06300000000000061
14.188,71,7,0.06199999999999939
14.250,75,11,0.125
14.375,71,7,0.06300000000000061
14.438,67,3,0.06199999999999939
14.500,69,5,0.06199999999999939
14.562,67,3,0.06300000000000061
14.625,71,7,0.125
14.750,67,3,0.3119999999999994
15.062,71,7,0.06300000000000061
15.125,71,7,0.06300000000000061
15.188,71,7,0.06199999999999939
15.250,71,7,0.125
15.375,71,7,0.06300000000000061
15.438,71,7,0.06199999999999939
15.500,74,10,0.06199999999999939
15.562,74,10,0.06300000000000061
15.625,74,10,0.1869999999999994
15.812,76,0,0.06300000000000061
15.875,76,0,0.25
16.125,76,0,0.125
16.250,76,0,0.375
16.625,74,10,0.125
16.750,74,10,0.25
17.000,71,7,0.062000000000001165
17.062,71,7,0.06299999999999883
17.125,71,7,0.06299999999999883
17.188,71,7,0.062000000000001165
17.250,71,7,0.062000000000001165
17.312,71,7,0.06299999999999883
17.375,71,7,0.06299999999999883
17.438,71,7,0.062000000000001165
17.500,74,10,0.062000000000001165
17.562,74,10,0.06299999999999883
17.625,71,7,0.18700000000000117
17.812,71,7,0.06299999999999883
17.875,75,11,0.125
18.000,71,7,0.75
18.750,75,11,0.062000000000001165
18.812,71,7,0.18799999999999883
19.000,75,11,0.062000000000001165
19.062,71,7,0.6879999999999988
19.750,76,0,0.062000000000001165
19.812,76,0,0.25
20.062,71,7,0.75
20.812,71,7,0.06299999999999883
20.875,71,7,0.18700000000000117
21.062,74,10,0.6879999999999988
21.750,74,10,0.062000000000001165
21.812,74,10,0.06299999999999883
21.875,71,7,0.25
22.125,69,5,0.18700000000000117
22.312,71,7,0.18799999999999883
22.500,75,11,0.18799999999999883
22.688,71,7,0.18700000000000117
22.875,75,11,0.25
23.125,69,5,0.18700000000000117
23.312,71,7,0.18799999999999883
23.500,74,10,0.18799999999999883
23.688,71,7,0.12400000000000233
23.812,74,10,0.06299999999999883
23.875,74,10,0.125
24.000,74,10,0.062000000000001165
24.062,74,10,0.12599999999999767
24.188,74,10,0.6240000000000023
24.812,74,10,0.06299999999999883
24.875,74,10,0.125
25.000,78,2,0.18799999999999883
25.188,74,10,0.18700000000000117
25.375,74,10,0.375
25.750,78,2,0.25
26.000,78,2,0.062000000000001165
26.062,76,0,0.06299999999999883
26.125,76,0,0.06299999999999883
26.188,76,0,0.18700000000000117
26.375,69,5,0.06299999999999883
26.438,67,3,0.18700000000000117
26.625,69,5,0.06299999999999883
26.688,67,3,0.062000000000001165
26.750,71,7,0.125
26.875,69,5,0.06299999999999883
26.938,67,3,0.062000000000001165
27.000,69,5,0.125
27.125,69,5,0.06299999999999883
27.188,67,3,0.062000000000001165
27.250,69,5,0.062000000000001165
27.312,71,7,0.06299999999999883
27.375,69,5,0.06299999999999883
27.438,67,3,0.062000000000001165
27.500,71,7,0.062000000000001165
27.562,71,7,0.06299999999999883
27.625,67,3,0.18700000000000117
27.812,76,0,0.06299999999999883
27.875,76,0,0.25
28.125,76,0,0.06299999999999883
28.188,76,0,0.062000000000001165
28.250,76,0,0.375
28.625,71,7,0.06299999999999883
28.688,71,7,0.062000000000001165
28.750,71,7,0.31200000000000117
29.062,71,7,0.06299999999999883
29.125,71,7,0.06299999999999883
29.188,71,7,0.062000000000001165
29.250,71,7,0.062000000000001165
29.312,71,7,0.06299999999999883
29.375,71,7,0.06299999999999883
29.438,71,7,0.062000000000001165
29.500,74,10,0.062000000000001165
29.562,71,7,0.06299999999999883
29.625,71,7,0.06299999999999883
29.688,71,7,0.12400000000000233
29.812,71,7,0.06299999999999883
29.875,71,7,0.125
30.000,76,0,0.062000000000001165
30.062,62,10,0.06299999999999883
30.125,62,10,0.06299999999999883
30.188,64,0,0.12400000000000233
30.312,64,0,0.06299999999999883
30.375,64,0,0.125
30.500,67,3,0.062000000000001165
30.562,69,5,0.06299999999999883
30.625,71,7,0.06299999999999883
30.688,71,7,0.25
30.938,67,3,0.062000000000001165
31.000,69,5,0.062000000000001165
31.062,67,3,0.06299999999999883
31.125,69,5,0.06299999999999883
31.188,67,3,0.062000000000001165
31.250,69,5,0.062000000000001165
31.312,67,3,0.06299999999999883
31.375,69,5,0.06299999999999883
31.438,67,3,0.062000000000001165
31.500,71,7,0.062000000000001165
31.562,71,7,0.06299999999999883
31.625,71,7,0.25
31.875,71,7,0.125
32.000,76,0,0.06199999999999761
32.062,76,0,0.06300000000000239
32.125,74,10,0.06300000000000239
32.188,76,0,0.12399999999999523
32.312,71,7,0.06300000000000239
32.375,69,5,0.125
32.500,69,5,0.06199999999999761
32.562,67,3,0.06300000000000239
32.625,71,7,0.125
32.750,67,3,0.1880000000000024
32.938,71,7,0.06199999999999761
33.000,76,0,0.06199999999999761
33.062,76,0,0.06300000000000239
33.125,76,0,0.06300000000000239
33.188,74,10,0.06199999999999761
33.250,76,0,0.06199999999999761
33.312,74,10,0.06300000000000239
33.375,76,0,0.06300000000000239
33.438,79,3,0.12399999999999523
33.562,76,0,0.06300000000000239
33.625,76,0,0.06300000000000239
33.688,76,0,0.12399999999999523
33.812,71,7,0.06300000000000239
33.875,74,10,0.125
34.000,71,7,0.75
34.750,75,11,0.06199999999999761
34.812,75,11,0.1880000000000024
35.000,75,11,0.8119999999999976
35.812,74,10,0.06300000000000239
35.875,74,10,0.125
36.000,74,10,0.125
36.125,71,7,0.75
36.875,76,0,0.125
37.000,76,0,0.125
37.125,76,0,0.625
37.750,76,0,0.06199999999999761
37.812,76,0,0.3130000000000024
38.125,69,5,0.1869999999999976
38.312,71,7,0.1880000000000024
38.500,75,11,0.1880000000000024
38.688,71,7,0.1869999999999976
38.875,75,11,0.25
39.125,69,5,0.1869999999999976
39.312,71,7,0.1880000000000024
39.500,74,10,0.1880000000000024
39.688,71,7,0.12399999999999523
39.812,74,10,0.06300000000000239
39.875,74,10,0.125
40.000,74,10,0.06199999999999761
40.062,74,10,0.12600000000000477
40.188,74,10,0.6239999999999952
40.812,74,10,0.06300000000000239
40.875,74,10,0.125
41.000,78,2,0.1880000000000024
41.188,74,10,0.1869999999999976
41.375,74,10,16.436999999999998
57.812,74,10,0.06300000000000239
57.875,74,10,0.25
58.125,74,10,0.06300000000000239
58.188,71,7,0.6239999999999952
58.812,74,10,0.06300000000000239
58.875,74,10,0.1869999999999976
59.062,74,10,0.6880000000000024
59.750,74,10,0.06199999999999761
59.812,74,10,0.1880000000000024
60.000,74,10,0.75
60.750,76,0,0.06199999999999761
60.812,76,0,0.25
61.062,76,0,0.6880000000000024
61.750,74,10,0.06199999999999761
61.812,74,10,0.12600000000000477
61.938,71,7,0.1869999999999976
62.125,69,5,0.1869999999999976
62.312,71,7,0.1880000000000024
62.500,75,11,0.1880000000000024
62.688,71,7,0.1869999999999976
62.875,75,11,0.25
63.125,69,5,0.1869999999999976
63.312,71,7,0.1880000000000024
63.500,74,10,0.1880000000000024
63.688,71,7,0.12399999999999523
63.812,74,10,0.06300000000000239
63.875,74,10,0.125
64.000,74,10,0.06199999999999761
64.062,74,10,0.12600000000000477
64.188,74,10,0.6239999999999952
64.812,78,2,0.06300000000000239
64.875,78,2,0.125
65.000,78,2,0.1880000000000024
65.188,78,2,0.1869999999999976
65.375,78,2,8.375
73.750,76,0,0.06199999999999761
73.812,76,0,0.3130000000000024
74.125,69,5,0.1869999999999976
74.312,71,7,0.1880000000000024
74.500,74,10,0.1880000000000024
74.688,71,7,0.1869999999999976
74.875,75,11,0.25
75.125,69,5,0.1869999999999976
75.312,71,7,0.1880000000000024
75.500,74,10,0.1880000000000024
75.688,71,7,0.4369999999999976
76.125,79,3,0.1869999999999976
76.312,76,0,0.1880000000000024
76.500,76,0,0.1880000000000024
76.688,76,0,0.4369999999999976
77.125,79,3,0.1869999999999976
77.312,76,0,0.1880000000000024
77.500,76,0,0.1880000000000024
77.688,76,0,0.4369999999999976
78.125,69,5,0.1869999999999976
78.312,71,7,0.1880000000000024
78.500,75,11,0.1880000000000024
78.688,71,7,0.1869999999999976
78.875,75,11,0.25
79.125,69,5,0.1869999999999976
79.312,71,7,0.1880000000000024
79.500,74,10,0.1880000000000024
79.688,71,7,0.3119999999999976
80.000,74,10,0.06199999999999761
80.062,74,10,0.12600000000000477
80.188,74,10,0.6239999999999952
80.812,78,2,0.06300000000000239
80.875,78,2,0.125
81.000,78,2,0.1880000000000024
81.188,78,2,0.1869999999999976
