time,note,scale degree,length
23.625,56,4,0.125
23.750,57,5,0.125
23.875,57,5,0.125
24.000,56,4,0.125
24.125,56,4,0.25
24.375,57,5,0.625
25.000,62,10,0.125
25.125,62,10,0.25
25.375,62,10,0.25
25.625,61,9,0.25
25.875,61,9,0.25
26.125,59,7,0.06299999999999883
26.188,61,9,1.4370000000000012
27.625,57,5,0.125
27.750,57,5,0.125
27.875,56,4,0.25
28.125,56,4,0.25
28.375,57,5,0.25
28.625,57,5,0.125
28.750,57,5,0.125
28.875,62,10,0.25
29.125,62,10,0.125
29.250,62,10,0.125
29.375,62,10,0.125
29.500,61,9,0.125
29.625,61,9,0.125
29.750,61,9,0.125
29.875,61,9,0.25
30.125,59,7,0.06299999999999883
30.188,61,9,1.4370000000000012
31.625,57,5,0.125
31.750,57,5,0.125
31.875,57,5,0.125
32.000,56,4,0.25
32.250,56,4,0.25
32.500,57,5,0.25
32.750,57,5,0.25
33.000,62,10,0.25
33.250,62,10,0.125
33.375,64,0,0.125
33.500,62,10,0.125
33.625,61,9,0.25
33.875,61,9,0.25
34.125,61,9,1.5
35.625,56,4,0.125
35.750,57,5,0.125
35.875,57,5,0.125
36.000,56,4,0.25
36.250,56,4,0.25
36.500,57,5,0.125
36.625,57,5,0.125
36.750,57,5,0.125
36.875,57,5,0.125
37.000,62,10,0.125
37.125,62,10,0.125
37.250,62,10,0.125
37.375,62,10,0.25
37.625,61,9,0.06300000000000239
37.688,61,9,0.1869999999999976
37.875,61,9,0.25
38.125,59,7,0.06300000000000239
38.188,61,9,1.8119999999999976
40.000,59,7,0.125
40.125,59,7,0.125
40.250,59,7,0.125
40.375,59,7,0.125
40.500,59,7,0.125
40.625,59,7,0.125
40.750,59,7,0.125
40.875,59,7,0.25
41.125,57,5,0.125
41.250,56,4,0.125
41.375,59,7,0.25
41.625,59,7,0.125
41.750,59,7,0.125
41.875,62,10,0.125
42.000,56,4,0.125
42.125,56,4,0.125
42.250,56,4,0.125
42.375,57,5,0.25
42.625,57,5,0.125
42.750,57,5,0.125
42.875,62,10,0.25
43.125,56,4,0.125
43.250,56,4,0.125
43.375,57,5,0.25
43.625,57,5,0.125
43.750,57,5,0.125
43.875,57,5,0.125
44.000,62,10,0.125
44.125,59,7,0.125
44.250,62,10,0.125
44.375,59,7,0.125
44.500,62,10,0.125
44.625,59,7,0.125
44.750,59,7,0.125
44.875,62,10,0.25
45.125,62,10,0.125
45.250,62,10,0.125
45.375,62,10,0.125
45.500,61,9,0.125
45.625,61,9,0.125
45.750,61,9,0.125
45.875,59,7,0.25
46.125,62,10,0.125
46.250,59,7,0.25
46.500,57,5,0.125
46.625,59,7,0.25
46.875,57,5,0.25
47.125,59,7,0.25
47.375,55,3,0.25
47.625,52,0,4.0
51.625,57,5,0.125
51.750,57,5,0.125
51.875,56,4,0.25
52.125,56,4,0.25
52.375,57,5,0.25
52.625,57,5,0.125
52.750,57,5,0.125
52.875,62,10,0.25
53.125,62,10,0.25
53.375,62,10,0.125
53.500,61,9,0.125
53.625,61,9,0.25
53.875,61,9,0.25
54.125,59,7,0.06300000000000239
54.188,61,9,1.4369999999999976
55.625,57,5,0.125
55.750,57,5,0.125
55.875,57,5,0.125
56.000,56,4,0.25
56.250,56,4,0.25
56.500,57,5,0.25
56.750,57,5,0.25
57.000,62,10,0.125
57.125,62,10,0.125
57.250,62,10,0.125
57.375,62,10,0.125
57.500,62,10,0.125
57.625,61,9,0.25
57.875,61,9,0.25
58.125,59,7,0.06300000000000239
58.188,61,9,1.4369999999999976
59.625,57,5,0.125
59.750,57,5,0.125
59.875,57,5,0.125
60.000,56,4,0.125
60.125,56,4,0.125
60.250,56,4,0.125
60.375,57,5,0.25
60.625,57,5,0.125
60.750,57,5,0.125
60.875,62,10,0.25
61.125,62,10,0.25
61.375,62,10,0.125
61.500,61,9,0.125
61.625,61,9,0.125
61.750,61,9,0.125
61.875,61,9,0.25
62.125,61,9,1.5
63.625,57,5,0.125
63.750,57,5,0.125
63.875,56,4,0.25
64.125,56,4,0.125
64.250,56,4,0.125
64.375,57,5,0.25
64.625,57,5,0.125
64.750,57,5,0.125
64.875,62,10,0.25
65.125,62,10,0.125
65.250,62,10,0.125
65.375,62,10,0.125
65.500,61,9,0.125
65.625,61,9,0.125
65.750,61,9,0.125
65.875,61,9,0.25
66.125,61,9,1.875
68.000,59,7,0.125
68.125,59,7,0.125
68.250,59,7,0.125
68.375,59,7,0.125
68.500,59,7,0.125
68.625,59,7,0.125
68.750,59,7,0.125
68.875,59,7,0.25
69.125,57,5,0.125
69.250,55,3,0.125
69.375,59,7,0.25
69.625,59,7,0.125
69.750,59,7,0.125
69.875,62,10,0.125
70.000,56,4,0.125
70.125,56,4,0.125
70.250,56,4,0.125
70.375,57,5,0.25
70.625,57,5,0.125
70.750,57,5,0.125
70.875,62,10,0.25
71.125,56,4,0.125
71.250,56,4,0.125
71.375,57,5,0.25
71.625,57,5,0.125
71.750,57,5,0.125
71.875,57,5,0.125
72.000,62,10,0.125
72.125,59,7,0.125
72.250,62,10,0.125
72.375,59,7,0.125
72.500,62,10,0.125
72.625,59,7,0.125
72.750,59,7,0.125
72.875,62,10,0.25
73.125,62,10,0.125
73.250,62,10,0.125
73.375,62,10,0.125
73.500,61,9,0.125
73.625,61,9,0.125
73.750,61,9,0.125
73.875,59,7,0.25
74.125,62,10,0.125
74.250,59,7,0.25
74.500,57,5,0.125
74.625,59,7,0.25
74.875,57,5,0.25
75.125,59,7,0.25
75.375,55,3,0.25
75.625,52,0,0.5
76.125,59,7,0.125
76.250,59,7,0.125
76.375,59,7,0.25
76.625,59,7,0.125
