time,note,scale degree,length
16.000,64,7,0.5
16.500,64,7,0.75
17.250,64,7,0.25
17.500,64,7,0.5
18.000,64,7,0.5
18.500,64,7,0.75
19.250,64,7,0.25
19.500,64,7,0.5
20.000,64,7,0.5
20.500,64,7,0.75
21.250,64,7,0.25
21.500,64,7,0.5
22.000,64,7,0.5
22.500,64,7,0.75
23.250,64,7,0.25
23.500,64,7,0.375
23.875,61,4,0.125
24.000,64,7,0.125
24.125,64,7,0.125
24.250,64,7,0.125
24.375,64,7,0.125
24.500,61,4,0.25
24.750,64,7,1.125
25.875,61,4,0.125
26.000,64,7,0.125
26.125,64,7,0.125
26.250,64,7,0.125
26.375,64,7,0.125
26.500,61,4,0.25
26.750,64,7,1.125
27.875,61,4,0.125
28.000,64,7,0.125
28.125,64,7,0.125
28.250,64,7,0.125
28.375,61,4,0.125
28.500,61,4,0.25
28.750,57,0,0.75
29.500,64,7,0.25
29.750,64,7,0.25
30.000,61,4,1.875
31.875,61,4,0.125
32.000,64,7,0.125
32.125,64,7,0.125
32.250,64,7,0.125
32.375,64,7,0.125
32.500,61,4,0.25
32.750,64,7,1.125
33.875,61,4,0.125
34.000,64,7,0.125
34.125,64,7,0.125
34.250,64,7,0.25
34.500,61,4,0.25
34.750,64,7,1.125
35.875,61,4,0.125
36.000,64,7,0.25
36.250,64,7,0.125
36.375,61,4,0.125
36.500,61,4,0.25
36.750,57,0,0.75
37.500,64,7,0.25
37.750,64,7,0.25
38.000,61,4,2.0
40.000,62,5,0.5
40.500,62,5,0.75
41.250,62,5,0.25
41.500,62,5,0.375
41.875,61,4,0.125
42.000,64,7,0.125
42.125,64,7,0.125
42.250,64,7,0.125
42.375,62,5,0.125
42.500,61,4,0.25
42.750,57,0,1.25
44.000,62,5,0.25
44.250,62,5,0.25
44.500,62,5,0.5
45.000,62,5,0.125
45.125,62,5,0.25
45.375,62,5,0.5
45.875,59,2,0.125
46.000,59,2,0.25
46.250,59,2,0.25
46.500,59,2,0.25
46.750,59,2,0.25
47.000,62,5,0.125
47.125,62,5,0.125
47.250,62,5,0.125
47.375,64,7,0.5
47.875,61,4,0.125
48.000,64,7,0.125
48.125,64,7,0.125
48.250,64,7,0.125
48.375,61,4,0.125
48.500,61,4,0.25
48.750,64,7,1.125
49.875,61,4,0.125
50.000,64,7,0.125
50.125,64,7,0.125
50.250,64,7,0.125
50.375,61,4,0.125
50.500,61,4,0.25
50.750,64,7,1.125
51.875,61,4,0.125
52.000,64,7,0.125
52.125,64,7,0.125
52.250,64,7,0.125
52.375,62,5,0.125
52.500,61,4,0.25
52.750,57,0,0.625
53.375,59,2,0.125
53.500,64,7,0.25
53.750,64,7,0.25
54.000,61,4,1.875
55.875,61,4,0.125
56.000,64,7,0.125
56.125,64,7,0.125
56.250,64,7,0.125
56.375,61,4,0.125
56.500,61,4,0.25
56.750,64,7,1.125
57.875,61,4,0.125
58.000,64,7,0.125
58.125,64,7,0.125
58.250,64,7,0.25
58.500,61,4,0.25
58.750,64,7,1.125
59.875,61,4,0.125
60.000,64,7,0.25
60.250,64,7,0.125
60.375,61,4,0.125
60.500,61,4,0.25
60.750,57,0,0.75
61.500,64,7,0.25
61.750,64,7,0.25
62.000,61,4,2.0
64.000,62,5,0.5
64.500,62,5,0.75
65.250,62,5,0.25
65.500,62,5,0.5
66.000,64,7,0.125
66.125,64,7,0.125
66.250,64,7,0.125
66.375,62,5,0.125
66.500,61,4,0.25
66.750,57,0,1.25
68.000,62,5,0.25
68.250,62,5,0.25
68.500,62,5,0.5
69.000,62,5,0.125
69.125,62,5,0.25
69.375,62,5,0.5
69.875,59,2,0.125
70.000,59,2,0.25
70.250,59,2,0.25
70.500,59,2,0.25
70.750,59,2,0.25
71.000,62,5,0.125
71.125,62,5,0.125
71.250,62,5,0.125
71.375,64,7,0.5
71.875,61,4,0.125
72.000,64,7,0.125
72.125,64,7,0.125
72.250,64,7,0.125
72.375,61,4,0.125
72.500,61,4,0.25
72.750,64,7,1.125
73.875,61,4,0.125
74.000,64,7,0.125
74.125,64,7,0.125
74.250,64,7,0.125
74.375,61,4,0.125
74.500,61,4,0.25
74.750,64,7,1.125
75.875,61,4,0.125
76.000,64,7,0.125
76.125,64,7,0.125
76.250,64,7,0.125
76.375,62,5,0.125
76.500,61,4,0.25
76.750,57,0,0.75
77.500,64,7,0.25
77.750,64,7,0.25
78.000,61,4,1.875
79.875,61,4,0.125
80.000,64,7,0.125
80.125,64,7,0.125
80.250,64,7,0.125
80.375,61,4,0.125
80.500,61,4,0.25
80.750,64,7,1.125
81.875,61,4,0.125
82.000,64,7,0.125
82.125,64,7,0.125
82.250,64,7,0.25
82.500,61,4,0.25
82.750,64,7,1.125
83.875,61,4,0.125
84.000,64,7,0.25
84.250,64,7,0.125
84.375,61,4,0.125
84.500,61,4,0.25
84.750,57,0,0.75
85.500,64,7,0.25
85.750,64,7,0.25
86.000,61,4,2.0
88.000,64,7,0.5
88.500,64,7,0.75
89.250,64,7,0.25
89.500,64,7,0.5
90.000,64,7,0.5
90.500,64,7,0.75
91.250,64,7,0.25
91.500,64,7,0.5
92.000,64,7,0.5
92.500,64,7,0.75
93.250,64,7,0.25
93.500,64,7,0.5
94.000,64,7,0.5
94.500,64,7,0.75
95.250,64,7,0.25
