time,note,scale degree,length
0.667,52,7,0.08299999999999996
0.750,55,10,0.25
1.000,57,0,0.25
1.250,57,0,0.16700000000000004
1.417,57,0,0.08299999999999996
1.500,60,3,0.16700000000000004
1.667,60,3,1.333
3.000,57,0,0.25
3.250,57,0,0.16699999999999982
3.417,57,0,0.08300000000000018
3.500,60,3,1.5
5.000,57,0,0.16699999999999982
5.167,57,0,0.08300000000000018
5.250,57,0,0.16699999999999982
5.417,57,0,0.08300000000000018
5.500,61,4,0.16699999999999982
5.667,61,4,0.08300000000000018
5.750,64,7,0.25
6.000,67,10,0.25
6.250,64,7,0.25
6.500,60,3,0.25
6.750,57,0,0.16699999999999982
6.917,60,3,0.08300000000000018
7.000,57,0,0.16699999999999982
7.167,60,3,0.8330000000000002
8.000,64,7,0.16699999999999982
8.167,64,7,0.16600000000000037
8.333,62,5,0.16699999999999982
8.500,60,3,0.25
8.750,57,0,0.25
9.000,57,0,1.6669999999999998
10.667,64,7,0.25
10.917,62,5,0.08300000000000018
11.000,64,7,0.16699999999999982
11.167,64,7,0.08300000000000018
11.250,64,7,0.16699999999999982
11.417,64,7,0.25
11.667,52,7,0.08300000000000018
11.750,54,9,0.16699999999999982
11.917,57,0,0.25
12.167,57,0,0.08300000000000018
12.250,59,2,0.16699999999999982
12.417,57,0,0.08300000000000018
12.500,61,4,0.25
12.750,57,0,0.25
13.000,57,0,1.6669999999999998
14.667,52,7,0.08300000000000018
14.750,54,9,0.16699999999999982
14.917,52,7,0.08300000000000018
15.000,57,0,0.25
15.250,57,0,0.16699999999999982
15.417,59,2,0.25
15.667,60,3,0.3330000000000002
16.000,57,0,0.1670000000000016
16.167,57,0,0.08299999999999841
16.250,57,0,0.1670000000000016
16.417,52,7,0.5829999999999984
17.000,57,0,0.1670000000000016
17.167,54,9,0.08299999999999841
17.250,57,0,0.25
17.500,60,3,0.25
17.750,57,0,0.1670000000000016
17.917,54,9,0.08299999999999841
18.000,57,0,0.1670000000000016
18.167,57,0,0.08299999999999841
18.250,57,0,0.1670000000000016
18.417,54,9,0.5
18.917,54,9,0.08299999999999841
19.000,57,0,0.1670000000000016
19.167,57,0,0.08299999999999841
19.250,57,0,0.1670000000000016
19.417,60,3,0.3329999999999984
19.750,52,7,0.1670000000000016
19.917,52,7,0.08299999999999841
20.000,57,0,0.25
20.250,57,0,0.1670000000000016
20.417,60,3,0.5
20.917,57,0,0.08299999999999841
21.000,57,0,0.25
21.250,57,0,0.25
21.500,61,4,0.1670000000000016
21.667,61,4,0.08299999999999841
21.750,64,7,0.1670000000000016
21.917,67,10,0.25
22.167,64,7,0.08299999999999841
22.250,62,5,0.25
22.500,60,3,0.25
22.750,57,0,0.1670000000000016
22.917,60,3,0.08299999999999841
23.000,57,0,0.1670000000000016
23.167,60,3,0.8329999999999984
24.000,64,7,0.1670000000000016
24.167,64,7,0.16599999999999682
24.333,62,5,0.1670000000000016
24.500,60,3,0.25
24.750,57,0,0.25
25.000,57,0,1.6670000000000016
26.667,64,7,0.25
26.917,62,5,0.08299999999999841
27.000,64,7,0.1670000000000016
27.167,64,7,0.08299999999999841
27.250,64,7,0.1670000000000016
27.417,64,7,0.25
27.667,52,7,0.08299999999999841
27.750,54,9,0.1670000000000016
27.917,57,0,0.25
28.167,57,0,0.08299999999999841
28.250,59,2,0.1670000000000016
28.417,57,0,0.08299999999999841
28.500,60,3,0.25
28.750,57,0,0.25
29.000,57,0,13.667000000000002
42.667,52,7,0.08299999999999841
42.750,54,9,0.1670000000000016
42.917,52,7,0.08299999999999841
43.000,57,0,0.25
43.250,57,0,0.25
43.500,60,3,0.5
44.000,57,0,0.25
