time,note,scale degree,length
4.000,59,4,0.06200000000000028
4.062,59,4,0.06299999999999972
4.125,59,4,0.06299999999999972
4.188,59,4,0.06200000000000028
4.250,62,7,0.125
4.375,59,4,0.06299999999999972
4.438,59,4,0.06200000000000028
4.500,55,0,0.125
4.625,55,0,0.06299999999999972
4.688,55,0,0.12400000000000055
4.812,57,2,0.06299999999999972
4.875,59,4,1.125
6.000,59,4,0.125
6.125,58,3,0.125
6.250,57,2,0.125
6.375,55,0,0.06299999999999972
6.438,55,0,0.12400000000000055
6.562,55,0,0.18799999999999972
6.750,52,9,0.125
6.875,50,7,1.125
8.000,55,0,0.06199999999999939
8.062,55,0,0.12600000000000122
8.188,55,0,0.06199999999999939
8.250,55,0,0.06199999999999939
8.312,55,0,0.06300000000000061
8.375,55,0,0.06300000000000061
8.438,55,0,0.06199999999999939
8.500,50,7,0.06199999999999939
8.562,52,9,0.06300000000000061
8.625,55,0,0.06300000000000061
8.688,55,0,1.3119999999999994
10.000,59,4,0.125
10.125,59,4,0.125
10.250,62,7,0.125
10.375,59,4,0.06300000000000061
10.438,57,2,0.12399999999999878
10.562,55,0,0.1880000000000006
10.750,59,4,1.1880000000000006
11.938,57,2,0.12399999999999878
12.062,55,0,0.06300000000000061
12.125,55,0,0.125
12.250,55,0,0.125
12.375,50,7,0.06300000000000061
12.438,50,7,0.12399999999999878
12.562,52,9,0.06300000000000061
12.625,55,0,0.125
12.750,55,0,8.187999999999999
20.938,59,4,0.12400000000000233
21.062,59,4,0.12599999999999767
21.188,59,4,0.062000000000001165
21.250,62,7,0.125
21.375,59,4,0.125
21.500,57,2,0.125
21.625,55,0,0.06299999999999883
21.688,55,0,0.12400000000000233
21.812,57,2,0.06299999999999883
21.875,59,4,1.0629999999999988
22.938,55,0,0.062000000000001165
23.000,59,4,0.062000000000001165
23.062,59,4,0.06299999999999883
23.125,59,4,0.06299999999999883
23.188,59,4,0.062000000000001165
23.250,57,2,0.062000000000001165
23.312,57,2,0.06299999999999883
23.375,55,0,0.125
23.500,55,0,0.125
23.625,55,0,0.06299999999999883
23.688,52,9,1.3120000000000012
25.000,59,4,0.125
25.125,59,4,0.06299999999999883
25.188,59,4,0.062000000000001165
25.250,62,7,0.125
25.375,59,4,0.125
25.500,57,2,0.125
25.625,55,0,0.06299999999999883
25.688,55,0,1.25
26.938,55,0,0.062000000000001165
27.000,59,4,0.062000000000001165
27.062,59,4,0.06299999999999883
27.125,59,4,0.06299999999999883
27.188,59,4,0.062000000000001165
27.250,57,2,0.062000000000001165
27.312,57,2,0.06299999999999883
27.375,55,0,0.125
27.500,55,0,0.125
27.625,55,0,0.06299999999999883
27.688,52,9,17.250000000000004
44.938,58,3,0.12399999999999523
45.062,58,3,0.06300000000000239
45.125,58,3,0.06300000000000239
45.188,58,3,0.06199999999999761
45.250,57,2,0.06199999999999761
45.312,55,0,0.12600000000000477
45.438,52,9,0.06199999999999761
45.500,55,0,0.125
45.625,55,0,0.125
45.750,55,0,0.06199999999999761
45.812,57,2,0.06300000000000239
45.875,59,4,1.0630000000000024
46.938,55,0,0.06199999999999761
47.000,58,3,0.125
47.125,58,3,0.125
47.250,57,2,0.06199999999999761
47.312,55,0,0.06300000000000239
47.375,55,0,0.06300000000000239
47.438,55,0,0.06199999999999761
47.500,55,0,0.125
47.625,55,0,0.06300000000000239
47.688,55,0,2.3119999999999976
50.000,59,4,0.06199999999999761
50.062,59,4,0.06300000000000239
50.125,59,4,0.125
50.250,57,2,0.06199999999999761
50.312,55,0,0.12600000000000477
50.438,52,9,0.06199999999999761
50.500,55,0,0.125
50.625,55,0,0.06300000000000239
50.688,55,0,0.12399999999999523
50.812,57,2,0.06300000000000239
50.875,59,4,1.125
52.000,58,3,0.125
52.125,55,0,0.125
52.250,55,0,0.125
52.375,55,0,0.125
52.500,52,9,0.125
52.625,55,0,0.06300000000000239
52.688,55,0,1.3119999999999976
54.000,59,4,0.06199999999999761
54.062,59,4,0.12600000000000477
54.188,59,4,0.06199999999999761
54.250,62,7,0.125
54.375,59,4,0.06300000000000239
54.438,59,4,0.06199999999999761
54.500,57,2,0.125
54.625,55,0,0.06300000000000239
54.688,55,0,0.12399999999999523
54.812,50,7,0.06300000000000239
54.875,52,9,1.0630000000000024
55.938,57,2,0.06199999999999761
56.000,59,4,0.06199999999999761
56.062,57,2,0.12600000000000477
56.188,57,2,0.06199999999999761
56.250,59,4,0.06199999999999761
56.312,55,0,0.06300000000000239
56.375,55,0,0.125
56.500,55,0,0.06199999999999761
56.562,55,0,0.12600000000000477
