time,note,scale degree,length
7.625,56,4,0.25
7.875,57,5,0.125
8.000,57,5,0.25
8.250,56,4,0.25
8.500,54,2,0.125
8.625,52,0,0.25
8.875,57,5,0.25
9.125,56,4,0.25
9.375,56,4,0.125
9.500,54,2,0.25
9.750,52,0,0.125
9.875,52,0,0.125
10.000,52,0,0.125
10.125,52,0,0.125
10.250,52,0,0.125
10.375,52,0,0.125
10.500,52,0,0.125
10.625,52,0,0.125
10.750,52,0,0.125
10.875,52,0,0.75
11.625,57,5,0.25
11.875,57,5,0.25
12.125,56,4,0.25
12.375,54,2,0.25
12.625,52,0,0.25
12.875,57,5,0.25
13.125,56,4,0.125
13.250,56,4,0.125
13.375,54,2,0.25
13.625,52,0,0.125
13.750,52,0,0.25
14.000,61,9,0.125
14.125,61,9,0.25
14.375,61,9,0.25
14.625,59,7,0.25
14.875,59,7,1.125
16.000,63,11,0.25
16.250,64,0,0.125
16.375,64,0,0.25
16.625,64,0,0.125
16.750,64,0,0.25
17.000,63,11,0.25
17.250,64,0,0.25
17.500,64,0,0.25
17.750,64,0,0.25
18.000,63,11,0.25
18.250,64,0,0.125
18.375,64,0,0.125
18.500,64,0,0.125
18.625,64,0,0.125
18.750,64,0,0.25
19.000,64,0,0.125
19.125,64,0,0.125
19.250,64,0,0.25
19.500,61,9,0.125
19.625,61,9,0.125
19.750,61,9,0.125
19.875,61,9,0.125
20.000,59,7,1.25
21.250,67,3,0.125
21.375,66,2,0.5
21.875,66,2,0.125
22.000,64,0,0.125
22.125,64,0,0.25
22.375,64,0,0.25
22.625,64,0,0.25
22.875,64,0,0.125
23.000,63,11,0.25
23.250,64,0,0.125
23.375,64,0,0.125
23.500,64,0,0.25
23.750,64,0,0.125
23.875,64,0,0.125
24.000,66,2,0.25
24.250,61,9,0.375
24.625,61,9,0.125
24.750,61,9,0.125
24.875,64,0,0.125
25.000,64,0,0.125
25.125,63,11,0.25
25.375,61,9,0.25
25.625,61,9,0.125
25.750,61,9,0.125
25.875,61,9,0.125
26.000,61,9,0.125
26.125,59,7,0.25
26.375,59,7,0.25
26.625,59,7,0.25
26.875,61,9,0.75
27.625,64,0,0.25
27.875,64,0,0.375
28.250,64,0,0.25
28.500,64,0,0.5
29.000,66,2,0.125
29.125,66,2,0.125
29.250,66,2,0.125
29.375,66,2,0.125
29.500,66,2,0.125
29.625,64,0,0.25
29.875,63,11,0.125
30.000,64,0,3.375
33.375,61,9,0.25
33.625,59,7,0.25
33.875,57,5,0.125
34.000,59,7,0.125
34.125,56,4,3.5
37.625,56,4,0.25
37.875,56,4,0.125
38.000,57,5,0.25
38.250,56,4,0.125
38.375,54,2,0.25
38.625,52,0,0.125
38.750,52,0,0.125
38.875,52,0,0.125
39.000,57,5,0.125
39.125,56,4,0.25
39.375,54,2,0.25
39.625,52,0,0.125
39.750,52,0,0.125
39.875,52,0,0.125
40.000,52,0,0.25
40.250,52,0,0.125
40.375,52,0,0.375
40.750,49,9,0.25
41.000,55,3,0.125
41.125,54,2,0.625
41.750,56,4,0.25
42.000,57,5,0.25
42.250,56,4,0.125
42.375,54,2,0.25
42.625,52,0,0.25
42.875,52,0,0.125
43.000,57,5,0.125
43.125,56,4,0.25
43.375,54,2,0.25
43.625,52,0,0.375
44.000,61,9,0.25
44.250,61,9,0.125
44.375,64,0,0.25
44.625,64,0,0.25
44.875,64,0,0.125
45.000,66,2,0.25
45.250,66,2,0.625
45.875,64,0,0.125
46.000,63,11,0.125
46.125,64,0,0.25
46.375,64,0,0.25
46.625,64,0,0.25
46.875,63,11,0.25
47.125,64,0,0.25
47.375,64,0,0.25
47.625,64,0,0.125
47.750,63,11,0.375
48.125,64,0,0.125
48.250,64,0,0.125
48.375,64,0,0.5
48.875,61,9,0.125
49.000,61,9,0.125
49.125,59,7,0.25
49.375,59,7,0.125
49.500,59,7,0.125
49.625,59,7,0.25
49.875,59,7,0.25
50.125,59,7,0.125
50.250,56,4,1.0
51.250,67,3,0.125
51.375,66,2,0.5
51.875,66,2,0.125
52.000,66,2,0.25
52.250,64,0,0.125
52.375,64,0,0.25
52.625,64,0,0.125
52.750,64,0,0.125
52.875,61,9,0.125
53.000,66,2,0.625
53.625,61,9,0.25
53.875,68,4,0.125
54.000,66,2,0.125
54.125,66,2,0.125
54.250,66,2,0.125
54.375,66,2,0.25
54.625,66,2,0.25
54.875,64,0,0.125
55.000,64,0,0.25
55.250,61,9,0.125
55.375,61,9,0.25
55.625,59,7,0.125
55.750,59,7,0.125
55.875,59,7,0.125
56.000,59,7,0.125
56.125,59,7,0.125
56.250,59,7,0.125
56.375,59,7,0.25
56.625,59,7,0.125
56.750,61,9,0.875
57.625,64,0,0.125
57.750,64,0,0.125
57.875,64,0,0.125
58.000,64,0,0.125
58.125,64,0,0.125
58.250,64,0,0.125
58.375,64,0,0.125
58.500,64,0,0.25
58.750,64,0,0.125
58.875,64,0,0.125
59.000,66,2,0.125
59.125,66,2,0.125
59.250,66,2,0.125
59.375,66,2,0.125
59.500,66,2,0.125
59.625,64,0,0.125
59.750,63,11,0.25
60.000,64,0,3.25
63.250,59,7,0.375
63.625,59,7,0.125
63.750,57,5,0.125
63.875,59,7,0.25
64.125,56,4,15.75
79.875,54,2,0.125
80.000,57,7,0.25
80.250,57,7,0.125
80.375,57,7,0.25
80.625,57,7,0.25
80.875,57,7,0.125
81.000,57,7,0.125
81.125,57,7,0.125
81.250,57,7,0.25
81.500,57,7,0.375
81.875,60,10,0.25
82.125,59,9,0.25
82.375,59,9,0.125
82.500,59,9,0.25
82.750,59,9,0.125
82.875,59,9,0.125
83.000,57,7,0.125
83.125,55,5,0.625
83.750,61,11,0.25
84.000,61,11,0.25
84.250,61,11,0.125
84.375,59,9,0.25
84.625,61,11,0.25
84.875,60,10,0.25
85.125,60,10,0.25
85.375,60,10,0.125
85.500,59,9,0.125
85.625,59,9,0.125
85.750,57,7,0.125
85.875,60,10,0.375
86.250,57,7,0.125
86.375,57,7,0.125
86.500,57,7,0.25
86.750,55,5,0.25
87.000,52,2,0.125
87.125,48,10,0.625
87.750,55,5,0.125
87.875,55,5,0.125
88.000,57,7,0.25
88.250,57,7,0.125
88.375,57,7,0.25
88.625,57,7,0.25
88.875,57,7,0.125
89.000,57,7,0.25
89.250,57,7,0.25
89.500,57,7,0.25
89.750,60,10,0.125
89.875,60,10,0.125
90.000,60,10,0.125
90.125,59,9,0.125
90.250,59,9,0.125
90.375,59,9,0.125
90.500,59,9,0.25
90.750,59,9,0.125
90.875,59,9,0.125
91.000,59,9,0.125
91.125,57,7,0.125
91.250,55,5,0.375
91.625,61,11,0.125
91.750,61,11,0.125
91.875,61,11,0.125
92.000,61,11,0.25
92.250,61,11,0.125
92.375,61,11,0.125
92.500,61,11,0.125
92.625,61,11,0.125
92.750,61,11,0.125
92.875,61,11,0.125
93.000,61,11,0.25
93.250,61,11,0.125
93.375,61,11,0.25
93.625,61,11,0.25
93.875,61,11,0.125
94.000,61,11,0.125
94.125,62,0,0.25
94.375,62,0,0.25
94.625,62,0,0.25
94.875,62,0,18.0
112.875,59,7,0.125
113.000,68,4,0.25
113.250,66,2,0.25
113.500,66,2,0.25
113.750,66,2,0.125
113.875,66,2,0.25
114.125,64,0,0.25
114.375,64,0,0.125
114.500,64,0,0.25
114.750,64,0,0.125
114.875,64,0,0.125
115.000,64,0,0.25
115.250,64,0,0.25
115.500,64,0,0.125
115.625,61,9,0.25
115.875,66,2,0.75
116.625,68,4,0.125
116.750,68,4,0.125
116.875,68,4,0.125
117.000,68,4,0.125
117.125,66,2,0.125
117.250,66,2,0.25
117.500,66,2,0.25
117.750,66,2,0.125
117.875,66,2,0.25
118.125,64,0,0.125
118.250,64,0,0.25
118.500,64,0,0.25
118.750,59,7,0.25
119.000,59,7,0.25
119.250,59,7,0.25
119.500,59,7,0.25
119.750,56,4,0.125
119.875,56,4,0.125
120.000,54,2,0.875
120.875,61,9,0.125
121.000,63,11,0.125
121.125,64,0,0.25
121.375,64,0,0.25
121.625,64,0,0.125
121.750,64,0,0.125
121.875,64,0,0.125
122.000,63,11,0.125
122.125,64,0,0.125
122.250,64,0,0.125
122.375,64,0,0.25
122.625,64,0,0.125
122.750,64,0,0.25
123.000,63,11,0.125
123.125,64,0,0.125
123.250,64,0,0.125
123.375,64,0,0.375
123.750,61,9,0.25
124.000,61,9,0.25
124.250,61,9,0.25
124.500,61,9,0.25
124.750,61,9,0.25
125.000,61,9,0.25
125.250,59,7,1.0
126.250,67,3,0.125
126.375,66,2,0.5
126.875,66,2,0.25
127.125,64,0,0.25
127.375,64,0,0.25
