time,note,scale degree,length
4.250,61,7,0.25
4.500,58,4,0.125
4.625,59,5,0.25
4.875,58,4,0.030999999999999694
4.906,59,5,0.2190000000000003
5.125,61,7,0.375
5.500,54,0,0.375
5.875,56,2,0.125
6.000,58,4,0.25
6.250,61,7,0.25
6.500,61,7,0.25
6.750,65,11,0.25
7.000,65,11,0.125
7.125,66,0,0.25
7.375,66,0,0.5
7.875,66,0,0.125
8.000,66,0,0.06199999999999939
8.062,68,2,0.12600000000000122
8.188,70,4,0.1869999999999994
8.375,59,5,0.25
8.625,61,7,0.5
9.125,59,5,0.06300000000000061
9.188,58,4,0.06199999999999939
9.250,59,5,0.875
10.125,54,0,0.125
10.250,54,0,0.125
10.375,61,7,0.125
10.500,59,5,0.375
10.875,61,7,0.125
11.000,56,2,1.125
12.125,54,0,0.125
12.250,61,7,0.25
12.500,59,5,0.031000000000000583
12.531,61,7,0.030999999999998806
12.562,59,5,0.1880000000000006
12.750,58,4,0.25
13.000,59,5,0.125
13.125,61,7,0.25
13.375,54,0,0.5
13.875,56,2,0.125
14.000,58,4,0.125
14.125,61,7,0.25
14.375,61,7,0.25
14.625,65,11,0.375
15.000,65,11,0.125
15.125,66,0,0.25
15.375,66,0,0.5
15.875,66,0,0.125
16.000,66,0,0.125
16.125,68,2,0.06299999999999883
16.188,70,4,0.31200000000000117
16.500,59,5,0.375
16.875,58,4,0.25
17.125,61,7,0.030999999999998806
17.156,59,5,0.0940000000000012
17.250,59,5,0.875
18.125,54,0,0.125
18.250,61,7,0.25
18.500,59,5,0.125
18.625,59,5,0.25
18.875,61,7,0.125
19.000,56,2,1.125
20.125,66,0,0.125
20.250,70,4,0.125
20.375,66,0,0.125
20.500,68,2,0.375
20.875,70,4,0.125
21.000,71,5,0.125
21.125,70,4,0.125
21.250,68,2,0.125
21.375,61,7,0.375
21.750,66,0,0.25
22.000,70,4,0.125
22.125,70,4,0.125
22.250,68,2,0.125
22.375,61,7,0.5
22.875,66,0,0.125
23.000,71,5,0.125
23.125,70,4,0.125
23.250,61,7,0.125
23.375,61,7,0.25
23.625,66,0,0.625
24.250,66,0,0.125
24.375,65,11,0.125
24.500,63,9,0.125
24.625,61,7,0.625
25.250,61,7,0.125
25.375,61,7,0.125
25.500,54,0,0.375
25.875,61,7,0.125
26.000,61,7,0.125
26.125,59,5,0.125
26.250,59,5,0.125
26.375,58,4,0.125
26.500,58,4,0.25
26.750,54,0,0.25
27.000,54,0,1.875
28.875,58,4,0.06299999999999883
28.938,56,2,0.062000000000001165
29.000,54,0,4.25
33.250,61,7,0.25
33.500,58,4,0.125
33.625,59,5,0.25
33.875,58,4,0.125
34.000,59,5,0.125
34.125,59,5,0.06300000000000239
34.188,61,7,0.3119999999999976
34.500,54,0,0.375
34.875,56,2,0.125
35.000,58,4,0.125
35.125,61,7,0.25
35.375,61,7,0.25
35.625,65,11,0.375
36.000,65,11,0.125
36.125,66,0,0.25
36.375,66,0,0.5
36.875,66,0,0.125
37.000,66,0,0.125
37.125,68,2,0.125
37.250,70,4,0.125
37.375,59,5,0.1869999999999976
37.562,61,7,0.4380000000000024
38.000,59,5,0.3119999999999976
38.312,58,4,0.3130000000000024
38.625,59,5,0.5
39.125,54,0,0.125
39.250,58,4,0.125
39.375,61,7,0.125
39.500,59,5,0.4380000000000024
39.938,61,7,0.06199999999999761
40.000,61,7,0.125
40.125,56,2,1.0
41.125,54,0,0.06300000000000239
41.188,61,7,0.3119999999999976
41.500,59,5,0.125
41.625,59,5,0.25
41.875,58,4,0.125
42.000,59,5,0.125
42.125,61,7,0.25
42.375,54,0,0.5
42.875,56,2,0.125
43.000,58,4,0.125
43.125,61,7,0.25
43.375,61,7,0.25
43.625,65,11,0.375
44.000,65,11,0.125
44.125,66,0,0.25
44.375,66,0,0.5
44.875,66,0,0.125
45.000,66,0,0.125
45.125,68,2,0.06300000000000239
45.188,70,4,0.4369999999999976
45.625,59,5,0.5
46.125,61,7,0.125
46.250,61,7,0.06199999999999761
