time,note,scale degree,length
7.750,56,5,0.18799999999999972
7.938,56,5,0.3120000000000003
8.250,55,4,0.125
8.375,53,2,0.125
8.500,51,0,1.25
9.750,56,5,0.125
9.875,58,7,0.375
10.250,53,2,0.125
10.375,55,4,0.875
11.250,60,9,0.25
11.500,61,10,0.25
11.750,60,9,0.1880000000000006
11.938,58,7,0.8119999999999994
12.750,63,0,0.125
12.875,60,9,0.875
13.750,60,9,0.125
13.875,60,9,0.125
14.000,58,7,0.125
14.125,55,4,0.06300000000000061
14.188,53,2,0.06199999999999939
14.250,51,0,0.75
15.000,63,0,1.25
16.250,55,4,0.25
16.500,53,2,0.25
16.750,51,0,0.18799999999999883
16.938,53,2,0.9370000000000012
17.875,58,7,0.5
18.375,58,7,0.25
18.625,55,4,0.06299999999999883
18.688,53,2,0.18700000000000117
18.875,51,0,0.125
19.000,51,0,0.18799999999999883
19.188,53,2,0.062000000000001165
19.250,55,4,1.0
20.250,58,7,0.25
20.500,65,2,0.125
20.625,67,4,0.125
20.750,65,2,0.25
21.000,63,0,0.5
21.500,65,2,0.375
21.875,65,2,0.625
22.500,65,2,0.125
22.625,67,4,0.125
22.750,65,2,0.25
23.000,63,0,0.5
23.500,62,11,0.25
23.750,60,9,0.25
24.000,60,9,0.18799999999999883
24.188,58,7,0.31200000000000117
24.500,55,4,0.18799999999999883
24.688,58,7,0.5620000000000012
25.250,60,9,0.125
25.375,63,0,0.125
25.500,65,2,0.25
25.750,67,4,0.18799999999999883
25.938,63,0,0.5620000000000012
26.500,67,4,0.25
26.750,65,2,0.062000000000001165
26.812,67,4,0.06299999999999883
26.875,65,2,0.06299999999999883
26.938,63,0,0.18700000000000117
27.125,63,0,0.375
27.500,62,11,0.25
27.750,60,9,0.25
28.000,60,9,0.18799999999999883
28.188,58,7,0.31200000000000117
28.500,55,4,0.18799999999999883
28.688,58,7,0.5620000000000012
29.250,60,9,0.125
29.375,63,0,0.125
29.500,65,2,0.25
29.750,67,4,0.18799999999999883
29.938,63,0,5.937000000000001
35.875,56,5,0.06300000000000239
35.938,56,5,0.1869999999999976
36.125,55,4,0.3130000000000024
36.438,53,2,0.06199999999999761
36.500,51,0,1.1880000000000024
37.688,56,5,0.06199999999999761
37.750,56,5,0.06199999999999761
37.812,56,5,0.06300000000000239
37.875,58,7,0.125
38.000,55,4,1.25
39.250,60,9,0.25
39.500,61,10,0.25
39.750,60,9,0.1880000000000024
39.938,58,7,0.8119999999999976
40.750,63,0,0.1880000000000024
40.938,58,7,0.06199999999999761
41.000,60,9,0.75
41.750,56,5,0.06199999999999761
41.812,58,7,0.12600000000000477
41.938,58,7,0.06199999999999761
42.000,60,9,0.125
42.125,58,7,0.125
42.250,55,4,0.06199999999999761
42.312,53,2,0.12600000000000477
42.438,51,0,0.5
42.938,60,9,0.06199999999999761
43.000,63,0,1.25
44.250,55,4,0.25
44.500,53,2,0.25
44.750,51,0,0.25
45.000,53,2,0.875
45.875,58,7,0.5
46.375,58,7,0.125
46.500,55,4,0.125
46.625,53,2,0.125
46.750,51,0,0.125
46.875,53,2,0.06300000000000239
46.938,55,4,1.3119999999999976
48.250,58,7,0.25
48.500,65,2,0.125
48.625,67,4,0.125
48.750,65,2,0.25
49.000,63,0,0.5
49.500,65,2,0.375
49.875,65,2,0.625
50.500,67,4,0.25
50.750,65,2,0.25
51.000,63,0,0.5
51.500,62,11,0.25
51.750,60,9,0.25
52.000,60,9,0.1880000000000024
52.188,58,7,0.3119999999999976
52.500,55,4,0.1880000000000024
52.688,58,7,0.5619999999999976
53.250,60,9,0.125
53.375,63,0,0.125
53.500,65,2,0.25
53.750,67,4,0.1880000000000024
53.938,63,0,0.5619999999999976
54.500,67,4,0.25
54.750,65,2,0.06199999999999761
54.812,67,4,0.06300000000000239
54.875,65,2,0.06300000000000239
54.938,63,0,0.1869999999999976
55.125,63,0,0.375
55.500,62,11,0.25
55.750,60,9,0.25
56.000,60,9,0.1880000000000024
56.188,58,7,0.3119999999999976
56.500,60,9,0.1880000000000024
56.688,63,0,0.5619999999999976
57.250,63,0,0.125
57.375,65,2,0.125
57.500,63,0,0.25
57.750,62,11,0.1880000000000024
57.938,62,11,0.06199999999999761
58.000,63,0,10.75
68.750,56,5,0.125
68.875,56,5,0.25
69.125,55,4,0.25
69.375,53,2,0.06300000000000239
69.438,51,0,1.3119999999999976
70.750,56,5,0.125
70.875,56,5,0.125
71.000,58,7,0.25
71.250,55,4,1.0
72.250,60,9,0.25
72.500,61,10,0.25
72.750,60,9,0.25
73.000,58,7,0.75
73.750,63,0,0.1880000000000024
73.938,58,7,0.06199999999999761
74.000,60,9,0.75
74.750,60,9,0.125
74.875,60,9,0.125
75.000,58,7,0.1880000000000024
75.188,60,9,0.06199999999999761
75.250,58,7,0.1880000000000024
75.438,55,4,0.06199999999999761
75.500,53,2,0.06199999999999761
75.562,51,0,1.6880000000000024
77.250,55,4,0.25
77.500,53,2,0.25
77.750,51,0,0.25
78.000,53,2,0.875
78.875,58,7,0.75
79.625,58,7,0.25
79.875,58,7,0.125
80.000,58,7,0.25
80.250,56,5,0.125
80.375,55,4,0.875
81.250,58,7,0.25
81.500,65,2,0.06199999999999761
81.562,67,4,0.1880000000000024
81.750,65,2,0.25
82.000,63,0,0.5
82.500,65,2,0.375
82.875,65,2,0.625
83.500,67,4,0.25
83.750,65,2,0.25
84.000,63,0,0.5
84.500,62,11,0.25
84.750,60,9,0.25
85.000,60,9,0.1880000000000024
85.188,58,7,0.3119999999999976
85.500,60,9,0.1880000000000024
85.688,63,0,0.5619999999999976
86.250,63,0,0.125
86.375,65,2,0.125
86.500,63,0,0.25
86.750,62,11,0.1880000000000024
86.938,63,0,0.5619999999999976
87.500,67,4,0.25
87.750,65,2,0.25
88.000,68,5,0.5
88.500,67,4,0.25
88.750,65,2,0.25
89.000,67,4,0.1880000000000024
89.188,68,5,0.1869999999999976
89.375,67,4,0.125
89.500,65,2,0.1880000000000024
89.688,63,0,0.5619999999999976
90.250,68,5,0.125
90.375,68,5,0.125
90.500,67,4,0.25
90.750,65,2,0.125
90.875,65,2,0.125
91.000,67,4,1.75
92.750,65,2,0.06199999999999761
92.812,67,4,0.1880000000000024
93.000,65,2,0.06199999999999761
