time,note,scale degree,length
0.000,67,0,0.188
0.188,62,7,0.062
0.250,61,6,0.125
0.375,62,7,0.125
0.500,65,10,0.125
0.625,62,7,4.125
4.750,55,0,0.125
4.875,58,3,0.125
5.000,62,7,0.125
5.125,62,7,0.5
5.625,55,0,0.125
5.750,55,0,0.125
5.875,55,0,0.06299999999999972
5.938,53,10,0.18700000000000028
6.125,55,0,0.625
6.750,60,5,0.125
6.875,60,5,0.125
7.000,58,3,0.125
7.125,57,2,0.125
7.250,55,0,0.375
7.625,53,10,0.125
7.750,55,0,0.125
7.875,55,0,0.06299999999999972
7.938,57,2,0.18700000000000028
8.125,53,10,0.125
8.250,50,7,0.5
8.750,55,0,0.125
8.875,58,3,0.125
9.000,62,7,0.125
9.125,62,7,0.5
9.625,53,10,0.125
9.750,55,0,0.25
10.000,55,0,0.75
10.750,55,0,0.125
10.875,58,3,0.125
11.000,62,7,0.125
11.125,62,7,0.5
11.625,53,10,0.125
11.750,55,0,0.06199999999999939
11.812,55,0,0.1880000000000006
12.000,55,0,0.75
12.750,55,0,0.125
12.875,58,3,0.125
13.000,62,7,0.125
13.125,62,7,0.625
13.750,55,0,0.06199999999999939
13.812,55,0,0.06300000000000061
13.875,55,0,0.125
14.000,53,10,0.125
14.125,55,0,0.5
14.625,55,0,0.125
14.750,60,5,0.125
14.875,60,5,0.125
15.000,58,3,0.125
15.125,57,2,0.5
15.625,55,0,0.125
15.750,60,5,0.125
15.875,60,5,0.125
16.000,58,3,0.125
16.125,57,2,16.625
32.750,55,0,0.125
32.875,58,3,0.125
33.000,62,7,0.125
33.125,62,7,0.5
33.625,55,0,0.125
33.750,55,0,0.125
33.875,55,0,0.06300000000000239
33.938,53,10,0.1869999999999976
34.125,55,0,0.625
34.750,60,5,0.125
34.875,60,5,0.125
35.000,58,3,0.125
35.125,57,2,0.125
35.250,55,0,0.375
35.625,53,10,0.125
35.750,55,0,0.125
35.875,55,0,0.06300000000000239
35.938,57,2,0.1869999999999976
36.125,53,10,0.125
36.250,50,7,0.5
36.750,55,0,0.125
36.875,58,3,0.125
37.000,62,7,0.125
37.125,62,7,0.5
37.625,53,10,0.125
37.750,55,0,0.25
38.000,55,0,0.75
38.750,55,0,0.125
38.875,58,3,0.125
39.000,62,7,0.125
39.125,62,7,0.5
39.625,53,10,0.125
39.750,55,0,0.06199999999999761
39.812,55,0,0.1880000000000024
40.000,55,0,0.75
40.750,55,0,0.125
40.875,58,3,0.125
41.000,62,7,0.125
41.125,62,7,0.625
41.750,55,0,0.06199999999999761
41.812,55,0,0.06300000000000239
41.875,55,0,0.125
42.000,53,10,0.125
42.125,55,0,0.5
42.625,55,0,0.125
42.750,60,5,0.125
42.875,60,5,0.125
43.000,58,3,0.125
43.125,57,2,0.5
43.625,55,0,0.125
43.750,60,5,0.125
43.875,60,5,0.125
44.000,58,3,0.125
44.125,57,2,0.875
45.000,55,0,0.25
45.250,55,0,0.125
45.375,55,0,0.125
45.500,55,0,0.125
45.625,55,0,0.375
46.000,55,0,0.25
46.250,55,0,0.125
46.375,55,0,0.625
47.000,55,0,0.25
47.250,55,0,0.125
47.375,55,0,0.125
47.500,55,0,0.125
47.625,55,0,0.375
48.000,55,0,0.125
48.125,55,0,0.125
48.250,70,3,0.125
48.375,65,10,0.625
49.000,55,0,0.25
49.250,55,0,0.125
49.375,55,0,0.125
49.500,55,0,0.125
49.625,55,0,0.375
50.000,55,0,0.25
50.250,55,0,0.125
50.375,55,0,0.625
51.000,55,0,0.25
51.250,55,0,0.125
51.375,55,0,0.125
51.500,55,0,0.125
51.625,55,0,0.375
52.000,55,0,0.125
52.125,55,0,0.125
52.250,60,5,0.125
52.375,60,5,16.375
68.750,55,0,0.125
68.875,58,3,0.125
69.000,62,7,0.125
69.125,62,7,0.5
69.625,55,0,0.125
69.750,55,0,0.125
69.875,55,0,0.06300000000000239
69.938,53,10,0.1869999999999976
70.125,55,0,0.625
70.750,60,5,0.125
70.875,60,5,0.125
71.000,58,3,0.125
71.125,57,2,0.125
71.250,55,0,0.375
71.625,53,10,0.125
71.750,55,0,0.125
71.875,55,0,0.06300000000000239
71.938,57,2,0.1869999999999976
72.125,53,10,0.125
72.250,50,7,0.5
72.750,55,0,0.125
72.875,58,3,0.125
73.000,62,7,0.125
73.125,62,7,0.5
73.625,53,10,0.125
73.750,55,0,0.25
74.000,55,0,0.75
74.750,55,0,0.125
74.875,58,3,0.125
75.000,62,7,0.125
75.125,62,7,0.5
75.625,53,10,0.125
75.750,55,0,0.06199999999999761
75.812,55,0,0.1880000000000024
76.000,55,0,0.75
76.750,55,0,0.125
76.875,58,3,0.125
77.000,62,7,0.125
77.125,62,7,0.625
77.750,55,0,0.06199999999999761
77.812,55,0,0.06300000000000239
77.875,55,0,0.125
78.000,53,10,0.125
78.125,55,0,0.5
78.625,55,0,0.125
78.750,60,5,0.125
78.875,60,5,0.125
79.000,58,3,0.125
79.125,57,2,0.5
79.625,55,0,0.125
79.750,60,5,0.125
79.875,60,5,0.125
80.000,58,3,0.125
80.125,57,2,0.875
81.000,55,0,0.25
81.250,55,0,0.125
81.375,55,0,0.125
81.500,55,0,0.125
81.625,55,0,0.375
82.000,55,0,0.25
82.250,55,0,0.125
82.375,55,0,0.625
83.000,55,0,0.25
83.250,55,0,0.125
83.375,55,0,0.125
83.500,55,0,0.125
83.625,55,0,0.375
84.000,55,0,0.125
84.125,55,0,0.125
84.250,70,3,0.125
84.375,65,10,0.625
85.000,55,0,0.25
85.250,55,0,0.125
85.375,55,0,0.125
85.500,55,0,0.125
85.625,55,0,0.375
86.000,55,0,0.25
86.250,55,0,0.125
86.375,55,0,0.625
87.000,55,0,0.25
87.250,55,0,0.125
87.375,55,0,0.125
87.500,55,0,0.125
87.625,55,0,0.375
88.000,55,0,0.125
88.125,55,0,0.125
88.250,60,5,0.125
