time,note,scale degree,length
4.125,60,2,0.041999999999999815
4.167,62,4,0.125
4.292,53,7,0.5830000000000002
4.875,54,8,0.20800000000000018
5.083,55,9,0.16699999999999982
5.250,59,1,0.125
5.375,62,4,0.125
5.500,67,9,0.08300000000000018
5.583,65,7,0.041999999999999815
5.625,67,9,0.041999999999999815
5.667,65,7,0.4580000000000002
6.125,62,4,0.08300000000000018
6.208,63,5,0.16699999999999982
6.375,65,7,0.125
6.500,67,9,1.25
7.750,65,7,0.08300000000000018
7.833,67,9,0.08399999999999963
7.917,65,7,0.08300000000000018
8.000,67,9,0.16699999999999982
8.167,57,11,0.8330000000000002
9.000,53,7,0.16699999999999982
9.167,57,11,0.16600000000000037
9.333,60,2,0.16699999999999982
9.500,70,0,0.16699999999999982
9.667,67,9,0.08300000000000018
9.750,69,11,0.16699999999999982
9.917,67,9,0.20800000000000018
10.125,67,9,0.041999999999999815
10.167,65,7,0.08300000000000018
10.250,67,9,0.08300000000000018
10.333,65,7,1.8339999999999996
12.167,60,2,0.04100000000000037
12.208,62,4,0.125
12.333,62,4,0.041999999999999815
12.375,53,7,0.5419999999999998
12.917,54,8,0.08300000000000018
13.000,55,9,0.16699999999999982
13.167,59,1,0.25
13.417,62,4,0.08300000000000018
13.500,65,7,0.125
13.625,67,9,0.25
13.875,65,7,0.041999999999999815
13.917,67,9,0.04100000000000037
13.958,65,7,0.041999999999999815
14.000,62,4,0.16699999999999982
14.167,63,5,0.125
14.292,67,9,1.375
15.667,65,7,0.125
15.792,67,9,0.04100000000000037
15.833,65,7,0.08399999999999963
15.917,67,9,0.04100000000000037
15.958,65,7,0.12499999999999822
16.083,67,9,0.1670000000000016
16.250,57,11,0.6670000000000016
16.917,53,7,0.08299999999999841
17.000,53,7,0.1670000000000016
17.167,57,11,0.2079999999999984
17.375,60,2,0.125
17.500,63,5,0.4170000000000016
17.917,62,4,0.08299999999999841
18.000,60,2,0.08299999999999841
18.083,60,2,0.08400000000000318
18.167,58,0,1.75
19.917,69,11,0.08299999999999841
20.000,70,0,0.1670000000000016
20.167,67,9,0.8329999999999984
21.000,57,11,0.08299999999999841
21.083,58,0,0.2920000000000016
21.375,63,5,0.125
21.500,67,9,0.125
21.625,70,0,0.125
21.750,70,0,0.08299999999999841
21.833,69,11,0.1670000000000016
22.000,67,9,0.125
22.125,70,0,0.125
22.250,65,7,1.75
24.000,70,0,0.125
24.125,67,9,0.875
25.000,58,0,0.08299999999999841
25.083,60,2,0.3340000000000032
25.417,64,6,0.08299999999999841
25.500,67,9,0.125
25.625,69,11,0.08299999999999841
25.708,70,0,0.20900000000000318
25.917,69,11,0.08299999999999841
26.000,67,9,0.125
26.125,69,11,0.7079999999999984
26.833,67,9,0.08400000000000318
26.917,69,11,0.04099999999999682
26.958,67,9,0.04200000000000159
27.000,69,11,0.04200000000000159
27.042,67,9,0.4579999999999984
27.500,65,7,0.6670000000000016
28.167,60,2,0.04099999999999682
28.208,62,4,0.08400000000000318
28.292,53,7,0.625
28.917,54,8,0.08299999999999841
29.000,55,9,0.08299999999999841
29.083,59,1,0.3340000000000032
29.417,62,4,0.125
29.542,65,7,0.08299999999999841
29.625,67,9,0.08299999999999841
29.708,67,9,0.04200000000000159
29.750,65,7,0.3329999999999984
30.083,62,4,0.08400000000000318
30.167,63,5,0.16599999999999682
30.333,65,7,0.08400000000000318
30.417,67,9,1.3329999999999984
31.750,65,7,0.125
31.875,67,9,0.125
32.000,70,0,0.2079999999999984
32.208,67,9,0.20900000000000318
32.417,63,5,0.08299999999999841
32.500,69,11,0.08299999999999841
32.583,65,7,0.3340000000000032
32.917,62,4,0.2079999999999984
33.125,65,7,0.08299999999999841
33.208,67,9,0.1670000000000016
33.375,63,5,0.08299999999999841
33.458,60,2,0.08400000000000318
33.542,65,7,0.08299999999999841
33.625,62,4,0.3329999999999984
33.958,60,2,0.08400000000000318
34.042,62,4,0.125
34.167,63,5,0.16599999999999682
34.333,54,8,0.125
34.458,55,9,0.1670000000000016
34.625,62,4,0.04200000000000159
34.667,57,11,0.25
34.917,60,2,0.08299999999999841
35.000,62,4,0.08299999999999841
35.083,58,0,1.0
36.083,61,2,0.04200000000000159
36.125,63,4,0.125
36.250,54,7,0.6670000000000016
36.917,55,8,0.08299999999999841
37.000,56,9,0.125
37.125,60,1,0.25
37.375,63,4,0.125
37.500,66,7,0.08299999999999841
37.583,68,9,0.08400000000000318
37.667,68,9,0.08299999999999841
37.750,66,7,0.3329999999999984
38.083,63,4,0.08400000000000318
38.167,64,5,0.08299999999999841
38.250,66,7,0.125
38.375,68,9,1.375
39.750,67,8,0.08299999999999841
39.833,68,9,0.1670000000000016
40.000,71,0,0.1670000000000016
40.167,68,9,0.2079999999999984
40.375,64,5,0.125
40.500,70,11,0.08299999999999841
40.583,66,7,0.3340000000000032
40.917,63,4,0.2079999999999984
41.125,66,7,0.125
41.250,68,9,0.125
41.375,64,5,0.08299999999999841
41.458,61,2,0.08400000000000318
41.542,66,7,0.08299999999999841
41.625,63,4,0.3329999999999984
41.958,62,3,0.08400000000000318
42.042,63,4,0.125
42.167,64,5,0.08299999999999841
42.250,55,8,0.125
42.375,56,9,0.125
42.500,63,4,0.08299999999999841
42.583,58,11,0.1670000000000016
42.750,61,2,0.04200000000000159
42.792,63,4,0.08299999999999841
42.875,61,2,0.04200000000000159
42.917,58,11,0.04099999999999682
