time,note,scale degree,length
1.625,54,4,0.125
1.750,54,4,0.062000000000000055
1.812,57,7,0.18799999999999994
2.000,59,9,0.75
2.750,54,4,0.125
2.875,57,7,0.125
3.000,59,9,0.75
3.750,54,4,0.125
3.875,57,7,0.125
4.000,59,9,0.5
4.500,61,11,0.375
4.875,57,7,0.125
5.000,54,4,0.75
5.750,61,11,0.125
5.875,62,0,0.125
6.000,64,2,0.125
6.125,62,0,0.125
6.250,62,0,0.125
6.375,62,0,0.25
6.625,62,0,0.125
6.750,61,11,0.125
6.875,62,0,0.125
7.000,64,2,0.25
7.250,62,0,0.125
7.375,62,0,0.375
7.750,61,11,0.125
7.875,62,0,0.125
8.000,64,2,0.375
8.375,62,0,0.125
8.500,59,9,0.25
8.750,55,5,0.25
9.000,52,2,0.75
9.750,59,9,0.125
9.875,59,9,0.125
10.000,59,9,0.125
10.125,57,7,0.25
10.375,57,7,0.5
10.875,57,7,0.25
11.125,59,9,0.125
11.250,61,11,0.125
11.375,59,9,0.125
11.500,57,7,0.75
12.250,57,7,0.25
12.500,59,9,0.25
12.750,61,11,0.25
13.000,62,0,0.125
13.125,57,7,0.125
13.250,59,9,0.125
13.375,54,4,0.125
13.500,57,7,0.5
14.000,57,7,0.125
14.125,66,4,0.25
14.375,61,11,0.625
15.000,62,0,0.125
15.125,57,7,0.125
15.250,59,9,0.125
15.375,54,4,0.125
15.500,57,7,0.5
16.000,57,7,0.125
16.125,66,4,0.25
16.375,61,11,0.5
16.875,57,7,0.125
17.000,55,5,0.75
17.750,55,5,0.125
17.875,55,5,0.125
18.000,54,4,0.75
18.750,50,0,0.125
18.875,52,2,0.125
19.000,52,2,0.125
19.125,50,0,0.75
19.875,49,11,0.06299999999999883
19.938,50,0,0.062000000000001165
20.000,49,11,0.625
20.625,49,11,0.125
20.750,50,0,0.125
20.875,52,2,0.125
21.000,52,2,0.25
21.250,50,0,0.75
22.000,52,2,0.125
22.125,50,0,0.875
23.000,52,2,0.125
23.125,50,0,0.875
24.000,54,4,0.375
24.375,55,5,0.06299999999999883
24.438,54,4,0.062000000000001165
24.500,52,2,0.125
24.625,50,0,0.125
24.750,50,0,0.125
24.875,50,0,0.125
25.000,57,7,0.875
25.875,50,0,0.125
26.000,50,0,0.75
26.750,50,0,0.125
26.875,50,0,0.125
27.000,57,7,0.75
27.750,50,0,0.125
27.875,50,0,0.125
28.000,49,11,0.625
28.625,49,11,0.125
28.750,50,0,0.125
28.875,52,2,0.125
29.000,52,2,0.25
29.250,50,0,1.375
30.625,54,4,0.125
30.750,54,4,0.125
30.875,57,7,0.06299999999999883
30.938,59,9,0.6870000000000012
31.625,50,0,0.125
31.750,54,4,0.125
31.875,57,7,0.125
32.000,59,9,0.75
32.750,54,4,0.125
32.875,57,7,0.125
33.000,59,9,0.5
33.500,61,11,0.375
33.875,57,7,0.125
34.000,57,7,0.06199999999999761
34.062,54,4,0.75
34.812,61,11,0.06300000000000239
34.875,61,11,0.06300000000000239
34.938,62,0,0.06199999999999761
35.000,64,2,0.125
35.125,62,0,0.25
35.375,62,0,0.375
35.750,61,11,0.125
35.875,62,0,0.125
36.000,64,2,0.25
36.250,62,0,0.125
36.375,62,0,0.5
36.875,62,0,0.125
37.000,64,2,0.125
37.125,62,0,0.25
37.375,62,0,0.125
37.500,62,0,0.125
37.625,59,9,0.25
37.875,62,0,0.125
38.000,66,4,0.375
38.375,67,5,0.06300000000000239
38.438,66,4,0.06199999999999761
38.500,64,2,0.25
38.750,62,0,0.125
38.875,62,0,0.125
39.000,69,7,0.75
39.750,62,0,0.125
39.875,62,0,0.875
40.750,62,0,0.125
40.875,62,0,0.125
41.000,69,7,0.75
41.750,61,11,0.25
42.000,61,11,1.0
43.000,74,0,0.125
43.125,69,7,0.125
43.250,71,9,0.125
43.375,66,4,0.125
43.500,69,7,0.125
43.625,66,4,0.1869999999999976
43.812,62,0,0.1880000000000024
44.000,61,11,0.125
44.125,66,4,0.25
44.375,61,11,0.625
45.000,74,0,0.125
45.125,69,7,0.125
45.250,71,9,0.125
45.375,66,4,0.125
45.500,69,7,0.125
45.625,66,4,0.1869999999999976
45.812,62,0,0.1880000000000024
46.000,61,11,0.125
46.125,66,4,0.25
46.375,61,11,0.625
47.000,62,0,0.75
47.750,62,0,0.125
47.875,66,4,0.25
48.125,61,11,0.75
48.875,59,9,0.25
49.125,62,0,0.5
49.625,62,0,0.25
49.875,61,11,0.06300000000000239
49.938,62,0,0.06199999999999761
50.000,61,11,0.75
50.750,62,0,0.125
50.875,64,2,0.125
51.000,64,2,0.125
51.125,62,0,0.875
52.000,64,2,0.125
52.125,62,0,0.875
53.000,64,2,0.125
53.125,62,0,0.875
54.000,66,4,0.375
54.375,67,5,0.06300000000000239
54.438,66,4,0.06199999999999761
54.500,64,2,0.25
54.750,62,0,0.125
54.875,62,0,0.125
55.000,66,4,1.0
56.000,62,0,1.0
57.000,69,7,1.0
58.000,62,0,1.0
59.000,67,5,0.75
59.750,66,4,0.125
59.875,67,5,0.125
60.000,69,7,0.75
60.750,68,6,0.25
