time,note,scale degree,length
16.000,52,0,0.5
16.500,54,2,0.5
17.000,55,3,1.25
18.250,54,2,0.25
18.500,54,2,0.18799999999999883
18.688,52,0,0.18700000000000117
18.875,50,10,0.31299999999999883
19.188,52,0,1.0620000000000012
20.250,62,10,0.25
20.500,62,10,0.25
20.750,60,8,0.125
20.875,59,7,0.625
21.500,60,8,0.25
21.750,59,7,0.18799999999999883
21.938,57,5,0.31200000000000117
22.250,55,3,1.75
24.000,52,0,0.5
24.500,54,2,0.375
24.875,55,3,0.25
25.125,55,3,1.125
26.250,54,2,0.25
26.500,54,2,0.18799999999999883
26.688,52,0,0.18700000000000117
26.875,50,10,0.31299999999999883
27.188,52,0,1.0620000000000012
28.250,62,10,0.25
28.500,62,10,0.25
28.750,60,8,0.125
28.875,59,7,0.375
29.250,60,8,0.25
29.500,60,8,0.125
29.625,59,7,0.25
29.875,57,5,0.25
30.125,55,3,0.375
30.500,54,2,0.5
31.000,52,0,3.0
34.000,52,0,0.5
34.500,54,2,0.5
35.000,55,3,1.25
36.250,54,2,0.25
36.500,54,2,0.25
36.750,52,0,0.125
36.875,50,10,0.25
37.125,52,0,1.125
38.250,62,10,0.125
38.375,62,10,0.25
38.625,60,8,0.25
38.875,59,7,0.375
39.250,60,8,0.125
39.375,60,8,0.25
39.625,60,8,0.25
39.875,59,7,0.25
40.125,57,5,0.125
40.250,55,3,0.125
40.375,55,3,1.625
42.000,52,0,0.5
42.500,54,2,0.5
43.000,55,3,1.5
44.500,54,2,0.25
44.750,52,0,0.125
44.875,50,10,0.25
45.125,52,0,1.125
46.250,62,10,0.25
46.500,62,10,0.25
46.750,60,8,0.125
46.875,59,7,0.375
47.250,60,8,0.25
47.500,60,8,0.25
47.750,59,7,0.125
47.875,57,5,0.375
48.250,55,3,0.25
48.500,54,2,0.5
49.000,52,0,27.0
76.000,52,0,0.5
76.500,54,2,0.5
77.000,55,3,1.5
78.500,54,2,0.1880000000000024
78.688,52,0,0.1869999999999976
78.875,50,10,0.3130000000000024
79.188,52,0,1.0619999999999976
80.250,62,10,0.25
80.500,62,10,0.25
80.750,60,8,0.5
81.250,60,8,0.25
81.500,60,8,0.25
81.750,59,7,0.25
82.000,57,5,0.25
82.250,55,3,1.75
84.000,52,0,0.5
84.500,54,2,0.5
85.000,55,3,1.25
86.250,54,2,0.25
86.500,54,2,0.25
86.750,52,0,0.125
86.875,50,10,0.25
87.125,52,0,1.125
88.250,62,10,0.25
88.500,62,10,0.125
88.625,60,8,0.625
89.250,60,8,0.25
89.500,60,8,0.25
89.750,59,7,0.125
89.875,57,5,0.25
90.125,55,3,0.375
90.500,54,2,0.5
