time,note,scale degree,length
0.938,52,7,0.062000000000000055
1.000,61,4,0.125
1.125,61,4,0.125
1.250,61,4,0.125
1.375,61,4,0.25
1.625,59,2,0.06299999999999994
1.688,57,0,0.12400000000000011
1.812,57,0,1.063
2.875,52,7,0.06300000000000017
2.938,52,7,0.06199999999999983
3.000,61,4,0.125
3.125,61,4,0.125
3.250,61,4,0.125
3.375,61,4,0.25
3.625,56,11,0.25
3.875,57,0,0.75
4.625,57,0,0.125
4.750,66,9,0.125
4.875,64,7,0.25
5.125,69,0,0.75
5.875,57,0,0.125
6.000,57,0,2.875
8.875,52,7,0.06300000000000061
8.938,52,7,0.06199999999999939
9.000,61,4,0.125
9.125,61,4,0.125
9.250,61,4,0.125
9.375,61,4,0.25
9.625,59,2,0.125
9.750,57,0,1.125
10.875,52,7,0.06300000000000061
10.938,52,7,0.06199999999999939
11.000,61,4,0.125
11.125,61,4,0.125
11.250,61,4,0.125
11.375,61,4,0.25
11.625,56,11,0.25
11.875,57,0,0.75
12.625,57,0,0.125
12.750,66,9,0.06199999999999939
12.812,64,7,0.06300000000000061
12.875,64,7,0.25
13.125,69,0,0.5630000000000006
13.688,57,0,0.06199999999999939
13.750,57,0,0.06199999999999939
13.812,57,0,0.06300000000000061
13.875,57,0,1.75
15.625,61,4,0.06300000000000061
15.688,61,4,0.1869999999999994
15.875,57,0,0.06300000000000061
15.938,59,2,1.6869999999999994
17.625,61,4,0.06299999999999883
17.688,61,4,0.18700000000000117
17.875,52,7,0.06299999999999883
17.938,52,7,1.6870000000000012
19.625,61,4,0.06299999999999883
19.688,61,4,0.18700000000000117
19.875,62,5,0.06299999999999883
19.938,61,4,0.062000000000001165
20.000,59,2,1.625
21.625,61,4,0.06299999999999883
21.688,61,4,0.18700000000000117
21.875,52,7,0.06299999999999883
21.938,52,7,3.0
24.938,52,7,0.062000000000001165
25.000,61,4,0.125
25.125,61,4,0.125
25.250,61,4,0.125
25.375,61,4,0.25
25.625,59,2,0.125
25.750,57,0,1.1879999999999988
26.938,52,7,0.062000000000001165
27.000,61,4,0.125
27.125,61,4,0.125
27.250,61,4,0.125
27.375,61,4,0.25
27.625,56,11,0.25
27.875,57,0,0.75
28.625,57,0,0.125
28.750,66,9,0.125
28.875,64,7,0.25
29.125,69,0,0.75
29.875,57,0,0.125
30.000,57,0,2.9380000000000024
32.938,52,7,0.06199999999999761
33.000,61,4,0.06199999999999761
33.062,61,4,0.06300000000000239
33.125,61,4,0.25
33.375,62,5,0.25
33.625,61,4,0.125
33.750,57,0,1.1880000000000024
34.938,59,2,0.06199999999999761
35.000,61,4,0.125
35.125,60,3,0.125
35.250,61,4,0.125
35.375,64,7,0.25
35.625,56,11,0.25
35.875,57,0,0.5
36.375,57,0,0.125
36.500,66,9,0.125
36.625,64,7,0.125
36.750,66,9,0.06199999999999761
36.812,64,7,0.06300000000000239
36.875,64,7,0.25
37.125,69,0,0.6869999999999976
37.812,57,0,0.06300000000000239
37.875,57,0,0.25
38.125,57,0,1.5
39.625,52,7,0.06300000000000239
39.688,61,4,0.1869999999999976
39.875,57,0,0.06300000000000239
39.938,59,2,1.6869999999999976
41.625,61,4,0.06300000000000239
41.688,61,4,0.1869999999999976
41.875,52,7,0.06300000000000239
41.938,52,7,1.6869999999999976
43.625,61,4,0.06300000000000239
43.688,61,4,0.1869999999999976
43.875,62,5,0.06300000000000239
43.938,61,4,0.06199999999999761
44.000,59,2,1.375
45.375,57,0,0.125
45.500,62,5,1.4380000000000024
46.938,61,4,1.0
47.938,59,2,0.06199999999999761
48.000,57,0,0.9380000000000024
48.938,52,7,0.06199999999999761
49.000,61,4,0.125
49.125,61,4,0.125
49.250,61,4,0.125
49.375,61,4,0.25
49.625,59,2,0.125
49.750,57,0,1.1880000000000024
50.938,52,7,0.06199999999999761
51.000,61,4,0.125
51.125,61,4,0.125
51.250,61,4,0.125
51.375,61,4,0.25
51.625,56,11,0.25
51.875,57,0,0.75
52.625,57,0,0.125
52.750,66,9,0.125
52.875,64,7,0.25
53.125,69,0,0.75
53.875,57,0,0.25
54.125,57,0,2.75
56.875,52,7,0.06300000000000239
56.938,52,7,0.06199999999999761
57.000,61,4,0.125
57.125,61,4,0.125
57.250,61,4,0.125
57.375,64,7,0.375
57.750,62,5,0.06199999999999761
57.812,61,4,1.0630000000000024
58.875,57,0,0.06300000000000239
58.938,57,0,0.06199999999999761
59.000,61,4,0.125
59.125,59,2,0.125
59.250,61,4,0.125
59.375,64,7,0.25
59.625,66,9,0.125
59.750,64,7,0.125
59.875,66,9,0.06300000000000239
59.938,64,7,0.6869999999999976
60.625,57,0,0.125
60.750,66,9,0.125
60.875,64,7,0.25
61.125,69,0,0.75
61.875,57,0,0.125
62.000,57,0,1.5619999999999976
63.562,52,7,0.06300000000000239
63.625,52,7,0.06300000000000239
63.688,61,4,0.1869999999999976
63.875,57,0,0.06300000000000239
63.938,59,2,1.6869999999999976
65.625,61,4,0.06300000000000239
65.688,61,4,0.1869999999999976
65.875,52,7,0.06300000000000239
65.938,52,7,1.6869999999999976
67.625,61,4,0.06300000000000239
67.688,61,4,0.1869999999999976
67.875,62,5,0.06300000000000239
67.938,61,4,0.06199999999999761
68.000,59,2,1.375
69.375,57,0,0.125
69.500,62,5,0.125
69.625,61,4,0.125
69.750,59,2,0.3119999999999976
70.062,57,0,0.06300000000000239
70.125,57,0,1.375
71.500,61,4,0.125
71.625,62,5,0.125
71.750,64,7,0.125
71.875,69,0,0.625
72.500,62,5,0.25
72.750,62,5,0.125
72.875,61,4,0.125
73.000,59,2,0.5
73.500,59,2,0.125
73.625,61,4,0.125
73.750,62,5,0.125
73.875,69,0,0.625
74.500,62,5,0.25
74.750,62,5,0.125
74.875,61,4,0.125
75.000,57,0,0.625
75.625,56,11,0.5
76.125,57,0,1.5
77.625,56,11,0.5
78.125,57,0,0.75
78.875,52,7,0.125
79.000,59,2,0.3119999999999976
79.312,61,4,0.06300000000000239
79.375,59,2,0.125
79.500,59,2,0.125
79.625,57,0,0.125
