time,note,scale degree,length
2.375,53,0,0.125
2.500,55,2,0.125
2.625,57,4,0.25
2.875,55,2,0.5
3.375,53,0,0.125
3.500,55,2,0.125
3.625,57,4,0.25
3.875,57,4,0.125
4.000,58,5,0.375
4.375,57,4,0.125
4.500,55,2,0.25
4.750,55,2,1.625
6.375,58,5,0.125
6.500,60,7,0.125
6.625,62,9,0.25
6.875,60,7,0.5
7.375,58,5,0.125
7.500,60,7,0.125
7.625,62,9,0.25
7.875,65,0,0.125
8.000,58,5,0.375
8.375,60,7,0.125
8.500,60,7,0.125
8.625,62,9,0.125
8.750,60,7,1.625
10.375,53,0,0.125
10.500,55,2,0.125
10.625,57,4,0.25
10.875,55,2,0.5
11.375,53,0,0.125
11.500,55,2,0.125
11.625,57,4,0.25
11.875,57,4,0.125
12.000,58,5,0.375
12.375,57,4,0.125
12.500,55,2,0.125
12.625,55,2,0.25
12.875,55,2,1.5
14.375,58,5,0.125
14.500,60,7,0.125
14.625,62,9,0.25
14.875,60,7,0.5
15.375,58,5,0.125
15.500,60,7,0.125
15.625,62,9,0.25
15.875,65,0,0.125
16.000,58,5,0.125
16.125,58,5,0.25
16.375,60,7,0.25
16.625,62,9,0.125
16.750,60,7,1.875
18.625,69,4,0.125
18.750,67,2,0.125
18.875,69,4,0.25
19.125,72,7,0.25
19.375,65,0,0.25
19.625,65,0,0.125
19.750,67,2,1.125
20.875,70,5,0.25
21.125,67,2,0.125
21.250,65,0,0.125
21.375,64,11,0.25
21.625,65,0,0.25
21.875,64,11,0.125
22.000,62,9,0.625
22.625,69,4,0.125
22.750,67,2,0.125
22.875,69,4,0.25
23.125,72,7,0.25
23.375,65,0,0.25
23.625,65,0,0.125
23.750,67,2,0.5
24.250,65,0,0.125
24.375,67,2,0.125
24.500,65,0,0.125
24.625,69,4,0.25
24.875,67,2,1.75
26.625,69,4,0.125
26.750,67,2,0.125
26.875,69,4,0.25
27.125,72,7,0.25
27.375,65,0,0.25
27.625,65,0,0.125
27.750,67,2,1.125
28.875,70,5,0.25
29.125,67,2,0.125
29.250,65,0,0.125
29.375,64,11,0.25
29.625,65,0,0.75
30.375,53,0,0.125
30.500,55,2,0.125
30.625,57,4,0.25
30.875,55,2,1.125
32.000,58,5,0.125
32.125,58,5,0.125
32.250,58,5,0.125
32.375,57,4,0.125
32.500,55,2,0.375
32.875,55,2,1.5
34.375,58,5,0.125
34.500,60,7,0.125
34.625,62,9,0.25
34.875,60,7,0.5
35.375,58,5,0.125
35.500,60,7,0.125
35.625,62,9,0.25
35.875,65,0,0.25
36.125,58,5,0.25
36.375,60,7,0.125
36.500,60,7,0.125
36.625,62,9,0.125
36.750,60,7,1.625
38.375,53,0,0.125
38.500,55,2,0.125
38.625,57,4,0.25
38.875,55,2,0.5
39.375,53,0,0.125
39.500,55,2,0.125
39.625,57,4,0.25
39.875,57,4,0.125
40.000,58,5,0.375
40.375,57,4,0.125
40.500,55,2,0.125
40.625,55,2,0.25
40.875,55,2,1.5
42.375,58,5,0.125
42.500,60,7,0.125
42.625,62,9,0.25
42.875,60,7,0.5
43.375,58,5,0.125
43.500,60,7,0.125
43.625,62,9,0.25
43.875,65,0,0.125
44.000,58,5,0.125
44.125,58,5,0.25
44.375,60,7,0.25
44.625,62,9,0.125
44.750,60,7,1.875
46.625,69,4,0.125
46.750,67,2,0.125
46.875,69,4,0.25
47.125,72,7,0.25
47.375,65,0,0.25
47.625,65,0,0.125
47.750,67,2,1.125
48.875,70,5,0.25
49.125,67,2,0.125
49.250,65,0,0.125
49.375,64,11,0.25
49.625,65,0,0.25
49.875,64,11,0.125
50.000,62,9,0.625
50.625,69,4,0.125
50.750,67,2,0.125
50.875,69,4,0.25
51.125,72,7,0.25
51.375,65,0,0.25
51.625,65,0,0.125
51.750,67,2,0.5
52.250,65,0,0.125
52.375,67,2,0.125
52.500,65,0,0.125
52.625,69,4,0.25
52.875,67,2,1.75
54.625,69,4,0.125
54.750,67,2,0.125
54.875,69,4,0.25
55.125,72,7,0.25
55.375,65,0,0.25
55.625,65,0,0.125
55.750,67,2,1.125
56.875,70,5,0.25
57.125,67,2,0.125
57.250,65,0,0.125
57.375,64,11,0.25
57.625,65,0,17.0
74.625,69,4,0.125
74.750,67,2,0.125
74.875,69,4,0.25
75.125,72,7,0.25
75.375,65,0,0.25
75.625,65,0,0.125
75.750,67,2,1.125
76.875,70,5,0.25
77.125,67,2,0.125
77.250,65,0,0.125
77.375,64,11,0.25
77.625,65,0,0.25
77.875,64,11,0.125
78.000,62,9,0.625
78.625,69,4,0.125
78.750,67,2,0.125
78.875,69,4,0.25
79.125,72,7,0.25
79.375,65,0,0.25
79.625,65,0,0.125
79.750,67,2,0.5
80.250,65,0,0.125
80.375,67,2,0.125
80.500,65,0,0.125
80.625,69,4,0.25
80.875,67,2,0.25
81.125,65,0,0.125
81.250,67,2,0.125
81.375,65,0,0.125
81.500,69,4,0.25
81.750,67,2,0.125
81.875,65,0,0.125
82.000,65,0,0.125
82.125,62,9,0.125
82.250,60,7,0.375
82.625,69,4,0.125
82.750,67,2,0.125
82.875,69,4,0.25
83.125,72,7,0.25
83.375,65,0,0.25
83.625,65,0,0.125
83.750,67,2,1.125
84.875,70,5,0.25
85.125,67,2,0.125
85.250,65,0,0.125
85.375,64,11,0.25
85.625,65,0,0.25
85.875,64,11,0.125
86.000,62,9,0.625
86.625,69,4,0.125
86.750,67,2,0.125
86.875,69,4,0.25
87.125,72,7,0.25
87.375,65,0,0.25
87.625,65,0,0.125
87.750,67,2,0.5
88.250,65,0,0.125
88.375,67,2,0.125
88.500,65,0,0.125
88.625,69,4,0.25
88.875,67,2,21.75
110.625,69,4,0.125
110.750,67,2,0.125
110.875,69,4,0.25
111.125,72,7,0.25
111.375,65,0,0.25
111.625,65,0,0.125
111.750,67,2,2.875
114.625,69,4,0.125
114.750,67,2,0.125
114.875,69,4,0.25
115.125,72,7,0.25
115.375,65,0,0.25
115.625,65,0,0.125
115.750,67,2,0.5
116.250,65,0,0.125
116.375,67,2,0.125
116.500,65,0,0.125
116.625,69,4,0.25
116.875,67,2,1.75
118.625,69,4,0.125
118.750,67,2,0.125
118.875,69,4,0.25
119.125,72,7,0.25
119.375,65,0,0.25
119.625,65,0,0.125
