time,note,scale degree,length
8.500,62,10,0.16699999999999982
8.667,61,9,0.16600000000000037
8.833,62,10,0.16699999999999982
9.000,61,9,0.16699999999999982
9.167,59,7,0.25
9.417,54,2,0.25
9.667,59,7,0.75
10.417,57,5,0.08300000000000018
10.500,57,5,0.16699999999999982
10.667,56,4,0.08300000000000018
10.750,57,5,0.16699999999999982
10.917,61,9,0.25
11.167,66,2,0.25
11.417,57,5,0.08300000000000018
11.500,59,7,0.16699999999999982
11.667,61,9,0.8330000000000002
12.500,64,0,0.16699999999999982
12.667,63,11,0.16600000000000037
12.833,64,0,0.16699999999999982
13.000,66,2,0.25
13.250,57,5,0.16699999999999982
13.417,59,7,0.25
13.667,60,8,0.6660000000000004
14.333,64,0,0.16699999999999982
14.500,64,0,0.16699999999999982
14.667,63,11,0.25
14.917,64,0,0.25
15.167,68,4,0.25
15.417,61,9,0.08300000000000018
15.500,63,11,0.16699999999999982
15.667,64,0,0.8330000000000002
16.500,61,9,0.1670000000000016
16.667,59,7,0.08299999999999841
16.750,61,9,0.1670000000000016
16.917,59,7,0.25
17.167,64,0,0.16599999999999682
17.333,59,7,0.1670000000000016
17.500,57,5,0.25
17.750,56,4,0.1670000000000016
17.917,52,0,0.25
18.167,54,2,2.3329999999999984
20.500,62,10,0.1670000000000016
20.667,61,9,0.16599999999999682
20.833,62,10,0.1670000000000016
21.000,61,9,0.1670000000000016
21.167,59,7,0.25
21.417,54,2,0.25
21.667,59,7,0.75
22.417,57,5,0.08299999999999841
22.500,57,5,0.1670000000000016
22.667,56,4,0.08299999999999841
22.750,57,5,0.1670000000000016
22.917,61,9,0.25
23.167,66,2,0.25
23.417,57,5,0.08299999999999841
23.500,59,7,0.1670000000000016
23.667,61,9,0.75
24.417,64,0,0.08299999999999841
24.500,64,0,0.1670000000000016
24.667,63,11,0.16599999999999682
24.833,64,0,0.3340000000000032
25.167,66,2,0.25
25.417,57,5,0.08299999999999841
25.500,59,7,0.1670000000000016
25.667,60,8,0.75
26.417,64,0,0.08299999999999841
26.500,64,0,0.1670000000000016
26.667,63,11,0.25
26.917,64,0,0.25
27.167,68,4,0.25
27.417,61,9,0.08299999999999841
27.500,63,11,0.1670000000000016
27.667,64,0,0.8329999999999984
28.500,61,9,0.1670000000000016
28.667,59,7,0.08299999999999841
28.750,61,9,0.1670000000000016
28.917,59,7,0.25
29.167,64,0,0.16599999999999682
29.333,59,7,0.1670000000000016
29.500,57,5,0.25
29.750,56,4,0.1670000000000016
29.917,52,0,0.25
30.167,54,2,13.332999999999998
43.500,66,9,0.1670000000000016
43.667,64,7,0.08299999999999841
43.750,66,9,0.1670000000000016
43.917,64,7,0.25
44.167,69,0,0.16599999999999682
44.333,64,7,0.1670000000000016
44.500,62,5,0.25
44.750,61,4,0.1670000000000016
44.917,57,0,0.25
45.167,59,2,1.3329999999999984
46.500,62,10,0.1670000000000016
46.667,61,9,0.16599999999999682
46.833,62,10,0.1670000000000016
47.000,61,9,0.1670000000000016
47.167,59,7,0.25
47.417,54,2,0.25
47.667,59,7,0.75
48.417,57,5,0.08299999999999841
48.500,57,5,0.1670000000000016
48.667,56,4,0.08299999999999841
48.750,57,5,0.1670000000000016
48.917,61,9,0.25
49.167,66,2,0.25
49.417,57,5,0.08299999999999841
49.500,59,7,0.1670000000000016
49.667,61,9,0.75
50.417,64,0,0.08299999999999841
50.500,64,0,0.1670000000000016
50.667,63,11,0.16599999999999682
50.833,64,0,0.3340000000000032
51.167,66,2,0.25
