time,note,scale degree,length
27.917,52,4,0.08299999999999841
28.000,52,4,0.08299999999999841
28.083,55,7,0.08400000000000318
28.167,55,7,0.16599999999999682
28.333,55,7,0.5
28.833,55,7,0.1670000000000016
29.000,57,9,0.1670000000000016
29.167,57,9,0.16599999999999682
29.333,57,9,0.75
30.083,52,4,0.08400000000000318
30.167,55,7,0.16599999999999682
30.333,55,7,0.1670000000000016
30.500,55,7,0.3329999999999984
30.833,55,7,0.08400000000000318
30.917,55,7,0.08299999999999841
31.000,57,9,0.3329999999999984
31.333,57,9,0.1670000000000016
31.500,57,9,0.4170000000000016
31.917,55,7,0.08299999999999841
32.000,57,9,0.3329999999999984
32.333,57,9,0.3340000000000032
32.667,57,9,0.16599999999999682
32.833,57,9,0.1670000000000016
33.000,57,9,0.3329999999999984
33.333,55,7,0.1670000000000016
33.500,55,7,0.3329999999999984
33.833,53,5,0.3340000000000032
34.167,55,7,0.16599999999999682
34.333,55,7,1.5
35.833,52,4,0.08400000000000318
35.917,53,5,0.08299999999999841
36.000,55,7,0.3329999999999984
36.333,55,7,0.1670000000000016
36.500,55,7,0.3329999999999984
36.833,55,7,0.1670000000000016
37.000,57,9,0.3329999999999984
37.333,57,9,0.1670000000000016
37.500,59,11,0.3329999999999984
37.833,57,9,0.1670000000000016
38.000,60,0,0.3329999999999984
38.333,60,0,0.1670000000000016
38.500,60,0,0.3329999999999984
38.833,60,0,0.08400000000000318
38.917,60,0,0.08299999999999841
39.000,60,0,0.3329999999999984
39.333,60,0,0.1670000000000016
39.500,62,2,0.3329999999999984
39.833,60,0,0.1670000000000016
40.000,62,2,0.1670000000000016
40.167,62,2,0.3329999999999984
40.500,62,2,0.3329999999999984
40.833,62,2,0.1670000000000016
41.000,64,4,0.3329999999999984
41.333,64,4,0.1670000000000016
41.500,64,4,0.3329999999999984
41.833,62,2,0.1670000000000016
42.000,62,2,0.1670000000000016
42.167,60,0,0.16599999999999682
42.333,60,0,1.1670000000000016
43.500,52,4,0.1670000000000016
43.667,55,7,0.3329999999999984
44.000,57,9,0.5
44.500,57,9,1.0
45.500,57,9,0.3329999999999984
45.833,55,7,0.1670000000000016
46.000,52,4,0.5
46.500,52,4,1.0
47.500,52,4,0.3329999999999984
47.833,55,7,0.1670000000000016
48.000,57,9,0.5
48.500,57,9,1.0
49.500,57,9,0.3329999999999984
49.833,55,7,0.1670000000000016
50.000,52,4,0.6670000000000016
50.667,53,5,0.16599999999999682
50.833,52,4,0.1670000000000016
51.000,50,2,1.0
52.000,48,0,3.8329999999999984
55.833,52,4,0.08400000000000318
55.917,53,5,0.08299999999999841
56.000,55,7,0.3329999999999984
56.333,55,7,0.1670000000000016
56.500,55,7,0.3329999999999984
56.833,55,7,0.08400000000000318
56.917,55,7,0.08299999999999841
57.000,57,9,0.08299999999999841
57.083,57,9,0.08400000000000318
57.167,57,9,0.6659999999999968
57.833,52,4,0.1670000000000016
58.000,55,7,0.3329999999999984
58.333,55,7,0.1670000000000016
58.500,55,7,0.3329999999999984
58.833,55,7,0.1670000000000016
59.000,57,9,0.25
59.250,57,9,0.08299999999999841
