time,note,scale degree,length
16.000,67,0,0.125
16.125,65,10,0.125
16.250,67,0,0.125
16.375,65,10,0.125
16.500,67,0,0.125
16.625,67,0,0.125
16.750,65,10,0.125
16.875,69,2,0.25
17.125,62,7,0.25
17.375,65,10,0.25
17.625,67,0,0.375
18.000,65,10,0.125
18.125,62,7,0.125
18.250,65,10,0.125
18.375,62,7,0.125
18.500,70,3,0.125
18.625,69,2,0.125
18.750,67,0,0.125
18.875,67,0,1.125
20.000,67,0,0.125
20.125,65,10,0.125
20.250,67,0,0.125
20.375,65,10,0.125
20.500,67,0,0.25
20.750,65,10,0.125
20.875,69,2,0.25
21.125,62,7,0.25
21.375,65,10,0.25
21.625,67,0,0.375
22.000,65,10,0.125
22.125,62,7,0.125
22.250,65,10,0.125
22.375,62,7,0.125
22.500,65,10,0.125
22.625,62,7,0.125
22.750,70,3,0.125
22.875,67,0,0.625
23.500,67,0,0.125
23.625,67,0,0.125
23.750,70,3,0.125
23.875,67,0,0.125
24.000,72,5,0.25
24.250,72,5,0.25
24.500,70,3,0.125
24.625,69,2,0.125
24.750,67,0,0.125
24.875,67,0,0.25
25.125,67,0,0.06299999999999883
25.188,65,10,0.062000000000001165
25.250,62,7,0.375
25.625,67,0,0.125
25.750,70,3,0.125
25.875,67,0,0.125
26.000,72,5,0.25
26.250,72,5,0.25
26.500,70,3,0.125
26.625,69,2,0.125
26.750,67,0,0.125
26.875,67,0,0.18700000000000117
27.062,65,10,0.06299999999999883
27.125,62,7,0.5
27.625,67,0,0.125
27.750,70,3,0.125
27.875,67,0,0.125
28.000,72,5,0.25
28.250,72,5,0.25
28.500,73,6,0.125
28.625,72,5,0.125
28.750,70,3,0.125
28.875,74,7,0.25
29.125,72,5,0.06299999999999883
29.188,70,3,0.062000000000001165
29.250,67,0,0.625
29.875,72,5,0.25
30.125,70,3,0.125
30.250,72,5,0.125
30.375,70,3,0.125
30.500,72,5,0.125
30.625,70,3,0.25
30.875,73,6,0.125
31.000,74,7,0.125
31.125,70,3,0.125
31.250,72,5,0.125
31.375,70,3,0.125
31.500,72,5,0.25
31.750,70,3,0.125
31.875,72,5,0.1869999999999976
32.062,70,3,0.06300000000000239
32.125,67,0,1.5
33.625,67,0,0.125
33.750,70,3,0.25
34.000,72,5,0.25
34.250,70,3,1.375
35.625,67,0,0.125
35.750,70,3,0.125
35.875,67,0,0.125
36.000,72,5,0.25
36.250,70,3,1.375
37.625,67,0,0.125
37.750,70,3,0.25
38.000,72,5,0.25
38.250,70,3,9.75
48.000,67,0,0.125
48.125,65,10,0.125
48.250,67,0,0.125
48.375,65,10,0.125
48.500,67,0,0.125
48.625,65,10,0.125
48.750,65,10,0.125
48.875,69,2,0.25
49.125,62,7,0.25
49.375,65,10,0.25
49.625,67,0,0.25
49.875,67,0,0.125
50.000,65,10,0.125
50.125,62,7,0.125
50.250,65,10,0.125
50.375,62,7,0.125
50.500,65,10,0.125
50.625,62,7,0.125
50.750,70,3,0.125
50.875,67,0,1.125
52.000,67,0,0.125
52.125,65,10,0.125
52.250,67,0,0.125
52.375,65,10,0.125
52.500,67,0,0.125
52.625,65,10,0.125
52.750,65,10,0.125
52.875,69,2,0.25
53.125,62,7,0.25
53.375,65,10,0.25
53.625,67,0,0.375
54.000,65,10,0.125
54.125,62,7,0.125
54.250,65,10,0.125
54.375,62,7,0.125
54.500,70,3,0.1670000000000016
54.667,69,2,0.16599999999999682
54.833,67,0,0.1670000000000016
55.000,67,0,0.5
55.500,67,0,0.125
55.625,67,0,0.125
55.750,70,3,0.125
55.875,67,0,0.125
56.000,72,5,0.25
56.250,72,5,0.25
56.500,70,3,0.125
56.625,69,2,0.125
56.750,67,0,0.125
56.875,67,0,0.25
57.125,67,0,0.06300000000000239
57.188,65,10,0.06199999999999761
57.250,62,7,0.375
57.625,67,0,0.125
57.750,70,3,0.125
57.875,67,0,0.125
58.000,72,5,0.25
58.250,72,5,0.25
58.500,70,3,0.125
58.625,69,2,0.125
58.750,67,0,0.125
58.875,67,0,0.1869999999999976
59.062,65,10,0.06300000000000239
59.125,62,7,0.5
59.625,67,0,0.125
59.750,70,3,0.125
59.875,67,0,0.125
60.000,72,5,0.25
60.250,72,5,0.25
60.500,73,6,0.125
60.625,72,5,0.125
60.750,70,3,0.125
60.875,74,7,0.25
61.125,72,5,0.06300000000000239
61.188,70,3,0.06199999999999761
61.250,67,0,0.75
62.000,72,5,0.125
62.125,70,3,0.125
62.250,72,5,0.125
62.375,70,3,0.125
62.500,72,5,0.125
62.625,70,3,0.25
62.875,77,10,0.25
63.125,73,6,0.125
63.250,72,5,0.125
63.375,70,3,0.125
63.500,72,5,0.125
63.625,70,3,0.125
63.750,70,3,0.125
63.875,72,5,0.1869999999999976
64.062,70,3,0.06300000000000239
64.125,67,0,1.375
65.500,73,6,0.25
65.750,72,5,0.125
65.875,70,3,0.125
66.000,74,7,0.25
66.250,72,5,0.125
66.375,70,3,1.625
68.000,73,6,0.25
68.250,72,5,0.125
68.375,70,3,1.125
69.500,77,10,0.125
69.625,73,6,0.06300000000000239
