time,note,scale degree,length
0.250,81,4,0.25
0.500,81,4,0.25
0.750,79,2,0.25
1.000,77,0,0.41700000000000004
1.417,74,9,0.08299999999999996
1.500,74,9,0.9169999999999998
2.417,58,5,0.16600000000000037
2.583,58,5,0.08399999999999963
2.667,60,7,0.08300000000000018
2.750,62,9,0.16699999999999982
2.917,60,7,1.5
4.417,53,0,0.16600000000000037
4.583,57,4,0.16699999999999982
4.750,62,9,0.16699999999999982
4.917,60,7,0.41600000000000037
5.333,58,5,0.08399999999999963
5.417,55,2,0.08300000000000018
5.500,52,11,0.041999999999999815
5.542,50,9,0.04100000000000037
5.583,48,7,0.8339999999999996
6.417,55,2,0.125
6.542,57,4,0.04100000000000037
6.583,53,0,0.25
6.833,55,2,0.08399999999999963
6.917,57,4,0.08300000000000018
7.000,55,2,0.041999999999999815
7.042,57,4,1.2080000000000002
8.250,81,4,0.25
8.500,81,4,0.25
8.750,79,2,0.25
9.000,77,0,0.4169999999999998
9.417,74,9,0.08300000000000018
9.500,74,9,0.9169999999999998
10.417,58,5,0.16600000000000037
10.583,58,5,0.125
10.708,60,7,0.125
10.833,62,9,0.08399999999999963
10.917,60,7,0.5
11.417,62,9,1.0
12.417,53,0,0.16600000000000037
12.583,57,4,0.20899999999999963
12.792,62,9,0.20800000000000018
13.000,60,7,0.25
13.250,58,5,0.16699999999999982
13.417,55,2,0.08300000000000018
13.500,52,11,0.041999999999999815
13.542,50,9,0.04100000000000037
13.583,48,7,0.6669999999999998
14.250,48,7,0.125
14.375,52,11,0.125
14.500,58,5,0.08300000000000018
14.583,60,7,0.08399999999999963
14.667,57,4,0.16600000000000037
14.833,55,2,0.125
14.958,55,2,0.08399999999999963
15.042,53,0,1.4159999999999986
16.458,58,5,0.04200000000000159
16.500,60,7,0.2079999999999984
16.708,57,4,0.04200000000000159
16.750,55,2,0.1670000000000016
16.917,53,0,0.04099999999999682
16.958,57,4,1.5
18.458,65,0,0.20900000000000318
18.667,62,9,0.125
18.792,60,7,0.04099999999999682
18.833,58,5,0.08400000000000318
18.917,58,5,0.16599999999999682
19.083,62,9,1.375
20.458,65,0,0.1670000000000016
20.625,62,9,0.08299999999999841
20.708,65,0,0.125
20.833,62,9,0.04200000000000159
20.875,65,0,0.125
21.000,62,9,0.08299999999999841
21.083,60,7,0.3340000000000032
21.417,62,9,0.8329999999999984
22.250,57,4,0.1670000000000016
22.417,62,9,0.16599999999999682
22.583,60,7,0.1670000000000016
22.750,57,4,0.1670000000000016
22.917,57,4,0.08299999999999841
23.000,55,2,1.4170000000000016
24.417,60,7,0.25
24.667,57,4,0.04099999999999682
24.708,55,2,0.04200000000000159
24.750,53,0,0.08299999999999841
24.833,53,0,0.08400000000000318
24.917,57,4,0.08299999999999841
25.000,55,2,0.04200000000000159
25.042,57,4,1.2909999999999968
26.333,65,0,0.1670000000000016
26.500,67,2,0.1670000000000016
26.667,65,0,0.16599999999999682
26.833,58,5,0.08400000000000318
26.917,60,7,0.08299999999999841
27.000,62,9,1.4170000000000016
28.417,65,0,0.125
28.542,65,0,0.16599999999999682
28.708,67,2,0.125
28.833,65,0,0.125
28.958,67,2,0.04200000000000159
29.000,69,4,0.08299999999999841
29.083,67,2,0.04200000000000159
29.125,65,0,0.125
29.250,62,9,0.125
29.375,60,7,1.0420000000000016
30.417,60,7,0.2079999999999984
30.625,60,7,0.125
30.750,64,11,0.08299999999999841
30.833,67,2,0.1670000000000016
31.000,65,0,0.875
31.875,67,2,0.04200000000000159
31.917,69,4,0.3329999999999984
32.250,81,4,0.25
32.500,81,4,0.25
32.750,79,2,0.25
33.000,77,0,0.4170000000000016
33.417,74,9,0.08299999999999841
33.500,74,9,0.9170000000000016
34.417,58,5,0.16599999999999682
34.583,58,5,0.08400000000000318
34.667,60,7,0.08299999999999841
34.750,62,9,0.1670000000000016
34.917,60,7,0.5
35.417,62,9,1.0
36.417,53,0,0.16599999999999682
36.583,57,4,0.1670000000000016
36.750,62,9,0.1670000000000016
36.917,60,7,0.4159999999999968
37.333,58,5,0.08400000000000318
37.417,55,2,0.08299999999999841
37.500,52,11,0.04200000000000159
37.542,50,9,0.04099999999999682
37.583,48,7,0.8340000000000032
38.417,55,2,0.125
38.542,57,4,0.04099999999999682
38.583,53,0,0.25
38.833,55,2,0.08400000000000318
38.917,57,4,0.08299999999999841
39.000,55,2,0.04200000000000159
39.042,57,4,1.2079999999999984
40.250,81,4,0.25
40.500,81,4,0.25
40.750,79,2,0.25
41.000,77,0,0.4170000000000016
41.417,74,9,0.08299999999999841
41.500,74,9,0.9170000000000016
42.417,58,5,0.16599999999999682
42.583,58,5,0.125
42.708,60,7,0.125
42.833,62,9,0.08400000000000318
42.917,60,7,0.5
43.417,62,9,1.0
44.417,53,0,0.16599999999999682
44.583,57,4,0.20900000000000318
44.792,62,9,0.2079999999999984
45.000,60,7,0.1670000000000016
45.167,58,5,0.16599999999999682
45.333,55,2,0.1670000000000016
45.500,52,11,0.04200000000000159
45.542,50,9,0.04099999999999682
45.583,48,7,0.6670000000000016
46.250,48,7,0.1670000000000016
46.417,52,11,0.16599999999999682
46.583,58,5,0.04200000000000159
46.625,60,7,0.125
46.750,57,4,0.125
46.875,55,2,0.08299999999999841
46.958,55,2,0.08400000000000318
47.042,53,0,1.2079999999999984
48.250,72,7,0.25
48.500,69,4,0.1670000000000016
48.667,67,2,0.08299999999999841
48.750,65,0,0.25
49.000,69,4,0.4170000000000016
49.417,60,7,0.3329999999999984
49.750,57,4,0.04200000000000159
49.792,55,2,0.125
49.917,53,0,0.08299999999999841
50.000,57,4,0.25
50.250,77,0,0.25
50.500,77,0,0.1670000000000016
50.667,74,9,0.08299999999999841
50.750,72,7,0.25
51.000,77,0,0.4170000000000016
51.417,65,0,0.08299999999999841
51.500,67,2,0.1670000000000016
51.667,65,0,0.16599999999999682
51.833,58,5,0.1670000000000016
52.000,62,9,0.25
52.250,77,0,0.25
52.500,77,0,0.25
52.750,77,0,0.25
53.000,77,0,0.1670000000000016
53.167,74,9,0.08299999999999841
53.250,72,7,0.2079999999999984
53.458,65,0,0.08400000000000318
53.542,62,9,0.08299999999999841
53.625,65,0,0.25
53.875,62,9,0.04200000000000159
53.917,65,0,0.08299999999999841
54.000,62,9,0.125
54.125,60,7,0.125
54.250,74,9,0.25
54.500,72,7,0.25
54.750,69,4,0.25
55.000,67,2,0.4170000000000016
55.417,62,9,0.04099999999999682
55.458,60,7,0.125
55.583,63,10,0.08400000000000318
55.667,64,11,0.16599999999999682
55.833,64,11,0.125
55.958,62,9,0.125
56.083,62,9,0.08400000000000318
56.167,60,7,0.08299999999999841
56.250,72,7,0.25
56.500,69,4,0.1670000000000016
56.667,67,2,0.08299999999999841
56.750,65,0,0.25
57.000,69,4,0.4170000000000016
57.417,60,7,0.08299999999999841
57.500,62,9,0.125
57.625,60,7,0.08299999999999841
57.708,57,4,0.04200000000000159
57.750,55,2,0.04200000000000159
57.792,53,0,0.125
57.917,53,0,0.08299999999999841
58.000,57,4,0.08299999999999841
58.083,55,2,0.04200000000000159
58.125,57,4,0.125
58.250,77,0,0.1670000000000016
58.417,79,2,0.08299999999999841
58.500,77,0,0.4170000000000016
58.917,72,7,0.08299999999999841
59.000,74,9,0.25
59.250,65,0,0.1670000000000016
59.417,67,2,0.16599999999999682
59.583,65,0,0.1670000000000016
59.750,58,5,0.08299999999999841
59.833,62,9,0.4170000000000016
60.250,77,0,0.25
60.500,77,0,0.1670000000000016
60.667,77,0,0.08299999999999841
60.750,77,0,0.25
61.000,81,4,0.5
61.500,65,0,0.25
61.750,65,0,0.1670000000000016
61.917,62,9,0.08299999999999841
62.000,62,9,0.08299999999999841
62.083,60,7,0.1670000000000016
62.250,72,7,0.1670000000000016
62.417,72,7,0.08299999999999841
62.500,76,11,0.25
62.750,79,2,0.25
63.000,79,2,0.08299999999999841
63.083,77,0,0.1670000000000016
63.250,65,0,0.1670000000000016
63.417,65,0,0.16599999999999682
63.583,65,0,0.1670000000000016
63.750,65,0,0.08299999999999841
63.833,65,0,0.04200000000000159
63.875,67,2,0.04200000000000159
